statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	fluent_owner_expansion_de	event_count	common_portable_count	local_common_axis_count	prose_extension_count	whole_or_local_count	r218_editorial_status	r218_owner_expansion_de	r221_literal_card_reading	r221_owner_expansion_de	r221_revision
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	sotaiin qokar shedy	[ACHSE:OT+AIIN→Folgemaß] [ACHSE:OK+AR→Quelleinsatz] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	3	0	3	0	0	UNCHANGED	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	UNCHANGED
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	solshedy	[ACHSE:OL+SHED→Folgeabsetzen; Schluss]	Den Folgeposten absetzen lassen; Schluss.	1	0	1	0	0	UNCHANGED	Den Folgeposten absetzen lassen; Schluss.	Folgeabsetzen; Schluss	Den Folgeposten absetzen lassen; Schluss.	UNCHANGED
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	qokeey qoky ls cheey	[ACHSE:OK+Y+EE→lange einwirken] [KERN:einsetzen] [PROSA:Auslass] [KERN:Ergebnis]	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	4	2	1	1	0	UNCHANGED	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	lange einwirken | einsetzen | Auslass | Ergebnis	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	UNCHANGED
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	okain char okain qokeedy	[PROSA:Anteil zugeben] [KERN:davon] [PROSA:Anteil zugeben] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.	4	1	1	2	0	TIGHTENED	Anteil zugeben, davon Anteil zugeben und länger einwirken; Schluss.	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben, davon Anteil zugeben und länger einwirken; Schluss.	UNCHANGED
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	[ACHSE:Y+L→Abführgut] [KERN:Ergebnis] [ACHSE:Y+E+CTH→kurz vorbereiten] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Klarabzug] [KERN:Sollwert] [KERN:dies] [ACHSE:OK+DY+EEE→Volleinsatz; Schluss]	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	8	3	4	1	0	TIGHTENED	Abführgut auf Freigabewert kurz vorbereiten, länger einwirken, klar abziehen, auf Sollwert bringen und vollständig einsetzen; Schluss.	Abführgut | Ergebnis | kurz vorbereiten | lange einwirken | Klarabzug | Sollwert | dies | Volleinsatz; Schluss	Abführgut auf Ergebnis kurz vorbereiten, länger einwirken, klar abziehen, auf Sollwert bringen und vollständig einsetzen; Schluss.	RESULT_OR_CLOSE_REVISED
B2-S013	B2	unteres grünes Mehrfigurenfeld	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	In das untere grüne Mehrfigurenfeld abführen; Schluss.	1	0	1	0	0	UNCHANGED	In das untere grüne Mehrfigurenfeld abführen; Schluss.	abführen; Schluss	In das untere grüne Mehrfigurenfeld abführen; Schluss.	UNCHANGED
B2-S014	B2	unteres grünes Mehrfigurenfeld	lar	[ACHSE:AR+L→Quellabzug]	Aus der Quelle abziehen.	1	0	1	0	0	UNCHANGED	Aus der Quelle abziehen.	Quellabzug	Aus der Quelle abziehen.	UNCHANGED
B2-S015	B2	lokale Randstationen des unteren Feldes	tshey qokeedy	[LOKAL:Folgeklarlauf] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	2	0	1	0	1	UNCHANGED	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	Folgeklarlauf | lange einwirken; Schluss	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	UNCHANGED
B2-S016	B2	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	[KERN:dorthin] [ACHSE:AR+CHED~CHD+L→Quellabführung] [GANZKARTE:teilen] [KERN:Sollwert] [ACHSE:OT+Y+EE→Langfolge] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+Y+E→kurz einwirken] [ACHSE:CHED~CHD+P→Zuführung; Schluss]	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	8	2	5	0	1	TIGHTENED	Dorthin führen, davon abführen, teilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	dorthin | Quellabführung | teilen | Sollwert | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Dorthin führen, davon abführen, teilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	UNCHANGED
B2-S017	B2	lokale Randstationen des unteren Feldes	rsheal daldy	[ACHSE:AL+E→Kurzhalt am Ziel] [ACHSE:AL+DY→Zielschluss]	Am Ziel kurz halten und den Zielschritt schließen.	2	0	2	0	0	UNCHANGED	Am Ziel kurz halten und den Zielschritt schließen.	Kurzhalt am Ziel | Zielschluss	Am Ziel kurz halten und den Zielschritt schließen.	UNCHANGED
B2-S018	B2	lokale Randstationen des unteren Feldes	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Länger einwirken lassen; Schluss.	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B2-S019	B2	lokale Randstationen des unteren Feldes	rshedy	[GANZKARTE:Vollwaschung; Schluss]	Eine Vollwaschung ausführen; Schluss.	1	0	0	0	1	UNCHANGED	Eine Vollwaschung ausführen; Schluss.	Vollwaschung; Schluss	Eine Vollwaschung ausführen; Schluss.	UNCHANGED
B2-S020	B2	lokale Randstationen des unteren Feldes	qoteedy	[ACHSE:OT+EE→lange Folgestufe; Schluss]	Die folgende Stufe länger halten; Schluss.	1	0	1	0	0	UNCHANGED	Die folgende Stufe länger halten; Schluss.	lange Folgestufe; Schluss	Die folgende Stufe länger halten; Schluss.	UNCHANGED
B2-S021	B2	lokale Randstationen des unteren Feldes	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Länger einwirken lassen; Schluss.	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B2-S022	B2	lokale Randstationen des unteren Feldes	lochedy	[ACHSE:DY+CHED~CHD+L→Abführung; Schluss]	Abführen; Schluss.	1	0	1	0	0	UNCHANGED	Abführen; Schluss.	Abführung; Schluss	Abführen; Schluss.	UNCHANGED
B3-S001	B3	obere offene Fächer-Randstation	olkeedy	[PROSA:lange sammeln; Schluss]	An der oberen offenen Randstation länger auffangen; Schluss.	1	0	0	1	0	UNCHANGED	An der oberen offenen Randstation länger auffangen; Schluss.	lange sammeln; Schluss	An der oberen offenen Randstation länger auffangen; Schluss.	UNCHANGED
B3-S002	B3	obere offene Fächer-Randstation	qotal chkeedy	[ACHSE:OT+AL→danach dorthin] [ACHSE:DY+EE+CHK→Langwärmen; Schluss]	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	2	0	2	0	0	UNCHANGED	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	danach dorthin | Langwärmen; Schluss	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	UNCHANGED
B3-S003	B3	obere offene Fächer-Randstation	chey daiin chey lchedy	[KERN:dies] [KERN:Sollwert] [KERN:dies] [ACHSE:CHED~CHD+L→abführen; Schluss]	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	4	3	1	0	0	UNCHANGED	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	dies | Sollwert | dies | abführen; Schluss	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	UNCHANGED
B3-S004	B3	obere offene Fächer-Randstation	qokaiin qotal dar	[ACHSE:OK+AIIN→bemessen] [ACHSE:OT+AL→danach dorthin] [KERN:davon]	Davon eine Menge abmessen und zur folgenden Stelle bringen.	3	1	2	0	0	UNCHANGED	Davon eine Menge abmessen und zur folgenden Stelle bringen.	bemessen | danach dorthin | davon	Davon eine Menge abmessen und zur folgenden Stelle bringen.	UNCHANGED
B3-S005	B3	mittlere runde Gefäß-Randstation	schedy	[ACHSE:CHED~CHD→überführen; Schluss]	In die mittlere runde Randstation überführen; Schluss.	1	0	1	0	0	UNCHANGED	In die mittlere runde Randstation überführen; Schluss.	überführen; Schluss	In die mittlere runde Randstation überführen; Schluss.	UNCHANGED
B3-S006	B3	mittlere runde Gefäß-Randstation	chedchy qokal olchedy	[ACHSE:Y+CHED~CHD→Postentransfer] [KERN:dorthin einsetzen] [ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.	3	1	2	0	0	UNCHANGED	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.	Postentransfer | dorthin einsetzen | weiterführen; Schluss	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.	UNCHANGED
B3-S007	B3	mittlere runde Gefäß-Randstation	qokaiin chedy qokeedy	[ACHSE:OK+AIIN→bemessen] [KERN:überführen] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	Bemessen, überführen und länger einwirken lassen; Schluss.	3	1	2	0	0	UNCHANGED	Bemessen, überführen und länger einwirken lassen; Schluss.	bemessen | überführen | lange einwirken; Schluss	Bemessen, überführen und länger einwirken lassen; Schluss.	UNCHANGED
B3-S008	B3	mittlere runde Gefäß-Randstation	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0	UNCHANGED	Aus der Station abführen; Schluss.	abführen; Schluss	Aus der Station abführen; Schluss.	UNCHANGED
B3-S009	B3	mittlere runde Gefäß-Randstation	qoky	[KERN:einsetzen]	Den Posten einsetzen.	1	1	0	0	0	UNCHANGED	Den Posten einsetzen.	einsetzen	Den Posten einsetzen.	UNCHANGED
B3-S010	B3	untere korbartige Gefäß-Randstation	pchedal otedy	[ACHSE:AL+CHED~CHD+P→Zielzuführung] [ACHSE:OT+E→Kurzfolge; Schluss]	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.	2	0	2	0	0	UNCHANGED	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.	Zielzuführung | Kurzfolge; Schluss	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.	UNCHANGED
B3-S011	B3	untere korbartige Gefäß-Randstation	shecthedchy qoky chedy chary	[ACHSE:Y+CHED~CHD+CTH→Vorbereitungstransfer] [KERN:einsetzen] [KERN:überführen] [ACHSE:AR+Y→Quellposten]	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.	4	2	2	0	0	UNCHANGED	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.	Vorbereitungstransfer | einsetzen | überführen | Quellposten	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.	UNCHANGED
B3-S012	B3	untere korbartige Gefäß-Randstation	sor shedy	[KERN:Ansatz] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Den Ansatz kurz absetzen lassen; Schluss.	2	1	1	0	0	UNCHANGED	Den Ansatz kurz absetzen lassen; Schluss.	Ansatz | kurz absetzen; Schluss	Den Ansatz kurz absetzen lassen; Schluss.	UNCHANGED
B3-S013	B3	untere korbartige Gefäß-Randstation	qokaiin chkain shcthey qokedy	[ACHSE:OK+AIIN→bemessen] [PROSA:Portion] [ACHSE:Y+E+CTH→kurz vorbereiten] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	4	0	3	1	0	UNCHANGED	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	bemessen | Portion | kurz vorbereiten | kurz einwirken; Schluss	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	UNCHANGED
B3-S014	B3	untere korbartige Gefäß-Randstation	okair sheedy	[ACHSE:OK+AIR→Laufeinsatz] [ACHSE:DY+EE+SHED→Langabsetzen; Schluss]	In den Lauf einsetzen und länger absetzen lassen; Schluss.	2	0	2	0	0	UNCHANGED	In den Lauf einsetzen und länger absetzen lassen; Schluss.	Laufeinsatz | Langabsetzen; Schluss	In den Lauf einsetzen und länger absetzen lassen; Schluss.	UNCHANGED
B3-S015	B3	untere korbartige Gefäß-Randstation	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0	UNCHANGED	Aus der Station abführen; Schluss.	abführen; Schluss	Aus der Station abführen; Schluss.	UNCHANGED
B3-S016	B3	untere korbartige Gefäß-Randstation	lo qokchedy	[PROSA:Abzug] [ACHSE:CHED~CHD→einführen; Schluss]	Abziehen und in die nächste Station einführen; Schluss.	2	0	1	1	0	UNCHANGED	Abziehen und in die nächste Station einführen; Schluss.	Abzug | einführen; Schluss	Abziehen und in die nächste Station einführen; Schluss.	UNCHANGED
B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Länger einwirken lassen; Schluss.	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	shedy	[ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Kurz absetzen lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz absetzen lassen; Schluss.	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	UNCHANGED
B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokshedy	[ACHSE:OK+SHED→Einsatzabsetzen; Schluss]	Nach dem Einsatz absetzen lassen; Schluss.	1	0	1	0	0	UNCHANGED	Nach dem Einsatz absetzen lassen; Schluss.	Einsatzabsetzen; Schluss	Nach dem Einsatz absetzen lassen; Schluss.	UNCHANGED
B3-S020	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	dal lchedy	[KERN:dorthin] [ACHSE:CHED~CHD+L→abführen; Schluss]	Dorthin führen und abführen; Schluss.	2	1	1	0	0	UNCHANGED	Dorthin führen und abführen; Schluss.	dorthin | abführen; Schluss	Dorthin führen und abführen; Schluss.	UNCHANGED
B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	[ACHSE:OK+AIIN→bemessen] [ACHSE:Y+CTH→bereit] [KERN:dorthin] [KERN:dies] [KERN:Sollwert] [ACHSE:AL+SHED→am Ziel absetzen] [ACHSE:Y+E+CTH→Kurzvorbereitung] [KERN:dies] [KERN:dorthin] [ACHSE:Y+CTH→bereit] [ACHSE:AL+CHED~CHD→Zieltransfer; Schluss]	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.	11	5	6	0	0	TIGHTENED	Bemessen, bereitstellen und dorthin bringen; Sollwert am Ziel absetzen, kurz vorbereiten, dorthin bringen, bereitstellen und ans Ziel übertragen; Schluss.	bemessen | bereit | dorthin | dies | Sollwert | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	Bemessen, bereitstellen und dorthin bringen; Sollwert am Ziel absetzen, kurz vorbereiten, dorthin bringen, bereitstellen und ans Ziel übertragen; Schluss.	UNCHANGED
B3-S022	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qotchedy	[ACHSE:OT+DY+CHED~CHD→Folgetransfer; Schluss]	Zur folgenden Station übertragen; Schluss.	1	0	1	0	0	UNCHANGED	Zur folgenden Station übertragen; Schluss.	Folgetransfer; Schluss	Zur folgenden Station übertragen; Schluss.	UNCHANGED
B3-S023	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0	UNCHANGED	Aus der Station abführen; Schluss.	abführen; Schluss	Aus der Station abführen; Schluss.	UNCHANGED
B3-S024	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	tchedy	[ACHSE:CHED~CHD→überführen; Schluss]	Überführen; Schluss.	1	0	1	0	0	UNCHANGED	Überführen; Schluss.	überführen; Schluss	Überführen; Schluss.	UNCHANGED
B3-S025	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokchdy	[ACHSE:CHED~CHD→einführen; Schluss]	In die nächste Station einführen; Schluss.	1	0	1	0	0	UNCHANGED	In die nächste Station einführen; Schluss.	einführen; Schluss	In die nächste Station einführen; Schluss.	UNCHANGED
B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	[ACHSE:AR+CHED~CHD→Quelltransfer] [ACHSE:AIIN→Sollabsetzung] [KERN:überführen] [PROSA:Anteil zugeben] [ACHSE:Y+CTH→bereit] [ACHSE:AL+OR→Zielbereitung] [PROSA:lange sammeln; Schluss]	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.	7	1	4	2	0	TIGHTENED	Von der Quelle übertragen, auf Sollwert absetzen, überführen, Anteil zugeben, bereitstellen, am Ziel vorbereiten und länger sammeln; Schluss.	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	Von der Quelle übertragen, auf Sollwert absetzen, überführen, Anteil zugeben, bereitstellen, am Ziel vorbereiten und länger sammeln; Schluss.	UNCHANGED
B3-S027	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qoteedy	[ACHSE:OT+EE→lange Folgestufe; Schluss]	Die folgende Stufe länger halten; Schluss.	1	0	1	0	0	UNCHANGED	Die folgende Stufe länger halten; Schluss.	lange Folgestufe; Schluss	Die folgende Stufe länger halten; Schluss.	UNCHANGED
B3-S028	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qokeey qokedy	[ACHSE:OK+Y+EE→lange einwirken] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	2	0	2	0	0	UNCHANGED	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	lange einwirken | kurz einwirken; Schluss	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	UNCHANGED
B3-S029	B3	Hauptpaar am sichtbaren ungerichteten Bogen	sol cheeety qokedy	[KERN:weiter] [PROSA:Vollteil] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.	3	1	1	1	0	UNCHANGED	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.	weiter | Vollteil | kurz einwirken; Schluss	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.	UNCHANGED
B3-S030	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qoky saiin schedair otchedy	[KERN:einsetzen] [KERN:Sollwert] [PROSA:Weiterlauf] [ACHSE:OT+DY+CHED~CHD→Folgetransfer; Schluss]	Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss.	4	2	1	1	0	UNCHANGED	Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss.	einsetzen | Sollwert | Weiterlauf | Folgetransfer; Schluss	Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss.	UNCHANGED
B3-S031	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Länger einwirken lassen; Schluss.	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	UNCHANGED
B3-S032	B3	Hauptpaar am sichtbaren ungerichteten Bogen	chedain chedy qotedaiin otaiin otedy	[ACHSE:CHED~CHD+AIN→Anteilstransfer] [KERN:überführen] [ACHSE:OT+AIIN+E→Kurzsoll] [ACHSE:OT+AIIN→Folgemaß] [ACHSE:OT+E→Kurzfolge; Schluss]	Einen Anteil übertragen, weiterführen, den kurzen Sollwert und das Folgemaß einstellen, dann kurz weiterführen; Schluss.	5	1	4	0	0	TIGHTENED	Anteil übertragen, überführen, Kurzsoll und Folgemaß setzen, kurz weiterführen; Schluss.	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	Anteil übertragen, überführen, Kurzsoll und Folgemaß setzen, kurz weiterführen; Schluss.	UNCHANGED
B3-S033	B3	Hauptpaar am sichtbaren ungerichteten Bogen	ldy	[ACHSE:DY+L→abziehen; Schluss]	Abziehen; Schluss.	1	0	1	0	0	UNCHANGED	Abziehen; Schluss.	abziehen; Schluss	Abziehen; Schluss.	UNCHANGED
B3-S034	B3	Hauptpaar am sichtbaren ungerichteten Bogen	soiiin checthy chety otaiin olsaly shedy	[PROSA:Arbeitsstufe] [ACHSE:Y+CTH→bereit] [PROSA:Teil] [ACHSE:OT+AIIN→Folgemaß] [ACHSE:AL+Y→Zwischenziel] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Die Arbeitsstufe auf bereit stellen, einen Teil und das Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.	6	0	4	2	0	TIGHTENED	Arbeitsstufe bereitstellen, Teil und Folgemaß am Zwischenziel kurz absetzen; Schluss.	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	Arbeitsstufe bereitstellen, Teil und Folgemaß am Zwischenziel kurz absetzen; Schluss.	UNCHANGED
B4-S001	B4	Hauptpaar am sichtbaren ungerichteten Bogen	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Am Hauptpaar länger einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Am Hauptpaar länger einwirken lassen; Schluss.	lange einwirken; Schluss	Am Hauptpaar länger einwirken lassen; Schluss.	UNCHANGED
B4-S002	B4	Hauptpaar am sichtbaren ungerichteten Bogen	qolchey qokeey qokedy	[ACHSE:OL+Y→Weiterposten] [ACHSE:OK+Y+EE→lange einwirken] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	3	0	3	0	0	UNCHANGED	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	Weiterposten | lange einwirken | kurz einwirken; Schluss	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	UNCHANGED
B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	chedy otal otchey qokeey qoky tol shedy	[KERN:überführen] [ACHSE:OT+AL→danach dorthin] [KERN:das nächste] [ACHSE:OK+Y+EE→lange einwirken] [KERN:einsetzen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.	7	4	3	0	0	TIGHTENED	Überführen, danach das Nächste dorthin bringen, länger einwirken, einsetzen, weiterführen und kurz absetzen; Schluss.	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	Überführen, danach das Nächste dorthin bringen, länger einwirken, einsetzen, weiterführen und kurz absetzen; Schluss.	UNCHANGED
B4-S004	B4	Hauptpaar am sichtbaren ungerichteten Bogen	qokylddy	[GANZKARTE:befestigen; Schluss]	Den Posten befestigen; Schluss.	1	0	0	0	1	UNCHANGED	Den Posten befestigen; Schluss.	befestigen; Schluss	Den Posten befestigen; Schluss.	UNCHANGED
B4-S005	B4	Hauptpaar am sichtbaren ungerichteten Bogen	dain chedy qokeedy	[GANZKARTE:Einlage] [KERN:überführen] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	Die Einlage überführen und länger einwirken lassen; Schluss.	3	1	1	0	1	UNCHANGED	Die Einlage überführen und länger einwirken lassen; Schluss.	Einlage | überführen | lange einwirken; Schluss	Die Einlage überführen und länger einwirken lassen; Schluss.	UNCHANGED
B4-S006	B4	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	[PROSA:durchlassen; Schluss]	Einmal durchlassen; Schluss.	1	0	0	1	0	UNCHANGED	Einmal durchlassen; Schluss.	durchlassen; Schluss	Einmal durchlassen; Schluss.	UNCHANGED
B4-S007	B4	Hauptpaar am sichtbaren ungerichteten Bogen	shckhedy	[PROSA:durchlassen; Schluss]	Ein zweites Mal durchlassen; Schluss.	1	0	0	1	0	UNCHANGED	Ein zweites Mal durchlassen; Schluss.	durchlassen; Schluss	Ein zweites Mal durchlassen; Schluss.	UNCHANGED
B4-S008	B4	Hauptpaar am sichtbaren ungerichteten Bogen	saiin cheeky sheey qokedy	[KERN:Sollwert] [ACHSE:Y+EE+CHK→länger bearbeiten] [ACHSE:Y+EE→Langhalt] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	4	1	3	0	0	UNCHANGED	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	Sollwert | länger bearbeiten | Langhalt | kurz einwirken; Schluss	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	UNCHANGED
B4-S009	B4	Hauptpaar am sichtbaren ungerichteten Bogen	shedy	[ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Kurz absetzen lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz absetzen lassen; Schluss.	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	UNCHANGED
B4-S010	B4	Hauptpaar am sichtbaren ungerichteten Bogen	oldy	[KERN:Schluss]	Fertigstellen; Schluss.	1	1	0	0	0	UNCHANGED	Fertigstellen; Schluss.	Schluss	Schluss.	RESULT_OR_CLOSE_REVISED
B4-S011	B4	linke offene Fransen-/Unterlaufstation	saiin cheky okeeol okain chdy sol lkedy	[KERN:Sollwert] [ACHSE:Y+E+CHK→kurz wärmen] [ACHSE:OK+OL+EE→Langfortsetzung] [PROSA:Anteil zugeben] [KERN:überführen] [KERN:weiter] [GANZKARTE:Kurzabzug; Schluss]	An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	7	3	2	1	1	TIGHTENED	Sollwert kurz wärmen, länger weiterführen, Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	Sollwert | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	Sollwert kurz wärmen, länger weiterführen, Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	UNCHANGED
