sequence	statement_id	record_id	page	statement_ordinal	entry_boundary	exit_boundary	visible_owner_pre	visible_owner_operation	visible_owner_post	owner_break_inside_statement	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	memory_slots_filled_pre	memory_slots_filled_post	visible_card_cues	surface_sequence	atom_sequence	macro_program	literal_card_reading_de	expanded_workshop_reading_de	scribe_memory_instruction_de
25	B1-S006	B1	f81v	6	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I002	CARRY	B1:I002	B1:T006	INTRODUCE	B1:T007	B1:I001	CARRY	B1:I001	4	4	ZIEL_SICHTBAR|AKTUELLER_POSTEN|PORTION	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	M07[B1-S006-U01+B1-S006-U02]	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I002; Ziel introduce: B1:T007; Voriges carry: B1:I001.
26	B1-S007	B1	f81v	7	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I002	INTRODUCE	B1:I003	B1:T007	RESET	LEER	B1:I001	INTRODUCE	B1:I002	4	3	ZELLE_SCHLIESSEN	qokchdy	OK+CHD+CLOSE	SINGLE_SET[B1-S007-U01]	Umsetzung ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten introduce: B1:I003; Ziel reset: LEER; Voriges introduce: B1:I002.
27	B1-S008	B1	f81v	8	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I003	CARRY	B1:I003	LEER	CARRY	LEER	B1:I002	RESUME	B1:I002	3	3	FORTSETZEN|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	SINGLE_CONTINUE[B1-S008-U01] | M18[B1-S008-U02+B1-S008-U03] | SINGLE_SETTLE[B1-S008-U04]	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I003; Ziel carry: LEER; Voriges resume: B1:I002.
28	B1-S009	B1	f81v	9	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I003	CARRY	B1:I003	LEER	INTRODUCE	B1:T008	B1:I002	CARRY	B1:I002	3	4	ZELLE_SCHLIESSEN	qokedy	OK+E+CLOSE	SINGLE_SET[B1-S009-U01]	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I003; Ziel introduce: B1:T008; Voriges carry: B1:I002.
29	B1-S010	B1	f81v	10	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I003	CARRY	B1:I003	B1:T008	INTRODUCE	B1:T009	B1:I002	CARRY	B1:I002	4	4	ZELLE_SCHLIESSEN	qokedy	OK+E+CLOSE	SINGLE_SET[B1-S010-U01]	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I003; Ziel introduce: B1:T009; Voriges carry: B1:I002.
30	B1-S011	B1	f81v	11	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I003	CARRY	B1:I003	B1:T009	INTRODUCE	B1:T010	B1:I002	CARRY	B1:I002	4	4	AKTUELLER_POSTEN	chckhy qoky	CKH+Y | OK+Y	M08[B1-S011-U01+B1-S011-U02]	durchleiten; aktuellen Posten ansetzen	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I003; Ziel introduce: B1:T010; Voriges carry: B1:I002.
31	B1-S012	B1	f81v	12	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I003	INTRODUCE	B1:I004	B1:T010	RESET	LEER	B1:I002	INTRODUCE	B1:I003	4	3	AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	SINGLE_WASH[B1-S012-U01] | SINGLE_SET[B1-S012-U02] | SINGLE_WASH[B1-S012-U03]	Waschgang beginnen; kurz ansetzen; waschen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten introduce: B1:I004; Ziel reset: LEER; Voriges introduce: B1:I003.
32	B1-S013	B1	f81v	13	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I004	CARRY	B1:I004	LEER	CARRY	LEER	B1:I003	CARRY	B1:I003	3	3	ZELLE_SCHLIESSEN	lshedy	WASH+CLOSE	SINGLE_WASH[B1-S013-U01]	waschen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I004; Ziel carry: LEER; Voriges carry: B1:I003.
33	B1-S014	B1	f81v	14	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I004	CARRY	B1:I004	LEER	INTRODUCE	B1:T013	B1:I003	RESUME	B1:I003	3	4	NÄCHSTER_POSTEN|FORTSETZEN|QUELLE_SICHTBAR|ZIEL_SICHTBAR|AKTUELLER_POSTEN	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	M03[B1-S014-U01+B1-S014-U02+B1-S014-U03] | SINGLE_CONTINUE[B1-S014-U04]	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I004; Ziel introduce: B1:T013; Voriges resume: B1:I003.
34	B1-S015	B1	f81v	15	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I004	INTRODUCE	B1:I005	B1:T013	RESET	LEER	B1:I003	INTRODUCE	B1:I004	4	3	AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	SINGLE_SET[B1-S015-U01]	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten introduce: B1:I005; Ziel reset: LEER; Voriges introduce: B1:I004.
35	B1-S016	B1	f81v	16	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	LEER	CARRY	LEER	B1:I004	RESUME	B1:I004	3	3	FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	M19[B1-S016-U01+B1-S016-U02] | M11[B1-S016-U03+B1-S016-U04]	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel carry: LEER; Voriges resume: B1:I004.
36	B1-S017	B1	f81v	17	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	LEER	INTRODUCE	B1:T015	B1:I004	CARRY	B1:I004	3	4	FORTSETZEN|ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	sal teol dchdy	AL | E+OL | CHD+CLOSE	M17[B1-S017-U01+B1-S017-U02]	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel introduce: B1:T015; Voriges carry: B1:I004.
37	B1-S018	B1	f81v	18	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	B1:T015	INTRODUCE	B1:T016	B1:I004	CARRY	B1:I004	4	4	FORTSETZEN|AKTUELLER_POSTEN|STUFE|ZELLE_SCHLIESSEN	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	SINGLE_LEAD_OUT[B1-S018-U01] | SINGLE_HOLD[B1-S018-U02] | SINGLE_COLLECT[B1-S018-U03]	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel introduce: B1:T016; Voriges carry: B1:I004.
38	B1-S019	B1	f81v	19	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	B1:T016	CARRY	B1:T016	B1:I004	CARRY	B1:I004	4	4	ZELLE_SCHLIESSEN	tedy	SHED+E+CLOSE	SINGLE_SETTLE[B1-S019-U01]	kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel carry: B1:T016; Voriges carry: B1:I004.
39	B1-S020	B1	f81v	20	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	B1:T016	INTRODUCE	B1:T017	B1:I004	CARRY	B1:I004	4	4	AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	SINGLE_WARM[B1-S020-U01] | SINGLE_STRAIN[B1-S020-U02]	kurz wärmen; seihen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel introduce: B1:T017; Voriges carry: B1:I004.
40	B1-S021	B1	f81v	21	WITHIN_LOCUS_FIELD_BOUNDARY	RECORD_END	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I005	CARRY	B1:I005	B1:T017	INTRODUCE	B1:T018	B1:I004	CARRY	B1:I004	4	4	ZIEL_SICHTBAR	chal	AL	SINGLE_OWNER_ACTION[B1-S021-U01]	dorthin	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I005; Ziel introduce: B1:T018; Voriges carry: B1:I004.
41	B2-S001	B2	f82r	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	LEER	INTRODUCE	B2:I001	LEER	INTRODUCE	B2:T001	LEER	RESET	LEER	0	3	ZELLE_SCHLIESSEN	dchedy	CHD+CLOSE	SINGLE_TRANSFER[B2-S001-U01]	Posten überführen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Besitzer aus bild setzen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten introduce: B2:I001; Ziel introduce: B2:T001; Voriges reset: LEER.
42	B2-S002	B2	f82r	2	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	B2:I001	CARRY	B2:I001	B2:T001	INTRODUCE	B2:T002	LEER	CARRY	LEER	3	3	FORTSETZEN|ZELLE_SCHLIESSEN	qolchedy	OL+CHD+CLOSE	SINGLE_CONTINUE[B2-S002-U01]	weiterüberführen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Besitzer mitführen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten carry: B2:I001; Ziel introduce: B2:T002; Voriges carry: LEER.
43	B2-S003	B2	f82r	3	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	B2:I001	CARRY	B2:I001	B2:T002	CARRY	B2:T002	LEER	CARRY	LEER	3	3	AKTUELLER_POSTEN|PORTION|ZELLE_SCHLIESSEN	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	M19[B2-S003-U01+B2-S003-U02]	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Besitzer mitführen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten carry: B2:I001; Ziel carry: B2:T002; Voriges carry: LEER.
44	B2-S004	B2	f82r	4	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	B2:I001	CARRY	B2:I001	B2:T002	INTRODUCE	B2:T003	LEER	INTRODUCE	B2:I002	3	4	ZIEL_SICHTBAR|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	SINGLE_SET[B2-S004-U01] | SINGLE_LEAD_OUT[B2-S004-U02] | SINGLE_LEAD_OUT[B2-S004-U03] | SINGLE_SET[B2-S004-U04] | SINGLE_LEAD_OUT[B2-S004-U05]	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	Besitzer mitführen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten carry: B2:I001; Ziel introduce: B2:T003; Voriges introduce: B2:I002.
45	B2-S005	B2	f82r	5	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	B2:I001	CARRY	B2:I001	B2:T003	INTRODUCE	B2:T006	B2:I002	RESUME	B2:I002	4	4	FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	SINGLE_SET[B2-S005-U01] | SINGLE_COLLECT[B2-S005-U02] | M08[B2-S005-U03+B2-S005-U04] | M09[B2-S005-U05+B2-S005-U06] | SINGLE_WARM[B2-S005-U07] | SINGLE_LEAD_OUT[B2-S005-U08]	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	Besitzer mitführen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten carry: B2:I001; Ziel introduce: B2:T006; Voriges resume: B2:I002.
46	B2-S006	B2	f82r	6	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	B2:I001	CARRY	B2:I001	B2:T006	INTRODUCE	B2:T007	B2:I002	CARRY	B2:I002	4	4	NÄCHSTER_POSTEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	M07[B2-S006-U01+B2-S006-U02] | SINGLE_SET[B2-S006-U03]	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	Besitzer mitführen: B2_UPPER_PAIRED_BASINS_AND_CYLINDER; Posten carry: B2:I001; Ziel introduce: B2:T007; Voriges carry: B2:I002.
47	B2-S007	B2	f82r	7	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VOR_SATZ_UMSCHALTEN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	B2:I001	INTRODUCE	B2:I003	B2:T007	RESET	LEER	B2:I002	INTRODUCE	B2:I001	4	3	ZELLE_SCHLIESSEN	dshedy	SHED+E+CLOSE	SINGLE_SETTLE[B2-S007-U01]	kurz absetzen; Schluss	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	Besitzer vor satz umschalten: B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE; Posten introduce: B2:I003; Ziel reset: LEER; Voriges introduce: B2:I001.
48	B2-S008	B2	f82r	8	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	B2:I003	CARRY	B2:I003	LEER	INTRODUCE	B2:T008	B2:I001	RESUME	B2:I001	3	4	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|SOLLWERT|ZELLE_SCHLIESSEN	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	M10[B2-S008-U01+B2-S008-U02]	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE; Posten carry: B2:I003; Ziel introduce: B2:T008; Voriges resume: B2:I001.
49	B2-S009	B2	f82r	9	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	B2:I003	CARRY	B2:I003	B2:T008	CARRY	B2:T008	B2:I001	CARRY	B2:I001	4	4	FORTSETZEN|ZELLE_SCHLIESSEN	solshedy	OL+SHED+CLOSE	SINGLE_CONTINUE[B2-S009-U01]	weiter absetzen; Schluss	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	Besitzer mitführen: B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE; Posten carry: B2:I003; Ziel carry: B2:T008; Voriges carry: B2:I001.
50	B2-S010	B2	f82r	10	WITHIN_LOCUS_FIELD_BOUNDARY	UNRESOLVED	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	B2:I003	CARRY	B2:I003	B2:T008	INTRODUCE	B2:T009	B2:I001	CARRY	B2:I001	4	4	AKTUELLER_POSTEN	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	M19[B2-S010-U01+B2-S010-U02] | SINGLE_LEAD_OUT[B2-S010-U03]	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	Besitzer mitführen: B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE; Posten carry: B2:I003; Ziel introduce: B2:T009; Voriges carry: B2:I001.
51	B2-S011	B2	f82r	11	UNRESOLVED	WITHIN_LOCUS_FIELD_BOUNDARY	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VOR_SATZ_UMSCHALTEN	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	NO	B2:I003	CARRY	B2:I003	B2:T009	CARRY	B2:T009	B2:I001	CARRY	B2:I001	4	4	QUELLE_SICHTBAR|PORTION|ZELLE_SCHLIESSEN	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	M19[B2-S011-U01+B2-S011-U02] | SINGLE_SET[B2-S011-U03]	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Besitzer vor satz umschalten: B2_MIDDLE_RIGHT_AMBIGUOUS_STATION; Posten carry: B2:I003; Ziel carry: B2:T009; Voriges carry: B2:I001.
