component_recipe	first_action	second_action	ordered_pair	ordered_reading_de	grade_atoms	argument_atoms	dy_count	clean_pair_slot_recipe	canonical_pair_skeleton	event_count	register_count	registers	page_count	surfaces	portable_reading_de
E+S+E+S	S	S	S+S	WÄHLEN → WÄHLEN	E|E	NONE	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	eses	GRAD I · WÄHLEN · GRAD I · WÄHLEN
HO+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	2	1	PHARMA	2	chockhy	KLASSE · NEHMEN · GEBEN · POSTEN
K+A_ADDR+LOCAL_CHAR_I+P+Y	K	P	K+P	GEBEN → EINSETZEN	NONE	Y	0	YES	K+P|NONE|Y|OPEN	1	1	HERBAL	1	kaipy	GEBEN · HIER · VARIANTE · EINSETZEN · POSTEN
K+CH+AIIN	K	CH	K+CH	GEBEN → NEHMEN	NONE	AIIN	0	YES	K+CH|NONE|AIIN|OPEN	2	1	HERBAL	2	kchaiin	GEBEN · NEHMEN · WERT
K+CH+AL	K	CH	K+CH	GEBEN → NEHMEN	NONE	NONE	0	YES	K+CH|NONE|NONE|OPEN	1	1	HERBAL	1	kchal	GEBEN · NEHMEN · ZIELORT
K+CH+AR+LOCAL_CHAR_G	K	CH	K+CH	GEBEN → NEHMEN	NONE	NONE	0	YES	K+CH|NONE|NONE|OPEN	2	1	HERBAL	2	kcharg|ytcharg	GEBEN · NEHMEN · AUSGANG · VARIANTE
K+CH+E+Y	K	CH	K+CH	GEBEN → NEHMEN	E	Y	0	YES	K+CH|E|Y|OPEN	1	1	HERBAL	1	kchey	GEBEN · NEHMEN · GRAD I · POSTEN
K+CH+EE+Y	K	CH	K+CH	GEBEN → NEHMEN	EE	Y	0	YES	K+CH|EE|Y|OPEN	1	1	HERBAL	1	kcheey	GEBEN · NEHMEN · GRAD II · POSTEN
K+CH+O+AR	K	CH	K+CH	GEBEN → NEHMEN	NONE	NONE	0	YES	K+CH|NONE|NONE|OPEN	1	1	HERBAL	1	kchoar	GEBEN · NEHMEN · AUSFÜHRUNG · AUSGANG
K+CH+O+D_ADDR	K	CH	K+CH	GEBEN → NEHMEN	NONE	NONE	0	YES	K+CH|NONE|NONE|OPEN	1	1	HERBAL	1	kchod	GEBEN · NEHMEN · AUSFÜHRUNG · HIER
K+CH+OR	K	CH	K+CH	GEBEN → NEHMEN	NONE	OR	0	YES	K+CH|NONE|OR|OPEN	2	2	HERBAL|PHARMA	2	kchor	GEBEN · NEHMEN · EINHEIT
K+CHD+Y	K	CHD	K+CHD	GEBEN → BEARBEITEN	NONE	Y	0	YES	K+CHD|NONE|Y|OPEN	2	1	HERBAL	2	kchdy	GEBEN · BEARBEITEN · POSTEN
K+E+SH+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	BIOLOGICAL	1	keishy	GEBEN · GRAD I · HALTEN · POSTEN
K+O+D_ADDR+SH+E+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	SOURCE_SECTION_T	1	kodshey	GEBEN · AUSFÜHRUNG · HIER · HALTEN · GRAD I · POSTEN
K+O+S	K	S	K+S	GEBEN → WÄHLEN	NONE	NONE	0	YES	K+S|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	kos	GEBEN · AUSFÜHRUNG · WÄHLEN
K+O+SH+E+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	SOURCE_SECTION_T	1	koshey	GEBEN · AUSFÜHRUNG · HALTEN · GRAD I · POSTEN
K+O+SH+OL+DY	K	SH	K+SH	GEBEN → HALTEN	NONE	NONE	1	YES	K+SH|NONE|NONE|CLOSE	1	1	PHARMA	1	kosholdy	GEBEN · AUSFÜHRUNG · HALTEN · FORTSETZEN · SCHLUSS
K+OK+AIIN	K	OK	K+OK	GEBEN → SETZEN	NONE	AIIN	0	YES	K+OK|NONE|AIIN|OPEN	1	1	SOURCE_SECTION_T	1	kokaiin	GEBEN · SETZEN · WERT
K+OL+CHD+Y	K	CHD	K+CHD	GEBEN → BEARBEITEN	NONE	Y	0	YES	K+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	kolchdy	GEBEN · FORTSETZEN · BEARBEITEN · POSTEN
K+OL+P+Y	K	P	K+P	GEBEN → EINSETZEN	NONE	Y	0	YES	K+P|NONE|Y|OPEN	1	1	BIOLOGICAL	1	kolpy	GEBEN · FORTSETZEN · EINSETZEN · POSTEN
K+OR+CH+Y	K	CH	K+CH	GEBEN → NEHMEN	NONE	OR|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	korchy	GEBEN · EINHEIT · NEHMEN · POSTEN
K+SH+E+DY	K	SH	K+SH	GEBEN → HALTEN	E	NONE	1	YES	K+SH|E|NONE|CLOSE	1	1	HERBAL	1	kshedy	GEBEN · HALTEN · GRAD I · SCHLUSS
K+SH+E+D_ADDR	K	SH	K+SH	GEBEN → HALTEN	E	NONE	0	YES	K+SH|E|NONE|OPEN	1	1	HERBAL	1	kshed	GEBEN · HALTEN · GRAD I · HIER
K+SH+E+O	K	SH	K+SH	GEBEN → HALTEN	E	NONE	0	YES	K+SH|E|NONE|OPEN	1	1	HERBAL	1	ksheo	GEBEN · HALTEN · GRAD I · AUSFÜHRUNG
K+SH+E+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	BIOLOGICAL	1	kshey	GEBEN · HALTEN · GRAD I · POSTEN
K+SH+O	K	SH	K+SH	GEBEN → HALTEN	NONE	NONE	0	YES	K+SH|NONE|NONE|OPEN	1	1	HERBAL	1	ksho	GEBEN · HALTEN · AUSFÜHRUNG
K+SH+O+Y	K	SH	K+SH	GEBEN → HALTEN	NONE	Y	0	YES	K+SH|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	kshoy	GEBEN · HALTEN · AUSFÜHRUNG · POSTEN
K+SH+Y	K	SH	K+SH	GEBEN → HALTEN	NONE	Y	0	YES	K+SH|NONE|Y|OPEN	2	2	SOURCE_SECTION_T|HERBAL	2	kshy	GEBEN · HALTEN · POSTEN
L+CH+K+E+DY	CH	K	CH+K	NEHMEN → GEBEN	E	NONE	1	YES	CH+K|E|NONE|CLOSE	1	1	BIOLOGICAL	1	lcheckhedy	VERBINDUNG · NEHMEN · GEBEN · GRAD I · SCHLUSS
L+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	2	1	BIOLOGICAL	1	lcheckhy	VERBINDUNG · NEHMEN · GEBEN · POSTEN
L+CH+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	lchs	VERBINDUNG · NEHMEN · WÄHLEN
L+K+CHD+Y	K	CHD	K+CHD	GEBEN → BEARBEITEN	NONE	Y	0	YES	K+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	lkchedy	VERBINDUNG · GEBEN · BEARBEITEN · POSTEN
L+K+E+O+P+OL	K	P	K+P	GEBEN → EINSETZEN	E	NONE	0	YES	K+P|E|NONE|OPEN	1	1	PHARMA	1	lkeopol	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG · EINSETZEN · FORTSETZEN
L+P+CHD+Y	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	Y	0	YES	P+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	lpchedy	VERBINDUNG · EINSETZEN · BEARBEITEN · POSTEN
L+SH+E+T+Y	SH	T	SH+T	HALTEN → EINSTELLEN	E	Y	0	YES	SH+T|E|Y|OPEN	1	1	BIOLOGICAL	1	lshety	VERBINDUNG · HALTEN · GRAD I · EINSTELLEN · POSTEN
LOCAL_CHAR_F+A_ADDR+CH+Y+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	Y	0	YES	CH+S|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	fachys	HIER · HIER · NEHMEN · POSTEN · WÄHLEN
O+CH+K+E+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y	0	YES	CH+K|E|Y|OPEN	8	2	BIOLOGICAL|PHARMA	5	ockhey|qockhedy|qockhey	AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · POSTEN
O+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	2	2	CELESTIAL|PHARMA	2	ockhy	AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN
O+CH+P+OR+AIIN	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	OR|AIIN	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ocphoraiin	AUSFÜHRUNG · NEHMEN · EINSETZEN · EINHEIT · WERT
O+CH+T+E+OL	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	BIOLOGICAL	1	octheol	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN
O+CH+T+E+OL+AR+L	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	CELESTIAL	1	octheolarl	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN · AUSGANG · VERBINDUNG
O+CH+T+O+D_ADDR+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	HERBAL	1	octhody	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · POSTEN
O+CH+T+OL+E	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	CELESTIAL	1	octhole	AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · GRAD I
O+CH+T+OR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	OR	0	YES	CH+T|NONE|OR|OPEN	1	1	HERBAL	1	octhor	AUSFÜHRUNG · NEHMEN · EINSTELLEN · EINHEIT
O+CH+T+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	PHARMA	1	qocthy	AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN
O+CH+T+Y+L	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	HERBAL	1	octhyl	AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN · VERBINDUNG
O+D_ADDR+CH+EE+S	CH	S	CH+S	NEHMEN → WÄHLEN	EE	NONE	0	YES	CH+S|EE|NONE|OPEN	1	1	HERBAL	1	odchees	AUSFÜHRUNG · HIER · NEHMEN · GRAD II · WÄHLEN
O+D_ADDR+CH+T+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	HERBAL	1	qodcthy	AUSFÜHRUNG · HIER · NEHMEN · EINSTELLEN · POSTEN
O+E+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y	0	YES	CH+K|E|Y|OPEN	1	1	PHARMA	1	oeckhy	AUSFÜHRUNG · GRAD I · NEHMEN · GEBEN · POSTEN
O+E+K+SH+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	HERBAL	1	oekshy	AUSFÜHRUNG · GRAD I · GEBEN · HALTEN · POSTEN
O+E+S+E+AR+LOCAL_CHAR_I+E+S	S	S	S+S	WÄHLEN → WÄHLEN	E|E|E	NONE	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	oesearies	AUSFÜHRUNG · GRAD I · WÄHLEN · GRAD I · AUSGANG · VARIANTE · GRAD I · WÄHLEN
O+LOCAL_CHAR_F+A_ADDR+L+SH+E+K+Y	SH	K	SH+K	HALTEN → GEBEN	E	Y	0	YES	SH+K|E|Y|OPEN	1	1	BIOLOGICAL	1	ofalsheky	AUSFÜHRUNG · HIER · HIER · VERBINDUNG · HALTEN · GRAD I · GEBEN · POSTEN
O+P+AR+CH+Y	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	Y	0	YES	P+CH|NONE|Y|OPEN	1	1	CELESTIAL	1	oparchy	AUSFÜHRUNG · EINSETZEN · AUSGANG · NEHMEN · POSTEN
O+P+CH+E+OL	P	CH	P+CH	EINSETZEN → NEHMEN	E	NONE	0	YES	P+CH|E|NONE|OPEN	1	1	PHARMA	1	opcheol	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · FORTSETZEN
O+P+CH+E+OR	P	CH	P+CH	EINSETZEN → NEHMEN	E	OR	0	YES	P+CH|E|OR|OPEN	1	1	PHARMA	1	opcheor	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · EINHEIT
O+P+CH+EE+OL	P	CH	P+CH	EINSETZEN → NEHMEN	EE	NONE	0	YES	P+CH|EE|NONE|OPEN	1	1	CELESTIAL	1	opcheeol	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD II · FORTSETZEN
O+P+CH+OL+AL+AIIN	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	AIIN	0	YES	P+CH|NONE|AIIN|OPEN	1	1	CELESTIAL	1	opcholalaiin	AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT
O+P+CH+OR	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	OR	0	YES	P+CH|NONE|OR|OPEN	1	1	HERBAL	1	opchor	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT
O+P+CH+OR+DY	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	OR	1	YES	P+CH|NONE|OR|CLOSE	1	1	HERBAL	1	opchordy	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT · SCHLUSS
O+P+CHD+DY	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	1	YES	P+CHD|NONE|NONE|CLOSE	2	1	BIOLOGICAL	2	opchedy	AUSFÜHRUNG · EINSETZEN · BEARBEITEN · SCHLUSS
O+P+CHD+Y	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	Y	0	YES	P+CHD|NONE|Y|OPEN	2	1	BIOLOGICAL	1	opchdy	AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
O+P+SH+D_ADDR+Y	P	SH	P+SH	EINSETZEN → HALTEN	NONE	Y	0	YES	P+SH|NONE|Y|OPEN	1	1	BIOLOGICAL	1	opshdy	AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · POSTEN
O+P+SH+E+Y	P	SH	P+SH	EINSETZEN → HALTEN	E	Y	0	YES	P+SH|E|Y|OPEN	2	1	BIOLOGICAL	2	opshedy|opshey	AUSFÜHRUNG · EINSETZEN · HALTEN · GRAD I · POSTEN
O+P+SH+O+DY	P	SH	P+SH	EINSETZEN → HALTEN	NONE	NONE	1	YES	P+SH|NONE|NONE|CLOSE	1	1	HERBAL	1	opshody	AUSFÜHRUNG · EINSETZEN · HALTEN · AUSFÜHRUNG · SCHLUSS
O+P+Y+K+E+Y	P	K	P+K	EINSETZEN → GEBEN	E	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	PHARMA	1	opykey	AUSFÜHRUNG · EINSETZEN · POSTEN · GEBEN · GRAD I · POSTEN
O+Y+K+CH+OR	K	CH	K+CH	GEBEN → NEHMEN	NONE	Y|OR	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	oykchor	AUSFÜHRUNG · POSTEN · GEBEN · NEHMEN · EINHEIT
OK+AL+CH+E+Y	OK	CH	OK+CH	SETZEN → NEHMEN	E	Y	0	YES	OK+CH|E|Y|OPEN	1	1	BIOLOGICAL	1	qokalchey	SETZEN · ZIELORT · NEHMEN · GRAD I · POSTEN
OK+AR+CHD+Y	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	NONE	Y	0	YES	OK+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	okarchedy	SETZEN · AUSGANG · BEARBEITEN · POSTEN
OK+A_ADDR+IIN+K+AL+Y	OK	K	OK+K	SETZEN → GEBEN	NONE	Y	0	YES	OK+K|NONE|Y|OPEN	1	1	CELESTIAL	1	okaikaly	SETZEN · HIER · STUFE · GEBEN · ZIELORT · POSTEN
OK+A_ADDR+S	OK	S	OK+S	SETZEN → WÄHLEN	NONE	NONE	0	YES	OK+S|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	qokas	SETZEN · HIER · WÄHLEN
OK+CH	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	NONE	0	YES	OK+CH|NONE|NONE|OPEN	1	1	HERBAL	1	qokch	SETZEN · NEHMEN
OK+CH+AL	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	NONE	0	YES	OK+CH|NONE|NONE|OPEN	4	2	HERBAL|CELESTIAL	4	okalchal|okchal	SETZEN · NEHMEN · ZIELORT
OK+CH+E+O	OK	CH	OK+CH	SETZEN → NEHMEN	E	NONE	0	YES	OK+CH|E|NONE|OPEN	1	1	HERBAL	1	chokcheo	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG
OK+CH+E+Y	OK	CH	OK+CH	SETZEN → NEHMEN	E	Y	0	YES	OK+CH|E|Y|OPEN	1	1	HERBAL	1	chokchey	SETZEN · NEHMEN · GRAD I · POSTEN
OK+CH+EE+Y	OK	CH	OK+CH	SETZEN → NEHMEN	EE	Y	0	YES	OK+CH|EE|Y|OPEN	1	1	HERBAL	1	qokcheey	SETZEN · NEHMEN · GRAD II · POSTEN
OK+CH+O	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	NONE	0	YES	OK+CH|NONE|NONE|OPEN	1	1	HERBAL	1	okcho	SETZEN · NEHMEN · AUSFÜHRUNG
OK+CH+O+AL	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	NONE	0	YES	OK+CH|NONE|NONE|OPEN	1	1	CELESTIAL	1	okchoal	SETZEN · NEHMEN · AUSFÜHRUNG · ZIELORT
OK+CH+O+AM_ADDR	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	NONE	0	YES	OK+CH|NONE|NONE|OPEN	2	1	HERBAL	2	okchom	SETZEN · NEHMEN · AUSFÜHRUNG · HIER
OK+CH+O+Y	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	Y	0	YES	OK+CH|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	okchoy	SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN
OK+CH+OR	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	OR	0	YES	OK+CH|NONE|OR|OPEN	5	2	HERBAL|CELESTIAL	3	okchor|qokchor	SETZEN · NEHMEN · EINHEIT
OK+CH+Y	OK	CH	OK+CH	SETZEN → NEHMEN	NONE	Y	0	YES	OK+CH|NONE|Y|OPEN	2	1	HERBAL	2	chokchy	SETZEN · NEHMEN · POSTEN
OK+CHD	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	NONE	NONE	0	YES	OK+CHD|NONE|NONE|OPEN	1	1	HERBAL	1	okchd	SETZEN · BEARBEITEN
OK+CHD+DY	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	NONE	NONE	1	YES	OK+CHD|NONE|NONE|CLOSE	9	2	HERBAL|BIOLOGICAL	5	okchdy|okchedy|qokchdy	SETZEN · BEARBEITEN · SCHLUSS
OK+CHD+DY+L	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	NONE	NONE	1	YES	OK+CHD|NONE|NONE|CLOSE	1	1	BIOLOGICAL	1	qokchdyl	SETZEN · BEARBEITEN · SCHLUSS · VERBINDUNG
OK+CHD+Y	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	NONE	Y	0	YES	OK+CHD|NONE|Y|OPEN	4	1	BIOLOGICAL	2	qokchedy	SETZEN · BEARBEITEN · POSTEN
OK+E+AR+CH+E+O+L	OK	CH	OK+CH	SETZEN → NEHMEN	E|E	NONE	0	NO	NONCANONICAL_MULTISLOT	1	1	PHARMA	1	okearcheol	SETZEN · GRAD I · AUSGANG · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
OK+E+CHD+DY	OK	CHD	OK+CHD	SETZEN → BEARBEITEN	E	NONE	1	YES	OK+CHD|E|NONE|CLOSE	2	1	BIOLOGICAL	2	qokechdy|qokechedy	SETZEN · GRAD I · BEARBEITEN · SCHLUSS
OK+E+O+CH+Y	OK	CH	OK+CH	SETZEN → NEHMEN	E	Y	0	YES	OK+CH|E|Y|OPEN	1	1	CELESTIAL	1	qokeochy	SETZEN · GRAD I · AUSFÜHRUNG · NEHMEN · POSTEN
OK+E+O+S	OK	S	OK+S	SETZEN → WÄHLEN	E	NONE	0	YES	OK+S|E|NONE|OPEN	2	1	CELESTIAL	1	okeos	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN
OK+E+O+S+AR	OK	S	OK+S	SETZEN → WÄHLEN	E	NONE	0	YES	OK+S|E|NONE|OPEN	1	1	CELESTIAL	1	okeosar	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN · AUSGANG
OK+E+S+DY	OK	S	OK+S	SETZEN → WÄHLEN	E	NONE	1	YES	OK+S|E|NONE|CLOSE	1	1	BIOLOGICAL	1	qokesdy	SETZEN · GRAD I · WÄHLEN · SCHLUSS
OK+EE+OL+S	OK	S	OK+S	SETZEN → WÄHLEN	EE	NONE	0	YES	OK+S|EE|NONE|OPEN	1	1	CELESTIAL	1	okeeols	SETZEN · GRAD II · FORTSETZEN · WÄHLEN
OK+EE+S	OK	S	OK+S	SETZEN → WÄHLEN	EE	NONE	0	YES	OK+S|EE|NONE|OPEN	4	2	BIOLOGICAL|CELESTIAL	2	chokees|okees	SETZEN · GRAD II · WÄHLEN
OK+IIN+R	OK	R	OK+R	SETZEN → MARKIEREN	NONE	NONE	0	YES	OK+R|NONE|NONE|OPEN	2	2	SOURCE_SECTION_T|CELESTIAL	2	okaiir	SETZEN · STUFE · MARKIEREN
OK+O+E+S	OK	S	OK+S	SETZEN → WÄHLEN	E	NONE	0	YES	OK+S|E|NONE|OPEN	1	1	CELESTIAL	1	okoes	SETZEN · AUSFÜHRUNG · GRAD I · WÄHLEN
OK+S+Y	OK	S	OK+S	SETZEN → WÄHLEN	NONE	Y	0	YES	OK+S|NONE|Y|OPEN	1	1	HERBAL	1	choksy	SETZEN · WÄHLEN · POSTEN
OK+SH	OK	SH	OK+SH	SETZEN → HALTEN	NONE	NONE	0	YES	OK+SH|NONE|NONE|OPEN	1	1	HERBAL	1	qoksh	SETZEN · HALTEN
OK+SH+AL	OK	SH	OK+SH	SETZEN → HALTEN	NONE	NONE	0	YES	OK+SH|NONE|NONE|OPEN	1	1	HERBAL	1	okshal	SETZEN · HALTEN · ZIELORT
OK+SH+DY	OK	SH	OK+SH	SETZEN → HALTEN	NONE	NONE	1	YES	OK+SH|NONE|NONE|CLOSE	1	1	BIOLOGICAL	1	qokshdy	SETZEN · HALTEN · SCHLUSS
OK+SH+E+DY	OK	SH	OK+SH	SETZEN → HALTEN	E	NONE	1	YES	OK+SH|E|NONE|CLOSE	5	1	BIOLOGICAL	3	okshedy|qokshedy	SETZEN · HALTEN · GRAD I · SCHLUSS
OK+SH+E+Y	OK	SH	OK+SH	SETZEN → HALTEN	E	Y	0	YES	OK+SH|E|Y|OPEN	1	1	HERBAL	1	okshey	SETZEN · HALTEN · GRAD I · POSTEN
OK+SH+O	OK	SH	OK+SH	SETZEN → HALTEN	NONE	NONE	0	YES	OK+SH|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	oksho	SETZEN · HALTEN · AUSFÜHRUNG
OK+SH+Y	OK	SH	OK+SH	SETZEN → HALTEN	NONE	Y	0	YES	OK+SH|NONE|Y|OPEN	1	1	HERBAL	1	qokshy	SETZEN · HALTEN · POSTEN
OL+CH+T+D_ADDR+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	BIOLOGICAL	1	olcthdy	FORTSETZEN · NEHMEN · EINSTELLEN · HIER · POSTEN
OL+D_ADDR+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	HERBAL	1	oldckhy	FORTSETZEN · HIER · NEHMEN · GEBEN · POSTEN
OL+K+CHD+Y	K	CHD	K+CHD	GEBEN → BEARBEITEN	NONE	Y	0	YES	K+CHD|NONE|Y|OPEN	1	1	HERBAL	1	olkchdy	FORTSETZEN · GEBEN · BEARBEITEN · POSTEN
OL+K+EE+CH+Y	K	CH	K+CH	GEBEN → NEHMEN	EE	Y	0	YES	K+CH|EE|Y|OPEN	1	1	HERBAL	1	olkeechy	FORTSETZEN · GEBEN · GRAD II · NEHMEN · POSTEN
OL+K+SH+D_ADDR+Y	K	SH	K+SH	GEBEN → HALTEN	NONE	Y	0	YES	K+SH|NONE|Y|OPEN	1	1	BIOLOGICAL	1	olkshdy	FORTSETZEN · GEBEN · HALTEN · HIER · POSTEN
OL+P+CHD+DY	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	1	YES	P+CHD|NONE|NONE|CLOSE	2	1	BIOLOGICAL	1	olpchedy	FORTSETZEN · EINSETZEN · BEARBEITEN · SCHLUSS
OT+CH+E+S	CH	S	CH+S	NEHMEN → WÄHLEN	E	NONE	0	YES	CH+S|E|NONE|OPEN	1	1	HERBAL	1	qotches	DANACH · NEHMEN · GRAD I · WÄHLEN
OT+CH+O+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	1	1	HERBAL	1	otchos	DANACH · NEHMEN · AUSFÜHRUNG · WÄHLEN
OT+CH+O+SH+OR	CH	SH	CH+SH	NEHMEN → HALTEN	NONE	OR	0	YES	CH+SH|NONE|OR|OPEN	1	1	HERBAL	1	otchoshor	DANACH · NEHMEN · AUSFÜHRUNG · HALTEN · EINHEIT
OT+CH+R	CH	R	CH+R	NEHMEN → MARKIEREN	NONE	NONE	0	YES	CH+R|NONE|NONE|OPEN	1	1	CELESTIAL	1	otchr	DANACH · NEHMEN · MARKIEREN
OT+OL+P+CH+Y	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	Y	0	YES	P+CH|NONE|Y|OPEN	1	1	PHARMA	1	otolpchy	DANACH · FORTSETZEN · EINSETZEN · NEHMEN · POSTEN
OT+Y+T+CH+OL	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	Y	0	YES	T+CH|NONE|Y|OPEN	1	1	HERBAL	1	otytchol	DANACH · POSTEN · EINSTELLEN · NEHMEN · FORTSETZEN
P+CH+AL	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	NONE	0	YES	P+CH|NONE|NONE|OPEN	1	1	HERBAL	1	pchal	EINSETZEN · NEHMEN · ZIELORT
P+CH+E+O+L+Y	P	CH	P+CH	EINSETZEN → NEHMEN	E	Y	0	YES	P+CH|E|Y|OPEN	1	1	PHARMA	1	pcheoly	EINSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · POSTEN
P+CH+O+D_ADDR+OL	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	NONE	0	YES	P+CH|NONE|NONE|OPEN	1	1	HERBAL	1	pchodol	EINSETZEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN
