statement_id	record_unit_id	page	owner_sequence	event_count	atomic_sequence	program_sequence	primary_program_id	primary_program_de	secondary_program_ids	secondary_programs_de	apprentice_reading_de
B3-S015	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	abführen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei KORB_SAMMELGEFAESS: Führe ihn ab.
B3-S016	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	2	Abzug → Rücktransfer	P10_ABZIEHEN_ABFUEHREN → P07_UEBERFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P07_UEBERFUEHREN	Überführen und umsetzen	Bei KORB_SAMMELGEFAESS: Ziehe ihn ab. Neuer lokaler Posten: Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe den vorigen Posten über.
B3-S017	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Langkontakt	P05_LANG_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn lange einwirken.
B3-S018	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Kurzabsetzung	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn kurz absetzen.
B3-S019	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Einsatzabsetzen	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn nach dem Einsatz absetzen.
B3-S020	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	2	Stelle → abführen	P03_AM_ZIEL_EINSETZEN → P10_ABZIEHEN_ABFUEHREN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Binde die bezeichnete Stelle; dann führe ihn ab.
B3-S021	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	11	Sollstellung → Bereit → Stelle → Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer	P01_DOSIEREN → P11_BEREITEN_SCHLIESSEN → P03_AM_ZIEL_EINSETZEN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN → P09_ABSETZEN_SAMMELN → P04_KURZ_BEHANDELN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN → P11_BEREITEN_SCHLIESSEN → P07_UEBERFUEHREN	P01_DOSIEREN	Dosieren und einstellen	P11_BEREITEN_SCHLIESSEN|P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN|P09_ABSETZEN_SAMMELN|P04_KURZ_BEHANDELN|P07_UEBERFUEHREN	Bereitstellen und schließen | Am Ziel einsetzen | Bestand referenzieren | Absetzen und sammeln | Kurz behandeln | Überführen und umsetzen	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Stelle das Sollmaß ein; dann halte den Posten bereit; dann binde die bezeichnete Stelle; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann lass ihn am Ziel absetzen; dann bereite ihn kurz vor; dann halte diesen Posten aktiv; dann binde die bezeichnete Stelle; dann halte den Posten bereit; dann führe ihn zum Ziel über.
B3-S022	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Folgetransfer	P07_UEBERFUEHREN	P07_UEBERFUEHREN	Überführen und umsetzen	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe danach den nächsten Posten über.
B3-S023	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	abführen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe ihn ab.
B3-S024	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	überführen	P07_UEBERFUEHREN	P07_UEBERFUEHREN	Überführen und umsetzen	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe den Posten über.
B3-S025	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Neueinsatz	P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	NONE	KEINE	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Setze einen neuen Posten ein.
B3-S026	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	7	Quelltransfer → Sollabsetzung → Umsetzen → Zugabe → Bereit → Zielbereitung → Langsammlung	P07_UEBERFUEHREN → P09_ABSETZEN_SAMMELN → P07_UEBERFUEHREN → P02_MATERIAL_GEBEN → P11_BEREITEN_SCHLIESSEN → P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN	P07_UEBERFUEHREN	Überführen und umsetzen	P09_ABSETZEN_SAMMELN|P02_MATERIAL_GEBEN|P11_BEREITEN_SCHLIESSEN|P03_AM_ZIEL_EINSETZEN	Absetzen und sammeln | Material geben oder teilen | Bereitstellen und schließen | Am Ziel einsetzen	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe ihn von der Quelle über; dann lass ihn bis zum Sollstand absetzen; dann setze den laufenden Posten um; dann gib einen Anteil zu; dann halte den Posten bereit; dann stelle ihn am Zielgefäß bereit. Neuer lokaler Posten: Bei SICHTBAR_VERBUNDENES_PAAR: Sammle ihn lange.
B3-S027	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	1	Langfolgestufe	P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	NONE	KEINE	Bei SICHTBAR_VERBUNDENES_PAAR: Führe die lange Folgestufe aus.
B3-S028	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	2	Langkontakt → Kurzkontakt	P05_LANG_BEHANDELN → P04_KURZ_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	P04_KURZ_BEHANDELN	Kurz behandeln	Bei SICHTBAR_VERBUNDENES_PAAR: Lass ihn länger einwirken; dann lass ihn kurz einwirken.
B3-S029	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	3	Fortsetzung → Vollteil → Kurzkontakt	P06_FORTSETZEN → P02_MATERIAL_GEBEN → P04_KURZ_BEHANDELN	P06_FORTSETZEN	Fortsetzen und folgen	P02_MATERIAL_GEBEN|P04_KURZ_BEHANDELN	Material geben oder teilen | Kurz behandeln	Bei SICHTBAR_VERBUNDENES_PAAR: Führe den laufenden Gang fort; dann nimm den ganzen bezeichneten Teil; dann lass ihn kurz einwirken.
B3-S030	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	4	Einsetzen → Sollmaß → Weiterlauf → Folgetransfer	P03_AM_ZIEL_EINSETZEN → P01_DOSIEREN → P06_FORTSETZEN → P07_UEBERFUEHREN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P01_DOSIEREN|P06_FORTSETZEN|P07_UEBERFUEHREN	Dosieren und einstellen | Fortsetzen und folgen | Überführen und umsetzen	Bei SICHTBAR_VERBUNDENES_PAAR: Setze den Posten ein; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn im Lauf weiter; dann führe danach den nächsten Posten über.
B3-S031	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	1	Langkontakt	P05_LANG_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	NONE	KEINE	Bei SICHTBAR_VERBUNDENES_PAAR: Lass ihn lange einwirken.
B3-S032	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	5	Anteilstransfer → Umsetzen → Kurzsoll → Folgemaß → Kurzfolge	P07_UEBERFUEHREN → P07_UEBERFUEHREN → P01_DOSIEREN → P01_DOSIEREN → P06_FORTSETZEN	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN|P06_FORTSETZEN	Dosieren und einstellen | Fortsetzen und folgen	Bei SICHTBAR_VERBUNDENES_PAAR: Führe einen Anteil über; dann setze den laufenden Posten um; dann halte die kurze Sollstufe ein; dann arbeite danach nach dem nächsten Maß; dann führe ihn kurz zum Folgeschritt weiter.
B3-S033	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	1	abziehen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei SICHTBAR_VERBUNDENES_PAAR: Ziehe ihn ab.
B3-S034	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	6	Arbeitsstufe → Bereit → Zerkleinern → Folgemaß → Zwischenziel → Kurzabsetzung	P01_DOSIEREN → P11_BEREITEN_SCHLIESSEN → P02_MATERIAL_GEBEN → P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN	P01_DOSIEREN	Dosieren und einstellen	P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN|P03_AM_ZIEL_EINSETZEN|P09_ABSETZEN_SAMMELN	Bereitstellen und schließen | Material geben oder teilen | Am Ziel einsetzen | Absetzen und sammeln	Bei SICHTBAR_VERBUNDENES_PAAR: Stelle die Arbeitsstufe ein; dann halte den Posten bereit; dann zerkleinere den Posten; dann arbeite danach nach dem nächsten Maß; dann führe zum Zwischenziel; dann lass ihn kurz absetzen.
B4-S001	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	Langkontakt	P05_LANG_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn lange einwirken.
B4-S002	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	3	Weiterposten → Langkontakt → Kurzkontakt	P06_FORTSETZEN → P05_LANG_BEHANDELN → P04_KURZ_BEHANDELN	P06_FORTSETZEN	Fortsetzen und folgen	P05_LANG_BEHANDELN|P04_KURZ_BEHANDELN	Lang behandeln oder wärmen | Kurz behandeln	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Nimm den nächsten Einsatzposten; dann lass ihn länger einwirken; dann lass ihn kurz einwirken.
B4-S003	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	7	Umsetzen → Folgeziel → Folgeposten → Langkontakt → Einsetzen → Fortsetzung → Kurzabsetzung	P07_UEBERFUEHREN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P05_LANG_BEHANDELN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P09_ABSETZEN_SAMMELN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P07_UEBERFUEHREN|P06_FORTSETZEN|P05_LANG_BEHANDELN|P09_ABSETZEN_SAMMELN	Überführen und umsetzen | Fortsetzen und folgen | Lang behandeln oder wärmen | Absetzen und sammeln	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Setze den laufenden Posten um; dann führe ihn danach dorthin; dann nimm das nächste; dann lass ihn länger einwirken; dann setze den Posten ein; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B4-S004	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	befestigen	P11_BEREITEN_SCHLIESSEN	P11_BEREITEN_SCHLIESSEN	Bereitstellen und schließen	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Befestige ihn.
B4-S005	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	3	Einlage → Umsetzen → Langkontakt	P02_MATERIAL_GEBEN → P07_UEBERFUEHREN → P05_LANG_BEHANDELN	P02_MATERIAL_GEBEN	Material geben oder teilen	P07_UEBERFUEHREN|P05_LANG_BEHANDELN	Überführen und umsetzen | Lang behandeln oder wärmen	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lege die Einlage ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken.
B4-S006	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	durchlassen	P08_DURCHLASSEN	P08_DURCHLASSEN	Durchlassen und waschen	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn hindurch.
B4-S007	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	durchlassen	P08_DURCHLASSEN	P08_DURCHLASSEN	Durchlassen und waschen	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn hindurch.
B4-S008	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	4	Sollmaß → Langwärme → Langhalt → Kurzkontakt	P01_DOSIEREN → P05_LANG_BEHANDELN → P05_LANG_BEHANDELN → P04_KURZ_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	P01_DOSIEREN|P04_KURZ_BEHANDELN	Dosieren und einstellen | Kurz behandeln	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Arbeite nach dem vorgeschriebenen Maß; dann halte den Posten länger warm; dann halte ihn lange; dann lass ihn kurz einwirken.
B4-S009	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	Kurzabsetzung	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn kurz absetzen.
B4-S010	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	1	Fortschluss	P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	NONE	KEINE	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Führe fort und schließe.
B4-S011	B4	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	7	Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → Umsetzen → Fortsetzung → Kurzabzugsschluss	P01_DOSIEREN → P05_LANG_BEHANDELN → P06_FORTSETZEN → P02_MATERIAL_GEBEN → P07_UEBERFUEHREN → P06_FORTSETZEN → P10_ABZIEHEN_ABFUEHREN	P06_FORTSETZEN	Fortsetzen und folgen	P01_DOSIEREN|P05_LANG_BEHANDELN|P02_MATERIAL_GEBEN|P07_UEBERFUEHREN|P10_ABZIEHEN_ABFUEHREN	Dosieren und einstellen | Lang behandeln oder wärmen | Material geben oder teilen | Überführen und umsetzen | Abziehen und abführen	Bei OFFENE_LINKSSTATION: Arbeite nach dem vorgeschriebenen Maß; dann wärme ihn kurz; dann setze den Gang lange fort; dann gib einen Anteil zu; dann setze den laufenden Posten um; dann führe den laufenden Gang fort; dann ziehe kurz ab und schließe.
B4-S012	B4	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	1	abführen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei OFFENE_LINKSSTATION: Führe ihn ab.
B4-S013	B4	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	2	Wiedereinsatz → Kurzabsetzung	P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	Bei OFFENE_LINKSSTATION: Setze den verbleibenden Posten erneut ein; dann lass ihn kurz absetzen.
B4-S014	B4	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	4	Ansatz → Diesposten → Kurzdurchgang → Laufschluss	P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P08_DURCHLASSEN → P08_DURCHLASSEN	P12_BESTAND_REFERENZIEREN	Bestand referenzieren	P08_DURCHLASSEN	Durchlassen und waschen	Bei OFFENE_LINKSSTATION: Verwende den Ansatz; dann halte diesen Posten aktiv; dann führe ihn kurz hindurch; dann schließe den Lauf ab.
B4-S015	B4	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	6	Zugabe → Klarauszug → Portion → Zielpassage → Kurzsammlung → abführen	P02_MATERIAL_GEBEN → P10_ABZIEHEN_ABFUEHREN → P01_DOSIEREN → P08_DURCHLASSEN → P09_ABSETZEN_SAMMELN → P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P02_MATERIAL_GEBEN|P01_DOSIEREN|P08_DURCHLASSEN|P09_ABSETZEN_SAMMELN	Material geben oder teilen | Dosieren und einstellen | Durchlassen und waschen | Absetzen und sammeln	Bei OFFENE_LINKSSTATION: Gib einen Anteil zu; dann nimm den Klarauszug; dann nimm eine Portion; dann führe ihn durch die Zielpassage. Neuer lokaler Posten: Bei S_FOERMIGER_MEHRPORT: Sammle ihn kurz; dann führe ihn ab.
B4-S016	B4	f83r	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	4	Folgeportion → Stelle → Quellausguss → Kurzabsetzung	P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P10_ABZIEHEN_ABFUEHREN → P09_ABSETZEN_SAMMELN	P01_DOSIEREN	Dosieren und einstellen	P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P09_ABSETZEN_SAMMELN	Am Ziel einsetzen | Abziehen und abführen | Absetzen und sammeln	Bei S_FOERMIGER_MEHRPORT: Nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann gieße ihn von der Quellseite zu; dann lass ihn kurz absetzen.
B5-S001	B5	f83r	B5_LEFT_OPEN_FRINGE_STATION	1	Nachtransfer	P07_UEBERFUEHREN	P07_UEBERFUEHREN	Überführen und umsetzen	NONE	KEINE	Bei LINKER_NACHTRAGSPOSTEN: Führe ihn danach über.
B5-S002	B5	f83r	B5_LEFT_OPEN_FRINGE_STATION	1	Neueinsatz	P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	NONE	KEINE	Bei LINKER_NACHTRAGSPOSTEN: Setze einen neuen Posten ein.
B5-S003	B5	f83r	B5_LEFT_OPEN_FRINGE_STATION	9	Zielabsetzung → Stelle → Fortsetzung → Weiterabzug → Zieltransfer → Sollmaß → Fortsetzung → Endstufe → Umsetzen	P09_ABSETZEN_SAMMELN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P10_ABZIEHEN_ABFUEHREN → P07_UEBERFUEHREN → P01_DOSIEREN → P06_FORTSETZEN → P01_DOSIEREN → P07_UEBERFUEHREN	P06_FORTSETZEN	Fortsetzen und folgen	P09_ABSETZEN_SAMMELN|P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P07_UEBERFUEHREN|P01_DOSIEREN	Absetzen und sammeln | Am Ziel einsetzen | Abziehen und abführen | Überführen und umsetzen | Dosieren und einstellen	Bei LINKER_NACHTRAGSPOSTEN: Lass ihn am Ziel absetzen; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann ziehe ihn weiter ab; dann führe ihn zum Ziel über; dann arbeite nach dem vorgeschriebenen Maß; dann führe den laufenden Gang fort; dann stelle die Endstufe ein; dann setze den laufenden Posten um.
B6-S001	B6	f83r	B6_RIGHT_S_RUN_MULTIPORT_STATION	9	Langsammlung → Kurzbearbeitung → Endposten → Fortsetzung → Sollmaß → Fortsetzung → Einlage → Diesposten → Endziel	P09_ABSETZEN_SAMMELN → P04_KURZ_BEHANDELN → P11_BEREITEN_SCHLIESSEN → P06_FORTSETZEN → P01_DOSIEREN → P06_FORTSETZEN → P02_MATERIAL_GEBEN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	P09_ABSETZEN_SAMMELN|P04_KURZ_BEHANDELN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN|P02_MATERIAL_GEBEN|P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN	Absetzen und sammeln | Kurz behandeln | Bereitstellen und schließen | Dosieren und einstellen | Material geben oder teilen | Bestand referenzieren | Am Ziel einsetzen	Bei RECHTER_NACHTRAGSPOSTEN: Sammle ihn lange; dann bearbeite ihn kurz; dann nimm den Endposten; dann führe den laufenden Gang fort; dann arbeite nach dem vorgeschriebenen Maß; dann führe den laufenden Gang fort; dann lege die Einlage ein; dann halte diesen Posten aktiv; dann führe bis zum Endziel.
