surface	events	pages	kinds	primary_transfer_class	component_recipe	portable_default_de	source_surface	edit_distance	owner_bound_label_use	confidence
olaiin	3	f17r|f77r|f88v	P	EXACT_REGISTERED_SURFACE	OL+AIIN	FORTSETZEN · MASS	olaiin	0	NO	HIGH
olaiiny	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+AIIN+Y	FORTSETZEN · MASS · POSTEN	olaiin	1	NO	MEDIUM_HIGH
olcheedy	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	olsheedy	1	NO	MEDIUM
olcheody	1	f88v	P	VISIBLE_NEW_COMPOSITION	OL+CHEO+DY	FORTSETZEN · AUSZUG · SCHLUSS	olchedy	1	NO	MEDIUM_HIGH
olchey	2	f77r	P	EXACT_REGISTERED_SURFACE	OL+Y	FORTSETZEN · POSTEN	olchey	0	NO	HIGH
oldaiin	1	f88v	P	VISIBLE_NEW_COMPOSITION	OL+D_ADDR+AIIN	FORTSETZEN · TEIL · MASS	aldaiin	1	NO	MEDIUM_HIGH
oldckhy	1	f17r	P	VISIBLE_NEW_COMPOSITION	OL+D_ADDR+CKH+Y	FORTSETZEN · TEIL · DURCHLASS · POSTEN	ockhy	2	NO	MEDIUM_HIGH
olkchs	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
olkedy	1	f77r	P	EXACT_REGISTERED_SURFACE	SOLK+E+DY	AUFFANGEN · KURZ · SCHLUSS	olkedy	0	NO	HIGH
oloky	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+OK+Y	FORTSETZEN · SETZEN · POSTEN	olkoky	1	NO	MEDIUM_HIGH
olshedy	1	f77r	P	EXACT_REGISTERED_SURFACE	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	olshedy	0	NO	HIGH
opalar	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
opalor	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
opchordy	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+P+CH+OR+DY	AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ · SCHLUSS	opcholdy	1	NO	MEDIUM_HIGH
opydg	1	f17r	P	TENTATIVE_ROOTED_VARIANT	O+P+E+DY	AUSFÜHREN · EINSETZEN · KURZ · SCHLUSS	opedy	2	NO	WORKING
opydy	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+P+Y+DY	AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS	ofydy	1	NO	MEDIUM_HIGH
opykey	1	f88v	P	TENTATIVE_ROOTED_VARIANT	CH+Y+K+E+Y	NEHMEN · POSTEN · GEBEN · KURZ · POSTEN	chykey	2	NO	WORKING
or	3	f17r|f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	OR	ANSATZ	or	0	NO	HIGH
oraiin	1	f88v	P	VISIBLE_NEW_COMPOSITION	OR+AIIN	ANSATZ · MASS	araiin	1	NO	MEDIUM_HIGH
osheo	1	f71v	C	VISIBLE_NEW_COMPOSITION	O+SH+E+O	AUSFÜHREN · HALTEN · KURZ · AUSFÜHREN	otsheo	1	NO	MEDIUM_HIGH
otaiin	2	f71v	C|L	EXACT_REGISTERED_SURFACE	OT+AIIN	DANACH · MASS	otaiin	0	YES	HIGH
otal	1	f71v	C	EXACT_REGISTERED_SURFACE	OT+AL	DANACH · ZIEL	otal	0	NO	HIGH
otalaiin	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	otalaiin	0	YES	OWNER_BOUND
otalody	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otaly	1	f71v	C	EXACT_REGISTERED_SURFACE	OT+AL+Y	DANACH · ZIEL · POSTEN	otaly	0	NO	HIGH
otar	4	f71v|f88v	C|L	EXACT_REGISTERED_SURFACE	OT+AR	DANACH · QUELLE	otar	0	YES	HIGH
otchdy	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	otchdy	0	YES	OWNER_BOUND
otcheodal	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+CHEO+D_ADDR+AL	DANACH · AUSZUG · TEIL · ZIEL	otcheody	2	NO	MEDIUM_HIGH
otchody	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otchol	2	f17r	P	EXACT_REGISTERED_SURFACE	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	otchol	0	NO	HIGH
otchr	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+CH+R	DANACH · NEHMEN · MERKEN	otchl	1	NO	MEDIUM_HIGH
otchy	2	f17r|f71v	C|P	EXACT_REGISTERED_SURFACE	OT+CH+Y	DANACH · NEHMEN · POSTEN	otchy	0	NO	HIGH
otdordy	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otedy	2	f77r	L|P	EXACT_REGISTERED_SURFACE	OT+E+DY	DANACH · KURZ · SCHLUSS	otedy	0	YES	HIGH
oteedy	1	f77r	P	EXACT_REGISTERED_SURFACE	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	oteedy	0	NO	HIGH
oteeeon	1	f17r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
oteeodaiin	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+EE+O+D_ADDR+AIIN	DANACH · LÄNGER · AUSFÜHREN · TEIL · MASS	oteodaiin	1	NO	MEDIUM_HIGH
oteeody	1	f88v	P	EXACT_REGISTERED_SURFACE	OT+EE+O+DY	DANACH · LÄNGER · AUSFÜHREN · SCHLUSS	oteeody	0	NO	HIGH
oteeos	1	f71v	C	EXACT_REGISTERED_SURFACE	OT+EE+O+S_ADDR	DANACH · LÄNGER · AUSFÜHREN · SONDERORT	oteeos	0	NO	HIGH
oteey	4	f71v	C	EXACT_REGISTERED_SURFACE	OT+EE+Y	DANACH · LÄNGER · POSTEN	oteey	0	NO	HIGH
oteodar	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+E+O+D_ADDR+AR	DANACH · KURZ · AUSFÜHREN · TEIL · QUELLE	oteedar	1	NO	MEDIUM_HIGH
oteody	2	f88v	P	EXACT_REGISTERED_SURFACE	OT+E+O+Y	DANACH · KURZ · AUSFÜHREN · POSTEN	oteody	0	NO	HIGH
oteokeey	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+E+O+K+EE+Y	DANACH · KURZ · AUSFÜHREN · GEBEN · LÄNGER · POSTEN	oteoeey	1	NO	MEDIUM_HIGH
oteol	1	f88v	P	EXACT_REGISTERED_SURFACE	OT+E+OL	DANACH · KURZ · FORTSETZEN	oteol	0	NO	HIGH
oteoshar	1	f71v	C	VISIBLE_NEW_COMPOSITION	OT+E+O+SH+AR	DANACH · KURZ · AUSFÜHREN · HALTEN · QUELLE	oteoarar	2	NO	MEDIUM_HIGH
otey	1	f77r	P	EXACT_REGISTERED_SURFACE	OT+E+Y	DANACH · KURZ · POSTEN	otey	0	NO	HIGH
oto	1	f71v	C	NEAR_REGISTERED_ALLOGRAPH	OT+Y	DANACH · POSTEN	oty	1	NO	MEDIUM
otokol	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otol	2	f77r|f88v	L|P	EXACT_REGISTERED_SURFACE	OT+OL	DANACH · FORTSETZEN	otol	0	YES	HIGH
otolaiin	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otor	1	f71v	C	EXACT_REGISTERED_SURFACE	OT+OR	DANACH · ANSATZ	otor	0	NO	HIGH
otora	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otoram	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
otork	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
oty	1	f71v	C	EXACT_REGISTERED_SURFACE	OT+Y	DANACH · POSTEN	oty	0	NO	HIGH
otydary	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
parar	1	f71v	C	VISIBLE_NEW_COMPOSITION	P+AR+AR	EINSETZEN · QUELLE · QUELLE	arar	1	NO	MEDIUM_HIGH
pchedy	1	f77r	P	EXACT_REGISTERED_SURFACE	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	pchedy	0	NO	HIGH
pol	1	f77r	P	VISIBLE_NEW_COMPOSITION	P+OL	EINSETZEN · FORTSETZEN	dol	1	NO	MEDIUM_HIGH
poldarais	1	f77r	P	VISIBLE_NEW_COMPOSITION	P+OL+D_ADDR+AR+A_ADDR+IIN+S	EINSETZEN · FORTSETZEN · TEIL · QUELLE · ORT · STUFE · AUSWÄHLEN	dolaram	4	NO	WORKING
qeey	1	f77r	P	VISIBLE_NEW_COMPOSITION	CARRIER_Q+EE+Y	BEGINN · LÄNGER · POSTEN	deey	1	NO	MEDIUM_HIGH
qepchedy	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	CARRIER_Q+O+P+CHD+Y	BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN	qopchedy	1	NO	MEDIUM
qeteiiin	1	f77r	P	VISIBLE_NEW_COMPOSITION	CARRIER_Q+E+T+IIN	BEGINN · KURZ · STELLEN · STUFE	qekaiin	3	NO	WORKING
qo	1	f77r	P	EXACT_REGISTERED_SURFACE	O	AUSFÜHREN	qo	0	NO	HIGH
qoaiin	1	f88v	P	EXACT_REGISTERED_SURFACE	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	qoaiin	0	NO	HIGH
qockhol	1	f88v	P	EXACT_REGISTERED_SURFACE	CARRIER_Q+O+CKH+OL	BEGINN · AUSFÜHREN · DURCHLASS · FORTSETZEN	qockhol	0	NO	HIGH
qodam	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+D_ADDR+AM_ADDR	AUSFÜHREN · TEIL · INNEN	qokam	1	NO	MEDIUM_HIGH
qodar	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLE	odar	1	NO	MEDIUM_HIGH
qodcthy	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+D_ADDR+CTH+Y	AUSFÜHREN · TEIL · BEREIT · POSTEN	qodchy	1	NO	MEDIUM_HIGH
qodeedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	O+D_ADDR+EE+DY	AUSFÜHREN · TEIL · LÄNGER · SCHLUSS	qoeedy	1	NO	MEDIUM_HIGH
qody	1	f17r	P	EXACT_REGISTERED_SURFACE	CARRIER_Q+O+DY	BEGINN · AUSFÜHREN · SCHLUSS	qody	0	NO	HIGH
qoeedy	1	f77r	P	EXACT_REGISTERED_SURFACE	CARRIER_Q+O+EE+D_ADDR+Y	BEGINN · AUSFÜHREN · LÄNGER · TEIL · POSTEN	qoeedy	0	NO	HIGH
qoeey	1	f88v	P	VISIBLE_NEW_COMPOSITION	O+EE+Y	AUSFÜHREN · LÄNGER · POSTEN	oeey	1	NO	MEDIUM_HIGH
qoekeol	1	f88v	P	VISIBLE_NEW_COMPOSITION	O+E+K+E+OL	AUSFÜHREN · KURZ · GEBEN · KURZ · FORTSETZEN	qoekeor	1	NO	MEDIUM_HIGH
qof	1	f17r	P	VISIBLE_NEW_COMPOSITION	O+LOCAL_CHAR_F	AUSFÜHREN · NEBENWEG	qo	1	NO	MEDIUM_HIGH
qokaiin	13	f77r	P	EXACT_REGISTERED_SURFACE	OK+AIIN	SETZEN · MASS	qokaiin	0	NO	HIGH
qokain	7	f77r	P	EXACT_REGISTERED_SURFACE	OK+AIN	SETZEN · PORTION	qokain	0	NO	HIGH
qokal	2	f77r	P	EXACT_REGISTERED_SURFACE	OK+AL	SETZEN · ZIEL	qokal	0	NO	HIGH
qokaly	1	f77r	P	EXACT_REGISTERED_SURFACE	OK+AL+Y	SETZEN · ZIEL · POSTEN	qokaly	0	NO	HIGH
qokar	2	f77r	P	EXACT_REGISTERED_SURFACE	OK+AR	SETZEN · QUELLE	qokar	0	NO	HIGH
qokcheor	1	f17r	P	VISIBLE_NEW_COMPOSITION	OK+CHEO+R	SETZEN · AUSZUG · MERKEN	ofcheor	2	NO	MEDIUM_HIGH
qokchy	1	f17r	P	EXACT_REGISTERED_SURFACE	OK+Y	SETZEN · POSTEN	qokchy	0	NO	HIGH
qokear	1	f77r	P	VISIBLE_NEW_COMPOSITION	OK+E+AR	SETZEN · KURZ · QUELLE	okear	1	NO	MEDIUM_HIGH
qokedy	3	f77r	P	EXACT_REGISTERED_SURFACE	OK+E+DY	SETZEN · KURZ · SCHLUSS	qokedy	0	NO	HIGH
qokeed	1	f77r	P	EXACT_REGISTERED_SURFACE	OK+EE+D_ADDR	SETZEN · LÄNGER · TEIL	qokeed	0	NO	HIGH
qokeedy	20	f77r	P	EXACT_REGISTERED_SURFACE	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	qokeedy	0	NO	HIGH
qokeey	7	f77r|f88v	P	EXACT_REGISTERED_SURFACE	OK+EE+Y	SETZEN · LÄNGER · POSTEN	qokeey	0	NO	HIGH
qokeo	2	f88v	P	VISIBLE_NEW_COMPOSITION	OK+E+O	SETZEN · KURZ · AUSFÜHREN	okeo	1	NO	MEDIUM_HIGH
qokeody	5	f88v	P	EXACT_REGISTERED_SURFACE	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN	qokeody	0	NO	HIGH
qokeom	1	f88v	P	VISIBLE_NEW_COMPOSITION	OK+E+O+AM_ADDR	SETZEN · KURZ · AUSFÜHREN · INNEN	okeom	1	NO	MEDIUM_HIGH
qokody	1	f88v	P	VISIBLE_NEW_COMPOSITION	OK+O+DY	SETZEN · AUSFÜHREN · SCHLUSS	okody	1	NO	MEDIUM_HIGH
qokol	4	f17r|f77r	P	EXACT_REGISTERED_SURFACE	OK+OL	SETZEN · FORTSETZEN	qokol	0	NO	HIGH
qoky	3	f77r|f88v	P	EXACT_REGISTERED_SURFACE	OK+Y	SETZEN · POSTEN	qoky	0	NO	HIGH
qol	6	f77r	P	EXACT_REGISTERED_SURFACE	OL	FORTSETZEN	qol	0	NO	HIGH
qolal	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+AL	FORTSETZEN · ZIEL	qokal	1	NO	MEDIUM_HIGH
qolchedy	1	f77r	P	EXACT_REGISTERED_SURFACE	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	qolchedy	0	NO	HIGH
qolcheedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	qolchedy	1	NO	MEDIUM_HIGH
qolchey	1	f77r	P	EXACT_REGISTERED_SURFACE	OL+Y	FORTSETZEN · POSTEN	qolchey	0	NO	HIGH
qolchy	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+CH+Y	FORTSETZEN · NEHMEN · POSTEN	olchy	1	NO	MEDIUM_HIGH
qolkain	1	f77r	P	EXACT_REGISTERED_SURFACE	SOLK+AIN	AUFFANGEN · PORTION	qolkain	0	NO	HIGH
qopchedy	2	f77r	P	EXACT_REGISTERED_SURFACE	CARRIER_Q+O+P+CHD+Y	BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN	qopchedy	0	NO	HIGH
qor	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	OR	ANSATZ	qor	0	NO	HIGH
qotaiin	5	f77r	P	EXACT_REGISTERED_SURFACE	OT+AIIN	DANACH · MASS	qotaiin	0	NO	HIGH
qotain	2	f77r	P	EXACT_REGISTERED_SURFACE	OT+AIN	DANACH · PORTION	qotain	0	NO	HIGH
qotal	2	f77r	P	EXACT_REGISTERED_SURFACE	OT+AL	DANACH · ZIEL	qotal	0	NO	HIGH
qotary	1	f77r	P	VISIBLE_NEW_COMPOSITION	OT+AR+Y	DANACH · QUELLE · POSTEN	qotar	1	NO	MEDIUM_HIGH
qotedy	9	f77r	P	EXACT_REGISTERED_SURFACE	OT+E+DY	DANACH · KURZ · SCHLUSS	qotedy	0	NO	HIGH
qoteedy	9	f77r	P	EXACT_REGISTERED_SURFACE	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	qoteedy	0	NO	HIGH
qoteeedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	OT+EEE+DY	DANACH · VOLL · SCHLUSS	qokeeedy	1	NO	MEDIUM_HIGH
qoteey	1	f77r	P	EXACT_REGISTERED_SURFACE	OT+EE+Y	DANACH · LÄNGER · POSTEN	qoteey	0	NO	HIGH
qoteo	1	f88v	P	VISIBLE_NEW_COMPOSITION	OT+E+O	DANACH · KURZ · AUSFÜHREN	oteo	1	NO	MEDIUM_HIGH
qoteody	1	f88v	P	VISIBLE_NEW_COMPOSITION	OT+E+O+DY	DANACH · KURZ · AUSFÜHREN · SCHLUSS	oteody	1	NO	MEDIUM_HIGH
qotey	1	f77r	P	VISIBLE_NEW_COMPOSITION	OT+E+Y	DANACH · KURZ · POSTEN	otey	1	NO	MEDIUM_HIGH
qotody	2	f88v	P	VISIBLE_NEW_COMPOSITION	OT+O+DY	DANACH · AUSFÜHREN · SCHLUSS	otody	1	NO	MEDIUM_HIGH
qotol	1	f77r	P	VISIBLE_NEW_COMPOSITION	OT+OL	DANACH · FORTSETZEN	otol	1	NO	MEDIUM_HIGH
qoty	1	f77r	P	EXACT_REGISTERED_SURFACE	OT+Y	DANACH · POSTEN	qoty	0	NO	HIGH
qykaiin	1	f77r	P	VISIBLE_NEW_COMPOSITION	Y+K+AIIN	POSTEN · GEBEN · MASS	qekaiin	1	NO	MEDIUM_HIGH
r	3	f77r|f88v	P	EXACT_REGISTERED_SURFACE	R	MERKEN	r	0	NO	HIGH
raiin	3	f77r	P	EXACT_REGISTERED_SURFACE	R+AIIN	MERKEN · MASS	raiin	0	NO	HIGH
roshckhy	1	f88v	P	VISIBLE_NEW_COMPOSITION	R+O+SH+CKH+Y	MERKEN · AUSFÜHREN · HALTEN · DURCHLASS · POSTEN	shckhy	2	NO	MEDIUM_HIGH
s	4	f77r|f88v	P	EXACT_REGISTERED_SURFACE	S	AUSWÄHLEN	s	0	NO	HIGH
sa	1	f77r	P	VISIBLE_NEW_COMPOSITION	S+A_ADDR	AUSWÄHLEN · ORT	a	1	NO	MEDIUM_HIGH
saiin	3	f77r|f88v	P	EXACT_REGISTERED_SURFACE	S+AIIN	AUSWÄHLEN · MASS	saiin	0	NO	HIGH
saiisol	1	f77r	P	VISIBLE_NEW_COMPOSITION	S+A_ADDR+IIN+S+OL	AUSWÄHLEN · ORT · STUFE · AUSWÄHLEN · FORTSETZEN	daiial	3	NO	WORKING
sain	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	S+AIN	AUSWÄHLEN · PORTION	sain	0	NO	HIGH
sairal	1	f88v	P	VISIBLE_NEW_COMPOSITION	S+AIR+AL	AUSWÄHLEN · LAUF · ZIEL	saral	1	NO	MEDIUM_HIGH
sal	2	f77r	P	EXACT_REGISTERED_SURFACE	S+AL	AUSWÄHLEN · ZIEL	sal	0	NO	HIGH
saldaiin	1	f88v	P	VISIBLE_NEW_COMPOSITION	S+AL+D_ADDR+AIIN	AUSWÄHLEN · ZIEL · TEIL · MASS	aldaiin	1	NO	MEDIUM_HIGH
saldy	1	f88v	P	EXACT_REGISTERED_SURFACE	S+AL+DY	AUSWÄHLEN · ZIEL · SCHLUSS	saldy	0	NO	HIGH
sar	2	f77r	P	EXACT_REGISTERED_SURFACE	S+AR	AUSWÄHLEN · QUELLE	sar	0	NO	HIGH
schar	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	AR	QUELLE	char	1	NO	MEDIUM
sh	1	f77r	P	EXACT_REGISTERED_SURFACE	SH	HALTEN	sh	0	NO	HIGH
shar	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
shcthey	1	f77r	P	EXACT_REGISTERED_SURFACE	SH+CTH+E+Y	HALTEN · BEREIT · KURZ · POSTEN	shcthey	0	NO	HIGH
she	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+E	HALTEN · KURZ	sh	1	NO	MEDIUM_HIGH
sheal	1	f77r	P	EXACT_REGISTERED_SURFACE	SH+E+AL	HALTEN · KURZ · ZIEL	sheal	0	NO	HIGH
shealol	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+E+AL+OL	HALTEN · KURZ · ZIEL · FORTSETZEN	sheal	2	NO	MEDIUM_HIGH
shear	2	f77r	P	EXACT_REGISTERED_SURFACE	SH+E+AR	HALTEN · KURZ · QUELLE	shear	0	NO	HIGH
sheckhedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+E+CKH+E+DY	HALTEN · KURZ · DURCHLASS · KURZ · SCHLUSS	shckhedy	1	NO	MEDIUM_HIGH
sheckhey	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+E+CKH+E+Y	HALTEN · KURZ · DURCHLASS · KURZ · POSTEN	shckhey	1	NO	MEDIUM_HIGH
shedaiin	1	f77r	P	EXACT_REGISTERED_SURFACE	SHED+AIIN	ABSETZEN · MASS	shedaiin	0	NO	HIGH
shedar	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	SH+E+T+AR	HALTEN · KURZ · STELLEN · QUELLE	shetar	1	NO	MEDIUM
shedy	13	f77r|f88v	P	EXACT_REGISTERED_SURFACE	SHED+DY	ABSETZEN · SCHLUSS	shedy	0	NO	HIGH
sheealody	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+EE+AL+O+DY	HALTEN · LÄNGER · ZIEL · AUSFÜHREN · SCHLUSS	sheeal	3	NO	WORKING
sheed	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+EE+D_ADDR	HALTEN · LÄNGER · TEIL	sheedy	1	NO	MEDIUM_HIGH
sheedy	4	f77r|f88v	P	EXACT_REGISTERED_SURFACE	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	sheedy	0	NO	HIGH
sheeo	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+EE+O	HALTEN · LÄNGER · AUSFÜHREN	sheeol	1	NO	MEDIUM_HIGH
sheeol	2	f77r	P	EXACT_REGISTERED_SURFACE	SH+EE+OL	HALTEN · LÄNGER · FORTSETZEN	sheeol	0	NO	HIGH
sheeor	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+EE+OR	HALTEN · LÄNGER · ANSATZ	cheeor	1	NO	MEDIUM_HIGH
sheety	2	f77r	P	EXACT_REGISTERED_SURFACE	SH+EE+T+Y	HALTEN · LÄNGER · STELLEN · POSTEN	sheety	0	NO	HIGH
sheey	2	f77r	P	EXACT_REGISTERED_SURFACE	SH+EE+Y	HALTEN · LÄNGER · POSTEN	sheey	0	NO	HIGH
sheky	1	f71v	C	EXACT_REGISTERED_SURFACE	SH+E+K+Y	HALTEN · KURZ · GEBEN · POSTEN	sheky	0	NO	HIGH
sheo	3	f71v|f88v	C|P	EXACT_REGISTERED_SURFACE	SH+E+O	HALTEN · KURZ · AUSFÜHREN	sheo	0	NO	HIGH
sheody	1	f88v	P	EXACT_REGISTERED_SURFACE	SH+E+O+D_ADDR+Y	HALTEN · KURZ · AUSFÜHREN · TEIL · POSTEN	sheody	0	NO	HIGH
sheoky	1	f77r	P	EXACT_REGISTERED_SURFACE	SH+E+OK+Y	HALTEN · KURZ · SETZEN · POSTEN	sheoky	0	NO	HIGH
sheol	1	f88v	P	EXACT_REGISTERED_SURFACE	SH+E+OL	HALTEN · KURZ · FORTSETZEN	sheol	0	NO	HIGH
sheor	2	f88v	P	EXACT_REGISTERED_SURFACE	SH+E+OR	HALTEN · KURZ · ANSATZ	sheor	0	NO	HIGH
shepchol	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+E+P+CH+OL	HALTEN · KURZ · EINSETZEN · NEHMEN · FORTSETZEN	shepchy	2	NO	MEDIUM_HIGH
shey	1	f77r	P	EXACT_REGISTERED_SURFACE	SH+E+Y	HALTEN · KURZ · POSTEN	shey	0	NO	HIGH
shldy	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+L+DY	HALTEN · LEITEN · SCHLUSS	saldy	1	NO	MEDIUM_HIGH
shody	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+O+DY	HALTEN · AUSFÜHREN · SCHLUSS	chody	1	NO	MEDIUM_HIGH
shol	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	SH+OL	HALTEN · FORTSETZEN	shol	0	NO	HIGH
sholshdy	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
shopcho	1	f71v	C	VISIBLE_NEW_COMPOSITION	SH+O+P+CH+O	HALTEN · AUSFÜHREN · EINSETZEN · NEHMEN · AUSFÜHREN	shepchy	2	NO	MEDIUM_HIGH
shor	3	f17r|f77r|f88v	P	EXACT_REGISTERED_SURFACE	SH+OR	HALTEN · ANSATZ	shor	0	NO	HIGH
shoy	1	f88v	P	EXACT_REGISTERED_SURFACE	SH+O+Y	HALTEN · AUSFÜHREN · POSTEN	shoy	0	NO	HIGH
shy	1	f88v	P	EXACT_REGISTERED_SURFACE	Y	POSTEN	shy	0	NO	HIGH
sl	1	f77r	P	EXACT_REGISTERED_SURFACE	S+L	AUSWÄHLEN · LEITEN	sl	0	NO	HIGH
sodar	1	f77r	P	EXACT_REGISTERED_SURFACE	S+O+DA+R	AUSWÄHLEN · AUSFÜHREN · ZWEIT · MERKEN	sodar	0	NO	HIGH
sokcheey	1	f77r	P	VISIBLE_NEW_COMPOSITION	S+OK+CH+EE+Y	AUSWÄHLEN · SETZEN · NEHMEN · LÄNGER · POSTEN	qokcheey	1	NO	MEDIUM_HIGH
solchedy	1	f77r	P	EXACT_REGISTERED_SURFACE	S+OL+CHD+Y	AUSWÄHLEN · FORTSETZEN · UMSETZEN · POSTEN	solchedy	0	NO	HIGH
solkeey	1	f77r	P	EXACT_REGISTERED_SURFACE	SOLK+EE+Y	AUFFANGEN · LÄNGER · POSTEN	solkeey	0	NO	HIGH
solteedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	OL+T+EE+DY	FORTSETZEN · STELLEN · LÄNGER · SCHLUSS	solkeedy	1	NO	MEDIUM_HIGH
som	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	K+O+M_LOCAL	GEBEN · AUSFÜHREN · MITTE	kom	1	NO	MEDIUM
soral	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
sorshy	1	f88v	P	VISIBLE_NEW_COMPOSITION	S+OR+SH+Y	AUSWÄHLEN · ANSATZ · HALTEN · POSTEN	korchy	2	NO	MEDIUM_HIGH
