dictionary_entry_id	surfaces	component_recipe	atomic_pocket_sequence_de	observed_channel	observed_channel_reading_de	events	pages
P912-D0123	cheey	SH+EE+Y	HALT + LANG + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	11	f75r,f81v,f82r,f83r
P912-D0714	olshedy	OL+SH+E+DY	WEITER + HALT + KURZ + ENDE	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	3	f75r
P912-D0434	keedy	K+EE+DY	ZUORDNUNG + LANG + ENDE	WORKSHOP_PROSE	Material zugeben; länger oder gehalten; Arbeitsschritt schließen	5	f75r,f81v
P912-D1070	sain	S+AIN	WAHL + EINHEIT	WORKSHOP_PROSE	Arbeitsvariante auswählen; Portion	8	f75r,f82r,f83r
P912-D0016	al	AL	ZIEL	WORKSHOP_PROSE	Ziel- oder Anschlussstelle	3	f75r,f81v,f83r
P912-D0438	keishy	K+E+SH+Y	ZUORDNUNG + KURZ + HALT + DIES	WORKSHOP_PROSE	Material zugeben; kurz oder direkt; Arbeitsgegenstand halten; dieser Arbeitsgegenstand	1	f75r
P912-D0784	otar	OT+AR	NAECHST + QUELLE	WORKSHOP_PROSE	danach oder nächster Posten; Entnahmestelle	7	f75r,f81v
P912-D0030	aly	AL+Y	ZIEL + DIES	WORKSHOP_PROSE	Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	1	f75r
P912-D0991	qolkeeoly	SOLK+EE+OL+Y	SAMMELN + LANG + WEITER + DIES	WORKSHOP_PROSE	auffangen; länger oder gehalten; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	1	f75r
P912-D1065	saiin	S+AIIN	WAHL + SOLLWERT	WORKSHOP_PROSE	Arbeitsvariante auswählen; Sollmaß	6	f75r,f81v,f83r
P912-D1200	sol	OL	WEITER	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren	12	f75r,f82r,f83r
P912-D0594	okchdy	OK+CHD+DY	START + WECHSEL + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen	1	f75r
P912-D0384	dshedy	SH+E+DY	HALT + KURZ + ENDE	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	6	f75r,f81v,f82r
P912-D1134	sheedy	SH+EE+DY	HALT + LANG + ENDE	WORKSHOP_PROSE	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsschritt schließen	7	f75r,f81v,f82r,f83r
P912-D0455	lch	L+CH	VERBINDUNG + AUSWAHL	WORKSHOP_PROSE	entlang des Arbeitswegs führen; bezeichneten Anteil entnehmen	1	f75r
P912-D1172	shokain	SH+OK+AIN	HALT + START + EINHEIT	WORKSHOP_PROSE	Arbeitsgegenstand halten; Arbeitsgang ansetzen; Portion	1	f75r
P912-D0665	okshedy	OK+SH+E+DY	START + HALT + KURZ + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	2	f75r,f81v
P912-D0882	pchedar	P+CHD+AR	EINSATZ + WECHSEL + QUELLE	WORKSHOP_PROSE	Material einsetzen; Arbeitsgut umsetzen; Entnahmestelle	2	f75r,f83r
P912-D1158	shepchy	SH+E+P+Y	HALT + KURZ + EINSATZ + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; Material einsetzen; dieser Arbeitsgegenstand	1	f75r
P912-D0495	lshedary	L+SH+E+D_ADDR+AR+Y	VERBINDUNG + HALT + KURZ + UNTER + QUELLE + DIES	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Arbeitsgegenstand halten; kurz oder direkt; bezeichneter Teil; Entnahmestelle; dieser Arbeitsgegenstand	1	f75r
P912-D0306	dal	AL	ZIEL	WORKSHOP_PROSE	Ziel- oder Anschlussstelle	13	f75r,f81v,f82r,f83r
P912-D1109	shal	SH+AL	HALT + ZIEL	WORKSHOP_PROSE	Arbeitsgegenstand halten; Ziel- oder Anschlussstelle	1	f75r
P912-D1186	shy	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	3	f75r,f83r
P912-D0443	kol	K+OL	ZUORDNUNG + WEITER	WORKSHOP_PROSE	Material zugeben; im selben Arbeitsgang fortfahren	1	f75r
P912-D0938	qokam	OK+AM_ADDR	START + INNEN	WORKSHOP_PROSE	Arbeitsgang ansetzen; Innenstelle	1	f75r
P912-D0983	qol	OL	WEITER	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren	15	f75r,f81v,f82r,f83r
P912-D0761	otain	OT+AIN	NAECHST + EINHEIT	WORKSHOP_PROSE	danach oder nächster Posten; Portion	3	f75r,f81v,f82r
P912-D0066	char	AR	QUELLE	WORKSHOP_PROSE	Entnahmestelle	2	f75r,f82r
P912-D1091	sar	S+AR	WAHL + QUELLE	WORKSHOP_PROSE	Arbeitsvariante auswählen; Entnahmestelle	7	f75r,f81v,f82r,f83r
P912-D0979	qokshedy	OK+SH+E+DY	START + HALT + KURZ + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	3	f75r,f83r
P912-D0402	ey	E+Y	KURZ + DIES	WORKSHOP_PROSE	kurz oder direkt; dieser Arbeitsgegenstand	2	f75r,f82r
P912-D0040	ar	AR	QUELLE	WORKSHOP_PROSE	Entnahmestelle	2	f75r,f83r
P912-D1057	ry	R+Y	MARKE + DIES	WORKSHOP_PROSE	Zustand kennzeichnen; dieser Arbeitsgegenstand	2	f75r,f82r
P912-D1003	qor	OR	EINTRAG	WORKSHOP_PROSE	Ansatz oder Zubereitung	1	f75r
P912-D0467	lchey	L+Y	VERBINDUNG + DIES	WORKSHOP_PROSE	entlang des Arbeitswegs führen; dieser Arbeitsgegenstand	3	f75r,f82r
P912-D1285	ydain	Y+AIN	DIES + EINHEIT	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Portion	1	f75r
P912-D0735	oqokain	O+OK+AIN	GANG + START + EINHEIT	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsgang ansetzen; Portion	1	f75r
P912-D0898	qckhsy	CKH+Y	DURCHLASS + DIES	WORKSHOP_PROSE	durch einen Durchlass führen; dieser Arbeitsgegenstand	1	f75r
P912-D1351	ysheor	Y+SH+E+OR	DIES + HALT + KURZ + EINTRAG	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; Ansatz oder Zubereitung	1	f75r
P912-D0490	lor	L+OR	VERBINDUNG + EINTRAG	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Ansatz oder Zubereitung	3	f75r,f81v
P912-D0032	am	AM_ADDR	INNEN	WORKSHOP_PROSE	Innenstelle	1	f75r
P912-D0535	odar	O+D_ADDR+AR	GANG + UNTER + QUELLE	WORKSHOP_PROSE	Arbeitsgang ausführen; bezeichneter Teil; Entnahmestelle	1	f75r
P912-D0885	pchey	P+Y	EINSATZ + DIES	WORKSHOP_PROSE	Material einsetzen; dieser Arbeitsgegenstand	1	f75r
P912-D0449	kshey	K+SH+E+Y	ZUORDNUNG + HALT + KURZ + DIES	WORKSHOP_PROSE	Material zugeben; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	1	f75r
P912-D1226	sshey	S+SH+E+Y	WAHL + HALT + KURZ + DIES	WORKSHOP_PROSE	Arbeitsvariante auswählen; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	1	f75r
P912-D0111	chedyqokam	CHD+Y+OK+AM_ADDR	WECHSEL + DIES + START + INNEN	WORKSHOP_PROSE	Arbeitsgut umsetzen; dieser Arbeitsgegenstand; Arbeitsgang ansetzen; Innenstelle	1	f75r
P912-D0700	olkeey	SOLK+EE+Y	SAMMELN + LANG + DIES	WORKSHOP_PROSE	auffangen; länger oder gehalten; dieser Arbeitsgegenstand	2	f75r,f83r
P912-D0989	qolkary	SOLK+AR+Y	SAMMELN + QUELLE + DIES	WORKSHOP_PROSE	auffangen; Entnahmestelle; dieser Arbeitsgegenstand	1	f75r
P912-D0098	checthy	CTH+Y	BEREIT + DIES	WORKSHOP_PROSE	bis bereit führen; dieser Arbeitsgegenstand	3	f75r,f83r
P912-D1115	shckhy	SH+CKH+Y	HALT + DURCHLASS + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; durch einen Durchlass führen; dieser Arbeitsgegenstand	4	f75r,f81v,f82r
P912-D1043	ram	R+AM_ADDR	MARKE + INNEN	WORKSHOP_PROSE	Zustand kennzeichnen; Innenstelle	1	f75r
P912-D1154	sheol	SH+E+OL	HALT + KURZ + WEITER	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; im selben Arbeitsgang fortfahren	4	f75r,f82r,f83r
P912-D0993	qoly	OL+Y	WEITER + DIES	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	2	f75r,f82r
P912-D0015	ajy	A_ADDR+Y	ADRESSE + DIES	WORKSHOP_PROSE	lokale Arbeitsstelle; dieser Arbeitsgegenstand	1	f75r
P912-D0891	pdalshor	P+D_ADDR+AL+SH+OR	EINSATZ + UNTER + ZIEL + HALT + EINTRAG	WORKSHOP_PROSE	Material einsetzen; bezeichneter Teil; Ziel- oder Anschlussstelle; Arbeitsgegenstand halten; Ansatz oder Zubereitung	1	f75r
P912-D1185	shtol	SH+T+OL	HALT + EINSTELLUNG + WEITER	WORKSHOP_PROSE	Arbeitsgegenstand halten; Arbeitsgang einstellen; im selben Arbeitsgang fortfahren	1	f75r
P912-D1027	qoty	OT+Y	NAECHST + DIES	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	7	f75r,f81v,f82r,f83r
P912-D0897	pshar	P+SH+AR	EINSATZ + HALT + QUELLE	WORKSHOP_PROSE	Material einsetzen; Arbeitsgegenstand halten; Entnahmestelle	1	f75r
P912-D0584	okaldy	OK+AL+DY	START + ZIEL + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle; Arbeitsschritt schließen	1	f75r
P912-D0843	otody	OT+O+DY	NAECHST + GANG + ENDE	WORKSHOP_PROSE	danach oder nächster Posten; Arbeitsgang ausführen; Arbeitsschritt schließen	1	f75r
P912-D1049	rol	R+OL	MARKE + WEITER	WORKSHOP_PROSE	Zustand kennzeichnen; im selben Arbeitsgang fortfahren	3	f75r,f81v
P912-D1243	tchedy	T+CHD+Y	EINSTELLUNG + WECHSEL + DIES	WORKSHOP_PROSE	Arbeitsgang einstellen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	4	f75r,f83r
P912-D0687	oldair	OL+D_ADDR+AIR	WEITER + UNTER + LAUFWEG	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; bezeichneter Teil; Flüssigkeits- oder Stationslauf	1	f75r
P912-D1128	shecthy	SH+E+CTH+Y	HALT + KURZ + BEREIT + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; bis bereit führen; dieser Arbeitsgegenstand	3	f75r,f83r
P912-D0452	l	L	VERBINDUNG	WORKSHOP_PROSE	entlang des Arbeitswegs führen	6	f75r,f81v,f82r,f83r
P912-D0488	lolchedy	L+OL+CHD+DY	VERBINDUNG + WEITER + WECHSEL + ENDE	WORKSHOP_PROSE	entlang des Arbeitswegs führen; im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; Arbeitsschritt schließen	1	f75r
P912-D0172	chkal	CHK+AL	BEHANDLUNG + ZIEL	WORKSHOP_PROSE	Arbeitsgegenstand behandeln; Ziel- oder Anschlussstelle	1	f75r
P912-D0475	lkaiin	L+K+AIIN	VERBINDUNG + ZUORDNUNG + SOLLWERT	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Material zugeben; Sollmaß	2	f75r,f82r
P912-D0615	okeedyqol	OK+EE+DY+OL	START + LANG + ENDE + WEITER	WORKSHOP_PROSE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen; im selben Arbeitsgang fortfahren	1	f75r
P912-D0683	olchey	OL+Y	WEITER + DIES	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	2	f75r,f81v
P912-D1010	qotan	OT+AN	NAECHST + ZUSATZ	WORKSHOP_PROSE	danach oder nächster Posten; weiteren Posten zugeben	1	f75r
P912-D0911	qo	O	GANG	WORKSHOP_PROSE	Arbeitsgang ausführen	2	f75r
P912-D0118	cheeky	CHK+EE+Y	BEHANDLUNG + LANG + DIES	WORKSHOP_PROSE	Arbeitsgegenstand behandeln; länger oder gehalten; dieser Arbeitsgegenstand	3	f75r,f81v,f83r
P912-D0971	qokey	OK+E+Y	START + KURZ + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand	9	f75r,f81v,f82r,f83r
P912-D0135	cheky	CHK+E+Y	BEHANDLUNG + KURZ + DIES	WORKSHOP_PROSE	Arbeitsgegenstand behandeln; kurz oder direkt; dieser Arbeitsgegenstand	4	f75r,f81v,f83r
P912-D0506	o	O	GANG	WORKSHOP_PROSE	Arbeitsgang ausführen	2	f75r,f83r
P912-D0415	kalol	K+AL+OL	ZUORDNUNG + ZIEL + WEITER	WORKSHOP_PROSE	Material zugeben; Ziel- oder Anschlussstelle; im selben Arbeitsgang fortfahren	1	f75r
P912-D0706	olom	OL+O+AM_ADDR	WEITER + GANG + INNEN	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Arbeitsgang ausführen; Innenstelle	1	f75r
P912-D0950	qoked	OK+E+D_ADDR	START + KURZ + UNTER	WORKSHOP_PROSE	Arbeitsgang ansetzen; kurz oder direkt; bezeichneter Teil	1	f75r
P912-D0316	daldy	AL+DY	ZIEL + ENDE	WORKSHOP_PROSE	Ziel- oder Anschlussstelle; Arbeitsschritt schließen	3	f75r,f81v,f82r
P912-D0895	polshy	P+OL+SH+Y	EINSATZ + WEITER + HALT + DIES	WORKSHOP_PROSE	Material einsetzen; im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; dieser Arbeitsgegenstand	2	f75r,f81v
P912-D0241	chsdy	CH+S+DY	AUSWAHL + WAHL + ENDE	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; Arbeitsschritt schließen	1	f75r
P912-D0474	ldy	L+DY	VERBINDUNG + ENDE	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Arbeitsschritt schließen	5	f75r,f82r,f83r
P912-D0078	chcthedy	CH+CTH+E+DY	AUSWAHL + BEREIT + KURZ + ENDE	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; bis bereit führen; kurz oder direkt; Arbeitsschritt schließen	1	f75r
P912-D0503	ltedy	L+T+E+DY	VERBINDUNG + EINSTELLUNG + KURZ + ENDE	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen	2	f75r,f81v
P912-D0332	darom	D_ADDR+AR+O+AM_ADDR	UNTER + QUELLE + GANG + INNEN	WORKSHOP_PROSE	bezeichneter Teil; Entnahmestelle; Arbeitsgang ausführen; Innenstelle	1	f75r
P912-D1058	s	S	WAHL	WORKSHOP_PROSE	Arbeitsvariante auswählen	8	f75r,f81v,f82r,f83r
P912-D0697	olkedy	SOLK+E+DY	SAMMELN + KURZ + ENDE	WORKSHOP_PROSE	auffangen; kurz oder direkt; Arbeitsschritt schließen	1	f75r
P912-D0577	okal	OK+AL	START + ZIEL	WORKSHOP_PROSE	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	5	f75r,f81v,f82r
P912-D0867	oty	OT+Y	NAECHST + DIES	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	2	f75r
P912-D0718	oltedy	OL+T+E+DY	WEITER + EINSTELLUNG + KURZ + ENDE	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen	1	f75r
P912-D1141	sheety	SH+EE+T+Y	HALT + LANG + EINSTELLUNG + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsgang einstellen; dieser Arbeitsgegenstand	2	f75r
P912-D0690	oldy	OL+DY	WEITER + ENDE	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	7	f75r,f81v,f83r
P912-D0329	dardardy	D_ADDR+AR+D_ADDR+AR+DY	UNTER + QUELLE + UNTER + QUELLE + ENDE	WORKSHOP_PROSE	bezeichneter Teil; Entnahmestelle; bezeichneter Teil; Entnahmestelle; Arbeitsschritt schließen	1	f75r
P912-D0949	qokechdy	OK+E+CHD+DY	START + KURZ + WECHSEL + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgut umsetzen; Arbeitsschritt schließen	1	f75r
P912-D1350	yshedy	Y+SH+E+DY	DIES + HALT + KURZ + ENDE	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	2	f75r
P912-D0699	olkeedy	SOLK+EE+DY	SAMMELN + LANG + ENDE	WORKSHOP_PROSE	auffangen; länger oder gehalten; Arbeitsschritt schließen	5	f75r,f81v,f83r
P912-D0445	koldy	K+OL+DY	ZUORDNUNG + WEITER + ENDE	WORKSHOP_PROSE	Material zugeben; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	1	f75r
P912-D1054	rshedy	R+SHED+DY	MARKE + ABSETZEN + ENDE	WORKSHOP_PROSE	Zustand kennzeichnen; absetzen lassen; Arbeitsschritt schließen	2	f75r,f82r
P912-D1198	sokeedy	S+OK+EE+DY	WAHL + START + LANG + ENDE	WORKSHOP_PROSE	Arbeitsvariante auswählen; Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	1	f75r
P912-D0811	oteedy	OT+EE+DY	NAECHST + LANG + ENDE	WORKSHOP_PROSE	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen	1	f75r
P912-D1230	sy	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	3	f75r,f83r
P912-D1022	qoteey	OT+EE+Y	NAECHST + LANG + DIES	WORKSHOP_PROSE	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	4	f75r,f82r
P912-D1020	qoteedy	OT+EE+DY	NAECHST + LANG + ENDE	WORKSHOP_PROSE	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen	8	f75r,f82r,f83r
P912-D0130	chekar	CHK+AR	BEHANDLUNG + QUELLE	WORKSHOP_PROSE	Arbeitsgegenstand behandeln; Entnahmestelle	1	f75r
P912-D0173	chkar	CHK+AR	BEHANDLUNG + QUELLE	WORKSHOP_PROSE	Arbeitsgegenstand behandeln; Entnahmestelle	1	f75r
P912-D0339	dchedy	D_ADDR+CHD+Y	UNTER + WECHSEL + DIES	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	3	f75r,f81v,f82r
P912-D0609	okedy	OK+E+DY	START + KURZ + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	6	f75r,f81v,f83r
P912-D0807	otedy	OT+E+DY	NAECHST + KURZ + ENDE	WORKSHOP_PROSE	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen	8	f75r,f81v,f82r,f83r
P912-D0658	okoldy	OK+OL+DY	START + WEITER + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	1	f75r
P912-D0781	otam	OT+AM_ADDR	NAECHST + INNEN	WORKSHOP_PROSE	danach oder nächster Posten; Innenstelle	1	f75r
P912-D0678	olaiin	OL+AIIN	WEITER + SOLLWERT	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Sollmaß	1	f75r
P912-D0058	ch	CH	AUSWAHL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen	1	f75r
P912-D1224	sshedy	S+SH+E+DY	WAHL + HALT + KURZ + ENDE	WORKSHOP_PROSE	Arbeitsvariante auswählen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	1	f75r
P912-D1098	sarol	S+AR+OL	WAHL + QUELLE + WEITER	WORKSHOP_PROSE	Arbeitsvariante auswählen; Entnahmestelle; im selben Arbeitsgang fortfahren	1	f75r
P912-D1018	qotedy	OT+E+DY	NAECHST + KURZ + ENDE	WORKSHOP_PROSE	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen	5	f75r,f81v,f82r,f83r
P912-D0569	okaiin	OK+AIIN	START + SOLLWERT	WORKSHOP_PROSE	Arbeitsgang ansetzen; Sollmaß	4	f75r,f81v
P912-D0848	otol	OT+OL	NAECHST + WEITER	WORKSHOP_PROSE	danach oder nächster Posten; im selben Arbeitsgang fortfahren	1	f75r
P912-D0707	olor	OL+OR	WEITER + EINTRAG	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	3	f75r,f81v
P912-D1074	sal	S+AL	WAHL + ZIEL	OWNER_ADDRESS_OR_DIAGRAM	Bildklasse auswählen; Zielplatz	1	f75r
P912-D0612	okeedy	OK+EE+DY	START + LANG + ENDE	OWNER_ADDRESS_OR_DIAGRAM	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	1	f75r
P912-D0318	daly	AL+Y	ZIEL + DIES	OWNER_ADDRESS_OR_DIAGRAM	Zielplatz; dieser Bildplatz	1	f75r
P912-D1279	ychey	Y+Y	DIES + DIES	OWNER_ADDRESS_OR_DIAGRAM	dieser Bildplatz; dieser Bildplatz	1	f75r
P912-D1209	sols	OL+S	WEITER + WAHL	OWNER_ADDRESS_OR_DIAGRAM	dieselbe Reihe fortführen; Bildklasse auswählen	1	f75r
P912-D0326	dara	D_ADDR+AR+A_ADDR	UNTER + QUELLE + ADRESSE	OWNER_ADDRESS_OR_DIAGRAM	Unterplatz; Quell- oder Bezugsstelle; lokale Bildadresse	1	f75r
P912-D1283	ychty	Y+CH+T+Y	DIES + AUSWAHL + EINSTELLUNG + DIES	OWNER_ADDRESS_OR_DIAGRAM	dieser Bildplatz; Klasse oder Figur kennzeichnen; Platz oder Wert einstellen; dieser Bildplatz	1	f75r
P912-D1072	saino	S+AIN+O	WAHL + EINHEIT + GANG	OWNER_ADDRESS_OR_DIAGRAM	Bildklasse auswählen; Einheit oder Index; Reihe aufrufen	1	f75r
P912-D1083	saldy	S+AL+DY	WAHL + ZIEL + ENDE	OWNER_ADDRESS_OR_DIAGRAM	Bildklasse auswählen; Zielplatz; Bildeintrag schließen	1	f75r
P912-D0300	dainy	AIN+Y	EINHEIT + DIES	OWNER_ADDRESS_OR_DIAGRAM	Einheit oder Index; dieser Bildplatz	1	f75r
P912-D0878	par	P+AR	EINSATZ + QUELLE	WORKSHOP_PROSE	Material einsetzen; Entnahmestelle	1	f81v
P912-D1145	shekal	SH+E+K+AL	HALT + KURZ + ZUORDNUNG + ZIEL	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; Material zugeben; Ziel- oder Anschlussstelle	1	f81v
P912-D1144	shek	SH+E+K	HALT + KURZ + ZUORDNUNG	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; Material zugeben	2	f81v
P912-D0555	ofalsheky	O+LOCAL_CHAR_F+A_ADDR+LSH+E+K+Y	GANG + F + ADRESSE + SPUELEN + KURZ + ZUORDNUNG + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; lokales Schreibzeichen; lokale Arbeitsstelle; spülen; kurz oder direkt; Material zugeben; dieser Arbeitsgegenstand	1	f81v
P912-D0412	kair	K+AIR	ZUORDNUNG + LAUFWEG	WORKSHOP_PROSE	Material zugeben; Flüssigkeits- oder Stationslauf	1	f81v
P912-D0694	olkain	OL+K+AIN	WEITER + ZUORDNUNG + EINHEIT	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Material zugeben; Portion	2	f81v
P912-D0357	dl	L	VERBINDUNG	WORKSHOP_PROSE	entlang des Arbeitswegs führen	2	f81v
P912-D0288	daiin	AIIN	SOLLWERT	WORKSHOP_PROSE	Sollmaß	19	f81v,f82r,f83r
P912-D0395	dykain	D_ADDR+Y+K+AIN	UNTER + DIES + ZUORDNUNG + EINHEIT	WORKSHOP_PROSE	bezeichneter Teil; dieser Arbeitsgegenstand; Material zugeben; Portion	1	f81v
P912-D0312	dalal	AL+AL	ZIEL + ZIEL	WORKSHOP_PROSE	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle	1	f81v
P912-D0931	qokaiin	OK+AIIN	START + SOLLWERT	WORKSHOP_PROSE	Arbeitsgang ansetzen; Sollmaß	16	f81v,f82r,f83r
P912-D0572	okain	OK+AIN	START + EINHEIT	WORKSHOP_PROSE	Arbeitsgang ansetzen; Portion	5	f81v,f82r,f83r
P912-D0410	kaiin	K+AIIN	ZUORDNUNG + SOLLWERT	WORKSHOP_PROSE	Material zugeben; Sollmaß	2	f81v
P912-D0147	cheol	CHEO+L	AUSZUG + VERBINDUNG	WORKSHOP_PROSE	Auszug; entlang des Arbeitswegs führen	7	f81v,f82r,f83r
P912-D0484	lky	L+K+Y	VERBINDUNG + ZUORDNUNG + DIES	WORKSHOP_PROSE	entlang des Arbeitswegs führen; Material zugeben; dieser Arbeitsgegenstand	2	f81v
P912-D0002	aiin	AIIN	SOLLWERT	WORKSHOP_PROSE	Sollmaß	8	f81v,f82r,f83r
P912-D1122	sheckhal	SH+E+CKH+AL	HALT + KURZ + DURCHLASS + ZIEL	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; durch einen Durchlass führen; Ziel- oder Anschlussstelle	1	f81v
P912-D0954	qokeedal	OK+EE+AL	START + LANG + ZIEL	WORKSHOP_PROSE	Arbeitsgang ansetzen; länger oder gehalten; Ziel- oder Anschlussstelle	1	f81v
P912-D1102	schedy	CHD+DY	WECHSEL + ENDE	WORKSHOP_PROSE	Arbeitsgut umsetzen; Arbeitsschritt schließen	2	f81v,f83r
P912-D1338	ykol	Y+K+OL	DIES + ZUORDNUNG + WEITER	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; im selben Arbeitsgang fortfahren	1	f81v
P912-D0990	qolkeedy	SOLK+EE+D_ADDR+Y	SAMMELN + LANG + UNTER + DIES	WORKSHOP_PROSE	auffangen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	1	f81v
P912-D0355	dkain	D_ADDR+K+AIN	UNTER + ZUORDNUNG + EINHEIT	WORKSHOP_PROSE	bezeichneter Teil; Material zugeben; Portion	1	f81v
P912-D0260	cphedy	CPH+E+DY	GEGENLAUF + KURZ + ENDE	WORKSHOP_PROSE	umleiten; kurz oder direkt; Arbeitsschritt schließen	1	f81v
P912-D1276	yar	Y+AR	DIES + QUELLE	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Entnahmestelle	1	f81v
P912-D0286	daiidy	DA+IIN+DY	ZWEIT + STUFE + ENDE	WORKSHOP_PROSE	zweite Arbeitsstufe; Arbeitsstufe; Arbeitsschritt schließen	1	f81v
P912-D0053	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	ADRESSE + HALT + DIES + EINSTELLUNG + LANG + UNTER	WORKSHOP_PROSE	lokale Arbeitsstelle; Arbeitsgegenstand halten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; länger oder gehalten; bezeichneter Teil	1	f81v
