group_serial	page	locus	visible_owner	namespace_id	visible_surface	final_y_class	portable_y_licensed	component_parse	short_workshop_value_de	existing_diagram_reading_de
293	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	eykeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.
300	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ykady	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität fest.
303	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	choly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/y.
307	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.
312	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	cheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert fest.
314	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	yetey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A3_MIDDLE_WHEEL_RING_TEXT: ausgewählter Phasenwert.
318	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ykey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Klasse.
326	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ykeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest yk/ody.
330	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	airchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest chy.
332	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	ychey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A3_MIDDLE_WHEEL_RING_TEXT: aktueller Ablesewert.
349	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.
352	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	dchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	A3_RIGHT_WHEEL_RING_TEXT: fester Zustand.
353	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	otoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
359	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	okody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.
368	f69v	f69v.7	A3_LEFT_RADIAL_SLOT_04	F69_LEFT_WHEEL_NS	ykeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Radstelle A3_LEFT_RADIAL_SLOT_04: lange oder volle Diagrammstufe; lokaler Namensrest yk/y.
369	f69v	f69v.8	A3_LEFT_RADIAL_SLOT_05	F69_LEFT_WHEEL_NS	ytory	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Radstelle A3_LEFT_RADIAL_SLOT_05: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yt/y.
370	f69v	f69v.9	A3_LEFT_RADIAL_SLOT_06	F69_LEFT_WHEEL_NS	oeesy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Radstelle A3_LEFT_RADIAL_SLOT_06: lange oder volle Diagrammstufe; lokaler Namensrest o/sy.
371	f69v	f69v.10	A3_LEFT_RADIAL_SLOT_07	F69_LEFT_WHEEL_NS	ytody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_RADIAL_SLOT_07: Platz fest eingetragen.
372	f69v	f69v.11	A3_LEFT_RADIAL_SLOT_08	F69_LEFT_WHEEL_NS	okody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_RADIAL_SLOT_08: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.
373	f69v	f69v.12	A3_LEFT_RADIAL_SLOT_09	F69_LEFT_WHEEL_NS	otody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.
378	f69v	f69v.17	A3_LEFT_RADIAL_SLOT_14	F69_LEFT_WHEEL_NS	ykeydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_RADIAL_SLOT_14: aktuelle Klasse fest.
383	f69v	f69v.22	A3_LEFT_RADIAL_SLOT_19	F69_LEFT_WHEEL_NS	ykeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_RADIAL_SLOT_19: Klassenplatz fest eingetragen.
384	f69v	f69v.23	A3_LEFT_RADIAL_SLOT_20	F69_LEFT_WHEEL_NS	sarydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_RADIAL_SLOT_20: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest s/ydy.
385	f69v	f69v.24	A3_LEFT_RADIAL_SLOT_21	F69_LEFT_WHEEL_NS	otchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Radstelle A3_LEFT_RADIAL_SLOT_21: naechster Platz oder folgende Bedingung; lokaler Namensrest chy.
391	f69v	f69v.28	A3_LEFT_RADIAL_SLOT_25	F69_LEFT_WHEEL_NS	okodchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Radstelle A3_LEFT_RADIAL_SLOT_25: Diagrammposten setzen oder aktivieren; lokaler Namensrest odchy.
392	f69v	f69v.29	A3_LEFT_RADIAL_SLOT_26	F69_LEFT_WHEEL_NS	okeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_RADIAL_SLOT_26: Diagrammposten setzen oder aktivieren; lokaler Namensrest eody.
