bath_host_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_id	paragraph_line_ordinal	paragraph_locus_range	host_ordinal_in_statement	surface	component_recipe	complete_host_values_written	direct_governor_tokens	written_root_sequence	carrier_slot_count	y_slot_count	direct_carrier_count	remote_carrier_count	body_blockers_present	gdt590_role	gdt590_y_lemma_sequence	gdt590_reader_clause_de	gdt590_changed	paragraph_boundary_inside_host	guard
60	ACTION:G407-E3154@1:SH	G407-E3154	G407-S489	f81v	f81v.25	f81v:P2	P2	16	f81v.10–.27	4	shchey	SH+Y	SH|Y|Y	SH|Y	Y+Y	2	2	1	1	NONE	BODY	Körper|Körper	Halte den Körper im Bad	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
61	ACTION:G407-E3166@1:SH	G407-E3166	G407-S490	f81v	f81v.26	f81v:P2	P2	17	f81v.10–.27	2	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
62	ACTION:G407-E3177@3:SH	G407-E3177	G407-S495	f82r	f82r.1	f82r:P1	P1	1	f82r.1–.9	1	qosheedy	CARRIER_Q+O+SH+EE+D_ADDR+Y	CARRIER_Q|O|SH|EE|D_ADDR|Y	CARRIER_Q|D_ADDR|EE|O|SH|Y	Y	1	1	1	0	CARRIER_Q|D_ADDR|O	STATION	Stationsansatz	Halte den Stationsansatz im Bad in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
63	ACTION:G407-E3182@1:SH	G407-E3182	G407-S495	f82r	f82r.1	f82r:P1	P1	1	f82r.1–.9	9	cheey	SH+EE+Y	SH|EE|Y|AIIN	EE|SH|Y	Y+AIIN	2	1	1	1	NONE	BODY	Körper	Halte den Körper im Bad bei der angegebenen Füllung auf Grad II	YES	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
64	ACTION:G407-E3184@1:SH	G407-E3184	G407-S495	f82r	f82r.1	f82r:P1	P1	1	f82r.1–.9	10	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
65	ACTION:G407-E3232@1:SH	G407-E3232	G407-S505	f82r	f82r.7	f82r:P1	P1	7	f82r.1–.9	4	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
66	ACTION:G407-E3238@1:SH	G407-E3238	G407-S507	f82r	f82r.8	f82r:P1	P1	8	f82r.1–.9	3	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
67	ACTION:G407-E3270@1:SH	G407-E3270	G407-S513	f82r	f82r.13	f82r:P2	P2	3	f82r.11–.19	2	cheey	SH+EE+Y	SH|EE|Y|L|Y	EE|SH|Y	Y+Y	2	2	1	1	L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
68	ACTION:G407-E3295@1:SH	G407-E3295	G407-S521	f82r	f82r.16	f82r:P2	P2	6	f82r.11–.19	1	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
69	ACTION:G407-E3329@6:SH	G407-E3329	G407-S527	f82r	f82r.20	f82r:P3	P3	1	f82r.20–.33	4	posalshy	P+O+S+A_ADDR+L+SH+Y	L|SH|Y	L|SH|Y	Y	1	1	1	0	L	STATION	Stationsansatz	Halte den Stationsansatz im Bad über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
70	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	f82r.21	f82r:P3	P3	2	f82r.20–.33	2	salshey	S+A_ADDR+L+SH+E+Y	L|SH|E|Y|AIIN|Y	E|L|SH|Y	Y+AIIN+Y	3	2	1	2	L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
71	ACTION:G407-E3350@1:SH	G407-E3350	G407-S531	f82r	f82r.22	f82r:P3	P3	3	f82r.20–.33	9	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
72	ACTION:G407-E3357@1:SH	G407-E3357	G407-S531	f82r	f82r.23	f82r:P3	P3	4	f82r.20–.33	19	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
73	ACTION:G407-E3384@1:SH	G407-E3384	G407-S538	f82r	f82r.25	f82r:P3	P3	6	f82r.20–.33	1	sheey	SH+EE+Y	L|AR|SH|EE|Y	EE|SH|Y	Y	1	1	1	0	AR|L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
74	ACTION:G407-E3386@1:SH	G407-E3386	G407-S538	f82r	f82r.26	f82r:P3	P3	7	f82r.20–.33	3	tshey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
75	ACTION:G407-E3413@1:SH	G407-E3413	G407-S548	f82r	f82r.29	f82r:P3	P3	10	f82r.20–.33	11	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
76	ACTION:G407-E3433@2:SH	G407-E3433	G407-S555	f82r	f82r.31	f82r:P3	P3	12	f82r.20–.33	5	rsheedy	R+SH+EE+D_ADDR+Y	SH|EE|D_ADDR|Y	D_ADDR|EE|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
77	ACTION:G407-E3445@1:SH	G407-E3445	G407-S556	f82r	f82r.32	f82r:P3	P3	13	f82r.20–.33	13	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
78	ACTION:G407-E3463@1:SH	G407-E3463	G407-S559	f83r	f83r.2	f83r:P1	P1	2	f83r.1–.8	4	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
79	ACTION:G407-E3467@1:SH	G407-E3467	G407-S559	f83r	f83r.2	f83r:P1	P1	2	f83r.1–.8	10	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
80	ACTION:G407-E3512@2:SH	G407-E3512	G407-S572	f83r	f83r.7	f83r:P1	P1	7	f83r.1–.8	6	lsheedy	L+SH+EE+D_ADDR+Y	L|SH|EE|D_ADDR|Y|CARRIER_Q|EEE|D_ADDR|Y	D_ADDR|EE|L|SH|Y	Y+Y	2	2	1	1	CARRIER_Q|D_ADDR|L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
81	ACTION:G407-E3517@2:SH	G407-E3517	G407-S572	f83r	f83r.7	f83r:P1	P1	7	f83r.1–.8	11	rsheedy	R+SH+EE+D_ADDR+Y	SH|EE|D_ADDR|Y	D_ADDR|EE|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
82	ACTION:G407-E3530@2:SH	G407-E3530	G407-S578	f83r	f83r.9	f83r:P2	P2	1	f83r.9–.17	1	lsheedy	L+SH+EE+D_ADDR+Y	L|SH|EE|D_ADDR|Y	D_ADDR|EE|L|SH|Y	Y	1	1	1	0	D_ADDR|L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
83	ACTION:G407-E3534@4:SH	G407-E3534	G407-S579	f83r	f83r.9	f83r:P2	P2	1	f83r.9–.17	5	qopshdy	CARRIER_Q+O+P+SH+D_ADDR+Y	SH|D_ADDR|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
84	ACTION:G407-E3611@4:SH	G407-E3611	G407-S597	f83r	f83r.18	f83r:P3	P3	1	f83r.18–.24	20	pdalshdy	P+DA+L+SH+D_ADDR+Y	L|SH|D_ADDR|Y	D_ADDR|L|SH|Y	Y	1	1	1	0	D_ADDR|L	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
85	ACTION:G407-E3615@3:SH	G407-E3615	G407-S599	f83r	f83r.18	f83r:P3	P3	1	f83r.18–.24	2	opshedy	O+P+SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
86	ACTION:G407-E3616@2:SH	G407-E3616	G407-S599	f83r	f83r.18	f83r:P3	P3	1	f83r.18–.24	4	otshdy	OT+SH+D_ADDR+Y	SH|D_ADDR|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
87	ACTION:G407-E3618@1:SH	G407-E3618	G407-S599	f83r	f83r.18	f83r:P3	P3	1	f83r.18–.24	8	shdy	SH+D_ADDR+Y	SH|D_ADDR|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
88	ACTION:G407-E3629@1:SH	G407-E3629	G407-S601	f83r	f83r.19	f83r:P3	P3	2	f83r.18–.24	1	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
89	ACTION:G407-E3693@1:SH	G407-E3693	G407-S624	f83r	f83r.28	f83r:P4	P4	4	f83r.25–.30	4	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
90	ACTION:G407-E3698@1:SH	G407-E3698	G407-S627	f83r	f83r.29	f83r:P4	P4	5	f83r.25–.30	3	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
91	ACTION:G407-E3733@1:SH	G407-E3733	G407-S636	f83r	f83r.36	f83r:P5	P5	6	f83r.31–.44	14	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
92	ACTION:G407-E3746@1:SH	G407-E3746	G407-S641	f83r	f83r.39	f83r:P5	P5	9	f83r.31–.44	2	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
