card_no	surfaces	component_recipe	compact_atomic_reading_de	historical_layers	composition_mode	events	pages
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC150	schedair	CHD+AIR	UMSETZEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · MASS	RELATION_ADDRESS_SIGN+BOUND_GRADE+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIEL · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC154	qolchey	OL+Y	FORTSETZEN · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	OPERATION_SIGN+DEICTIC_REFERENCE+BOUND_ENDPOINT	COMPOSITION_WITH_SINGLETON_ATOM	1	f83r
PROC156	dain	AIN	PORTION	MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	2	f83r
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC161	qockhey	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	STATE_OBJECT_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC162	dairydy	AIR+Y+DY	LAUF · DIES · SCHLUSS	STATE_OBJECT_SIGN+DEICTIC_REFERENCE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC165	skar	K+AR	ZUDOSIEREN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC168	chdal	CHD+AL	UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC169	daiiin	DA+IIN	ZWEIT · STUFE	MEASURE_STAGE_SIGN	COMPOSITION_WITH_SINGLETON_ATOM	1	f83r
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC172	raly	R+AL+Y	KUEHLEN · ZIEL · DIES	OPERATION_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	OPERATION_SIGN+RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
