dictionary_order	master_card_id	master_form	registered_surface_family	semantic_atoms	atomic_default_de	atomic_unit_count	original_short_default_de	revision_status	productivity_tier	composition_policy
118	MC118	ly	ly	L+Y	abführen+Posten	2	aktuellen Posten abführen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
119	MC119	cheey	cheey|shey	CHEEY	Ergebnis	1	klarer Auszug	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
120	MC120	okaiin	okaiin|qokaiin	OK+AIIN	ansetzen+Sollmaß	2	auf Sollmaß einstellen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
121	MC121	otar	otar	OT+AR	danach+Quelle	2	danach von dort	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
122	MC122	kchey	kchey	KCH+E+Y	bearbeiten+kurz+Posten	3	diesen Posten kurz bearbeiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
123	MC123	chey	chey|chy|dy|shy|sy|y	Y	Posten	1	dieser Posten	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
124	MC124	lkedy	lkedy	L+E+CLOSE	abführen+kurz+Schluss	3	kurz abführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
125	MC125	chochor	chochor	HO+OR	Zutat+Ansatz	2	Zutatenansatz	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
126	MC126	pchedal	pchedal	P+CHD+AL	zuführen+umsetzen+Ziel	3	Einlass	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
127	MC127	lched	lched	L+CHD	abführen+umsetzen	2	abführen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
128	MC128	cheedy	cheedy|shedy|tedy	SHED+E+CLOSE	absetzen+kurz+Schluss	3	kurz absetzen lassen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
129	MC129	cfhy	cfhy	CFH+Y	auswringen+Posten	2	aktuellen Posten auswringen	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
130	MC130	lsho	lsho	WASH	waschen	1	Waschgang beginnen	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
131	MC131	choy	choy	HO+Y	Zutat+Posten	2	diese Zutat	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
132	MC132	sheckhy	sheckhy	CKH+E+Y	Durchlass+kurz+Posten	3	kurz durchleiten	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
133	MC133	lcheckhedy	lcheckhedy	L+CKHE+CLOSE	abführen+trennen+Schluss	3	abseihen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
134	MC134	qolky	qolky	OL	weiter	1	auf dem Arbeitsweg weiterleiten	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
135	MC135	otedy	otedy	OT+E+CLOSE	danach+kurz+Schluss	3	kurze Folge; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
136	MC136	kchoar	kchoar	CHEO+AR	Auszug+Quelle	2	Auszug daraus	KEEP_SHORT_DEFAULT	WHOLE_CARD_FIRST	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
137	MC137	shecthy	shecthy	CTH+E+Y	bereit+kurz+Posten	3	kurz bereit halten	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
138	MC138	dshedy	dshedy	SHED+E+CLOSE	absetzen+kurz+Schluss	3	kurz absetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
139	MC139	dchdy	dchdy	CHD+CLOSE	umsetzen+Schluss	2	weitergeführten Posten überführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
140	MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	ansetzen+vollständig+Schluss	3	vollständig ansetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
141	MC141	tshey	tshey	CHEEY	Ergebnis	1	Klarlauf zugeben	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
142	MC142	dchol	dchol|schol	DCHOL	vorher	1	vorigen Posten fortsetzen	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
143	MC143	shckhedy	shckhedy	CKHE+CLOSE	trennen+Schluss	2	seihen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
144	MC144	chldaiin	chldaiin	SHED+AIIN	absetzen+Sollmaß	2	Absetzmaß	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
145	MC145	chedain	chedain	CHD+AIN	umsetzen+Anteil	2	Portion umsetzen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
146	MC146	chealror	chealror	AL+OR	Ziel+Ansatz	2	Ansatz von dort zur Zielstelle	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
147	MC147	cheky	cheky	CHK+E+Y	wärmen+kurz+Posten	3	kurz wärmen	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
148	MC148	ykan	ykan	Y+AIN	Posten+Anteil	2	dieser Anteil	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
149	MC149	solshedy	solshedy	OL+SHED+CLOSE	weiter+absetzen+Schluss	3	weiter absetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
150	MC150	okeeol	okeeol	OK+EE+OL	ansetzen+länger+weiter	3	länger fortführen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
151	MC151	qokshedy	qokshedy	OK+SHED+CLOSE	ansetzen+absetzen+Schluss	3	Absetzgang ansetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
152	MC152	ches	ches	PARTITION	teilen	1	teilen	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
153	MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	weiter	1	fortsetzen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
154	MC154	al	al|chal|cheal|dal|sal|tal	AL	Ziel	1	dorthin	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
155	MC155	lchedy	lchedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	3	abführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
156	MC156	cphy	cphy	CPH+Y	nachseihen+Posten	2	aktuellen Posten nachseihen	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
157	MC157	cholor	cholor|olor	OL+OR	weiter+Ansatz	2	Fortsetzungsansatz	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
158	MC158	cthoor	cthoor	CTH+OR	bereit+Ansatz	2	Ansatz bereit	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
159	MC159	os	os	OS	Gefäß	1	Mischgefäß	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
160	MC160	talam	talam	AL+AM	Ziel+verwahren	2	am Ziel verwahren	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
161	MC161	checthy	checthy|cthy|shcthy	CTH+Y	bereit+Posten	2	bereit	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
162	MC162	qolchey	qolchey	OL+Y	weiter+Posten	2	diesen Posten weiterfuehren	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
163	MC163	qotchol	qotchol	OT+OL	danach+weiter	2	danach weiterfuehren	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
164	MC164	qokylddy	qokylddy	OK+Y+LDDY	ansetzen+Posten+festbinden	3	aktuellen Posten befestigen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
165	MC165	qockhey	qockhey	OK+CKH+E+Y	ansetzen+Durchlass+kurz+Posten	4	kurzen Durchlauf ansetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
166	MC166	chkeey	chkeey	CHK+EE+Y	wärmen+länger+Posten	3	diesen Posten länger warm halten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
167	MC167	lochedy	lochedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	3	Rest abfuehren; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
168	MC168	lcheckhy	lcheckhy	L+CKH+Y	abführen+Durchlass+Posten	3	Ausgangsdurchlass	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
169	MC169	cthaiin	cthaiin	CTH+AIIN	bereit+Sollmaß	2	Fertigmaß	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
170	MC170	ykaiin	ykaiin	Y+AIIN	Posten+Sollmaß	2	Postenmaß	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
171	MC171	otchey	otchey	OT+Y	danach+Posten	2	nächster Teilposten	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
172	MC172	daiiin	daiiin	IIN	Stufe	1	Öffnungsstufe	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
173	MC173	qoteedy	qoteedy	OT+EE+CLOSE	danach+länger+Schluss	3	lange Folge; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
