unit	page	source_ids	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_segmentation_de	fluent_workshop_reading_de	cards	phrase_chunks
B3-S018	f83r	E266	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.	1	0
B3-S019	f83r	E267	qokshedy	OK+SH+E+DY	NONE	ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	1	0
B3-S020	f83r	E268,E269	dal lchedy	AL ; L+CHD+DY	NONE	ZIELSTELLE ; LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	2	0
B3-S021	f83r	E270,E271,E272,E273,E274,E275,E276,E277,E278,E279,E280	qokaiin checthy dal chey daiin shedal shecthy chey dal checthy dalchdy	OK+AIIN ; CTH+Y ; AL ; Y ; AIIN ; SHED+AL ; SH+E+CTH+Y ; Y ; AL ; CTH+Y ; AL+CHD+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; BEREITEN · POSTEN ; ZIELSTELLE ; POSTEN ; EIN KLEINER SCHOEPFBECHER ; STEHENLASSEN · ZIELSTELLE ; HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN ; POSTEN ; ZIELSTELLE ; BEREITEN · POSTEN ; ZIELSTELLE · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	11	0
B3-S022	f83r	E281	qotchedy	OT+CHD+DY	NONE	DANACH · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	1	0
B3-S023	f83r	E282	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	1	0
B3-S024	f83r	E283	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	1	0
B3-S025	f83r	E284	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	1	0
B3-S026	f83r	E285,E286,E287,E288,E289,E290,E291	cheedar chldaiin chedy qokain checthy chealror olkeedy	EE+AR ; L+AIIN ; CHD+Y ; OK+AIN ; CTH+Y ; AL+R+OR ; SOLK+EE+DY	NONE	DREI KURZE ARBEITSGAENGE · QUELLE ; LEITEN · EIN KLEINER SCHOEPFBECHER ; UMSETZEN · POSTEN ; ANSETZEN · EIN ABGEGRENZTER TEIL ; BEREITEN · POSTEN ; ZIELSTELLE · KUEHLEN · ANSATZ ; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	7	0
B3-S027	f83r	E292	qoteedy	OT+EE+DY	NONE	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	1	0
B3-S028	f83r	E293,E294	qokeey qokedy	OK+EE+Y ; OK+E+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN ; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	2	0
B3-S029	f83r	E295,E296,E297	ol cheeety qokedy	OL ; EEE+T+Y ; OK+E+DY	NONE	WEITER ; BIS DER GANZE POSTEN ERFASST IST · BEARBEITEN · POSTEN ; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	3	0
B3-S030	f83r	E298,E299,E300,E301	qoky daiin schedair otchedy	OK+Y ; AIIN ; CHD+AIR ; OT+CHD+DY	PHR05	PHR05[DEN POSTEN NACH SOLLMASS ANSETZEN] ; UMSETZEN · WASSER ; DANACH · UMSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	4	1
B3-S031	f83r	E302	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	1	0
B3-S032	f83r	E303,E304,E305,E306,E307	chedain chedy qotedaiin otaiin otedy	CHD+AIN ; CHD+Y ; OT+E+AIIN ; OT+AIIN ; OT+E+DY	NONE	UMSETZEN · EIN ABGEGRENZTER TEIL ; UMSETZEN · POSTEN ; DANACH · EIN KURZER ARBEITSGANG · EIN KLEINER SCHOEPFBECHER ; DANACH · EIN KLEINER SCHOEPFBECHER ; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	5	0
B3-S033	f83r	E308	ldy	L+DY	NONE	LEITEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	1	0
B3-S034	f83r	E309,E310,E311,E312,E313,E314	oiiin checthy chety otaiin olsaly shedy	O+IIN ; CTH+Y ; T+Y ; OT+AIIN ; OL+AL+Y ; SHED+DY	NONE	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE ; BEREITEN · POSTEN ; BEARBEITEN · POSTEN ; DANACH · EIN KLEINER SCHOEPFBECHER ; WEITER · ZIELSTELLE · POSTEN ; STEHENLASSEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	6	0
B4-S001	f83r	E315	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	1	0
B4-S002	f83r	E316,E317,E318	qolchey qokeey qokedy	OL+Y ; OK+EE+Y ; OK+E+DY	NONE	WEITER · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN ; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	3	0
B4-S003	f83r	E319,E320,E321,E322,E323,E324,E325	chedy qotal otchey qokeey qoky ol shedy	CHD+Y ; OT+AL ; OT+Y ; OK+EE+Y ; OK+Y ; OL ; SHED+DY	PHR10	UMSETZEN · POSTEN ; DANACH · ZIELSTELLE ; DANACH · POSTEN ; PHR10[DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN] ; STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	7	1
B4-S004	f83r	E326	qokylddy	OK+Y+LD+DY	NONE	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	1	0
B4-S005	f83r	E327,E328,E329	dain chedy qokeedy	AIN ; CHD+Y ; OK+EE+DY	NONE	EIN ABGEGRENZTER TEIL ; UMSETZEN · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	3	0
B4-S006	f83r	E330	shckhedy	SH+CKH+E+DY	NONE	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	0
B4-S007	f83r	E331	shckhedy	SH+CKH+E+DY	NONE	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	0
B4-S008	f83r	E332,E333,E334,E335	daiin cheeky sheey qokedy	AIIN ; CHK+EE+Y ; SH+EE+Y ; OK+E+DY	NONE	EIN KLEINER SCHOEPFBECHER ; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN ; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN ; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	4	0
B4-S009	f83r	E336	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.	1	0
B4-S010	f83r	E337	oldy	OL+DY	NONE	WEITER · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	1	0
B4-S011	f83r	E338,E339,E340,E341,E342,E343,E344	daiin cheky okeeol qokain chedy ol lkedy	AIIN ; CHK+E+Y ; OK+EE+OL ; OK+AIN ; CHD+Y ; OL ; L+K+E+DY	PHR03	EIN KLEINER SCHOEPFBECHER ; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · WEITER ; ANSETZEN · EIN ABGEGRENZTER TEIL ; PHR03[DEN POSTEN UMSETZEN UND WEITERFUEHREN] ; LEITEN · ZUGEBEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	7	1
B4-S012	f83r	E345	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	1	0
B4-S013	f83r	E346,E347	qokol shedy	OK+OL ; SHED+DY	NONE	ANSETZEN · WEITER ; STEHENLASSEN · SCHLUSS	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	2	0
B4-S014	f83r	E348,E349,E350,E351	or chey qockhey dairydy	OR ; Y ; O+CKH+E+Y ; AIR+Y+DY	PHR09	PHR09[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN] ; ARBEITSGANG · DURCHLASS · EIN KURZER ARBEITSGANG · POSTEN ; WASSER · POSTEN · SCHLUSS	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	4	1
B4-S015	f83r	E352,E353,E354,E355,E356,E357	qokain cheey kain chckhal solkey lchedy	OK+AIN ; SH+EE+Y ; K+AIN ; CH+CKH+AL ; SOLK+E+Y ; L+CHD+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL ; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN ; ZUGEBEN · EIN ABGEGRENZTER TEIL ; ENTNEHMEN · DURCHLASS · ZIELSTELLE ; SAMMELN · EIN KURZER ARBEITSGANG · POSTEN ; LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	6	0
B4-S016	f83r	E358,E359,E360,E361	olkain dal skar shedy	OL+K+AIN ; AL ; K+AR ; SHED+DY	PHR08	PHR08[EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN] ; ZUGEBEN · QUELLE ; STEHENLASSEN · SCHLUSS	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	4	1
B5-S001	f83r	E362	otchdy	OT+CHD+DY	NONE	DANACH · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	1	0
B5-S002	f83r	E363	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	1	0
B5-S003	f83r	E364,E365,E366,E367,E368,E369,E370,E371,E372	shedal dal ol lol chdal daiin ol daiiin chedy	SHED+AL ; AL ; OL ; L+OL ; CHD+AL ; AIIN ; OL ; DA+IIN ; CHD+Y	PHR02	STEHENLASSEN · ZIELSTELLE ; PHR02[AN DER ZIELSTELLE WEITERARBEITEN] ; LEITEN · WEITER ; UMSETZEN · ZIELSTELLE ; EIN KLEINER SCHOEPFBECHER ; WEITER ; ZWEI · EINE EINGESTELLTE ARBEITSSTUFE ; UMSETZEN · POSTEN	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.	9	1
B6-S001	f83r	E373,E374,E375,E376,E377,E378,E379,E380,E381	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y ; E+K+E+Y ; R+AL+Y ; OL ; AIIN ; OL ; AIN ; Y ; L+AL+OR	NONE	SAMMELN · DREI KURZE ARBEITSGAENGE · POSTEN ; EIN KURZER ARBEITSGANG · ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN ; KUEHLEN · ZIELSTELLE · POSTEN ; WEITER ; EIN KLEINER SCHOEPFBECHER ; WEITER ; EIN ABGEGRENZTER TEIL ; POSTEN ; LEITEN · ZIELSTELLE · ANSATZ	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	9	0
