statement_id	page	record	owner_noun_de	events	productive_recipe_events	bound_variant_events	local_singleton_events	memorized_whole_events	core15_touch_events	surface_sequence	component_sequence	working_reading_de	semantic_rebuild
B3-S033	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	ldy	L+DY	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	PASS
B3-S034	f83r	B3	das durch den Bogen verbundene Hauptpaar	6	6	0	0	0	5	soiiin checthy chety otaiin olsaly shedy	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	PASS
B4-S001	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	qokeedy	OK+EE+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	PASS
B4-S002	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	3	3	0	0	0	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	PASS
B4-S003	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	7	7	0	0	0	7	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen.	PASS
B4-S004	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	0	0	1	0	1	qokylddy	OK+Y+LD+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	PASS
B4-S005	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	3	3	0	0	0	3	dain chedy qokeedy	AIN | CHD+Y | OK+EE+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	PASS
B4-S006	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	shckhedy	SH+CKH+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	PASS
B4-S007	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	shckhedy	SH+CKH+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	PASS
B4-S008	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	4	4	0	0	0	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	PASS
B4-S009	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	shedy	SHED+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	PASS
B4-S010	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	oldy	OL+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	PASS
B4-S011	f83r	B4	die linke offene Randstation	7	7	0	0	0	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	PASS
B4-S012	f83r	B4	die linke offene Randstation	1	1	0	0	0	1	lchedy	L+CHD+DY	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	PASS
B4-S013	f83r	B4	die linke offene Randstation	2	2	0	0	0	2	qokol shedy	OK+OL | SHED+DY	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	PASS
B4-S014	f83r	B4	die linke offene Randstation	4	4	0	0	0	3	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	PASS
B4-S015	f83r	B4	die linke offene Randstation und die rechte S-Lauf-Mehrfachstation	6	6	0	0	0	6	qokain shey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.	PASS
B4-S016	f83r	B4	die rechte S-Lauf-Mehrfachstation	4	4	0	0	0	4	qolkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	PASS
B5-S001	f83r	B5	die linke offene Nebenstation	1	1	0	0	0	1	otchdy	OT+CHD+DY	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	PASS
B5-S002	f83r	B5	die linke offene Nebenstation	1	1	0	0	0	1	qokchdy	OK+CHD+DY	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	PASS
B5-S003	f83r	B5	die linke offene Nebenstation	9	8	0	1	0	8	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	PASS
B6-S001	f83r	B6	die rechte S-Lauf-Nebenstation	9	9	0	0	0	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	PASS
