identity	surface	component_recipe	slot_signature	root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_pattern	marks	orders	renderer_rule
PROC034	schol	RESUME_CARD	REFERENT	DAVON	DAVON	DAVON	REFERENT_OR_LABEL	2	WH02,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC035	kchy	K+Y	OPERATION>REFERENT	ZUGEBEN · POSTEN	ZUGEBEN · POSTEN	ZUGEBEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC036	qotchy	OT+Y	ORDER>REFERENT	DANACH · POSTEN	DANACH · POSTEN	FOLGEPOSTEN	ORDERED_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC037	okchol	OK+OL	OPERATION>ORDER	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	WEITERANSETZEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC038	qokaiin	OK+AIIN	OPERATION>ARGUMENT	ANSETZEN · MASS	ANSETZEN · EIN KLEINER SCHOEPFBECHER	ANSETZEN · EIN KLEINER SCHOEPFBECHER	OPERATION_INSTRUCTION	9	WH01,WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC039	ykain	Y+K+AIN	REFERENT>OPERATION>ARGUMENT	POSTEN · ZUGEBEN · PORTION	POSTEN · ZUGEBEN · PORTION	EINE PORTION ZUGEBEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC040	ykan	Y+K+AN	REFERENT>OPERATION>ARGUMENT	POSTEN · ZUGEBEN · NACHGABE	POSTEN · ZUGEBEN · NACHGABE	EINE NACHGABE ZUGEBEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC041	ody	O+DY	PROCESS>ENDPOINT	ARBEITSGANG · SCHLIESSEN	ARBEITSGANG SCHLIESSEN	ARBEITSGANG SCHLIESSEN	WHOLE_LEXICON	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC042	chedy	CHD+Y	OPERATION>REFERENT	UMSETZEN · POSTEN	UMSETZEN · POSTEN	UMSETZEN · POSTEN	OPERATION_INSTRUCTION	11	WH01,WH03,WH04,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC043	talam	TALAM	WHOLE_ROOT	BEISEITESTELLEN	BEISEITESTELLEN	BEISEITESTELLEN	WHOLE_LEXICON	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC044	ykaiin	Y+K+AIIN	REFERENT>OPERATION>ARGUMENT	POSTEN · ZUGEBEN · MASS	POSTEN · ZUGEBEN · MASS	SOLLMASS ZUGEBEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC045	cheoar	CH+E+O+AR	OPERATION>GRADE>PROCESS>ADDRESS	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	KURZ AUS DER QUELLE ENTNEHMEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC046	cheeky	CHK+EE+Y	OPERATION>GRADE>REFERENT	WAERMEN · LANG · POSTEN	WAERMEN · LANG · POSTEN	WARMHALTEN	OPERATION_INSTRUCTION	2	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC047	oldy	OL+DY	ORDER>ENDPOINT	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLIESSEN	FORTSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	2	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC048	qokal	OK+AL	OPERATION>ADDRESS	ANSETZEN · ZIELSTELLE	ANSETZEN · ZIELSTELLE	ANSETZEN · ZIELSTELLE	OPERATION_INSTRUCTION	6	WH01,WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC049	oltchy	OL+T+Y	ORDER>OPERATION>REFERENT	FORTSETZEN · BEARBEITEN · POSTEN	FORTSETZEN · BEARBEITEN · POSTEN	POSTEN WEITERBEARBEITEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC050	orain	OR+AIN	MATERIAL>ARGUMENT	ANSATZ · PORTION	ANSATZ · PORTION	ANSATZPORTION	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC051	chochor	HO+CH+OR	MATERIAL>OPERATION>MATERIAL	TEIL · ENTNEHMEN · ANSATZ	TEIL · ENTNEHMEN · ANSATZ	PFLANZENZUTAT FUER DEN ANSATZ ENTNEHMEN	OPERATION_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC052	cho	HO	MATERIAL	TEIL	TEIL	TEIL	WHOLE_LEXICON	2	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC053	chodaly	HO+AL+Y	MATERIAL>ADDRESS>REFERENT	TEIL · ZIELSTELLE · POSTEN	TEIL · ZIELSTELLE · POSTEN	ZUTAT ZUR ZIELSTELLE BRINGEN	ARGUMENT_OR_ADDRESS	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC054	kchol	K+OL	OPERATION>ORDER	ZUGEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	WEITER ZUGEBEN	OPERATION_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC055	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	10	WH01,WH02,WH03,WH04,WH05,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC056	choy	HO+Y	MATERIAL>REFERENT	TEIL · POSTEN	TEIL · POSTEN	ZUTAT WEITERFUEHREN	ARGUMENT_OR_ADDRESS	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC057	cheeckhody	CH+EE+CKH+O+DY	OPERATION>GRADE>PATH>PROCESS>ENDPOINT	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLIESSEN	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLIESSEN	LANG DURCHZIEHEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC065	otchey	OT+Y	ORDER>REFERENT	DANACH · POSTEN	DANACH · POSTEN	FOLGEPOSTEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC067	qokedy	OK+E+DY	OPERATION>GRADE>ENDPOINT	ANSETZEN · KURZ · SCHLIESSEN	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	CLOSING_INSTRUCTION	8	WH01,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC068	kair	K+AIR	OPERATION>PATH	ZUGEBEN · LAUF	ZUGEBEN · LAUF	WASSER ZUGEBEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC069	kain	K+AIN	OPERATION>ARGUMENT	ZUGEBEN · PORTION	ZUGEBEN · EIN ABGEGRENZTER TEIL	ZUGEBEN · EIN ABGEGRENZTER TEIL	OPERATION_INSTRUCTION	3	WH01,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC070	olkain	OL+K+AIN	ORDER>OPERATION>ARGUMENT	FORTSETZEN · ZUGEBEN · PORTION	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	ORDERED_INSTRUCTION	2	WH01,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC071	rol	R+OL	STATE>ORDER	KUEHL · FORTSETZEN	KUEHL · FORTSETZEN	KUEHL WEITERARBEITEN	STATE_OR_GRADE	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC072	dl	L	PATH	LEITEN	LEITEN	WEITERLEITEN	TRANSFER_OR_PATH	2	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC073	sheckhal	SH+E+CKH+AL	STATE>GRADE>PATH>ADDRESS	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	KURZ AM ZIELDURCHLASS HALTEN	TRANSFER_OR_PATH	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC074	qokeedal	OK+EE+AL	OPERATION>GRADE>ADDRESS	ANSETZEN · LANG · ZIELSTELLE	ANSETZEN · LANG · ZIELSTELLE	LAENGER AN DER ZIELSTELLE ANSETZEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC075	chckhy	CKH+Y	PATH>REFERENT	DURCHLASS · POSTEN	DURCHLASS · POSTEN	DURCHLASS · POSTEN	TRANSFER_OR_PATH	4	WH01,WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC076	schedy	CHD+DY	OPERATION>ENDPOINT	UMSETZEN · SCHLIESSEN	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	CLOSING_INSTRUCTION	4	WH01,WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC077	sshkchdy	SH+K+CHD+DY	STATE>OPERATION>OPERATION>ENDPOINT	HALTEN · ZUGEBEN · UMSETZEN · SCHLIESSEN	HALTEN · ZUGEBEN · UMSETZEN · SCHLIESSEN	NACHMISCHEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC078	shedy	SHED+DY	STATE>ENDPOINT	RUHEN · SCHLIESSEN	STEHENLASSEN · SCHLUSS	STEHENLASSEN · SCHLUSS	CLOSING_INSTRUCTION	12	WH01,WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC079	qolchedy	OL+CHD+DY	ORDER>OPERATION>ENDPOINT	FORTSETZEN · UMSETZEN · SCHLIESSEN	WEITER · UMSETZEN · SCHLUSS	WEITER · UMSETZEN · SCHLUSS	CLOSING_INSTRUCTION	3	WH01,WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC080	qokain	OK+AIN	OPERATION>ARGUMENT	ANSETZEN · PORTION	ANSETZEN · EIN ABGEGRENZTER TEIL	ANSETZEN · EIN ABGEGRENZTER TEIL	OPERATION_INSTRUCTION	7	WH01,WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC081	ral	R+AL	STATE>ADDRESS	KUEHL · ZIELSTELLE	KUEHL · ZIELSTELLE	ZIELKUEHLEN	STATE_OR_GRADE	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC082	qokchdy	OK+CHD+DY	OPERATION>OPERATION>ENDPOINT	ANSETZEN · UMSETZEN · SCHLIESSEN	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	CLOSING_INSTRUCTION	3	WH01,WH03,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC083	cheky	CHK+E+Y	OPERATION>GRADE>REFERENT	WAERMEN · KURZ · POSTEN	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	3	WH01,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC084	lsho	LSH+O	OPERATION>PROCESS	SPUELEN · ARBEITSGANG	SPUELEN · ARBEITSGANG	SPUELEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC085	okey	OK+E+Y	OPERATION>GRADE>REFERENT	ANSETZEN · KURZ · POSTEN	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	2	WH01,WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC086	lshedy	LSH+E+DY	OPERATION>GRADE>ENDPOINT	SPUELEN · KURZ · SCHLIESSEN	SPUELEN · KURZ · SCHLIESSEN	KURZSPUELEN UND SCHLIESSEN	CLOSING_INSTRUCTION	2	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC087	qolky	SOLK+Y	OPERATION>REFERENT	SAMMELN · POSTEN	SAMMELN · POSTEN	POSTEN SAMMELN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC088	lchedal	L+CHD+AL	PATH>OPERATION>ADDRESS	LEITEN · UMSETZEN · ZIELSTELLE	LEITEN · UMSETZEN · ZIELSTELLE	ZUR ZIELSTELLE LEITEN UND UMSETZEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC089	otar	OT+AR	ORDER>ADDRESS	DANACH · QUELLE	DANACH · QUELLE	DANACH ZUR QUELLE	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC090	ytey	T+E+Y	OPERATION>GRADE>REFERENT	BEARBEITEN · KURZ · POSTEN	BEARBEITEN · KURZ · POSTEN	KURZ BEARBEITEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC091	okchedy	OK+CHD+DY	OPERATION>OPERATION>ENDPOINT	ANSETZEN · UMSETZEN · SCHLIESSEN	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	CLOSING_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC092	qokeey	OK+EE+Y	OPERATION>GRADE>REFERENT	ANSETZEN · LANG · POSTEN	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_INSTRUCTION	7	WH01,WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC093	teol	E+OL	GRADE>ORDER	KURZ · FORTSETZEN	KURZ · FORTSETZEN	KURZ WEITERARBEITEN	STATE_OR_GRADE	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC094	dchdy	CHD+DY	OPERATION>ENDPOINT	UMSETZEN · SCHLIESSEN	UMSETZEN · SCHLIESSEN	UMSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC095	ly	L+Y	PATH>REFERENT	LEITEN · POSTEN	LEITEN · POSTEN	POSTEN LEITEN	TRANSFER_OR_PATH	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC096	dsheol	SH+E+OL	STATE>GRADE>ORDER	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	KURZ WEITERHALTEN	STATE_OR_GRADE	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC097	oiiin	O+IIN	PROCESS>STATE	ARBEITSGANG · STUFE	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE	STATE_OR_GRADE	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC098	olkeedy	SOLK+EE+DY	OPERATION>GRADE>ENDPOINT	SAMMELN · LANG · SCHLIESSEN	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	CLOSING_INSTRUCTION	3	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC099	shckhedy	SH+CKH+E+DY	STATE>PATH>GRADE>ENDPOINT	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	CLOSING_INSTRUCTION	3	WH01,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC100	qokeedy	OK+EE+DY	OPERATION>GRADE>ENDPOINT	ANSETZEN · LANG · SCHLIESSEN	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	CLOSING_INSTRUCTION	10	WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC101	lcheckhy	L+CKH+Y	PATH>PATH>REFERENT	LEITEN · DURCHLASS · POSTEN	LEITEN · DURCHLASS · POSTEN	DURCH DEN DURCHLASS LEITEN	TRANSFER_OR_PATH	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC102	lched	L+CHD	PATH>OPERATION	LEITEN · UMSETZEN	LEITEN · UMSETZEN	LEITEN UND UMSETZEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC103	lcheckhedy	L+CKH+E+DY	PATH>PATH>GRADE>ENDPOINT	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	KURZ DURCHLEITEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC104	qokaly	OK+AL+Y	OPERATION>ADDRESS>REFERENT	ANSETZEN · ZIELSTELLE · POSTEN	ANSETZEN · ZIELSTELLE · POSTEN	POSTEN AN DER ZIELSTELLE ANSETZEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC105	solkaiin	SOLK+AIIN	OPERATION>ARGUMENT	SAMMELN · MASS	SAMMELN · MASS	NACH SOLLMASS SAMMELN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC106	octheol	O+CTH+E+OL	PROCESS>STATE>GRADE>ORDER	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	KURZ BIS BEREIT WEITERARBEITEN	STATE_OR_GRADE	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC107	chkeey	CHK+EE+Y	OPERATION>GRADE>REFERENT	WAERMEN · LANG · POSTEN	WAERMEN · LANG · POSTEN	LANG ERWAERMEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC108	ldy	L+DY	PATH>ENDPOINT	LEITEN · SCHLIESSEN	LEITEN · SCHLUSS	LEITEN · SCHLUSS	CLOSING_INSTRUCTION	2	WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC109	oteey	OT+EE+Y	ORDER>GRADE>REFERENT	DANACH · LANG · POSTEN	DANACH LANG HALTEN	DANACH LANG HALTEN	WHOLE_LEXICON	2	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC110	sheckhy	SH+E+CKH+Y	STATE>GRADE>PATH>REFERENT	HALTEN · KURZ · DURCHLASS · POSTEN	HALTEN · KURZ · DURCHLASS · POSTEN	KURZ IM DURCHLASS HALTEN	TRANSFER_OR_PATH	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC111	dshedy	SH+E+DY	STATE>GRADE>ENDPOINT	HALTEN · KURZ · SCHLIESSEN	HALTEN · KURZ · SCHLIESSEN	KURZ HALTEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC112	otaiin	OT+AIIN	ORDER>ARGUMENT	DANACH · MASS	DANACH · EIN KLEINER SCHOEPFBECHER	DANACH · EIN KLEINER SCHOEPFBECHER	ORDERED_INSTRUCTION	3	WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC113	qokar	OK+AR	OPERATION>ADDRESS	ANSETZEN · QUELLE	ANSETZEN · QUELLE	AUS DER QUELLE ANSETZEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC114	solshedy	OL+SH+E+DY	ORDER>STATE>GRADE>ENDPOINT	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	KURZ WEITERHALTEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC115	ls	OL	ORDER	FORTSETZEN	FORTSETZEN	WEITERARBEITEN	ORDERED_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC116	lchy	L+CH+Y	PATH>OPERATION>REFERENT	LEITEN · ENTNEHMEN · POSTEN	LEITEN · ENTNEHMEN · POSTEN	POSTEN LEITEN UND ENTNEHMEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC117	qcthey	CTH+E+Y	STATE>GRADE>REFERENT	BEREIT · KURZ · POSTEN	BEREITEN · EIN KURZER ARBEITSGANG · POSTEN	BEREITEN · EIN KURZER ARBEITSGANG · POSTEN	STATE_OR_GRADE	2	WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC118	lcheey	L+EE+Y	PATH>GRADE>REFERENT	LEITEN · LANG · POSTEN	LEITEN · LANG · POSTEN	LAENGER LEITEN	TRANSFER_OR_PATH	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC119	qokeeedy	OK+EEE+DY	OPERATION>GRADE>ENDPOINT	ANSETZEN · VOLLSTAENDIG · SCHLIESSEN	ANSETZEN · VOLLSTAENDIG · SCHLIESSEN	VOLLSTAENDIG ANSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC120	lchedy	L+CHD+DY	PATH>OPERATION>ENDPOINT	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLUSS	LEITEN · UMSETZEN · SCHLUSS	CLOSING_INSTRUCTION	8	WH02,WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC121	lar	L+AR	PATH>ADDRESS	LEITEN · QUELLE	LEITEN · QUELLE	AUS DER QUELLE LEITEN	TRANSFER_OR_PATH	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC122	tshey	SH+E+Y	STATE>GRADE>REFERENT	HALTEN · KURZ · POSTEN	HALTEN · KURZ · POSTEN	KURZ HALTEN	STATE_OR_GRADE	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC123	lchedar	L+CHD+AR	PATH>OPERATION>ADDRESS	LEITEN · UMSETZEN · QUELLE	LEITEN · UMSETZEN · QUELLE	AUS DER QUELLE LEITEN UND UMSETZEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC124	ches	CH+E+S	OPERATION>GRADE>OPERATION	ENTNEHMEN · KURZ · PROBE	ENTNEHMEN · KURZ · PROBE	KURZE PROBE ENTNEHMEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC125	pchedy	P+CHD+DY	OPERATION>OPERATION>ENDPOINT	EINBRINGEN · UMSETZEN · SCHLIESSEN	EINBRINGEN · UMSETZEN · SCHLIESSEN	EINBRINGEN UMSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC126	rsheal	R+SH+E+AL	STATE>STATE>GRADE>ADDRESS	KUEHL · HALTEN · KURZ · ZIELSTELLE	KUEHL · HALTEN · KURZ · ZIELSTELLE	AN DER ZIELSTELLE KURZ KUEHL HALTEN	STATE_OR_GRADE	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC127	daldy	AL+DY	ADDRESS>ENDPOINT	ZIELSTELLE · SCHLIESSEN	ZIELSTELLE · SCHLIESSEN	AN DER ZIELSTELLE SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC128	rshedy	R+SHED+DY	STATE>STATE>ENDPOINT	KUEHL · RUHEN · SCHLIESSEN	KUEHL · RUHEN · SCHLIESSEN	KUEHL RUHEN LASSEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC129	qoteedy	OT+EE+DY	ORDER>GRADE>ENDPOINT	DANACH · LANG · SCHLIESSEN	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	CLOSING_INSTRUCTION	2	WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC130	lochedy	L+O+CHD+DY	PATH>PROCESS>OPERATION>ENDPOINT	LEITEN · ARBEITSGANG · UMSETZEN · SCHLIESSEN	LEITEN · ARBEITSGANG · UMSETZEN · SCHLIESSEN	DURCHLEITEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC131	qotal	OT+AL	ORDER>ADDRESS	DANACH · ZIELSTELLE	DANACH · ZIELSTELLE	DANACH · ZIELSTELLE	ORDERED_INSTRUCTION	3	WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC132	chkeedy	CHK+EE+DY	OPERATION>GRADE>ENDPOINT	WAERMEN · LANG · SCHLIESSEN	WAERMEN · LANG · SCHLIESSEN	LANG ERWAERMEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC133	chedchy	CHD+Y	OPERATION>REFERENT	UMSETZEN · POSTEN	UMSETZEN · POSTEN	POSTEN UMSETZEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
