changed_modifier_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	modifier_atoms	modifier_type_sequence	changed_fragment_atoms	within_class_transition_count	current_modifier_phrase_de	modifier_voice_phrase_de	gdt569_context_voice_clause_de	modifier_voice_working_clause_de	guard
56	G407-E1190	G407-S064	f72r	CELESTIAL	oteo	OT+E+O	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: stelle dieselbe Positionseinheit ein; auf Grad I; zur Ausführung.	Danach im laufenden Gang: stelle dieselbe Positionseinheit ein; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
57	G407-E1191	G407-S064	f72r	CELESTIAL	teeody	T+EE+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Stelle dieselbe Positionseinheit ein; auf Grad II; zur Ausführung; schließe den Schritt.	Stelle dieselbe Positionseinheit ein; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
58	G407-E1213	G407-S066	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: setze dieselbe Positionseinheit; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: setze dieselbe Positionseinheit; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
59	G407-E1219	G407-S067	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach: auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach: auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
60	G407-E1229	G407-S067	f72r	CELESTIAL	oteeykeey	OT+E+O+K+EE+Y	E+O+EE	GRADE+FORMAL_CONTROL+GRADE	O	2	auf Grad I; zur Ausführung; auf Grad II	auf Grad I, als Ausführung und auf Grad II	Danach: ordne den Positionsposten zu; auf Grad I; zur Ausführung; auf Grad II.	Danach: ordne den Positionsposten zu; auf Grad I, als Ausführung und auf Grad II.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
61	G407-E1258	G407-S067	f72r	CELESTIAL	otois	OT+O	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: wähle denselben Positionswert; zur Ausführung.	Danach im laufenden Gang: wähle denselben Positionswert; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
62	G407-E1268	G407-S068	f72r	CELESTIAL	oteo	OT+E+O	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: nimm denselben Positionswert auf; auf Grad I; zur Ausführung.	Danach im laufenden Gang: nimm denselben Positionswert auf; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
63	G407-E1280	G407-S069	f72r	CELESTIAL	qoteeody	OT+EE+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Danach im laufenden Gang: halte denselben Positionsposten; auf Grad II; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: halte denselben Positionsposten; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
64	G407-E1286	G407-S071	f72r	CELESTIAL	otoar	OT+O+AR	O+AR	FORMAL_CONTROL+RELATION	O	0	zur Ausführung; von der Ausgangsposition	als Ausführung; von der Ausgangsposition	Danach: zur Ausführung; von der Ausgangsposition.	Danach: als Ausführung; von der Ausgangsposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
65	G407-E1303	G407-S072	f72r	CELESTIAL	oteo	OT+E+O	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: ordne denselben Positionsposten zu; auf Grad I; zur Ausführung.	Danach im laufenden Gang: ordne denselben Positionsposten zu; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
66	G407-E1310	G407-S072	f72r	CELESTIAL	oteody	OT+E+O+Y	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: stelle den Positionsposten ein; auf Grad I; zur Ausführung.	Danach im laufenden Gang: stelle den Positionsposten ein; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
67	G407-E1348	G407-S075	f72r	CELESTIAL	otochedy	OT+O+CHD+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach: bearbeite; zur Ausführung; schließe den Schritt.	Danach: bearbeite; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
68	G407-E1353	G407-S077	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E+O+D_ADDR+AR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	Danach im laufenden Gang: halte denselben Positionsposten; auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	Danach im laufenden Gang: halte denselben Positionsposten; auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
69	G407-E1357	G407-S077	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: ordne denselben Positionsposten zu; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: ordne denselben Positionsposten zu; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
70	G407-E1369	G407-S077	f72r	CELESTIAL	oteody	OT+E+O+Y	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: setze den Positionsposten; auf Grad I; zur Ausführung.	Danach im laufenden Gang: setze den Positionsposten; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
71	G407-E1394	G407-S079	f72r	CELESTIAL	opcholalaiin	O+P+CH+OL+AL+AIIN	O+AL	FORMAL_CONTROL+RELATION	O	0	zur Ausführung; zur Zielposition	als Ausführung; zur Zielposition	Weiter: setze den Positionswert ein und nimm den Positionswert auf; zur Ausführung; zur Zielposition.	Weiter: setze den Positionswert ein und nimm den Positionswert auf; als Ausführung; zur Zielposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
72	G407-E1420	G407-S081	f72r	CELESTIAL	octheolarl	O+CH+T+E+OL+AR+L	O+E+AR+L	FORMAL_CONTROL+GRADE+RELATION+RELATION	O	2	zur Ausführung; auf Grad I; von der Ausgangsposition; über die Ringverbindung	als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung	Weiter: nimm denselben Positionswert auf und stelle denselben Positionswert ein; zur Ausführung; auf Grad I; von der Ausgangsposition; über die Ringverbindung.	Weiter: nimm denselben Positionswert auf und stelle denselben Positionswert ein; als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
73	G407-E1422	G407-S081	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: setze denselben Positionsposten; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: setze denselben Positionsposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
74	G407-E1662	G407-S124	f75r	BIOLOGICAL	otody	OT+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: setze denselben Stationsposten im Stationsgang an; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: setze denselben Stationsposten im Stationsgang an; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
75	G407-E1687	G407-S130	f75r	BIOLOGICAL	qotan	OT+AN	AN	LOCAL_OR_CLASS_SIGN	AN	0	als Klasse	in der bezeichneten Klasse	Danach im laufenden Gang: bearbeite denselben Stationsposten; als Klasse.	Danach im laufenden Gang: bearbeite denselben Stationsposten; in der bezeichneten Klasse.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
76	G407-E1701	G407-S131	f75r	BIOLOGICAL	olom	OL+O+AM_ADDR	O+AM_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter im laufenden Gang: setze denselben Stationsposten im Stationsgang an; zur Ausführung; an der bezeichneten Stelle.	Weiter im laufenden Gang: setze denselben Stationsposten im Stationsgang an; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
77	G407-E1846	G407-S194	f76r	BIOLOGICAL	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	D_ADDR+D_ADDR+AR	LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN+RELATION	NONE	1	an der bezeichneten Stelle; an der bezeichneten Stelle; von der Ausgangsstation	an der bezeichneten Stelle und an der bezeichneten Stelle; von der Ausgangsstation	Danach im laufenden Gang: halte den Stationsposten; an der bezeichneten Stelle; an der bezeichneten Stelle; von der Ausgangsstation.	Danach im laufenden Gang: halte den Stationsposten; an der bezeichneten Stelle und an der bezeichneten Stelle; von der Ausgangsstation.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
78	G407-E1937	G407-S215	f76r	BIOLOGICAL	qool	CARRIER_Q+O+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter im laufenden Gang: halte denselben Stationsposten; am Beginn; zur Ausführung.	Weiter im laufenden Gang: halte denselben Stationsposten; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
79	G407-E2059	G407-S246	f76r	BIOLOGICAL	qoloin	OL+O+IIN	O+IIN	FORMAL_CONTROL+FORMAL_CONTROL	O|IIN	1	zur Ausführung; auf der Stufe	als Ausführung und auf der bezeichneten Stufe	Weiter im laufenden Gang: setze dieselbe Stationseinheit im Stationsgang an; zur Ausführung; auf der Stufe.	Weiter im laufenden Gang: setze dieselbe Stationseinheit im Stationsgang an; als Ausführung und auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
80	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Weiter: entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I; auf Grad I.	Weiter: entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
81	G407-E2203	G407-S268	f76r	BIOLOGICAL	opchedy	O+P+CHD+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze ein und bearbeite; zur Ausführung; schließe den Schritt.	Setze ein und bearbeite; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
82	G407-E2259	G407-S279	f76r	BIOLOGICAL	poleedaran	P+OL+EE+D_ADDR+AR+AN	EE+D_ADDR+AR+AN	GRADE+LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN	AN	0	auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; als Klasse	auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; in der bezeichneten Klasse	Weiter: setze ein; auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; als Klasse.	Weiter: setze ein; auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; in der bezeichneten Klasse.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
83	G407-E2393	G407-S311	f77r	BIOLOGICAL	poldarais	P+OL+D_ADDR+AR+A_ADDR+IIN+S	D_ADDR+AR+A_ADDR+IIN	LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	IIN	0	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der Stufe	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der bezeichneten Stufe	Weiter: setze ein und wähle; an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der Stufe.	Weiter: setze ein und wähle; an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
84	G407-E2423	G407-S320	f77r	BIOLOGICAL	qodeedy	O+D_ADDR+EE+DY	O+D_ADDR+EE	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+GRADE	O	0	zur Ausführung; an der bezeichneten Stelle; auf Grad II	als Ausführung; an der bezeichneten Stelle; auf Grad II	Im laufenden Gang: Stelle denselben Stationsposten ein; zur Ausführung; an der bezeichneten Stelle; auf Grad II; schließe den Schritt.	Im laufenden Gang: Stelle denselben Stationsposten ein; als Ausführung; an der bezeichneten Stelle; auf Grad II; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
85	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Halte dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; auf Grad I; auf Grad I; schließe den Schritt.	Halte dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
86	G407-E2649	G407-S384	f77r	BIOLOGICAL	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte denselben Stationswert; zur Ausführung; schließe den Schritt.	Halte denselben Stationswert; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
87	G407-E2706	G407-S392	f77r	BIOLOGICAL	saiisol	S+A_ADDR+IIN+S+OL	A_ADDR+IIN	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	IIN	0	an der bezeichneten Stelle; auf der Stufe	an der bezeichneten Stelle; auf der bezeichneten Stufe	Weiter: wähle denselben Stationsposten und wähle denselben Stationsposten; an der bezeichneten Stelle; auf der Stufe.	Weiter: wähle denselben Stationsposten und wähle denselben Stationsposten; an der bezeichneten Stelle; auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
88	G407-E2714	G407-S393	f81r	BIOLOGICAL	polchoy	P+OL+CH+O+Y	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter: setze den Stationsposten ein und entnimm den Stationsposten; zur Ausführung.	Weiter: setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
89	G407-E2717	G407-S394	f81r	BIOLOGICAL	opchedy	O+P+CHD+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; zur Ausführung; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
90	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Halte denselben Stationsposten und entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I; auf Grad I; schließe den Schritt.	Halte denselben Stationsposten und entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
91	G407-E2802	G407-S410	f81r	BIOLOGICAL	oeeedy	O+EEE+DY	O+EEE	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad III	als Ausführung und auf Grad III	Im laufenden Gang: Halte denselben Stationsanteil; zur Ausführung; auf Grad III; schließe den Schritt.	Im laufenden Gang: Halte denselben Stationsanteil; als Ausführung und auf Grad III; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
92	G407-E2809	G407-S414	f81r	BIOLOGICAL	qopchol	CARRIER_Q+O+P+CH+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: setze ein und entnimm; am Beginn; zur Ausführung.	Weiter: setze ein und entnimm; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
93	G407-E2812	G407-S415	f81r	BIOLOGICAL	opol	O+P+OL	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter: setze dieselbe Stationseinheit ein; zur Ausführung.	Weiter: setze dieselbe Stationseinheit ein; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
94	G407-E2821	G407-S417	f81r	BIOLOGICAL	osheedy	O+SH+EE+DY	O+EE	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad II	als Ausführung und auf Grad II	Halte denselben Stationsposten; zur Ausführung; auf Grad II; schließe den Schritt.	Halte denselben Stationsposten; als Ausführung und auf Grad II; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
95	G407-E2862	G407-S425	f81r	BIOLOGICAL	ody	O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Setze denselben Stationsposten ein; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Setze denselben Stationsposten ein; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
96	G407-E3011	G407-S454	f81v	BIOLOGICAL	daiidy	DA+IIN+DY	DA+IIN	FORMAL_CONTROL+FORMAL_CONTROL	IIN	1	auf der zweiten Stufe; auf der Stufe	auf der zweiten Stufe und auf der bezeichneten Stufe	Im laufenden Gang: Führe denselben Stationsposten zu; auf der zweiten Stufe; auf der Stufe; schließe den Schritt.	Im laufenden Gang: Führe denselben Stationsposten zu; auf der zweiten Stufe und auf der bezeichneten Stufe; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
97	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	D_ADDR+D_ADDR	LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	NONE	1	an der bezeichneten Stelle; an der bezeichneten Stelle	an der bezeichneten Stelle und an der bezeichneten Stelle	Weiter: halte den Stationsposten; an der bezeichneten Stelle; an der bezeichneten Stelle.	Weiter: halte den Stationsposten; an der bezeichneten Stelle und an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
98	G407-E3200	G407-S498	f82r	BIOLOGICAL	octheol	O+CH+T+E+OL	O+E	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	Weiter: entnimm denselben Stationswert und stelle denselben Stationswert ein; zur Ausführung; auf Grad I.	Weiter: entnimm denselben Stationswert und stelle denselben Stationswert ein; als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
99	G407-E3251	G407-S509	f82r	BIOLOGICAL	qopol	CARRIER_Q+O+P+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: setze denselben Stationsposten ein; am Beginn; zur Ausführung.	Weiter: setze denselben Stationsposten ein; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
100	G407-E3259	G407-S510	f82r	BIOLOGICAL	olqo	OL+CARRIER_Q+O	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter im laufenden Gang: bearbeite denselben Stationsposten; am Beginn; zur Ausführung.	Weiter im laufenden Gang: bearbeite denselben Stationsposten; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
101	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	CARRIER_Q|O	3	am Beginn; zur Ausführung; auf Grad I; auf Grad I	als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I	Wähle denselben Stationsposten; am Beginn; zur Ausführung; auf Grad I; auf Grad I; schließe den Schritt.	Wähle denselben Stationsposten; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
102	G407-E3402	G407-S545	f82r	BIOLOGICAL	lochedy	L+O+CHD+DY	L+O	RELATION+FORMAL_CONTROL	O	0	über die sichtbare Verbindung; zur Ausführung	über die sichtbare Verbindung; als Ausführung	Bearbeite denselben Stationsposten; über die sichtbare Verbindung; zur Ausführung; schließe den Schritt.	Bearbeite denselben Stationsposten; über die sichtbare Verbindung; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
103	G407-E3457	G407-S557	f83r	BIOLOGICAL	opedy	O+P+E+DY	O+E	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	Setze denselben Stationsposten ein; zur Ausführung; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten ein; als Ausführung und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
104	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Entnimm dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und setze dieselbe Stationseinheit ein; auf Grad I; auf Grad I; schließe den Schritt.	Entnimm dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und setze dieselbe Stationseinheit ein; auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
105	G407-E3559	G407-S583	f83r	BIOLOGICAL	qockhol	CARRIER_Q+O+CH+K+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: entnimm denselben Stationsposten und führe denselben Stationsposten zu; am Beginn; zur Ausführung.	Weiter: entnimm denselben Stationsposten und führe denselben Stationsposten zu; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
106	G407-E3575	G407-S587	f83r	BIOLOGICAL	qedy	CARRIER_Q+E+DY	CARRIER_Q+E	FORMAL_CONTROL+GRADE	CARRIER_Q	1	am Beginn; auf Grad I	als neuen Einsatz und auf Grad I	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; am Beginn; auf Grad I; schließe den Schritt.	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; als neuen Einsatz und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
107	G407-E3612	G407-S597	f83r	BIOLOGICAL	shocphedy	SH+O+CH+P+E+DY	O+E	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	Halte denselben Stationsposten und entnimm denselben Stationsposten und setze denselben Stationsposten ein; zur Ausführung; auf Grad I; schließe den Schritt.	Halte denselben Stationsposten und entnimm denselben Stationsposten und setze denselben Stationsposten ein; als Ausführung und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
108	G407-E3699	G407-S627	f83r	BIOLOGICAL	qody	CARRIER_Q+O+DY	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Im laufenden Gang: Halte denselben Stationsposten; am Beginn; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Halte denselben Stationsposten; als neuen Einsatz und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
