argumentless_ordinal	gap_ordinal	event_id	statement_id	card_ordinal_in_statement	statement_event_count	physical_page	register	surface	final_recipe	action_gap	argument_gap	overlap_gap	statement_initial	statement_final	predecessor_event_id	successor_event_id	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	action_consumer_count	immediate_action_consumer_count	argument_consumer_count	immediate_argument_consumer_count	action_consumer_event_ids	argument_consumer_event_ids	actionless_role	argumentless_role	primary_gap_role	primary_gap_role_de	portable_semantic_macro	current_clause_de	immediate_paired_reading_de	retention
43	45	G515-E0446	G515-S051	1	2	f66r	SOURCE_SECTION_T	dal	AL	YES	YES	YES	YES	NO	NONE	G515-E0447	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:REL:AL	Zur Zielspalte.	Zur Zielspalte.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
44	46	G515-E0447	G515-S051	2	2	f66r	SOURCE_SECTION_T	shedy	SH+E+DY	NO	YES	NO	NO	YES	G515-E0446	NONE	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:SH;X:-;C:GRADE:I>CLOSE	Halte fest; auf Grad I; schließe den Schritt.	Halte fest; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
45	47	G515-E0457	G515-S054	1	1	f66r	SOURCE_SECTION_T	shedy	SH+E+DY	NO	YES	NO	YES	YES	NONE	NONE	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:SH;X:-;C:GRADE:I>CLOSE	Halte fest; auf Grad I; schließe den Schritt.	Halte fest; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
46	48	G515-E0458	G515-S055	1	1	f66r	SOURCE_SECTION_T	shedy	SH+E+DY	NO	YES	NO	YES	YES	NONE	NONE	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:SH;X:-;C:GRADE:I>CLOSE	Halte fest; auf Grad I; schließe den Schritt.	Halte fest; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
47	49	G515-E0459	G515-S056	1	22	f66r	SOURCE_SECTION_T	dair	D_ADDR+AIR	YES	YES	YES	YES	NO	NONE	G515-E0460	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AIR	Entlang der Lesebahn; an der bezeichneten Stelle.	Entlang der Lesebahn; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
48	50	G515-E0460	G515-S056	2	22	f66r	SOURCE_SECTION_T	sair	S+AIR	NO	YES	NO	NO	NO	G515-E0459	G515-E0461	S	NONE	S	NONE	NONE	NONE	5	1	0	0	G515-E0461|G515-E0462|G515-E0463|G515-E0464|G515-E0465	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:S;X:-;C:REL:AIR	Wähle; entlang der Lesebahn.	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
49	51	G515-E0461	G515-S056	3	22	f66r	SOURCE_SECTION_T	ol	OL	NO	YES	NO	NO	NO	G515-E0460	G515-E0462	NONE	S	S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	CARRIED_ACTION_OBJECTLESS_CONTROL	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	A:^S;X:-;C:CONTINUE	Im laufenden Satz wähle; führe fort.	Im laufenden Satz wähle; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
50	53	G515-E0497	G515-S060	1	6	f66r	SOURCE_SECTION_T	dal	AL	YES	YES	YES	YES	NO	NONE	G515-E0498	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:REL:AL	Zur Zielspalte.	Zur Zielspalte.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
51	54	G515-E0498	G515-S060	2	6	f66r	SOURCE_SECTION_T	shol	SH+OL	NO	YES	NO	NO	NO	G515-E0497	G515-E0499	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:SH;X:-;C:CONTINUE	Halte fest; führe fort.	Halte fest; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
52	55	G515-E0503	G515-S061	1	1	f66r	SOURCE_SECTION_T	oteedy	OT+EE+DY	YES	YES	YES	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CLOSURE_BOUNDARY	NO_ACTION__CLOSURE_BOUNDARY	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	A:-;X:-;C:THEN>GRADE:II>CLOSE	Danach: auf Grad II; schließe den Schritt.	Danach: auf Grad II; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
53	56	G515-E0524	G515-S066	1	1	f66r	SOURCE_SECTION_T	otchedy	OT+CHD+DY	NO	YES	NO	YES	YES	NONE	NONE	CHD	NONE	CHD	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:CHD;X:-;C:THEN>CLOSE	Danach: bearbeite; schließe den Schritt.	Danach: bearbeite; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
54	60	G515-E0566	G515-S072	1	1	f66r	SOURCE_SECTION_T	lchedy	L+CHD+DY	NO	YES	NO	YES	YES	NONE	NONE	CHD	NONE	CHD	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:CHD;X:-;C:REL:L>CLOSE	Bearbeite; über die Eintragsverbindung; schließe den Schritt.	Bearbeite; über die Eintragsverbindung; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
55	61	G515-E0576	G515-S074	1	1	f66r	SOURCE_SECTION_T	kody	K+O+DY	NO	YES	NO	YES	YES	NONE	NONE	K	NONE	K	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:K;X:-;C:EXEC>CLOSE	Ordne zu; zur Ausführung; schließe den Schritt.	Ordne zu; zur Ausführung; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
56	62	G515-E0577	G515-S075	1	1	f66r	SOURCE_SECTION_T	qotchedy	OT+CHD+DY	NO	YES	NO	YES	YES	NONE	NONE	CHD	NONE	CHD	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:CHD;X:-;C:THEN>CLOSE	Danach: bearbeite; schließe den Schritt.	Danach: bearbeite; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
57	63	G515-E0578	G515-S076	1	1	f66r	SOURCE_SECTION_T	cphedy	CH+P+E+DY	NO	YES	NO	YES	YES	NONE	NONE	CH|P	NONE	CH|P	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:CH+P;X:-;C:GRADE:I>CLOSE	Entnimm und setze ein; auf Grad I; schließe den Schritt.	Entnimm und setze ein; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
