card_no	surfaces	graphic_component_parse	semantic_component_parse	consolidated_short_default_de	component_count	slot_signature	distinct_slots	repeated_slot	silent_fill_needed	occurrences	records	composition_status	action_components	grade_scope_assignments	grade_doctrine_names
PROC089	otar	OT+AR	OT+AR	DANACH·QUELLE	2	SEQUENCE>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	B1	COMPOSITIONAL	NONE	NONE	NONE
PROC090	ytey	T+E+Y	T+E+Y	EINTRAGEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	T	E->T	SHORT_OR_COMPLETE_ENTRY
PROC091	okchedy|qokchedy	OK+CHD+DY	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B3	COMPOSITIONAL	OK|CHD	NONE	SHORT_LONG_OR_FULL_APPLICATION|UNIT_TRANSFER
PROC092	okeey|qokeey	OK+EE+Y	OK+EE+Y	ANSETZEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	7	B1|B2|B3|B4	COMPOSITIONAL	OK	EE->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC093	teol	E+OL	E+OL	KURZ·FORTSETZEN	2	GRADE>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B1	COMPOSITIONAL	NONE	E->NONE	NONE
PROC094	dchdy	CHD+DY	CHD+DY	UMSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC095	ly	L+Y	L+Y	FUEHREN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC096	dsheol	SH+E+OL	SH+E+OL	HALTEN·KURZ·FORTSETZEN	3	ACTION>GRADE>SEQUENCE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC097	oiiin|soiiin	O+IIN	O+IIN	GANG·STUFE	2	OBJECT_MATERIAL>QUANTITY_STAGE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B1|B3	COMPOSITIONAL	NONE	NONE	NONE
PROC098	olkeedy|solkeedy	SOLK+EE+DY	SOLK+EE+DY	AUFFANGEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3	COMPOSITIONAL	SOLK	EE->SOLK	SHORT_OR_LONG_COLLECTION
PROC099	shckhedy	SH+CKH+E+DY	SH+CKH+E+DY	HALTEN·DURCHLASS·KURZ·SCHLUSS	4	ACTION>SOURCE_PATH_TARGET>GRADE>CLOSE	4	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	3	B1|B4	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC100	qokeedy	OK+EE+DY	OK+EE+DY	ANSETZEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	10	B2|B3|B4	COMPOSITIONAL	OK	EE->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC101	lcheckhy	L+CKH+Y	L+CKH+Y	FUEHREN·DURCHLASS·DIES	3	ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONE	1	B2	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC102	lched	L+CHD	L+CHD	FUEHREN·UMSETZEN	2	ACTION>ACTION	1	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	L|CHD	NONE	SHORT_OR_LONG_ROUTE|UNIT_TRANSFER
PROC103	lcheckhedy	L+CKH+E+DY	L+CKH+E+DY	FUEHREN·DURCHLASS·KURZ·SCHLUSS	4	ACTION>SOURCE_PATH_TARGET>GRADE>CLOSE	4	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B2	COMPOSITIONAL	L	E->L	SHORT_OR_LONG_ROUTE
PROC104	qokaly	OK+AL+Y	OK+AL+Y	ANSETZEN·ZIEL·DIES	3	ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONE	1	B2	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC105	solkaiin	SOLK+AIIN	SOLK+AIIN	AUFFANGEN·MASS	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	SOLK	NONE	SHORT_OR_LONG_COLLECTION
PROC106	octheol	O+CTH+E+OL	O+CTH+E+OL	GANG·BEREIT·KURZ·FORTSETZEN	4	OBJECT_MATERIAL>STATE>GRADE>SEQUENCE	4	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B2	COMPOSITIONAL	NONE	E->NONE	NONE
PROC107	chkeey	CHK+EE+Y	CHK+EE+Y	WAERMEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	CHK	EE->CHK	SHORT_OR_LONG_HEAT
PROC108	ldy	L+DY	L+DY	FUEHREN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B2|B3	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC109	oteey	OT+EE+Y	OT+EE+Y	DANACH·LANG·DIES	3	SEQUENCE>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B2	COMPOSITIONAL	NONE	EE->NONE	NONE
PROC110	sheckhy	SH+E+CKH+Y	SH+E+CKH+Y	HALTEN·KURZ·DURCHLASS·DIES	4	ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL	4	NO	NONE	1	B2	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC111	dshedy	SH+E+DY	SH+E+DY	HALTEN·KURZ·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC112	otaiin|sotaiin	OT+AIIN	OT+AIIN	DANACH·MASS	2	SEQUENCE>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	3	B2|B3	COMPOSITIONAL	NONE	NONE	NONE
PROC113	qokar	OK+AR	OK+AR	ANSETZEN·QUELLE	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B2	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC114	solshedy	OL+SH+E+DY	OL+SH+E+DY	FORTSETZEN·HALTEN·KURZ·SCHLUSS	4	SEQUENCE>ACTION>GRADE>CLOSE	4	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC115	ls	LS	OL	FORTSETZEN	1	SEQUENCE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B2	LEARNED_WHOLE_CARD	NONE	NONE	NONE
PROC116	lchy	L+CH+Y	L+CH+Y	FUEHREN·ABZIEHEN·DIES	3	ACTION>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	L|CH	NONE	SHORT_OR_LONG_ROUTE|SHORT_OR_LONG_DRAW
PROC117	qcthey|shcthey	CTH+E+Y	CTH+E+Y	BEREIT·KURZ·DIES	3	STATE>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B2|B3	COMPOSITIONAL	NONE	E->NONE	NONE
PROC118	lcheey	L+EE+Y	L+EE+Y	FUEHREN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	L	EE->L	SHORT_OR_LONG_ROUTE
PROC119	qokeeedy	OK+EEE+DY	OK+EEE+DY	ANSETZEN·VOLL·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	OK	EEE->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC120	lchedy	L+CHD+DY	L+CHD+DY	FUEHREN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	8	B2|B3|B4	COMPOSITIONAL	L|CHD	NONE	SHORT_OR_LONG_ROUTE|UNIT_TRANSFER
PROC121	lar	L+AR	L+AR	FUEHREN·QUELLE	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B2	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC122	tshey	SH+E+Y	SH+E+Y	HALTEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC123	lchedar	L+CHD+AR	L+CHD+AR	FUEHREN·UMSETZEN·QUELLE	3	ACTION>ACTION>SOURCE_PATH_TARGET	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B2	COMPOSITIONAL	L|CHD	NONE	SHORT_OR_LONG_ROUTE|UNIT_TRANSFER
PROC124	ches	CH+E+S	CH+E+S	ABZIEHEN·KURZ·TEILEN	3	ACTION>GRADE>ACTION	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	PARTIAL_WITH_LEARNED_ATOM	CH|S	E->CH	SHORT_OR_LONG_DRAW|DIVIDE_ONCE
PROC125	pchedy	P+CHD+DY	P+CHD+DY	HINEIN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	P|CHD	NONE	INSTANT_LOAD|UNIT_TRANSFER
PROC126	rsheal	R+SH+E+AL	R+SH+E+AL	KUEHLEN·HALTEN·KURZ·ZIEL	4	ACTION>ACTION>GRADE>SOURCE_PATH_TARGET	3	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B2	COMPOSITIONAL	R|SH	E->SH	COOL_TO_STATE|SHORT_OR_LONG_HOLD
PROC127	daldy	AL+DY	AL+DY	ZIEL·SCHLUSS	2	SOURCE_PATH_TARGET>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	B2	COMPOSITIONAL	NONE	NONE	NONE
PROC128	rshedy	R+SHED+DY	R+SHED+DY	KUEHLEN·ABSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	R|SHED	NONE	COOL_TO_STATE|SETTLE_TO_RESULT
PROC129	qoteedy	OT+EE+DY	OT+EE+DY	DANACH·LANG·SCHLUSS	3	SEQUENCE>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B2|B3	COMPOSITIONAL	NONE	EE->NONE	NONE
PROC130	lochedy	L+O+CHD+DY	L+O+CHD+DY	FUEHREN·GANG·UMSETZEN·SCHLUSS	4	ACTION>OBJECT_MATERIAL>ACTION>CLOSE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B2	COMPOSITIONAL	L|CHD	NONE	SHORT_OR_LONG_ROUTE|UNIT_TRANSFER
PROC131	otal|qotal	OT+AL	OT+AL	DANACH·ZIEL	2	SEQUENCE>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	3	B3|B4	COMPOSITIONAL	NONE	NONE	NONE
PROC132	chkeedy	CHK+EE+DY	CHK+EE+DY	WAERMEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	CHK	EE->CHK	SHORT_OR_LONG_HEAT
PROC133	chedchy	CHD+Y	CHD+Y	UMSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC134	pchedal	P+CHD+AL	P+CHD+AL	HINEIN·UMSETZEN·ZIEL	3	ACTION>ACTION>SOURCE_PATH_TARGET	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B3	COMPOSITIONAL	P|CHD	NONE	INSTANT_LOAD|UNIT_TRANSFER
PROC135	otedy	OT+E+DY	OT+E+DY	DANACH·KURZ·SCHLUSS	3	SEQUENCE>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B3	COMPOSITIONAL	NONE	E->NONE	NONE
PROC136	shecthedchy	SH+E+CTH+CHD+Y	SH+E+CTH+CHD+Y	HALTEN·KURZ·BEREIT·UMSETZEN·DIES	5	ACTION>GRADE>STATE>ACTION>OBJECT_MATERIAL	4	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	SH|CHD	E->SH	SHORT_OR_LONG_HOLD|UNIT_TRANSFER
PROC137	chary	AR+Y	AR+Y	QUELLE·DIES	2	SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	NO	NONACTION_ARGUMENT_OR_STATE_CARD	1	B3	COMPOSITIONAL	NONE	NONE	NONE
PROC138	okair	OK+AIR	OK+AIR	ANSETZEN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B3	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC139	sheedy	SH+EE+DY	SH+EE+DY	HALTEN·LANG·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	SH	EE->SH	SHORT_OR_LONG_HOLD
PROC140	lo	L+O	L+O	FUEHREN·GANG	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC141	qokshedy	OK+SH+E+DY	OK+SH+E+DY	ANSETZEN·HALTEN·KURZ·SCHLUSS	4	ACTION>ACTION>GRADE>CLOSE	3	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	OK|SH	E->SH	SHORT_LONG_OR_FULL_APPLICATION|SHORT_OR_LONG_HOLD
PROC142	shedal	SHED+AL	SHED+AL	ABSETZEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	2	B3|B5	COMPOSITIONAL	SHED	NONE	SETTLE_TO_RESULT
PROC143	shecthy	SH+E+CTH+Y	SH+E+CTH+Y	HALTEN·KURZ·BEREIT·DIES	4	ACTION>GRADE>STATE>OBJECT_MATERIAL	4	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC144	dalchdy	AL+CHD+DY	AL+CHD+DY	ZIEL·UMSETZEN·SCHLUSS	3	SOURCE_PATH_TARGET>ACTION>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC145	otchedy|qotchedy	OT+CHD+DY	OT+CHD+DY	DANACH·UMSETZEN·SCHLUSS	3	SEQUENCE>ACTION>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC146	cheedar	EE+AR	EE+AR	LANG·QUELLE	2	GRADE>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	B3	COMPOSITIONAL	NONE	EE->NONE	NONE
PROC147	chldaiin	L+AIIN	L+AIIN	FUEHREN·MASS	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC148	chealror	AL+R+OR	AL+R+OR	ZIEL·KUEHLEN·ANSATZ	3	SOURCE_PATH_TARGET>ACTION>OBJECT_MATERIAL	3	NO	NONE	1	B3	COMPOSITIONAL	R	NONE	COOL_TO_STATE
PROC149	cheeety	EEE+T+Y	EEE+T+Y	VOLL·EINTRAGEN·DIES	3	GRADE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	T	EEE->T	SHORT_OR_COMPLETE_ENTRY
PROC150	schedair	CHD+AIR	CHD+AIR	UMSETZEN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC151	chedain	CHD+AIN	CHD+AIN	UMSETZEN·PORTION	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC152	qotedaiin	OT+E+AIIN	OT+E+AIIN	DANACH·KURZ·MASS	3	SEQUENCE>GRADE>QUANTITY_STAGE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B3	COMPOSITIONAL	NONE	E->NONE	NONE
PROC153	olsaly	OL+AL+Y	OL+AL+Y	FORTSETZEN·ZIEL·DIES	3	SEQUENCE>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONACTION_ARGUMENT_OR_STATE_CARD	1	B3	COMPOSITIONAL	NONE	NONE	NONE
PROC154	qolchey	OL+Y	OL+Y	FORTSETZEN·DIES	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B4	COMPOSITIONAL	NONE	NONE	NONE
PROC155	qokylddy	OK+Y+LD+DY	OK+Y+LD+DY	ANSETZEN·DIES·BEFESTIGEN·SCHLUSS	4	ACTION>OBJECT_MATERIAL>ACTION>CLOSE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	PARTIAL_WITH_LEARNED_ATOM	OK|LD	NONE	SHORT_LONG_OR_FULL_APPLICATION|FASTEN_ONCE
PROC156	dain	AIN	AIN	PORTION	1	QUANTITY_STAGE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	B4|B6	COMPOSITIONAL	NONE	NONE	NONE
PROC157	sheey	SH+EE+Y	SH+EE+Y	HALTEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	COMPOSITIONAL	SH	EE->SH	SHORT_OR_LONG_HOLD
PROC158	okeeol	OK+EE+OL	OK+EE+OL	ANSETZEN·LANG·FORTSETZEN	3	ACTION>GRADE>SEQUENCE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	COMPOSITIONAL	OK	EE->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC159	lkedy	L+K+E+DY	L+K+E+DY	FUEHREN·ZUFUEHREN·KURZ·SCHLUSS	4	ACTION>ACTION>GRADE>CLOSE	3	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	COMPOSITIONAL	L|K	E->K	SHORT_OR_LONG_ROUTE|PULSED_FEED
PROC160	qokol	OK+OL	OK+OL	ANSETZEN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC161	qockhey	O+CKH+E+Y	O+CKH+E+Y	GANG·DURCHLASS·KURZ·DIES	4	OBJECT_MATERIAL>SOURCE_PATH_TARGET>GRADE>OBJECT_MATERIAL	3	YES	NONACTION_ARGUMENT_OR_STATE_CARD	1	B4	COMPOSITIONAL	NONE	E->NONE	NONE
PROC162	dairydy	AIR+Y+DY	AIR+Y+DY	LAUF·DIES·SCHLUSS	3	SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	3	NO	NONACTION_ARGUMENT_OR_STATE_CARD	1	B4	COMPOSITIONAL	NONE	NONE	NONE
PROC163	chckhal	CH+CKH+AL	CH+CKH+AL	ABZIEHEN·DURCHLASS·ZIEL	3	ACTION>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B4	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC164	solkey	SOLK+E+Y	SOLK+E+Y	AUFFANGEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B4	COMPOSITIONAL	SOLK	E->SOLK	SHORT_OR_LONG_COLLECTION
PROC165	skar	K+AR	K+AR	ZUFUEHREN·QUELLE	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC166	otchdy	OT+CHD+DY	OT+CHD+DY	DANACH·UMSETZEN·SCHLUSS	3	SEQUENCE>ACTION>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B5	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC167	lol	L+OL	L+OL	FUEHREN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B5	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC168	chdal	CHD+AL	CHD+AL	UMSETZEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B5	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC169	daiiin	DA+IIN	DA+IIN	ZWEIT·STUFE	2	QUANTITY_STAGE>QUANTITY_STAGE	1	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	B5	PARTIAL_WITH_LEARNED_ATOM	NONE	NONE	NONE
PROC170	solkeey	SOLK+EE+Y	SOLK+EE+Y	AUFFANGEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B6	COMPOSITIONAL	SOLK	EE->SOLK	SHORT_OR_LONG_COLLECTION
PROC171	qekey	E+K+E+Y	E+K+E+Y	KURZ·ZUFUEHREN·KURZ·DIES	4	GRADE>ACTION>GRADE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B6	COMPOSITIONAL	K	E->K|E->K	PULSED_FEED
PROC172	raly	R+AL+Y	R+AL+Y	KUEHLEN·ZIEL·DIES	3	ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONE	1	B6	COMPOSITIONAL	R	NONE	COOL_TO_STATE
PROC173	ldalor	L+AL+OR	L+AL+OR	FUEHREN·ZIEL·ANSATZ	3	ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	3	NO	NONE	1	B6	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
