statement_order	statement_id	record_unit_id	page	clause_count	creative_resolution_count	owner_expanded_literal_statement_de	current_concrete_source_expansion_de
88	B3-S026	B3	f83r	6	6	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Quelle=gesetzt. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Posten=Posten. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Wert=Anteil. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Zustand=bereit. Am Besitzer eingehender Ansatz für das sichtbar gekoppelte Hauptpaar: Vorgang=sammeln; Posten=Ansatz; Ziel=gesetzt; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.
89	B3-S027	B3	f83r	1	0	Vorgang=folgen; Reihenfolge=danach; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm die lange Folge und schließe
90	B3-S028	B3	f83r	2	0	Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe
91	B3-S029	B3	f83r	2	0	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Teil; Grad=vollständig. Vorgang=ansetzen; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
92	B3-S030	B3	f83r	2	0	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß. Vorgang=folgen→umsetzen; Reihenfolge=danach; Lauf=gesetzt; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe
93	B3-S031	B3	f83r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe
94	B3-S032	B3	f83r	2	0	Vorgang=umsetzen; Wert=Anteil. Vorgang=umsetzen→folgen; Reihenfolge=danach; Posten=Posten; Wert=Sollmaß; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
95	B3-S033	B3	f83r	1	0	Vorgang=abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Ziehe ab und schließe
96	B3-S034	B3	f83r	3	0	Vorgang=bereithalten; Posten=Posten; Wert=Stufe; Zustand=bereit. Vorgang=teilen; Posten=Teil. Vorgang=folgen→absetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
97	B4-S001	B4	f83r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
98	B4-S002	B4	f83r	3	0	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
99	B4-S003	B4	f83r	5	0	Vorgang=umsetzen; Posten=Posten. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger. Vorgang=ansetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
100	B4-S004	B4	f83r	1	0	Vorgang=ansetzen; Posten=Posten.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
101	B4-S005	B4	f83r	2	0	Vorgang=umsetzen; Posten=Tuch+Posten. Vorgang=ansetzen; Grad=länger; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
102	B4-S006	B4	f83r	1	0	Vorgang=trennen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
103	B4-S007	B4	f83r	1	0	Vorgang=trennen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
104	B4-S008	B4	f83r	3	0	Vorgang=wärmen; Posten=Posten; Wert=Sollmaß; Grad=länger. Vorgang=halten; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
105	B4-S009	B4	f83r	1	0	Vorgang=absetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
106	B4-S010	B4	f83r	1	0	Vorgang=weiterführen; Reihenfolge=weiter; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
107	B4-S011	B4	f83r	6	0	Vorgang=wärmen; Posten=Posten; Wert=Sollmaß; Grad=kurz. Vorgang=ansetzen→weiterführen; Reihenfolge=weiter; Grad=länger. Vorgang=ansetzen; Wert=Anteil. Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
108	B4-S012	B4	f83r	1	0	Vorgang=abführen→umsetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
109	B4-S013	B4	f83r	2	0	Vorgang=ansetzen→weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
110	B4-S014	B4	f83r	1	0	Vorgang=ansetzen→durchleiten; Posten=Ansatz+Posten; Lauf=gesetzt; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
111	B4-S015	B4	f83r	4	0	Vorgang=ansetzen; Posten=Ergebnis; Wert=Anteil; Zustand=Ergebnis. Vorgang=durchleiten; Ziel=gesetzt; Wert=Anteil. Vorgang=sammeln; Posten=Posten; Grad=kurz. Vorgang=abführen→umsetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
112	B4-S016	B4	f83r	3	0	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil. Vorgang=ausgießen; Quelle=gesetzt. Vorgang=absetzen; Grad=kurz; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
113	B5-S001	B5	f83r	1	0	Vorgang=folgen→umsetzen; Reihenfolge=danach; Schluss.	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
114	B5-S002	B5	f83r	1	0	Vorgang=ansetzen→umsetzen; Schluss.	An der linken figurenlosen Dienststation: Setze um und schließe
115	B5-S003	B5	f83r	6	0	Vorgang=absetzen; Ziel=gesetzt. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen→weiterführen; Reihenfolge=weiter. Vorgang=umsetzen; Ziel=gesetzt; Wert=Sollmaß. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Stufe. Vorgang=umsetzen; Posten=Posten.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
116	B6-S001	B6	f83r	4	0	Vorgang=sammeln; Posten=Posten; Grad=länger. Vorgang=bearbeiten; Posten=Posten; Ziel=gesetzt; Grad=kurz. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Sollmaß. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Tuch+Posten; Ziel=gesetzt.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
