track	unit_id	page	surface_sequence	minimal_dictionary_reading	owner_augmented_reading	selected_source_vocabulary	controlled_record_reading	apprentice_instruction
A3	f69v.16	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 13 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 13 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.17	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 14 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 14 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.18	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 15 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 15 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.19	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 16 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 16 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.20	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 17 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 17 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.21	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 18 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 18 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.22	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 19 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 19 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.23	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 20 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 20 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.24	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 21 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 21 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.25	f69v	2 opaque groups	local label bundle	lokaler Radialplatz 22 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 22 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.26	f69v	2 opaque groups	local label bundle	lokaler Radialplatz 23 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 23 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.27	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 24 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 24 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.28	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 25 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 25 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.29	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 26 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 26 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.30	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 27 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 27 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.31	f69v	2 opaque groups	local label bundle	lokaler Radialplatz 28 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 28 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
