trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
62	B2	f82r	E211	lar	L+AR	von dort abfuehren	dem unteren grünen Mehrfigurenbecken	INLET	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: von dort abfuehren.	E211	lar	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
63	B2	f82r	E212	tshey	CHEEY	Klarlauf zugeben	den Randstationen des unteren Beckens	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: Klarlauf zugeben.	E212	tshey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
64	B2	f82r	E213	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	E213	qokeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
65	B2	f82r	E214	cheal	AL	Ziel	den Randstationen des unteren Beckens	BODY_WORK_AREA;STATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die bezeichnete Zielstelle: dorthin.	E214	cheal	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
66	B2	f82r	E215	lchedar	L+CHD+AR	von dort abführen	den Randstationen des unteren Beckens	INLET	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: von dort abführen.	E215	lchedar	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
67	B2	f82r	E216	ches	PARTITION	teilen	den Randstationen des unteren Beckens	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe die Handlung aus; schließe nur bei Endkarte: teilen.	E216	ches	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
68	B2	f82r	E217	aiin	AIIN	Sollwert	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze Maß, Portion oder Stufe: Sollmaß.	E217	aiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
69	B2	f82r	E218	oteey	OT+EE+Y	danach + länger + dies	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: langer Folgeposten.	E218	oteey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
70	B2	f82r	E219	qokaiin	OK+AIIN	ansetzen + Sollwert	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	E219	qokaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
71	B2	f82r	E220	okey	OK+E+Y	ansetzen + kurz + dies	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	E220	okey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
72	B2	f82r	E221	pchedy	P+CHD+CLOSE	einführen; Schluss	den Randstationen des unteren Beckens	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: einführen; Schluss.	E221	pchedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
73	B2	f82r	E222	rsheal	SH+E+AL	halten + kurz + Ziel	den Randstationen des unteren Beckens	BODY_WORK_AREA;DURATION;STATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen.	E222	rsheal	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
74	B2	f82r	E223	daldy	AL+CLOSE	Ziel + Ende	den Randstationen des unteren Beckens	BODY_WORK_AREA;STATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	E223	daldy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
75	B2	f82r	E224	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	E224	qokeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
76	B2	f82r	E225	rshedy	WASH+CLOSE	waschen + Ende	den Randstationen des unteren Beckens	BODY_WORK_AREA;FILTER;WASH_LIQUID	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	E225	rshedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
77	B2	f82r	E226	qoteedy	OT+EE+CLOSE	danach + länger + Ende	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: lange Folge; Schluss.	E226	qoteedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
78	B2	f82r	E227	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	E227	qokeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
79	B2	f82r	E228	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	den Randstationen des unteren Beckens	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	E228	lochedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
80	A3	f69v	f69v.1:1	A3:G001	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:1	A3:G001	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
81	A3	f69v	f69v.1:2	A3:G002	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 2 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:2	A3:G002	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
82	A3	f69v	f69v.1:3	A3:G003	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 3 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:3	A3:G003	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
83	A3	f69v	f69v.1:4	A3:G004	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 4 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:4	A3:G004	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
84	A3	f69v	f69v.1:5	A3:G005	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 5 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:5	A3:G005	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
85	A3	f69v	f69v.1:6	A3:G006	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 6 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:6	A3:G006	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
86	A3	f69v	f69v.1:7	A3:G007	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 7 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:7	A3:G007	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
87	A3	f69v	f69v.1:8	A3:G008	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 8 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:8	A3:G008	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
88	A3	f69v	f69v.1:9	A3:G009	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 9 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:9	A3:G009	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
89	A3	f69v	f69v.1:10	A3:G010	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 10 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:10	A3:G010	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
90	A3	f69v	f69v.1:11	A3:G011	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 11 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:11	A3:G011	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
91	A3	f69v	f69v.1:12	A3:G012	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 12 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:12	A3:G012	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
92	A3	f69v	f69v.1:13	A3:G013	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 13 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:13	A3:G013	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
93	A3	f69v	f69v.1:14	A3:G014	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 14 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:14	A3:G014	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
94	A3	f69v	f69v.1:15	A3:G015	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 15 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:15	A3:G015	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
95	A3	f69v	f69v.1:16	A3:G016	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 16 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:16	A3:G016	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
96	A3	f69v	f69v.1:17	A3:G017	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 17 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:17	A3:G017	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
97	A3	f69v	f69v.1:18	A3:G018	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 18 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:18	A3:G018	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
98	A3	f69v	f69v.1:19	A3:G019	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 19 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:19	A3:G019	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
99	A3	f69v	f69v.1:20	A3:G020	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 20 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:20	A3:G020	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
100	A3	f69v	f69v.1:21	A3:G021	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 21 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:21	A3:G021	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
101	A3	f69v	f69v.1:22	A3:G022	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 22 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:22	A3:G022	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
102	A3	f69v	f69v.1:23	A3:G023	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 23 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:23	A3:G023	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
103	A3	f69v	f69v.1:24	A3:G024	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 24 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:24	A3:G024	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
