sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
23	B1-S004	B1	f81v	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-2	Zielstelle B1-5	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M15[B1-S004-U01+B1-S004-U02] | SINGLE_SETTLE[B1-S004-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
24	B1-S005	B1	f81v	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-2	Zielstelle B1-5	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	SINGLE_CONTINUE[B1-S005-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
25	B1-S006	B1	f81v	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-2	Zielstelle B1-6	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-6; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	M07[B1-S006-U01+B1-S006-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
26	B1-S007	B1	f81v	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-2	Zielstelle B1-7	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-7; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	SINGLE_SET[B1-S007-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
27	B1-S008	B1	f81v	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-3	NICHT_BENÖTIGT	Vorposten B1-2	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_CONTINUE[B1-S008-U01] | M18[B1-S008-U02+B1-S008-U03] | SINGLE_SETTLE[B1-S008-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
28	B1-S009	B1	f81v	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-3	Zielstelle B1-8	Vorposten B1-2	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-8; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	SINGLE_SET[B1-S009-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
29	B1-S010	B1	f81v	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-3	Zielstelle B1-8	Vorposten B1-2	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-8; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	SINGLE_SET[B1-S010-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
30	B1-S011	B1	f81v	chckhy qoky	CKH+Y | OK+Y	durchleiten; aktuellen Posten ansetzen	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-3	Zielstelle B1-9	Vorposten B1-2	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-9; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	M08[B1-S011-U01+B1-S011-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
31	B1-S012	B1	f81v	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	Waschgang beginnen; kurz ansetzen; waschen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-3	Zielstelle B1-10	Vorposten B1-2	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-10; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	SINGLE_WASH[B1-S012-U01] | SINGLE_SET[B1-S012-U02] | SINGLE_WASH[B1-S012-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
32	B1-S013	B1	f81v	lshedy	WASH+CLOSE	waschen; Schluss	OWNER|ACTIVE|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-4	NICHT_BENÖTIGT	Vorposten B1-3	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	SINGLE_WASH[B1-S013-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
33	B1-S014	B1	f81v	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-4	Zielstelle B1-13	Vorposten B1-3	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; die geltende Zieladresse ist Zielstelle B1-13; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	M03[B1-S014-U01+B1-S014-U02+B1-S014-U03] | SINGLE_CONTINUE[B1-S014-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
34	B1-S015	B1	f81v	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-4	Zielstelle B1-13	Vorposten B1-3	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; die geltende Zieladresse ist Zielstelle B1-13; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	SINGLE_SET[B1-S015-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
35	B1-S016	B1	f81v	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	NICHT_BENÖTIGT	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M19[B1-S016-U01+B1-S016-U02] | M11[B1-S016-U03+B1-S016-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
36	B1-S017	B1	f81v	sal teol dchdy	AL | E+OL | CHD+CLOSE	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	Zielstelle B1-15	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-15; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	M17[B1-S017-U01+B1-S017-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
37	B1-S018	B1	f81v	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	Zielstelle B1-15	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-15; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	SINGLE_LEAD_OUT[B1-S018-U01] | SINGLE_HOLD[B1-S018-U02] | SINGLE_COLLECT[B1-S018-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
38	B1-S019	B1	f81v	tedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	Zielstelle B1-16	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-16; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_SETTLE[B1-S019-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
39	B1-S020	B1	f81v	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	kurz wärmen; seihen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	Zielstelle B1-16	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-16; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	SINGLE_WARM[B1-S020-U01] | SINGLE_STRAIN[B1-S020-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
40	B1-S021	B1	f81v	chal	AL	dorthin	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-5	Zielstelle B1-17	Vorposten B1-4	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-17; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	SINGLE_OWNER_ACTION[B1-S021-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
41	B2-S001	B2	f82r	dchedy	CHD+CLOSE	Posten überführen; Schluss	OWNER|ACTIVE|TARGET	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-1	NICHT_BENÖTIGT	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-1. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	SINGLE_TRANSFER[B2-S001-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
42	B2-S002	B2	f82r	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	OWNER|ACTIVE|TARGET	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-1	NICHT_BENÖTIGT	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-1. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	SINGLE_CONTINUE[B2-S002-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
43	B2-S003	B2	f82r	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	OWNER|ACTIVE|TARGET	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-2	NICHT_BENÖTIGT	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	M19[B2-S003-U01+B2-S003-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
44	B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-2	Vorposten B2-2	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-2; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	SINGLE_SET[B2-S004-U01] | SINGLE_LEAD_OUT[B2-S004-U02] | SINGLE_LEAD_OUT[B2-S004-U03] | SINGLE_SET[B2-S004-U04] | SINGLE_LEAD_OUT[B2-S004-U05]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
45	B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	OWNER|ACTIVE|TARGET|PREVIOUS	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-3	Vorposten B2-2	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-3; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	SINGLE_SET[B2-S005-U01] | SINGLE_COLLECT[B2-S005-U02] | M08[B2-S005-U03+B2-S005-U04] | M09[B2-S005-U05+B2-S005-U06] | SINGLE_WARM[B2-S005-U07] | SINGLE_LEAD_OUT[B2-S005-U08]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
46	B2-S006	B2	f82r	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	OWNER|ACTIVE|TARGET|PREVIOUS	den oberen Paarbecken mit Zylinder	Arbeitsposten B2-1	Zielstelle B2-6	Vorposten B2-2	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-6; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	M07[B2-S006-U01+B2-S006-U02] | SINGLE_SET[B2-S006-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
47	B2-S007	B2	f82r	dshedy	SHED+E+CLOSE	kurz absetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren linken Vorrichtung mit Zwischenknoten	Arbeitsposten B2-1	Zielstelle B2-7	Vorposten B2-2	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-7; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	SINGLE_SETTLE[B2-S007-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
48	B2-S008	B2	f82r	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren linken Vorrichtung mit Zwischenknoten	Arbeitsposten B2-3	Zielstelle B2-8	Vorposten B2-1	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M10[B2-S008-U01+B2-S008-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
49	B2-S009	B2	f82r	solshedy	OL+SHED+CLOSE	weiter absetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren linken Vorrichtung mit Zwischenknoten	Arbeitsposten B2-3	Zielstelle B2-8	Vorposten B2-1	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	SINGLE_CONTINUE[B2-S009-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
