rule_no	body_surface	register	field_position	previous_wrapper	predicted_wrapper	selection_layer	support_events	observed_wrapper_counts
263	or	HERBAL_A	MIDDLE	sh	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
264	or	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
265	or	OTHER_B	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|s:1
266	orain	HERBAL_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
267	os	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
268	otaiin	OTHER_B	FIRST	d	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
269	otaiin	OTHER_B	MIDDLE	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
270	otaiin	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
271	otal	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
272	otal	OTHER_B	LAST	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
273	otal	OTHER_B	MIDDLE	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
274	otar	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
275	otchdy	OTHER_B	ONLY	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
276	otchedy	OTHER_B	LAST	s	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
277	otchedy	OTHER_B	ONLY	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
278	otchey	HERBAL_A	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
279	otchey	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
280	otchol	HERBAL_A	MIDDLE	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
281	otchor	HERBAL_A	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
282	otchor	HERBAL_A	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
283	otchy	HERBAL_A	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
284	otedaiin	OTHER_B	MIDDLE	che	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
285	otedy	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	2	NONE:2
286	oteedy	OTHER_B	ONLY	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
287	oteedy	OTHER_B	ONLY	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
288	oteey	OTHER_B	FIRST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
289	oteey	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
290	otodan	HERBAL_A	LAST	NONE	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
291	otol	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
292	otytchol	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
293	oy	HERBAL_A	MIDDLE	s	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
294	oykchor	HERBAL_A	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
295	oyty	HERBAL_A	ONLY	t	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
296	pchedal	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
297	pchedy	OTHER_B	ONLY	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
298	ral	OTHER_B	LAST	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
299	raly	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
300	rol	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
301	rsheal	OTHER_B	FIRST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
302	rshedy	OTHER_B	ONLY	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
303	s	OTHER_B	MIDDLE	NONE	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
304	shedy	OTHER_B	ONLY	START	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
305	sheol	OTHER_B	FIRST	START	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
306	shey	OTHER_B	FIRST	START	t	UNIQUE_BODY_REGISTER_POSITION	1	t:1
307	shkchdy	OTHER_B	ONLY	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
308	shol	HERBAL_A	FIRST	START	t	UNIQUE_BODY_REGISTER_POSITION	1	t:1
309	ty	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
310	ty	OTHER_B	MIDDLE	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
311	y	HERBAL_A	LAST	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
312	y	HERBAL_A	LAST	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
313	y	HERBAL_A	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	2	d:2
314	y	HERBAL_A	MIDDLE	ch	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
315	y	HERBAL_A	MIDDLE	d	ch	PREVIOUS_WRAPPER_RESOLVES	2	ch:2
316	y	HERBAL_A	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
317	y	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
318	y	OTHER_B	FIRST	ch	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
319	y	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
320	y	OTHER_B	LAST	d	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
321	y	OTHER_B	MIDDLE	NONE	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
322	y	OTHER_B	MIDDLE	d	che	PREVIOUS_WRAPPER_RESOLVES	3	che:3
323	y	OTHER_B	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
324	y	OTHER_B	MIDDLE	sh	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
325	ycheor	HERBAL_A	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
326	ykaiin	HERBAL_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
327	ykain	HERBAL_B	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
328	ykan	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
329	ytey	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
