assignment_ordinal	slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	surface	slot_position	root	primary_governor_key	direct_governor_tokens	governor_group_tokens	governor_object_scope	same_card_action_inventory	previous_visible_action	next_visible_action	gdt582_broad_default_de	gdt583_rule_id	gdt583_working_default_de	gdt583_concrete_sense_de	gdt583_reading_tier	gdt583_change_status	gdt583_rationale	gdt583_context_signature	gdt583_guard
173	RUNNING:G407-E0495@1	RUNNING_ATOM	G407-E0495	G407-S023	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	zepchy	1	S	ACTION:G407-E0495@1:S	E|S	E|S	SAME_CARD_DIRECT_HOST	CH|P|S	NONE	P	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[E|S]::G[E|S]::P[NONE]::N[P]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
174	RUNNING:G407-E0500@1	RUNNING_ATOM	G407-E0500	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	schar	1	S	ACTION:G407-E0500@1:S	AR|S	AR|S	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[AR|S]::G[AR|S]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
175	RUNNING:G407-E0502@1	RUNNING_ATOM	G407-E0502	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	soy	1	S	ACTION:G407-E0502@1:S	O|S|Y	O|S|Y	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Wähle oder trenne ab	S_HP_SEPARATE	Trenne ab	Pflanzen- oder Drogencharge abtrennen	OBJECT_SUBREADING	LEXICALLY_REFINED	Charge als sichtbares S-Argument	HERBAL::D[O|S|Y]::G[O|S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
176	RUNNING:G407-E0505@2	RUNNING_ATOM	G407-E0505	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	das	2	S	ACTION:G407-E0505@2:S	DA|S	DA|S	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[DA|S]::G[DA|S]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
177	RUNNING:G407-E0510@1	RUNNING_ATOM	G407-E0510	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	sain	1	S	ACTION:G407-E0510@1:S	AIN|S	AIN|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	S	NONE	NONE	Wähle oder trenne ab	S_HP_SIEVE	Siebe	Portion, Einheit oder Feinform sieben	OBJECT_FORM_SUBREADING	LEXICALLY_REFINED	Portions-, Einheits- oder Feinformsignal im S-Host	HERBAL::D[AIN|S]::G[AIN|S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
178	RUNNING:G407-E0514@2	RUNNING_ATOM	G407-E0514	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	cthar	2	T	ACTION:G407-E0514@2:T	AR|T	AR|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[AR|T]::G[AR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
179	RUNNING:G407-E0528@3	RUNNING_ATOM	G407-E0528	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	octhor	3	T	ACTION:G407-E0528@3:T	OR|T	AL|OR|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[OR|T]::G[AL|OR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
180	RUNNING:G407-E0530@2	RUNNING_ATOM	G407-E0530	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	otshol	2	SH	ACTION:G407-E0530@2:SH	SH	SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[SH]::G[SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
181	RUNNING:G407-E0547@2	RUNNING_ATOM	G407-E0547	G407-S026	f18r	HERBAL	große abgebildete Blütenpflanze	cthor	2	T	ACTION:G407-E0547@2:T	OR|T	OR|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[OR|T]::G[OR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
182	RUNNING:G407-E0551@1	RUNNING_ATOM	G407-E0551	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	tchor	1	T	ACTION:G407-E0551@1:T	T	T	SAME_CARD_DIRECT_HOST	CH|T	NONE	CH	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T]::G[T]::P[NONE]::N[CH]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
183	RUNNING:G407-E0552@1	RUNNING_ATOM	G407-E0552	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	shor	1	SH	ACTION:G407-E0552@1:SH	OR|SH	OR|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[OR|SH]::G[OR|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
184	RUNNING:G407-E0553@2	RUNNING_ATOM	G407-E0553	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	cthaiin	2	T	ACTION:G407-E0553@2:T	AIIN|T	AIIN|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[AIIN|T]::G[AIIN|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
185	RUNNING:G407-E0554@2	RUNNING_ATOM	G407-E0554	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	cthol	2	T	ACTION:G407-E0554@2:T	T	L|T|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T]::G[L|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
186	RUNNING:G407-E0560@2	RUNNING_ATOM	G407-E0560	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	ytol	2	T	ACTION:G407-E0560@2:T	T|Y	T|Y	SAME_CARD_DIRECT_HOST	T	NONE	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T|Y]::G[T|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
187	RUNNING:G407-E0561@3	RUNNING_ATOM	G407-E0561	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	chcthy	3	T	ACTION:G407-E0561@3:T	T|Y	AL|AR|D_ADDR|T|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T|Y]::G[AL|AR|D_ADDR|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
188	RUNNING:G407-E0565@2	RUNNING_ATOM	G407-E0565	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	oshor	2	SH	ACTION:G407-E0565@2:SH	O|OR|SH	O|OR|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_HP_SOAK	Weiche ein	Charge oder Portion in Form beziehungsweise auf Stufe einweichen	OBJECT_FORM_SUBREADING	LEXICALLY_REFINED	Materialobjekt und Grad- oder Formsignal teilen den SH-Host	HERBAL::D[O|OR|SH]::G[O|OR|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
189	RUNNING:G407-E0566@1	RUNNING_ATOM	G407-E0566	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	shaiin	1	SH	ACTION:G407-E0566@1:SH	AIIN|SH	AIIN|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_HP_EXTRACT_STEEP	Lass den Auszug ziehen	Pflanzen- oder Drogengut im Auszug ziehen lassen	REMOTE_OBJECT_SUBREADING	LEXICALLY_REFINED	AIIN ist im vollständigen GDT581-SH-Host sichtbar	HERBAL::D[AIIN|SH]::G[AIIN|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
190	RUNNING:G407-E0567@2	RUNNING_ATOM	G407-E0567	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	cthy	2	T	ACTION:G407-E0567@2:T	T|Y	T|Y	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T|Y]::G[T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
191	RUNNING:G407-E0568@1	RUNNING_ATOM	G407-E0568	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	sholdy	1	SH	ACTION:G407-E0568@1:SH	D_ADDR|SH|Y	D_ADDR|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[D_ADDR|SH|Y]::G[D_ADDR|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
192	RUNNING:G407-E0578@2	RUNNING_ATOM	G407-E0578	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	chcthal	2	T	ACTION:G407-E0578@2:T	AL|T	AL|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[AL|T]::G[AL|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
193	RUNNING:G407-E0579@2	RUNNING_ATOM	G407-E0579	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	okshal	2	SH	ACTION:G407-E0579@2:SH	AL|SH	AL|SH	SAME_CARD_DIRECT_HOST	OK|SH	OK	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[AL|SH]::G[AL|SH]::P[OK]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
194	RUNNING:G407-E0582@1	RUNNING_ATOM	G407-E0582	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	shor	1	SH	ACTION:G407-E0582@1:SH	OR|SH	OR|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[OR|SH]::G[OR|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
195	RUNNING:G407-E0586@1	RUNNING_ATOM	G407-E0586	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	sotchaiin	1	S	ACTION:G407-E0586@1:S	AIIN|S	AIIN|S	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Wähle oder trenne ab	S_HP_STRAIN	Seihe ab	Auszug oder abgemessene Flüssigkeit abseihen	REMOTE_OBJECT_SUBREADING	LEXICALLY_REFINED	AIIN im vollständigen GDT581-S-Host	HERBAL::D[AIIN|S]::G[AIIN|S]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
196	RUNNING:G407-E0592@2	RUNNING_ATOM	G407-E0592	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	cthol	2	T	ACTION:G407-E0592@2:T	T	AIIN|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T]::G[AIIN|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
197	RUNNING:G407-E0595@2	RUNNING_ATOM	G407-E0595	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	cthy	2	T	ACTION:G407-E0595@2:T	T|Y	OR|T|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T|Y]::G[OR|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
198	RUNNING:G407-E0597@1	RUNNING_ATOM	G407-E0597	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	shaiin	1	SH	ACTION:G407-E0597@1:SH	AIIN|SH	AIIN|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_HP_EXTRACT_STEEP	Lass den Auszug ziehen	Pflanzen- oder Drogengut im Auszug ziehen lassen	REMOTE_OBJECT_SUBREADING	LEXICALLY_REFINED	AIIN ist im vollständigen GDT581-SH-Host sichtbar	HERBAL::D[AIIN|SH]::G[AIIN|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
199	RUNNING:G407-E0598@2	RUNNING_ATOM	G407-E0598	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	cthar	2	T	ACTION:G407-E0598@2:T	AR|T	AR|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[AR|T]::G[AR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
200	RUNNING:G407-E0599@2	RUNNING_ATOM	G407-E0599	G407-S029	f18r	HERBAL	große abgebildete Blütenpflanze	cthal	2	T	ACTION:G407-E0599@2:T	AL|T	AL|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	LEXICALLY_REFINED	direktes Maß-, Einheits- oder Ortsargument ohne Charge	HERBAL::D[AL|T]::G[AL|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
201	RUNNING:G407-E0605@1	RUNNING_ATOM	G407-E0605	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	tchodar	1	T	ACTION:G407-E0605@1:T	T	T	SAME_CARD_DIRECT_HOST	CH|T	NONE	CH	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[T]::G[T]::P[NONE]::N[CH]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
202	RUNNING:G407-E0608@1	RUNNING_ATOM	G407-E0608	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	shod	1	SH	ACTION:G407-E0608@1:SH	D_ADDR|O|SH	D_ADDR|O|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[D_ADDR|O|SH]::G[D_ADDR|O|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
203	RUNNING:G407-E0610@3	RUNNING_ATOM	G407-E0610	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	opshody	3	SH	ACTION:G407-E0610@3:SH	O|SH	O|SH	SAME_CARD_DIRECT_HOST	P|SH	P	NONE	Halte oder lass ziehen	SH_REST_HOLD	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Bad-, Auszug- oder Einweichanker	HERBAL::D[O|SH]::G[O|SH]::P[P]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
204	RUNNING:G407-E0616@3	RUNNING_ATOM	G407-E0616	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	ydals	3	S	ACTION:G407-E0616@3:S	S|Y	S|Y	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Wähle oder trenne ab	S_HP_SEPARATE	Trenne ab	Pflanzen- oder Drogencharge abtrennen	OBJECT_SUBREADING	LEXICALLY_REFINED	Charge als sichtbares S-Argument	HERBAL::D[S|Y]::G[S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
205	RUNNING:G407-E0623@4	RUNNING_ATOM	G407-E0623	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	otchos	4	S	ACTION:G407-E0623@4:S	S	S	SAME_CARD_DIRECT_HOST	CH|S	CH	NONE	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[S]::G[S]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
206	RUNNING:G407-E0626@3	RUNNING_ATOM	G407-E0626	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	octhyl	3	T	ACTION:G407-E0626@3:T	L|T|Y	L|T|Y	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_PHYSICAL_BROAD	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	SPECIFIC_GDT582_READING_RETAINED	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	HERBAL::D[L|T|Y]::G[L|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
207	RUNNING:G407-E0627@5	RUNNING_ATOM	G407-E0627	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	odchees	5	S	ACTION:G407-E0627@5:S	S	S	SAME_CARD_DIRECT_HOST	CH|S	CH	NONE	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[S]::G[S]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
208	RUNNING:G407-E0628@3	RUNNING_ATOM	G407-E0628	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	oesearies	3	S	ACTION:G407-E0628@3:S	AR|E|O|S	AR|E|O|S	SAME_CARD_DIRECT_HOST	S	NONE	S	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[AR|E|O|S]::G[AR|E|O|S]::P[NONE]::N[S]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
209	RUNNING:G407-E0628@8	RUNNING_ATOM	G407-E0628	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	oesearies	8	S	ACTION:G407-E0628@8:S	E|LOCAL_CHAR_I|S	E|LOCAL_CHAR_I|S	SAME_CARD_DIRECT_HOST	S	S	NONE	Wähle oder trenne ab	S_REST_SELECT	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	LEXICALLY_REFINED	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	HERBAL::D[E|LOCAL_CHAR_I|S]::G[E|LOCAL_CHAR_I|S]::P[S]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
