surface	profile_role	reader_exact_occurrences	physical_folios	register_json	line_position_json	line_third_json	paragraph_boundary_json	left_status_json	right_status_json	left_positive_axes_json	right_positive_axes_json	close_proximity_json	right_value_binding_json	semantic_sources_masked	component_export_credit
okchor	AR_OR_LATTICE	12	11	"{""C|B|2"":0.0909090909090909,""H|A|1"":0.8181818181818181,""S|B|@"":0.0909090909090909}"	"{""FIRST"":0.22727272727272727,""LAST"":0.18181818181818182,""MIDDLE"":0.5909090909090909}"	"{""F"":0.4545454545454546,""L"":0.2727272727272727,""M"":0.2727272727272727}"	"{""0|0"":0.8181818181818181,""0|1"":0.1818181818181818}"	"{""EDGE"":0.22727272727272727,""EXACT"":0.6818181818181819,""NONEXACT"":0.09090909090909091}"	"{""EDGE"":0.18181818181818182,""EXACT"":0.5909090909090909,""NONEXACT"":0.22727272727272727}"	"{""CLOSE"":0.25,""END_STAGE"":0.25,""HOT"":0.25,""MATERIAL"":0.25}"	"{""BEGIN_STAGE"":0.125,""COLD"":0.37499999999999994,""DRY"":0.125,""MATERIAL"":0.25,""VALUE"":0.125}"	"{""L1"":1.0}"	"{""NONE"":1.0}"	1	0
okear	AR_OR_LATTICE	3	3	"{""P|A|1"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.6666666666666666,""L"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""PREPARATION"":0.5,""VALUE"":0.5}"	{}	{}	"{""NONE"":1.0}"	1	0
okeear	AR_OR_LATTICE	2	2	"{""S|B|3"":1.0}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
okeeor	AR_OR_LATTICE	8	5	"{""B|B|2"":0.2,""H|B|5"":0.2,""P|A|1"":0.2,""S|B|3"":0.4}"	"{""FIRST"":0.06666666666666667,""MIDDLE"":0.9333333333333333}"	"{""F"":0.2,""L"":0.4,""M"":0.4}"	"{""0|0"":1.0}"	"{""EDGE"":0.06666666666666667,""EXACT"":0.7000000000000001,""NONEXACT"":0.23333333333333334}"	"{""EXACT"":0.7999999999999999,""NONEXACT"":0.2}"	{}	"{""MIDDLE_STAGE"":0.25,""MOIST"":0.25,""PREPARATION"":0.25,""VALUE"":0.25}"	"{""R3"":1.0}"	"{""III"":0.2,""NONE"":0.7999999999999999}"	1	0
okeor	AR_OR_LATTICE	13	10	"{""H|A|1"":0.4,""P|A|1"":0.4,""S|A|3"":0.1,""S|B|3"":0.1}"	"{""LAST"":0.10000000000000002,""MIDDLE"":0.9}"	"{""F"":0.21666666666666667,""L"":0.5333333333333333,""M"":0.25}"	"{""0|0"":0.9,""0|1"":0.10000000000000002}"	"{""EXACT"":0.9,""NONEXACT"":0.10000000000000002}"	"{""EDGE"":0.10000000000000002,""EXACT"":0.65,""NONEXACT"":0.25000000000000006}"	"{""END_STAGE"":0.25,""HOT"":0.25,""MATERIAL"":0.25,""PREPARATION"":0.25}"	"{""BEGIN_STAGE"":0.04761904761904762,""DRY"":0.10714285714285715,""HOT"":0.10714285714285715,""MATERIAL"":0.10714285714285715,""MIDDLE_STAGE"":0.2142857142857143,""PREPARATION"":0.04761904761904762,""PROCESS"":0.10714285714285715,""VALUE"":0.2619047619047619}"	{}	"{""NONE"":1.0}"	1	0
okor	AR_OR_LATTICE	16	16	"{""B|B|2"":0.0625,""H|A|1"":0.625,""P|A|1"":0.1875,""S|A|3"":0.0625,""S|B|3"":0.0625}"	"{""FIRST"":0.1875,""MIDDLE"":0.8125}"	"{""F"":0.25,""L"":0.25,""M"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":0.1875,""EXACT"":0.5,""NONEXACT"":0.3125}"	"{""EXACT"":1.0}"	"{""MATERIAL"":0.5,""PROCESS"":0.5}"	"{""END_STAGE"":0.5,""PREPARATION"":0.5}"	"{""L3"":1.0}"	"{""NONE"":1.0}"	1	0
olar	AR_OR_LATTICE	7	6	"{""B|B|2"":0.16666666666666666,""H|B|2"":0.3333333333333333,""S|A|3"":0.16666666666666666,""S|B|3"":0.3333333333333333}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""L"":0.3333333333333333,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666666}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666666}"	{}	"{""MOIST"":0.5,""PREPARATION"":0.5}"	{}	"{""IV"":0.08333333333333333,""NONE"":0.9166666666666666}"	1	0
olor	AR_OR_LATTICE	22	14	"{""B|B|2"":0.35714285714285715,""H|A|1"":0.14285714285714288,""H|B|2"":0.14285714285714288,""H|B|3"":0.07142857142857144,""S|B|3"":0.2142857142857143,""T|B|2"":0.07142857142857144}"	"{""FIRST"":0.10714285714285716,""LAST"":0.2166666666666667,""MIDDLE"":0.6761904761904761}"	"{""F"":0.10714285714285716,""L"":0.3619047619047619,""M"":0.530952380952381}"	"{""0|0"":0.8071428571428572,""0|1"":0.19285714285714287}"	"{""EDGE"":0.10714285714285715,""EXACT"":0.75,""NONEXACT"":0.14285714285714288}"	"{""EDGE"":0.2166666666666667,""EXACT"":0.569047619047619,""NONEXACT"":0.21428571428571433}"	"{""CLOSE"":0.049999999999999996,""DRY"":0.25,""END_STAGE"":0.049999999999999996,""HOT"":0.049999999999999996,""MATERIAL"":0.25,""PREPARATION"":0.3,""VALUE"":0.049999999999999996}"	"{""CLOSE"":0.19999999999999998,""END_STAGE"":0.19999999999999998,""HOT"":0.19999999999999998,""PREPARATION"":0.19999999999999998,""VALUE"":0.19999999999999998}"	"{""B1"":0.25,""L2"":0.75}"	"{""III"":0.014285714285714289,""NONE"":0.9857142857142858}"	1	0
oor	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
opar	AR_OR_LATTICE	6	6	"{""B|B|2"":0.16666666666666666,""H|A|1"":0.16666666666666666,""H|B|2"":0.16666666666666666,""P|A|1"":0.16666666666666666,""S|B|3"":0.16666666666666666,""T|B|2"":0.16666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""L"":0.5,""M"":0.16666666666666666}"	"{""0|0"":1.0}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	{}	"{""AMOUNT"":0.3333333333333333,""MATERIAL"":0.3333333333333333,""PART"":0.3333333333333333}"	{}	"{""NONE"":1.0}"	1	0
opchar	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""M"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":1.0}"	{}	"{""MOIST"":1.0}"	{}	"{""NONE"":1.0}"	1	0
opchor	AR_OR_LATTICE	5	5	"{""H|A|1"":0.4,""P|A|1"":0.2,""S|B|3"":0.2,""T|B|2"":0.2}"	"{""MIDDLE"":0.8,""SINGLE"":0.2}"	"{""L"":0.4,""M"":0.6000000000000001}"	"{""0|0"":1.0}"	"{""EDGE"":0.2,""EXACT"":0.6000000000000001,""NONEXACT"":0.2}"	"{""EDGE"":0.2,""EXACT"":0.4,""NONEXACT"":0.4}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
opor	AR_OR_LATTICE	4	4	"{""B|B|2"":0.25,""H|A|1"":0.25,""S|B|3"":0.25,""T|B|2"":0.25}"	"{""MIDDLE"":0.75,""SINGLE"":0.25}"	"{""F"":0.25,""M"":0.75}"	"{""0|0"":1.0}"	"{""EDGE"":0.25,""EXACT"":0.75}"	"{""EDGE"":0.25,""EXACT"":0.5,""NONEXACT"":0.25}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
or	BARE_CORE	235	61	"{""B|B|2"":0.11475409836065574,""C|B|2"":0.01590304049320443,""H|A|1"":0.3442622950819673,""H|B|2"":0.1639344262295082,""H|B|3"":0.03278688524590163,""H|B|5"":0.032786885245901634,""P|A|1"":0.04918032786885244,""S|A|3"":0.016393442622950817,""S|B|3"":0.18032786885245905,""S|B|@"":0.016393442622950817,""T|B|2"":0.03327728737564802}"	"{""FIRST"":0.16443533697632068,""LAST"":0.027641165755919867,""MIDDLE"":0.8079234972677594}"	"{""F"":0.4277625380084398,""L"":0.2917435023992401,""M"":0.28049395959232015}"	"{""0|0"":0.9959016393442623,""0|1"":0.004098360655737714}"	"{""EDGE"":0.16443533697632062,""EXACT"":0.6682015616441845,""NONEXACT"":0.1673631013794949}"	"{""EDGE"":0.027641165755919867,""EXACT"":0.7799829041632318,""NONEXACT"":0.19237593008084827}"	"{""AMOUNT"":0.1164112914688575,""BEGIN_STAGE"":0.06467293970492083,""CLOSE"":0.006467293970492082,""COLD"":0.02586917588196833,""DRY"":0.005969809818915769,""END_STAGE"":0.05691218694033033,""HOT"":0.12195468630070785,""MATERIAL"":0.04377860533871564,""MIDDLE_STAGE"":0.0645450152088012,""MOIST"":0.052107911419393346,""PREPARATION"":0.04564061744890127,""PROCESS"":0.11899820905705431,""VALUE"":0.27667225744094154}"	"{""AMOUNT"":0.19714570195818124,""BEGIN_STAGE"":0.04904303573404138,""CLOSE"":0.005273444702585094,""COLD"":0.007301692665117823,""DRY"":0.02531253457240845,""END_STAGE"":0.07157502673599588,""HOT"":0.03221595309215621,""MATERIAL"":0.14238300696979753,""MIDDLE_STAGE"":0.012176863222332853,""MOIST"":0.08336836670723162,""PREPARATION"":0.2888225098646605,""PROCESS"":0.006903418519747759,""VALUE"":0.07847844525574364}"	"{""L1"":0.01707720968743531,""L2"":0.06830883874974124,""L3"":0.2838956737735458,""R1"":0.01707720968743531,""R2"":0.10474021941626989,""R3"":0.5089008486855724}"	"{""II"":0.005464480874316948,""III"":0.09889877881681174,""IV"":0.016372425388818855,""NONE"":0.8792643149200524}"	1	0
orar	AR_OR_LATTICE	5	5	"{""C|B|2"":0.2,""P|A|1"":0.2,""S|A|3"":0.2,""S|B|3"":0.2,""S|B|@"":0.2}"	"{""FIRST"":0.2,""LAST"":0.4,""MIDDLE"":0.4}"	"{""F"":0.4,""L"":0.6000000000000001}"	"{""0|0"":1.0}"	"{""EDGE"":0.2,""EXACT"":0.6000000000000001,""NONEXACT"":0.2}"	"{""EDGE"":0.4,""EXACT"":0.4,""NONEXACT"":0.2}"	{}	{}	"{""R2"":1.0}"	"{""NONE"":1.0}"	1	0
oror	AR_OR_LATTICE	2	2	"{""P|A|1"":0.5,""S|B|3"":0.5}"	"{""LAST"":0.5,""SINGLE"":0.5}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":0.5,""0|1"":0.5}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EDGE"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
otalar	AR_OR_LATTICE	2	2	"{""S|A|3"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
otalor	AR_OR_LATTICE	4	4	"{""B|B|2"":0.5,""S|A|3"":0.25,""T|B|5"":0.25}"	"{""LAST"":0.25,""MIDDLE"":0.75}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":0.75,""0|1"":0.25}"	"{""EXACT"":1.0}"	"{""EDGE"":0.25,""EXACT"":0.25,""NONEXACT"":0.5}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
otar	AR_OR_LATTICE	110	37	"{""B|B|2"":0.14864864864864868,""C|B|2"":0.005405405405405407,""H|A|1"":0.13513513513513517,""H|B|2"":0.1621621621621622,""H|B|3"":0.05405405405405406,""H|B|5"":0.054054054054054064,""P|A|1"":0.027027027027027032,""S|A|3"":0.027027027027027032,""S|B|3"":0.30405405405405395,""S|B|@"":0.020270270270270275,""T|B|2"":0.062162162162162186}"	"{""FIRST"":0.01351351351351352,""LAST"":0.05292792792792795,""MIDDLE"":0.9335585585585585}"	"{""F"":0.18574938574938576,""L"":0.5846778596778598,""M"":0.2295727545727545}"	"{""0|0"":1.0}"	"{""EDGE"":0.01351351351351352,""EXACT"":0.7055214305214305,""NONEXACT"":0.28096505596505605}"	"{""EDGE"":0.05292792792792795,""EXACT"":0.7338042588042587,""NONEXACT"":0.21326781326781333}"	"{""BEGIN_STAGE"":0.1259259259259259,""CLOSE"":0.022222222222222223,""COLD"":0.19629629629629627,""DRY"":0.08888888888888889,""END_STAGE"":0.14814814814814814,""HOT"":0.1,""MATERIAL"":0.011111111111111112,""MIDDLE_STAGE"":0.011111111111111112,""PREPARATION"":0.12222222222222222,""VALUE"":0.17407407407407405}"	"{""AMOUNT"":0.03923278116826504,""CLOSE"":0.01961639058413252,""DRY"":0.07846556233653008,""END_STAGE"":0.03705318221447254,""MATERIAL"":0.6277244986922407,""MIDDLE_STAGE"":0.03923278116826504,""PREPARATION"":0.017436791630340016,""PROCESS"":0.10200523103748911,""VALUE"":0.03923278116826504}"	"{""L1"":0.046153846153846156,""L2"":0.023076923076923078,""L3"":0.23076923076923078,""R1"":0.023076923076923078,""R2"":0.6153846153846154,""R3"":0.061538461538461535}"	"{""II"":0.0054054054054054074,""III"":0.04444444444444446,""IV"":0.003003003003003004,""NONE"":0.9471471471471471}"	1	0
otchar	AR_OR_LATTICE	6	5	"{""B|B|2"":0.2,""H|A|1"":0.4,""P|A|1"":0.2,""S|B|3"":0.2}"	"{""FIRST"":0.2,""MIDDLE"":0.6000000000000001,""SINGLE"":0.2}"	"{""F"":0.30000000000000004,""M"":0.7}"	"{""0|0"":1.0}"	"{""EDGE"":0.4,""EXACT"":0.4,""NONEXACT"":0.2}"	"{""EDGE"":0.2,""EXACT"":0.6000000000000001,""NONEXACT"":0.2}"	{}	"{""HOT"":0.19999999999999998,""MIDDLE_STAGE"":0.19999999999999998,""MOIST"":0.19999999999999998,""PROCESS"":0.19999999999999998,""VALUE"":0.19999999999999998}"	{}	"{""NONE"":1.0}"	1	0
otchor	AR_OR_LATTICE	16	13	"{""H|A|1"":0.8461538461538461,""P|A|1"":0.07692307692307694,""S|B|3"":0.07692307692307694}"	"{""FIRST"":0.3076923076923077,""LAST"":0.07692307692307693,""MIDDLE"":0.6153846153846154}"	"{""F"":0.423076923076923,""L"":0.3076923076923077,""M"":0.2692307692307693}"	"{""0|0"":0.9230769230769231,""0|1"":0.07692307692307694}"	"{""EDGE"":0.3076923076923077,""EXACT"":0.3076923076923077,""NONEXACT"":0.38461538461538464}"	"{""EDGE"":0.07692307692307693,""EXACT"":0.7692307692307692,""NONEXACT"":0.15384615384615385}"	"{""BEGIN_STAGE"":0.18333333333333332,""COLD"":0.18333333333333332,""DRY"":0.3833333333333333,""HOT"":0.2,""VALUE"":0.05}"	"{""BEGIN_STAGE"":0.125,""DRY"":0.125,""HOT"":0.125,""MATERIAL"":0.25,""MOIST"":0.125,""PREPARATION"":0.25}"	{}	"{""NONE"":1.0}"	1	0
otear	AR_OR_LATTICE	3	3	"{""P|A|1"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":0.6666666666666666,""SINGLE"":0.3333333333333333}"	"{""L"":0.6666666666666666,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.3333333333333333,""NONEXACT"":0.3333333333333333}"	"{""EDGE"":0.3333333333333333,""NONEXACT"":0.6666666666666666}"	{}	{}	"{""L3"":1.0}"	"{""NONE"":1.0}"	1	0
oteor	AR_OR_LATTICE	7	6	"{""H|B|2"":0.16666666666666666,""P|A|1"":0.16666666666666666,""S|A|3"":0.16666666666666666,""S|B|3"":0.5}"	"{""FIRST"":0.16666666666666666,""MIDDLE"":0.8333333333333334}"	"{""F"":0.16666666666666669,""L"":0.5,""M"":0.33333333333333337}"	"{""0|0"":1.0}"	"{""EDGE"":0.16666666666666666,""EXACT"":0.6666666666666666,""NONEXACT"":0.16666666666666666}"	"{""EXACT"":0.6666666666666667,""NONEXACT"":0.3333333333333333}"	{}	{}	"{""L3"":1.0}"	"{""III"":0.16666666666666666,""NONE"":0.8333333333333334}"	1	0
otor	AR_OR_LATTICE	24	22	"{""B|B|2"":0.04545454545454545,""H|A|1"":0.5,""H|B|2"":0.0909090909090909,""H|B|3"":0.04545454545454545,""S|B|3"":0.2727272727272727,""T|B|2"":0.04545454545454545}"	"{""FIRST"":0.11363636363636366,""LAST"":0.04545454545454546,""MIDDLE"":0.8409090909090909}"	"{""F"":0.4318181818181819,""L"":0.34090909090909094,""M"":0.2272727272727273}"	"{""0|0"":1.0}"	"{""EDGE"":0.11363636363636363,""EXACT"":0.6590909090909091,""NONEXACT"":0.2272727272727273}"	"{""EDGE"":0.04545454545454546,""EXACT"":0.8181818181818182,""NONEXACT"":0.13636363636363638}"	"{""DRY"":0.1,""MOIST"":0.4,""PREPARATION"":0.5}"	"{""AMOUNT"":0.14285714285714288,""BEGIN_STAGE"":0.07142857142857144,""COLD"":0.02380952380952381,""MATERIAL"":0.16666666666666669,""MIDDLE_STAGE"":0.02380952380952381,""MOIST"":0.07142857142857144,""PREPARATION"":0.380952380952381,""PROCESS"":0.02380952380952381,""VALUE"":0.09523809523809525}"	"{""B2"":0.25,""L2"":0.25,""R3"":0.5}"	"{""III"":0.04545454545454547,""NONE"":0.9545454545454546}"	1	0
par	AR_OR_LATTICE	4	4	"{""B|B|2"":0.25,""H|B|3"":0.25,""S|B|3"":0.25,""T|B|2"":0.25}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":0.75,""1|0"":0.25}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EXACT"":1.0}"	"{""BEGIN_STAGE"":0.25,""COLD"":0.25,""DRY"":0.25,""VALUE"":0.25}"	"{""COLD"":0.25,""MATERIAL"":0.25,""MIDDLE_STAGE"":0.25,""VALUE"":0.25}"	"{""L3"":0.5,""R2"":0.5}"	"{""NONE"":1.0}"	1	0
pchar	AR_OR_LATTICE	2	2	"{""H|A|1"":1.0}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":0.5,""1|0"":0.5}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EXACT"":1.0}"	{}	"{""DRY"":0.25,""MOIST"":0.25,""PREPARATION"":0.5}"	{}	"{""NONE"":1.0}"	1	0
pchear	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""FIRST"":0.5,""LAST"":0.5}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":0.5,""1|0"":0.5}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""COLD"":0.2,""DRY"":0.2,""END_STAGE"":0.2,""PREPARATION"":0.2,""VALUE"":0.2}"	{}	{}	"{""NONE"":1.0}"	1	0
pcheor	AR_OR_LATTICE	4	4	"{""S|B|3"":1.0}"	"{""FIRST"":1.0}"	"{""F"":1.0}"	"{""1|0"":1.0}"	"{""EDGE"":1.0}"	"{""EXACT"":1.0}"	{}	{}	"{""R3"":1.0}"	"{""II"":0.25,""NONE"":0.75}"	1	0
pchor	AR_OR_LATTICE	10	10	"{""B|B|2"":0.1,""H|A|1"":0.5,""S|B|3"":0.30000000000000004,""T|B|2"":0.1}"	"{""FIRST"":0.7,""MIDDLE"":0.30000000000000004}"	"{""F"":0.7999999999999999,""L"":0.2}"	"{""0|0"":0.4,""1|0"":0.6}"	"{""EDGE"":0.7,""EXACT"":0.1,""NONEXACT"":0.2}"	"{""EXACT"":0.9,""NONEXACT"":0.10000000000000002}"	{}	"{""AMOUNT"":0.25,""DRY"":0.25,""MATERIAL"":0.25,""PROCESS"":0.25}"	"{""L3"":1.0}"	"{""NONE"":1.0}"	1	0
por	AR_OR_LATTICE	5	4	"{""B|B|2"":0.5,""P|A|1"":0.25,""S|B|3"":0.25}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.75,""L"":0.125,""M"":0.125}"	"{""0|0"":0.75,""1|0"":0.25}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""EXACT"":0.625,""NONEXACT"":0.375}"	"{""MATERIAL"":0.5,""MOIST"":0.5}"	{}	{}	"{""III"":0.125,""NONE"":0.875}"	1	0
qoar	AR_OR_LATTICE	7	7	"{""H|A|1"":0.14285714285714285,""P|A|1"":0.14285714285714285,""S|A|3"":0.14285714285714285,""S|B|3"":0.42857142857142855,""T|B|2"":0.14285714285714285}"	"{""FIRST"":0.28571428571428575,""MIDDLE"":0.7142857142857143}"	"{""F"":0.5714285714285714,""M"":0.42857142857142855}"	"{""0|0"":0.8571428571428572,""1|0"":0.14285714285714288}"	"{""EDGE"":0.28571428571428575,""EXACT"":0.7142857142857143}"	"{""EXACT"":0.8571428571428572,""NONEXACT"":0.14285714285714288}"	{}	{}	"{""R3"":1.0}"	"{""III"":0.2857142857142857,""IV"":0.14285714285714285,""NONE"":0.5714285714285714}"	1	0
qokar	AR_OR_LATTICE	132	39	"{""B|B|2"":0.20512820512820515,""C|B|2"":0.012820512820512817,""H|A|1"":0.07692307692307691,""H|B|2"":0.1794871794871795,""H|B|3"":0.051282051282051266,""H|B|5"":0.025641025641025633,""P|A|1"":0.051282051282051266,""S|A|3"":0.025641025641025637,""S|B|3"":0.27106227106227104,""S|B|@"":0.010989010989010986,""T|B|2"":0.0641025641025641,""T|B|5"":0.025641025641025633}"	"{""FIRST"":0.05879120879120886,""LAST"":0.023504273504273535,""MIDDLE"":0.9177045177045176}"	"{""F"":0.29316239316239306,""L"":0.26452991452991464,""M"":0.44230769230769235}"	"{""0|0"":0.9935897435897436,""0|1"":0.00641025641025642}"	"{""EDGE"":0.058791208791208825,""EXACT"":0.6707570207570205,""NONEXACT"":0.27045177045177066}"	"{""EDGE"":0.023504273504273525,""EXACT"":0.8163003663003662,""NONEXACT"":0.1601953601953603}"	"{""AMOUNT"":0.046563192904656325,""BEGIN_STAGE"":0.0713968957871397,""CLOSE"":0.021064301552106434,""COLD"":0.0492239467849224,""DRY"":0.0878048780487805,""END_STAGE"":0.09120473022912047,""HOT"":0.08677014042867702,""MATERIAL"":0.07738359201773837,""MIDDLE_STAGE"":0.10798226164079823,""MOIST"":0.06208425720620844,""PART"":0.0017738359201773838,""PREPARATION"":0.06452328159645233,""PROCESS"":0.06341463414634148,""VALUE"":0.16881005173688102}"	"{""AMOUNT"":0.06496227996647108,""BEGIN_STAGE"":0.008382229673093045,""CLOSE"":0.04033948030176027,""DRY"":0.13830678960603524,""END_STAGE"":0.09901508801341156,""HOT"":0.1240869356963238,""MATERIAL"":0.1275446054364747,""MIDDLE_STAGE"":0.020356843491797394,""MOIST"":0.01826128607352413,""PART"":0.08793857023111006,""PREPARATION"":0.01802179379715004,""PROCESS"":0.14734762303915702,""VALUE"":0.10543647467369177}"	"{""L1"":0.08472012102874434,""L2"":0.1664145234493192,""L3"":0.10711043872919818,""R1"":0.12496217851739785,""R2"":0.2965204236006051,""R3"":0.22027231467473526}"	"{""NONE"":1.0}"	1	0
qokear	AR_OR_LATTICE	4	3	"{""B|B|2"":0.3333333333333333,""S|B|3"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.16666666666666669,""M"":0.8333333333333334}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666669}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""END_STAGE"":0.16666666666666666,""HOT"":0.16666666666666666,""MATERIAL"":0.19999999999999998,""MOIST"":0.19999999999999998,""PROCESS"":0.09999999999999999,""VALUE"":0.16666666666666666}"	{}	"{""R3"":1.0}"	"{""NONE"":1.0}"	1	0
qokeor	AR_OR_LATTICE	14	10	"{""B|B|2"":0.1,""H|A|1"":0.1,""H|B|2"":0.1,""P|A|1"":0.30000000000000004,""S|B|3"":0.30000000000000004,""T|B|2"":0.1}"	"{""FIRST"":0.225,""LAST"":0.125,""MIDDLE"":0.65}"	"{""F"":0.525,""L"":0.275,""M"":0.2}"	"{""0|0"":0.9,""0|1"":0.1}"	"{""EDGE"":0.225,""EXACT"":0.65,""NONEXACT"":0.125}"	"{""EDGE"":0.125,""EXACT"":0.6,""NONEXACT"":0.275}"	"{""COLD"":0.26666666666666666,""END_STAGE"":0.3333333333333333,""PREPARATION"":0.06666666666666667,""VALUE"":0.3333333333333333}"	"{""BEGIN_STAGE"":0.16666666666666666,""COLD"":0.16666666666666666,""DRY"":0.16666666666666666,""HOT"":0.041666666666666664,""MATERIAL"":0.16666666666666666,""MIDDLE_STAGE"":0.041666666666666664,""MOIST"":0.08333333333333333,""PREPARATION"":0.125,""VALUE"":0.041666666666666664}"	"{""R2"":1.0}"	"{""NONE"":1.0}"	1	0
qokor	AR_OR_LATTICE	21	15	"{""B|B|2"":0.06666666666666668,""H|A|1"":0.4666666666666666,""P|A|1"":0.13333333333333336,""S|A|3"":0.06666666666666668,""S|B|3"":0.23333333333333336,""S|B|@"":0.03333333333333334}"	"{""FIRST"":0.1777777777777778,""MIDDLE"":0.8222222222222222}"	"{""F"":0.34444444444444444,""L"":0.16666666666666669,""M"":0.4888888888888889}"	"{""0|0"":1.0}"	"{""EDGE"":0.1777777777777778,""EXACT"":0.6555555555555556,""NONEXACT"":0.1666666666666667}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666669}"	"{""CLOSE"":0.125,""END_STAGE"":0.125,""HOT"":0.125,""MATERIAL"":0.25,""MOIST"":0.25,""VALUE"":0.125}"	"{""DRY"":0.09090909090909091,""END_STAGE"":0.13636363636363635,""HOT"":0.13636363636363635,""MATERIAL"":0.13636363636363635,""MIDDLE_STAGE"":0.06818181818181818,""MOIST"":0.06818181818181818,""PREPARATION"":0.22727272727272727,""PROCESS"":0.06818181818181818,""VALUE"":0.06818181818181818}"	"{""L1"":0.6,""R3"":0.4}"	"{""NONE"":1.0}"	1	0
qoor	AR_OR_LATTICE	5	5	"{""H|B|2"":0.2,""P|A|1"":0.6000000000000001,""S|B|@"":0.2}"	"{""MIDDLE"":1.0}"	"{""F"":0.4,""L"":0.2,""M"":0.4}"	"{""0|0"":1.0}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	"{""EXACT"":0.4,""NONEXACT"":0.6000000000000001}"	"{""MIDDLE_STAGE"":0.3333333333333333,""PREPARATION"":0.3333333333333333,""VALUE"":0.3333333333333333}"	{}	{}	"{""NONE"":1.0}"	1	0
qopar	AR_OR_LATTICE	5	3	"{""S|B|3"":0.3333333333333333,""T|B|2"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.3333333333333333,""NONEXACT"":0.6666666666666666}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
