card_no	component_parse	invariant_card_reading_de	primitive_program	grammar_lanes	occurrences	sections	records	shared_herbal_biological	semantic_noun_carried_by_card
PROC160	OK+OL	ansetzen · fortsetzen	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC162	AIR+Y+DY	Lauf · dies · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC163	CH+CKH+AL	abziehen · Durchlass · Zielstelle	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC164	SOLK+E+Y	auffangen · kurz · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC165	K+AR	zuführen · von dort	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC166	OT+CHD+DY	danach · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC167	L+OL	führen · fortsetzen	MOVE_PASS	PROCESS	1	BIOLOGICAL	B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC168	CHD+AL	umsetzen · Zielstelle	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC169	WHOLE[daiiin]	Sollstufe · zweite	METER_CHECK	ADDRESS	1	BIOLOGICAL	B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC170	SOLK+EE+Y	auffangen · länger · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B6	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC171	E+K+E+Y	kurz · zuführen · kurz · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B6	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC172	R+AL+Y	abkühlen · Zielstelle · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B6	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC173	L+AL+OR	führen · Zielstelle · Ansatz	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B6	NO	NO__OPERATION_OR_CONTROL_ONLY
