boundary_serial	boundary_id	record_unit_id	page	boundary_ordinal_in_record	left_locus	right_locus	left_last_field_id	right_first_field_id	left_field_closure_status	boundary_classification	same_source_statement	left_source_statement_id	right_source_statement_id	active_state_before_boundary	boundary_transition	parallel_cell_pattern	left_tail_exact_id	left_tail_selected_mnemonic	left_tail_formal_control	right_head_exact_id	right_head_selected_mnemonic	right_head_formal_control	repeated_exact_joint_tuple_across_boundary	decision_evidence	strongest_rival_segmentation	focus_status	line_statement_contract	source_lineage
30	LBOUND030	B3	f83r	5	f83r.14	f83r.15	F092	F093	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S065	S065	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	b921a237be883a820352	UNKNOWN	NONE	2f1c5e56e8f0ff459065	MASS?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
31	LBOUND031	B3	f83r	6	f83r.15	f83r.16	F095	F096	TERMINAL	RESET_AFTER_COMMIT	NO	S067	S068	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	de7321bface5628e35d6	ABLASSEN?	NONE	259b2b3b0bf859882e2c	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
32	LBOUND032	B3	f83r	7	f83r.16	f83r.20	F098	F099	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S070	S070	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	d788d8d72d41b25a3c71	UNKNOWN	NONE	3b70942557b3a40e8030	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
33	LBOUND033	B3	f83r	8	f83r.20	f83r.22	F103	F104	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S074	S074	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	2f1c5e56e8f0ff459065	MASS?	NONE	b154ff779abe5f196c80	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
34	LBOUND034	B3	f83r	9	f83r.22	f83r.24	F107	F108	TERMINAL	RESET_AFTER_COMMIT	NO	S077	S078	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	04a3877f0fc81b7597c9	UNKNOWN	NONE	2c82523794dcb7d2b343	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
35	LBOUND035	B4	f83r	1	f83r.25	f83r.26	F111	F112	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S081	S081	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	90bcf0a9ec0ef56399e6	UNKNOWN	NONE	faf321940aed922846a9	ANTEIL?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
36	LBOUND036	B4	f83r	2	f83r.26	f83r.27	F113	F114	TERMINAL	RESET_AFTER_COMMIT	NO	S082	S083	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	eb2e4bc143f623ee03ac	UNKNOWN	NONE	53cd0637c6820ba5e91f	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
37	LBOUND037	B4	f83r	3	f83r.27	f83r.28	F116	F117	TERMINAL	RESET_AFTER_COMMIT	NO	S085	S086	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	d68bc8de3bcee09db23c	UNKNOWN	NONE	2f1c5e56e8f0ff459065	MASS?	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
38	LBOUND038	B4	f83r	4	f83r.28	f83r.35	F119	F120	TERMINAL	RESET_AFTER_COMMIT	NO	S088	S089	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	1b1ffdd869fb1429ad03	UNKNOWN	NONE	2f1c5e56e8f0ff459065	MASS?	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
39	LBOUND039	B4	f83r	5	f83r.35	f83r.37	F120	F121	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S089	S089	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	6f7ff8287eddf4da9fdb	UNKNOWN	NONE	dcda95c81a5460feb191	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
40	LBOUND040	B4	f83r	6	f83r.37	f83r.38	F123	F124	TERMINAL	RESET_AFTER_COMMIT	NO	S091	S092	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	CLOSED_PARALLEL_CELL_SEQUENCE	bc4f1f5c006c74a4d26d	UNKNOWN	NONE	7a4bb8136330ee4e6e56	ANSATZ?	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
41	LBOUND041	B4	f83r	7	f83r.38	f83r.39	F124	F125	TERMINAL	RESET_AFTER_COMMIT	NO	S092	S093	TRANSACTION_COMMITTED_AT_LEFT_LOCUS_END	START_NEW_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	SINGLE_CLOSED_CELL	8aedd154964a78e555d6	UNKNOWN	NONE	1645e612504fcef59ced	UNKNOWN	NONE	NO	Left final field is TERMINAL; the next locus starts a different source statement ID.	CROSS_LOCUS_MERGE: treat formal CLOSE as an internal checkpoint and continue one larger statement.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
42	LBOUND042	B4	f83r	8	f83r.39	f83r.41	F125	F126	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S093	S093	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	21ed2873b71e57269c08	UNKNOWN	NONE	42cdc187d5b9ffc60063	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
43	LBOUND043	B4	f83r	9	f83r.41	f83r.44	F127	F128	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S094	S094	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	dd0ecaf5e27d81befffc	ZIEL?	NONE	883a6708116c342cb10b	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
44	LBOUND044	B5	f83r	1	f83r.47	f83r.48	F131	F132	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S097	S097	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	abb23e5e6936b4147f76	UNKNOWN	NONE	dd0ecaf5e27d81befffc	ZIEL?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
45	LBOUND045	B5	f83r	2	f83r.48	f83r.49	F132	F133	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S097	S097	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	2f1c5e56e8f0ff459065	MASS?	NONE	dcda95c81a5460feb191	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
46	LBOUND046	B6	f83r	1	f83r.52	f83r.54	F134	F135	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S098	S098	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	dcda95c81a5460feb191	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	2f1c5e56e8f0ff459065	MASS?	VORGABEPARAMETER?	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
