field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	source_statement_id	statement_field_position	field_closure_status	event_count	event_serials	source_surface_sequence_display_only	selected_exact_mnemonic_slots	formal_control_slots	active_state_before_field	active_state_after_field	assignment_reason	full_local_field_reading	field_nonmedical_rival	binding_contract	source_lineage
30	F030	f81v	B1	f81v.18	2	10	S017	ONLY	TERMINAL	5	E132,E133,E134,E135,E136	chey ol cheky ol shedy	NONE	E133:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E135:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 10/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
31	F031	f81v	B1	f81v.18	3	11	S018	ONLY	TERMINAL	1	E137	qokedy	E137:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	spüle die bezeichnete Stelle einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 11/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
32	F032	f81v	B1	f81v.18	4	12	S019	ONLY	TERMINAL	1	E138	qokedy	E138:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	spüle die bezeichnete Stelle einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 12/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
33	F033	f81v	B1	f81v.18	5	13	S020	FIRST	OPEN	2	E139,E140	chckhy qoky	E140:276a7c2d74d1143446f4:ANWENDEN?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	durch die verbundenen Läufe ; Die aktive Portion verwenden	absetzen und klären [Ganzfeldexemplar B1, Feld 13/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
34	F034	f81v	B1	f81v.21	1	14	S020	LAST	TERMINAL	3	E141,E142,E143	lsho qokey lshedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang	absetzen und klären [Ganzfeldexemplar B1, Feld 14/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
35	F035	f81v	B1	f81v.21	2	15	S021	ONLY	TERMINAL	1	E144	lshedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	wasche einmal und beende diesen Durchgang	absetzen und klären [Ganzfeldexemplar B1, Feld 15/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
36	F036	f81v	B1	f81v.21	3	16	S022	FIRST	OPEN	5	E145,E146,E147,E148,E149	chedy qolky lchedal qol otar	NONE	E148:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf	absetzen und klären [Ganzfeldexemplar B1, Feld 16/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
37	F037	f81v	B1	f81v.24	1	17	S022	LAST	TERMINAL	2	E150,E151	ytey okchedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B1, Feld 17/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
38	F038	f81v	B1	f81v.24	2	18	S023	ONLY	TERMINAL	4	E152,E153,E154,E155	qokal okeey qol cheedy	E153:0275fbf14e07935b0a45:TEMPERIEREN?	E152:LOKALEN_RELATIONSSLOT_SETZEN | E154:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B1, Feld 18/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
39	F039	f81v	B1	f81v.24	3	19	S024	ONLY	TERMINAL	3	E156,E157,E158	sal teol dchdy	E156:dd0ecaf5e27d81befffc:ZIEL?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt	weitergeben [Ganzfeldexemplar B1, Feld 19/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
40	F040	f81v	B1	f81v.24	4	20	S025	FIRST	OPEN	1	E159	ly	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	fülle danach das Gefäß	weitergeben [Ganzfeldexemplar B1, Feld 20/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
41	F041	f81v	B1	f81v.27	1	21	S025	LAST	TERMINAL	3	E160,E161,E162	dsheol oiiin olkeedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt	weitergeben [Ganzfeldexemplar B1, Feld 21/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
42	F042	f81v	B1	f81v.27	2	22	S026	ONLY	TERMINAL	1	E163	tedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse es bis zur Bereitschaft stehen und beende den Schritt	weitergeben [Ganzfeldexemplar B1, Feld 22/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
43	F043	f81v	B1	f81v.27	3	23	S027	ONLY	TERMINAL	2	E164,E165	cheky shckhedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt	weitergeben [Ganzfeldexemplar B1, Feld 23/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
44	F044	f81v	B1	f81v.27	4	24	S028	ONLY	OPEN	1	E166	chal	E166:dd0ecaf5e27d81befffc:ZIEL?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_OPEN_AT_RECORD_END	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	An die bezeichnete Zielstelle führen	weitergeben [Ganzfeldexemplar B1, Feld 24/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
45	F045	f82r	B2	f82r.2	1	1	S029	ONLY	TERMINAL	1	E167	dchedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 1/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
46	F046	f82r	B2	f82r.2	2	2	S030	ONLY	TERMINAL	1	E168	qolchedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 2/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
47	F047	f82r	B2	f82r.2	3	3	S031	ONLY	TERMINAL	3	E169,E170,E171	qokain dy qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 3/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
48	F048	f82r	B2	f82r.2	4	4	S032	FIRST	OPEN	3	E172,E173,E174	qokal lcheckhy lched	NONE	E172:LOKALEN_RELATIONSSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 4/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
49	F049	f82r	B2	f82r.3	1	5	S032	LAST	TERMINAL	2	E175,E176	qokeey lcheckhedy	E175:0275fbf14e07935b0a45:TEMPERIEREN?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 5/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
50	F050	f82r	B2	f82r.3	2	6	S033	FIRST	OPEN	4	E177,E178,E179,E180	qokaly solkaiin chckhy qokaiin	NONE	E180:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 6/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
51	F051	f82r	B2	f82r.4	1	7	S033	LAST	TERMINAL	4	E181,E182,E183,E184	qokaiin octheol chkeey ldy	NONE	E181:STANDARDSLOT_SETZEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt	Einzelbecken füllen [Ganzfeldexemplar B2, Feld 7/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
52	F052	f82r	B2	f82r.4	2	8	S034	FIRST	OPEN	4	E185,E186,E187,E188	oteey qokal sheckhy qoky	E188:276a7c2d74d1143446f4:ANWENDEN?	E186:LOKALEN_RELATIONSSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	das bereitete Öl ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden	Fluss bewegen [Ganzfeldexemplar B2, Feld 8/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
53	F053	f82r	B2	f82r.7	1	9	S034	LAST	TERMINAL	1	E189	dshedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	gib sauberes Wasser hinzu und beende den Schritt	Fluss bewegen [Ganzfeldexemplar B2, Feld 9/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
54	F054	f82r	B2	f82r.7	2	10	S035	ONLY	TERMINAL	3	E190,E191,E192	sotaiin qokar shedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt	Fluss bewegen [Ganzfeldexemplar B2, Feld 10/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
55	F055	f82r	B2	f82r.7	3	11	S036	ONLY	TERMINAL	1	E193	solshedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	halte es warm und beende den Schritt	Fluss bewegen [Ganzfeldexemplar B2, Feld 11/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
56	F056	f82r	B2	f82r.7	4	12	S037	FIRST	OPEN	4	E194,E195,E196,E197	qokeey qoky ls cheey	E194:0275fbf14e07935b0a45:TEMPERIEREN? | E195:276a7c2d74d1143446f4:ANWENDEN? | E197:b5df9126607030b95175:KLAR?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; die erste Öffnung ; Bis die Flüssigkeit klar abläuft	Fluss bewegen [Ganzfeldexemplar B2, Feld 12/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
57	F057	f82r	B2	f82r.19	1	13	S037	LAST	TERMINAL	4	E198,E199,E200,E201	okain char okain qokeedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	gib einen abgemessenen Anteil in das Gefäß ; Daraus, aus demselben Ansatz ; gib einen abgemessenen Anteil in das Gefäß ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	Fluss bewegen [Ganzfeldexemplar B2, Feld 13/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
58	F058	f82r	B2	f82r.19	2	14	S038	FIRST	OPEN	1	E202	lchy	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	ziehe die klare Flüssigkeit ab	filtern und ablassen [Ganzfeldexemplar B2, Feld 14/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
59	F059	f82r	B2	f82r.23	1	15	S038	LAST	TERMINAL	7	E203,E204,E205,E206,E207,E208,E209	cheey qcthey qokeey lcheey daiin chey qokeeedy	E203:b5df9126607030b95175:KLAR? | E205:0275fbf14e07935b0a45:TEMPERIEREN? | E207:2f1c5e56e8f0ff459065:MASS?	E207:VORGABEPARAMETER?	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt	filtern und ablassen [Ganzfeldexemplar B2, Feld 15/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
60	F060	f82r	B2	f82r.23	2	16	S039	ONLY	TERMINAL	1	E210	lchedy	E210:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	filtern und ablassen [Ganzfeldexemplar B2, Feld 16/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
61	F061	f82r	B2	f82r.23	3	17	S040	FIRST	OPEN	1	E211	lar	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	schließe den unteren Ablauf	filtern und ablassen [Ganzfeldexemplar B2, Feld 17/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
62	F062	f82r	B2	f82r.26	1	18	S040	LAST	TERMINAL	2	E212,E213	tshey qokeedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	beginne die Spülung ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	filtern und ablassen [Ganzfeldexemplar B2, Feld 18/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
63	F063	f82r	B2	f82r.26	2	19	S041	FIRST	OPEN	7	E214,E215,E216,E217,E218,E219,E220	cheal lchedar ches aiin oteey qokaiin okey	E214:dd0ecaf5e27d81befffc:ZIEL? | E217:2f1c5e56e8f0ff459065:MASS?	E219:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; das bereitete Öl ; beginne den nächsten abgemessenen Posten ; warmes Wasser	filtern und ablassen [Ganzfeldexemplar B2, Feld 19/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
64	F064	f82r	B2	f82r.27	1	20	S041	LAST	TERMINAL	1	E221	pchedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	ziehe es ab und beende den Schritt	filtern und ablassen [Ganzfeldexemplar B2, Feld 20/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
65	F065	f82r	B2	f82r.27	2	21	S042	ONLY	TERMINAL	2	E222,E223	rsheal daldy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	gieße das erwärmte Wasser ein ; wiederhole es an der zweiten Öffnung und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 21/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
