gdt756_control_id	target_ychor_locus	control_page	control_locus	control_initial_surface	same_section_language_hand	both_paragraph_continuations	line_length_delta	global_line_order_distance	control_line_token_count	control_written_line_eva	independent_body_axes	body_token_count	reader_exact_body_tokens	independent_axis_body_tokens	content_present	amount_or_level_present	process_present	quality_or_stage_present	recipe_content_amount_process_triad	suspect_axis_tokens_excluded	comparison_uses_initial_surface_meaning	confirmed_lexeme
G756-C148	f45v.9	f47r	f47r.3	dor	1	1	1	33	8	dor chol chy chaiin ckhey chol dain okaiin	PREPARATION|MIDDLE_STAGE	7	7	1	1	0	0	1	0	0	0	0
G756-C149	f45v.9	f44r	f44r.10	qokchor	1	1	1	34	8	qokchor okchy qoto ykol choky choky chol dam	HOT|DRY|PREPARATION|BEGIN_STAGE	7	5	3	1	0	0	1	0	1	0	0
G756-C150	f45v.9	f47r	f47r.4	qokcheo	1	1	1	34	6	qokcheo cthey chokain chol daiin kchdal	HOT|DRY|MATERIAL|PREPARATION|PROCESS|LEVEL_II	5	5	2	1	1	1	1	1	0	0	0
G756-C151	f45v.9	f44r	f44r.9	otchol	1	1	0	35	7	otchol ol dchckhy qoky qotchy qokchy qokyd	HOT|COLD|DRY|BEGIN_STAGE	6	5	2	0	0	0	1	0	0	0	0
G756-C152	f45v.9	f47r	f47r.7	schesy	1	1	1	37	8	schesy kchor cthaiin chol chol chol chor ey	HOT|DRY|AMOUNT|MATERIAL	7	6	1	1	1	0	1	0	0	0	0
G756-C153	f45v.9	f44r	f44r.3	oair	1	1	1	41	6	oair ekokeey kshotol otal daiin ototaykal	NONE	5	3	0	0	0	0	0	0	0	0	0
G756-C154	f45v.9	f47v	f47v.2	dsheey	1	1	0	43	7	dsheey shy cphy otchey daiidy chory daiiy	AMOUNT|PART|MATERIAL|CLOSE|BEGIN_STAGE|END_STAGE	6	6	2	1	1	1	1	1	1	0	0
G756-C155	f45v.9	f47v	f47v.3	shol	1	1	0	44	7	shol char oteol dor otchol chkchy daiin	HOT|COLD|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	6	6	4	1	1	1	1	1	0	0	0
G756-C156	f45v.9	f47v	f47v.4	qotol	1	1	0	45	7	qotol sheey kol sho keechy qoty cthy	MOIST|MATERIAL|PREPARATION	6	6	2	1	0	0	1	0	0	0	0
G756-C157	f45v.9	f47v	f47v.5	dsholy	1	1	0	46	7	dsholy shees chor ody shy sy sary	PREPARATION|CLOSE|END_STAGE	6	6	1	1	0	1	1	0	0	0	0
G756-C158	f45v.9	f47v	f47v.12	chy	1	1	1	53	8	chy cho keesy chy chy cheky chochy daiin	DRY|PREPARATION|PROCESS|PASS	7	5	2	1	0	1	1	0	0	0	0
G756-C159	f45v.9	f47v	f47v.13	dshy	1	1	1	54	6	dshy daiin chdlety chaiin dcheey otald	NONE	5	4	0	0	0	0	0	0	0	0	0
G756-C160	f45v.9	f42v	f42v.14	qoteey	1	1	1	76	8	qoteey chy kchy cthy ees choly sarar aral	HOT|DRY|BEGIN_STAGE	7	4	2	0	0	0	1	0	0	0	0
G756-C161	f86v5.20	f86v5	f86v5.19	ycheeytydaiin	1	1	1	1	9	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	HOT|MOIST|PREPARATION|BEGIN_STAGE	8	7	1	1	0	0	1	0	0	0	0
G756-C162	f86v5.20	f86v5	f86v5.21	oar	1	1	1	1	11	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	HOT|COLD|AMOUNT|PROCESS|MIDDLE_STAGE|END_STAGE|LEVEL_III	10	10	5	0	1	1	1	0	0	0	0
G756-C163	f86v5.20	f86v5	f86v5.22	ykaiin	1	1	1	2	9	ykaiin ykeey ykal chod aiin oeey teodkaiin otodaiin okain	HOT|DRY|MATERIAL|PREPARATION|PROCESS|END_STAGE	8	6	3	1	0	1	1	0	0	0	0
G756-C164	f86v5.20	f86v5	f86v5.17	ockhedy	1	1	1	3	9	ockhedy ched y taiin ykaiin qotal yshey otaiin olkam	HOT|COLD|DRY|MATERIAL|CLOSE|BEGIN_STAGE|MIDDLE_STAGE|END_STAGE	8	6	4	1	0	1	1	0	0	0	0
G756-C165	f86v5.20	f86v5	f86v5.23	ykaiin	1	1	1	3	11	ykaiin or aiin okol chokar sheol qokar cheey or aiin ody	MOIST|MATERIAL|PREPARATION|CLOSE|END_STAGE	10	8	2	1	0	1	1	0	1	0	0
G756-C166	f86v5.20	f86v5	f86v5.24	oar	1	1	1	4	9	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	HOT|COLD|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS|BEGIN_STAGE|LEVEL_II|LEVEL_III	8	8	6	1	1	1	1	1	0	0	0
G756-C167	f86v5.20	f86v5	f86v5.14	qoar	1	1	1	6	11	qoar aiiin al ody ar aiin qokeeey cheey qotaiin ykar acthy	HOT|PART|MATERIAL|PREPARATION|CLOSE|END_STAGE	10	9	2	1	1	1	1	1	0	0	0
G756-C168	f86v5.20	f86v5	f86v5.13	daiin	1	1	1	7	11	daiin shar otam ytaiin otal teody cthy or aiin otar aiiin	COLD|MOIST|PART|MATERIAL|PREPARATION|LEVEL_III	10	10	4	1	1	0	1	0	0	0	0
G756-C169	f86v5.20	f86v5	f86v5.27	pchor	1	1	1	7	11	pchor ypchor aiin otar shody pchykar ytar odar oeees aral om	AMOUNT|PART|MATERIAL|PREPARATION|PROCESS|END_STAGE	10	10	5	1	1	1	1	1	0	0	0
G756-C170	f86v5.20	f86v5	f86v5.11	taral	1	1	0	9	10	taral okar octhey sal kaiin ytal chey otal aiiin olkam	HOT|COLD|MATERIAL|BEGIN_STAGE|LEVEL_III	9	9	3	1	1	0	1	0	0	0	0
G756-C171	f86v5.20	f86v5	f86v5.29	ysheoar	1	1	1	9	9	ysheoar qoteody qokar shody qokal tchey ytchy tal tar	COLD|DRY|BEGIN_STAGE|MIDDLE_STAGE	8	6	2	0	0	0	1	0	0	0	0
G756-C172	f86v5.20	f86v5	f86v5.10	ykar	1	1	1	10	11	ykar olkal kar shedy shor qokar chor or ykaiin otam ytam	HOT|AMOUNT|PART|MATERIAL	10	10	2	1	1	0	1	0	0	0	0
G756-C173	f86v5.20	f86v5	f86v5.30	odaiin	1	1	1	10	9	odaiin otchees chey chodaiin shedy otal kchol shy olkeeeary	HOT|DRY	8	6	1	0	0	0	1	0	0	0	0
G756-C174	f86v5.20	f86v5	f86v5.31	tol	1	1	0	11	10	tol kaiin ytchdy chol ytedy ytain qodaiin ytody ykeshy ar	HOT|COLD|PROCESS|MIDDLE_STAGE|LEVEL_III	9	8	2	0	1	1	1	0	0	0	0
G756-C175	f86v5.20	f86v5	f86v5.8	octhal	1	1	1	12	11	octhal shckhy otshey opor shey tor ar otar aiin chdy tarcheeg	NONE	10	8	0	0	0	0	0	0	0	0	0
G756-C176	f86v5.20	f86v5	f86v5.33	qokeey	1	1	0	13	10	qokeey ol kaiin ol kain olkeedy qopcheey oty daiin otam	NONE	9	7	0	0	0	0	0	0	0	0	0
G756-C177	f86v5.20	f86v5	f86v5.34	oteey	1	1	1	14	9	oteey ol tey choaiin ysheedy ychedy ytaiin otam aiin	COLD|MIDDLE_STAGE|LEVEL_III	8	7	2	0	1	0	1	0	0	0	0
G756-C178	f86v5.20	f86v5	f86v5.35	ychey	1	1	1	15	11	ychey or aiin ytair ytaim otal shod qokchy qoody s aim	PART	10	6	1	0	1	0	0	0	0	0	0
G756-C179	f86v5.20	f86v5	f86v5.5	daiin	1	1	1	15	11	daiin or otol otshey otal olkey chcthody ytar dal ar okary	HOT|COLD|PART|MATERIAL|PREPARATION|CLOSE|END_STAGE	10	10	3	1	1	1	1	1	0	0	0
G756-C180	f86v5.20	f86v5	f86v5.36	shody	1	1	1	16	9	shody qoty chody ytody olkey otoloty oltal oky dam	NONE	8	8	0	0	0	0	0	0	0	0	0
G756-C181	f93r.28	f93r	f93r.27	qokor	1	1	0	1	4	qokor cheo los ckheody	DRY|PREPARATION|CLOSE|END_STAGE	3	3	2	1	0	1	1	0	0	0	0
G756-C182	f93r.28	f93r	f93r.29	dain	1	1	0	1	4	dain cho ctho cthosg	MATERIAL|PREPARATION	3	1	1	1	0	0	0	0	0	0	0
G756-C183	f93r.28	f93r	f93r.26	ocheodaiin	1	1	1	2	3	ocheodaiin tchos sor	NONE	2	1	0	0	0	0	0	0	0	0	0
G756-C184	f93r.28	f93r	f93r.30	shodaiin	1	1	1	2	3	shodaiin qokcho cthol	MATERIAL	2	2	1	1	0	0	0	0	0	0	0
G756-C185	f93r.28	f93r	f93r.31	ol	1	1	0	3	4	ol chol cthol olchod	MATERIAL	3	3	1	1	0	0	0	0	0	0	0
G756-C186	f93r.28	f93r	f93r.25	ysaiin	1	1	1	3	3	ysaiin chotar shody	PREPARATION|END_STAGE	2	2	1	1	0	0	1	0	0	0	0
G756-C187	f93r.28	f93r	f93r.24	ychocthy	1	1	0	4	4	ychocthy chotey teey s	COLD|DRY|PREPARATION|PROCESS|MIDDLE_STAGE	3	1	1	1	0	1	1	0	0	0	0
G756-C188	f93r.28	f93r	f93r.32	dol	1	1	1	4	3	dol chokal schos	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	2	2	1	1	0	0	1	0	0	0	0
G756-C189	f93r.28	f93r	f93r.23	oain	1	1	0	5	4	oain okor shody teols	HOT|AMOUNT|MATERIAL|PREPARATION|END_STAGE	3	3	2	1	1	0	1	0	0	0	0
G756-C190	f93r.28	f93r	f93r.22	kchor	1	1	0	6	4	kchor cthy chakal daiin	MATERIAL	3	2	1	1	0	0	0	0	0	0	0
G756-C191	f93r.28	f93r	f93r.21	dol	1	1	0	7	4	dol shol daiin shcthy	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C192	f93r.28	f93r	f93r.20	ychockhy	1	1	1	8	3	ychockhy cthol osos	MATERIAL	2	2	1	1	0	0	0	0	0	0	0
G756-C193	f93r.28	f93r	f93r.19	tchor	1	1	0	9	4	tchor shol r sheoky	HOT|MOIST|PREPARATION|BEGIN_STAGE	3	2	1	1	0	0	1	0	0	0	0
G756-C194	f93r.28	f93r	f93r.18	olkees	1	1	1	10	3	olkees shodaiin shody	PREPARATION|END_STAGE	2	1	1	1	0	0	1	0	0	0	0
G756-C195	f93r.28	f93r	f93r.17	tcheo	1	1	1	11	3	tcheo l cholchecthody	NONE	2	1	0	0	0	0	0	0	0	0	0
G756-C196	f93r.28	f93r	f93r.16	choshy	1	1	1	12	3	choshy qokor chckhs	HOT|AMOUNT|MATERIAL	2	2	1	1	1	0	1	0	0	0	0
G756-C197	f93r.28	f93r	f93r.15	ochol	1	1	0	13	4	ochol shodal dol cheodam	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C198	f93r.28	f93r	f93r.14	ychey	1	1	0	14	4	ychey ckhos okcheod chr	NONE	3	2	0	0	0	0	0	0	0	0	0
G756-C199	f93r.28	f93v	f93v.10	ychol	1	1	1	14	5	ychol chs ckhy s cheeol	NONE	4	2	0	0	0	0	0	0	0	0	0
G756-C200	f93r.28	f93r	f93r.13	shodaiin	1	1	0	15	4	shodaiin qotchy kchol r	HOT|COLD|DRY|BEGIN_STAGE	3	2	2	0	0	0	1	0	0	0	0
G756-C201	f99r.52	f100r	f100r.27	chol	1	1	1	71	5	chol cheol cho chckheody otolchey	DRY|PREPARATION	4	4	1	1	0	0	1	0	0	0	0
G756-C202	f99r.52	f100v	f100v.22	daiin	1	1	1	93	3	daiin cheky chory	PART|BEGIN_STAGE	2	2	1	0	1	0	1	0	0	0	0
G756-C203	f99r.52	f102v2	f102v2.39	yotaiin	1	1	0	149	4	yotaiin cheor cheekey orain	DRY|PART|MATERIAL	3	3	1	1	1	0	1	0	1	0	0
G756-C204	f99r.52	f102v1	f102v1.14	chor	1	1	1	163	5	chor cheor ckhey oteol aeky	COLD|DRY|PART|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	4	3	3	1	1	1	1	1	0	0	0
G756-C205	f99r.52	f102v1	f102v1.24	ysaiin	1	1	0	173	4	ysaiin ckhey qoor cheol	AMOUNT|MATERIAL|PREPARATION|MIDDLE_STAGE	3	3	2	1	1	0	1	0	0	0	0
G756-C206	f99r.52	f88v	f88v.26	saiin	1	1	0	245	4	saiin choky cheor shy	HOT|DRY|PART|MATERIAL|PREPARATION|BEGIN_STAGE	3	3	2	1	1	0	1	0	0	0	0
G756-C207	f99r.52	f88v	f88v.10	dar	1	1	0	261	4	dar cheorol chekol daraly	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C208	f102v2.35	f102v2	f102v2.36	okeeor	1	1	1	1	9	okeeor cheey okeey sor eeey okey okey okeey qokeor	HOT|PREPARATION|MIDDLE_STAGE	8	6	2	1	0	0	1	0	0	0	0
G756-C209	f102v2.35	f102v2	f102v2.37	tchor	1	1	0	2	10	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar	HOT|MATERIAL|END_STAGE	9	7	2	1	0	0	1	0	0	0	0
G756-C210	f102v2.35	f102v2	f102v2.31	oldeey	1	1	1	4	9	oldeey ckhy sheeody eeos sheshe oeeor ykeear chekeey ykory	NONE	8	5	0	0	0	0	0	0	0	0	0
G756-C211	f102v2.35	f102v1	f102v1.9	teody	1	1	0	13	10	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	DRY|PREPARATION|END_STAGE	9	7	2	1	0	0	1	0	1	0	0
G756-C212	f102v2.35	f102v1	f102v1.10	kochor	1	1	0	14	10	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	HOT|PROCESS|MIDDLE_STAGE|END_STAGE	9	6	2	0	0	1	1	0	0	0	0
G756-C213	f102v2.35	f102v1	f102v1.13	toiin	1	1	0	17	10	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	AMOUNT|PREPARATION	9	8	1	1	1	0	0	0	0	0	0
G756-C214	f102v2.35	f102v1	f102v1.20	soiin	1	1	1	24	9	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	HOT|END_STAGE	8	7	1	0	0	0	1	0	0	0	0
G756-C215	f102v2.35	f102r1	f102r1.16	ddor	1	1	0	36	10	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	NONE	9	2	0	0	0	0	0	0	1	0	0
G756-C216	f102v2.35	f102r1	f102r1.15	or	1	1	1	37	9	or chol daiin dykeor sheey qokeody dor os ykeeykam	AMOUNT|MATERIAL	8	2	1	1	1	0	0	0	0	0	0
G756-C217	f102v2.35	f102r1	f102r1.14	doeey	1	1	1	38	11	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	HOT|MATERIAL	10	7	2	1	0	0	1	0	0	0	0
G756-C218	f102v2.35	f102r1	f102r1.10	ycheol	1	1	1	42	9	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	NONE	8	5	0	0	0	0	0	0	0	0	0
G756-C219	f102v2.35	f102r1	f102r1.5	ytol	1	1	0	47	10	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	HOT|MOIST|AMOUNT|MATERIAL|PROCESS	9	8	4	1	1	1	1	1	1	0	0
G756-C220	f102v2.35	f100v	f100v.21	soral	1	1	0	53	10	soral okor ol choy ly araroy okar cheeeal cheokeol orey	HOT|DRY|AMOUNT|MATERIAL|PREPARATION	9	9	2	1	1	0	1	0	0	0	0
G756-C221	f102v2.35	f100v	f100v.16	ykeeol	1	1	1	58	11	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	HOT|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE|END_STAGE	10	7	2	1	1	1	1	1	2	0	0
G756-C222	f102v2.35	f100v	f100v.15	sor	1	1	1	59	11	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	NONE	10	7	0	0	0	0	0	0	1	0	0
G756-C223	f102v2.35	f100r	f100r.25	sheor	1	1	0	76	10	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	MATERIAL|MIDDLE_STAGE	9	9	1	1	0	0	1	0	1	0	0
G756-C224	f102v2.35	f100r	f100r.24	saiichor	1	1	0	77	10	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	MOIST|PART|MATERIAL	9	5	1	1	1	0	1	0	0	0	0
G756-C225	f102v2.35	f100r	f100r.14	shor	1	1	0	87	10	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	COLD|END_STAGE	9	7	1	0	0	0	1	0	1	0	0
G756-C226	f102v2.35	f99v	f99v.33	dol	1	1	1	112	9	dol okeeol okeor okal okaiin ckheol okolaiin okolaiin cheoldy	HOT|AMOUNT|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE|END_STAGE	8	5	2	1	1	1	1	1	0	0	0
G756-C227	f102v2.35	f99v	f99v.23	qokeey	1	1	1	122	9	qokeey chol okeoldy qokol qokeolo lchol okeol sheodol qokeechom	HOT|PROCESS	8	8	1	0	0	1	1	0	1	0	0
G756-C228	f106r.9	f106r	f106r.7	olched	1	1	0	2	7	olched qoiin ychedy qokam sheol qokor cheees	MOIST|MATERIAL	6	5	1	1	0	0	1	0	0	0	0
G756-C229	f106r.9	f106r	f106r.14	ychol	1	1	1	5	8	ychol okaiin olcheey dolchedy otair otal chedy okeor	HOT|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE	7	5	1	1	1	1	1	1	0	0	0
G756-C230	f106r.9	f106r	f106r.3	dshes	1	1	1	6	6	dshes lchedy lkchedy ytchdy or cheos	NONE	5	3	0	0	0	0	0	0	0	0	0
G756-C231	f106r.9	f106r	f106r.17	yochor	1	1	1	8	6	yochor lshedy qockhey qokedain or aiinchodar	NONE	5	3	0	0	0	0	0	0	1	0	0
G756-C232	f106r.9	f105v	f105v.28	oeoar	1	1	1	19	6	oeoar ar al odor aiil otaiin	NONE	5	5	0	0	0	0	0	0	1	0	0
G756-C233	f106r.9	f106r	f106r.31	yshar	1	1	1	22	6	yshar chkar aiiiky ral cheol oraiin	HOT|DRY|AMOUNT|PART	5	5	2	0	1	0	1	0	0	0	0
G756-C234	f106r.9	f105v	f105v.22	daiin	1	1	1	25	6	daiin cheodaiin chedal air okaiin cheey	DRY|AMOUNT|MATERIAL|PREPARATION|MIDDLE_STAGE	5	4	2	1	1	0	1	0	1	0	0
G756-C235	f106r.9	f105v	f105v.13	saiin	1	1	1	34	8	saiin opchedy qokchdy otar al kair okees lkchdal	HOT|PART|MATERIAL	7	4	1	1	1	0	1	0	0	0	0
G756-C236	f106r.9	f105v	f105v.7	ycheeo	1	1	0	40	7	ycheeo lkaiin otair ol olkaiin okairody lchedr	NONE	6	5	0	0	0	0	0	0	0	0	0
G756-C237	f106r.9	f106v	f106v.4	ycheoto	1	1	1	42	8	ycheoto lsheo aiin chcthy okain chdal chdam charam	DRY|AMOUNT|MATERIAL|BEGIN_STAGE	7	6	1	1	1	0	1	0	0	0	0
G756-C238	f106r.9	f105v	f105v.4	olkeeol	1	1	1	43	8	olkeeol orchsey qokeedy chdor olar ol keeol chedaiin	HOT|DRY|AMOUNT|MATERIAL	7	7	2	1	1	0	1	0	0	0	0
G756-C239	f106r.9	f106v	f106v.10	ysheody	1	1	0	48	7	ysheody cheol oteey qodaiin ytain ychdy oltydy	NONE	6	4	0	0	0	0	0	0	0	0	0
G756-C240	f106r.9	f105r	f105r.27	dair	1	1	0	57	7	dair cho al r lal cheesy cphedy	DRY|PREPARATION	6	6	1	1	0	0	1	0	0	0	0
G756-C241	f106r.9	f105r	f105r.25	deeedy	1	1	1	59	6	deeedy cheodkedy chedy decthdy daiiils airols	NONE	5	4	0	0	0	0	0	0	0	0	0
G756-C242	f106r.9	f106v	f106v.25	sar	1	1	1	63	6	sar sheol chol shar chol okarol	HOT|MOIST|PART|MATERIAL|PREPARATION	5	5	3	1	1	0	1	0	0	0	0
G756-C243	f106r.9	f106v	f106v.27	olcheo	1	1	1	65	6	olcheo odaiin sheotal shoor qokeey oarar	HOT|PREPARATION|END_STAGE|LEVEL_III	5	3	2	1	1	0	1	0	0	0	0
G756-C244	f106r.9	f105r	f105r.16	yteody	1	1	0	68	7	yteody oteeeos aiin odal oiir okeedy oral	AMOUNT|MATERIAL|PREPARATION	6	5	2	1	1	0	0	0	0	0	0
G756-C245	f106r.9	f106v	f106v.33	choaiin	1	1	1	71	8	choaiin ody qotar chey ol aiin chey dychy	PREPARATION|CLOSE|END_STAGE	7	6	1	1	0	1	1	0	0	0	0
G756-C246	f106r.9	f104v	f104v.44	daiin	1	1	1	84	8	daiin y cheeo chey okeeey qokeeey okeey okeey	NONE	7	3	0	0	0	0	0	0	0	0	0
G756-C247	f106r.9	f104v	f104v.40	qokeeey	1	1	0	88	7	qokeeey okchedy qokeey aiin odain orchedy qoky	HOT|PREPARATION|BEGIN_STAGE|END_STAGE|LEVEL_II	6	5	3	1	1	0	1	0	0	0	0
