changed_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	sigla_card_ids	source_clause_de	target_clause_de	source_roundtrip_de	guard
121	G407-E0525	G407-S026	f18r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang gib denselben Pflanzenposten zu; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang gib denselben Pflanzenposten zu; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang gib denselben Pflanzenposten zu; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
122	G407-E0526	G407-S026	f18r	HERBAL	om	O+AM_ADDR	GDT576-C03	Im laufenden Gang gib denselben Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang gib denselben Pflanzenposten zu; als Ausführung; an der AM-Stelle.	Im laufenden Gang gib denselben Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
123	G407-E0545	G407-S026	f18r	HERBAL	ytcharg	K+CH+AR+LOCAL_CHAR_G	GDT576-C09	Gib denselben Pflanzenposten zu und nimm ihn; vom Ausgangsmaterial; mit der lokalen Variante.	Gib denselben Pflanzenposten zu und nimm ihn; vom Ausgangsmaterial; mit der g-Variante.	Gib denselben Pflanzenposten zu und nimm ihn; vom Ausgangsmaterial; mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
124	G407-E0556	G407-S027	f18r	HERBAL	chom	HO+M_LOCAL	GDT576-C06	Im laufenden Gang stelle denselben Arbeitswert ein; in der bezeichneten Klasse und an der bezeichneten Stelle.	Im laufenden Gang stelle denselben Arbeitswert ein; in der bezeichneten Klasse und bei der m-Ortsmarke.	Im laufenden Gang stelle denselben Arbeitswert ein; in der bezeichneten Klasse und an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
125	G407-E0559	G407-S027	f18r	HERBAL	dair	D_ADDR+AIR	GDT576-C01	Im laufenden Gang nimm dieselbe Arbeitseinheit; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	Im laufenden Gang nimm dieselbe Arbeitseinheit; entlang der Verarbeitungsbahn; an der D-Stelle.	Im laufenden Gang nimm dieselbe Arbeitseinheit; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
126	G407-E0562	G407-S027	f18r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
127	G407-E0563	G407-S027	f18r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang stelle denselben Pflanzenposten ein; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
128	G407-E0568	G407-S027	f18r	HERBAL	sholdy	SH+OL+D_ADDR+Y	GDT576-C01	Weiter: halte den Pflanzenposten; an der bezeichneten Stelle.	Weiter: halte den Pflanzenposten; an der D-Stelle.	Weiter: halte den Pflanzenposten; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
129	G407-E0581	G407-S029	f18r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
130	G407-E0585	G407-S029	f18r	HERBAL	ydaiin	Y+D_ADDR+AIIN	GDT576-C01	Im laufenden Gang setze den Pflanzenposten und den Arbeitswert im Arbeitsgang an; an der bezeichneten Stelle.	Im laufenden Gang setze den Pflanzenposten und den Arbeitswert im Arbeitsgang an; an der D-Stelle.	Im laufenden Gang setze den Pflanzenposten und den Arbeitswert im Arbeitsgang an; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
131	G407-E0590	G407-S029	f18r	HERBAL	g	LOCAL_CHAR_G	GDT576-C09	Im laufenden Gang nimm dieselbe Arbeitseinheit; mit der lokalen Variante.	Im laufenden Gang nimm dieselbe Arbeitseinheit; mit der g-Variante.	Im laufenden Gang nimm dieselbe Arbeitseinheit; mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
132	G407-E0601	G407-S029	f18r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang setze denselben Arbeitswert im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang setze denselben Arbeitswert im Arbeitsgang an; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang setze denselben Arbeitswert im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
133	G407-E0605	G407-S030	f24v	HERBAL	tchodar	T+CH+O+D_ADDR+AR	GDT576-C01	Stelle ein und nimm; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	Stelle ein und nimm; vom Ausgangsmaterial; als Ausführung; an der D-Stelle.	Stelle ein und nimm; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
134	G407-E0606	G407-S030	f24v	HERBAL	chocfhey	CH+O+CH+LOCAL_CHAR_F+E+Y	GDT576-C05	Nimm den Pflanzenposten und nimm ihn; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Nimm den Pflanzenposten und nimm ihn; als Ausführung und auf Grad I; bei der f-Kennmarke.	Nimm den Pflanzenposten und nimm ihn; als Ausführung und auf Grad I; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
135	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	GDT576-C03	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der AM-Stelle.	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
136	G407-E0608	G407-S030	f24v	HERBAL	shod	SH+O+D_ADDR	GDT576-C01	Halte denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	Halte denselben Pflanzenposten; als Ausführung; an der D-Stelle.	Halte denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
137	G407-E0615	G407-S031	f24v	HERBAL	am	AM_ADDR	GDT576-C03	Im laufenden Gang gib denselben Arbeitswert zu; an der bezeichneten Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; an der AM-Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
138	G407-E0620	G407-S031	f24v	HERBAL	dchor	D_ADDR+CH+OR	GDT576-C01	Nimm die Arbeitseinheit; an der bezeichneten Stelle.	Nimm die Arbeitseinheit; an der D-Stelle.	Nimm die Arbeitseinheit; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
139	G407-E0624	G407-S031	f24v	HERBAL	okchom	OK+CH+O+AM_ADDR	GDT576-C03	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm sie; als Ausführung; an der bezeichneten Stelle.	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm sie; als Ausführung; an der AM-Stelle.	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm sie; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
140	G407-E0627	G407-S031	f24v	HERBAL	odchees	O+D_ADDR+CH+EE+S	GDT576-C01	Nimm denselben Pflanzenposten und wähle ihn; als Ausführung und auf Grad II; an der bezeichneten Stelle.	Nimm denselben Pflanzenposten und wähle ihn; als Ausführung und auf Grad II; an der D-Stelle.	Nimm denselben Pflanzenposten und wähle ihn; als Ausführung und auf Grad II; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
141	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	GDT576-C08	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der i-Variante.	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
142	G407-E0629	G407-S031	f24v	HERBAL	okam	OK+AM_ADDR	GDT576-C03	Setze denselben Pflanzenposten im Arbeitsgang an; an der bezeichneten Stelle.	Setze denselben Pflanzenposten im Arbeitsgang an; an der AM-Stelle.	Setze denselben Pflanzenposten im Arbeitsgang an; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
143	G407-E0635	G407-S031	f24v	HERBAL	odaiin	O+D_ADDR+AIIN	GDT576-C01	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der D-Stelle.	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
144	G407-E0636	G407-S031	f24v	HERBAL	dlos	D_ADDR+L+O+S	GDT576-C01	Wähle denselben Arbeitswert; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	Wähle denselben Arbeitswert; über die Verbindung im Pflanzenartikel; als Ausführung; an der D-Stelle.	Wähle denselben Arbeitswert; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
145	G407-E0643	G407-S032	f24v	HERBAL	arsa	AR+S+A_ADDR	GDT576-C02	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der bezeichneten Stelle.	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der A-Stelle.	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
146	G407-E0646	G407-S032	f24v	HERBAL	daid	AIN+D_ADDR	GDT576-C01	Im laufenden Gang nimm den Materialanteil; an der bezeichneten Stelle.	Im laufenden Gang nimm den Materialanteil; an der D-Stelle.	Im laufenden Gang nimm den Materialanteil; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
147	G407-E0647	G407-S032	f24v	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang nimm denselben Materialanteil; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang nimm denselben Materialanteil; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang nimm denselben Materialanteil; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
148	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	GDT576-C03	Weiter im laufenden Gang: nimm denselben Materialanteil; als Ausführung; an der bezeichneten Stelle.	Weiter im laufenden Gang: nimm denselben Materialanteil; als Ausführung; an der AM-Stelle.	Weiter im laufenden Gang: nimm denselben Materialanteil; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
149	G407-E0657	G407-S032	f24v	HERBAL	om	O+AM_ADDR	GDT576-C03	Im laufenden Gang nimm dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang nimm dieselbe Arbeitseinheit; als Ausführung; an der AM-Stelle.	Im laufenden Gang nimm dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
150	G407-E0659	G407-S032	f24v	HERBAL	ctheod	CH+T+E+O+D_ADDR	GDT576-C01	Nimm dieselbe Arbeitseinheit und stelle sie ein; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Nimm dieselbe Arbeitseinheit und stelle sie ein; auf Grad I und als Ausführung; an der D-Stelle.	Nimm dieselbe Arbeitseinheit und stelle sie ein; auf Grad I und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
151	G407-E0662	G407-S032	f24v	HERBAL	ydaiin	Y+D_ADDR+AIIN	GDT576-C01	Im laufenden Gang gib den Pflanzenposten und den Arbeitswert zu; an der bezeichneten Stelle.	Im laufenden Gang gib den Pflanzenposten und den Arbeitswert zu; an der D-Stelle.	Im laufenden Gang gib den Pflanzenposten und den Arbeitswert zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
152	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	GDT576-C01|GDT576-C03	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der D-Stelle und an der AM-Stelle.	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
153	G407-E0665	G407-S032	f24v	HERBAL	okodaiin	OK+O+D_ADDR+AIIN	GDT576-C01	Setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der bezeichneten Stelle.	Setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der D-Stelle.	Setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
154	G407-E0667	G407-S032	f24v	HERBAL	foar	LOCAL_CHAR_F+O+AR	GDT576-C05	Im laufenden Gang halte denselben Arbeitswert; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang halte denselben Arbeitswert; vom Ausgangsmaterial; als Ausführung; bei der f-Kennmarke.	Im laufenden Gang halte denselben Arbeitswert; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
155	G407-E0676	G407-S032	f24v	HERBAL	odor	O+D_ADDR+OR	GDT576-C01	Im laufenden Gang nimm die Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang nimm die Arbeitseinheit; als Ausführung; an der D-Stelle.	Im laufenden Gang nimm die Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
156	G407-E0678	G407-S032	f24v	HERBAL	do	D_ADDR+O	GDT576-C01	Im laufenden Gang halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang halte dieselbe Arbeitseinheit; als Ausführung; an der D-Stelle.	Im laufenden Gang halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
157	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	GDT576-C01	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle; zur Zielstelle; führe den Gang weiter.	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der D-Stelle; zur Zielstelle; führe den Gang weiter.	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle; zur Zielstelle; führe den Gang weiter.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
158	G407-E0680	G407-S032	f24v	HERBAL	doiir	D_ADDR+O+IIN+R	GDT576-C01	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der D-Stelle.	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
159	G407-E0681	G407-S032	f24v	HERBAL	cheeodam	CH+EE+O+D_ADDR+AM_ADDR	GDT576-C01|GDT576-C03	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der D-Stelle und an der AM-Stelle.	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
160	G407-E0686	G407-S032	f24v	HERBAL	kchod	K+CH+O+D_ADDR	GDT576-C01	Gib denselben Pflanzenposten zu und nimm ihn; als Ausführung; an der bezeichneten Stelle.	Gib denselben Pflanzenposten zu und nimm ihn; als Ausführung; an der D-Stelle.	Gib denselben Pflanzenposten zu und nimm ihn; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
161	G407-E0687	G407-S032	f24v	HERBAL	dchal	D_ADDR+CH+AL	GDT576-C01	Nimm denselben Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	Nimm denselben Pflanzenposten; zur Zielstelle; an der D-Stelle.	Nimm denselben Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
162	G407-E0690	G407-S032	f24v	HERBAL	odaiim	O+D_ADDR+AIIN+M_LOCAL	GDT576-C01|GDT576-C06	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der D-Stelle und bei der m-Ortsmarke.	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
163	G407-E0691	G407-S033	f55v	HERBAL	kcheedchdy	K+CH+EE+D_ADDR+CHD+Y	GDT576-C01	Gib den Pflanzenposten zu, nimm ihn und bearbeite ihn; auf Grad II; an der bezeichneten Stelle.	Gib den Pflanzenposten zu, nimm ihn und bearbeite ihn; auf Grad II; an der D-Stelle.	Gib den Pflanzenposten zu, nimm ihn und bearbeite ihn; auf Grad II; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
164	G407-E0692	G407-S033	f55v	HERBAL	oedain	O+E+D_ADDR+AIN	GDT576-C01	Im laufenden Gang bearbeite den Materialanteil; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Im laufenden Gang bearbeite den Materialanteil; als Ausführung und auf Grad I; an der D-Stelle.	Im laufenden Gang bearbeite den Materialanteil; als Ausführung und auf Grad I; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
165	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	GDT576-C01	Danach im laufenden Gang: gib den Arbeitswert zu; an der bezeichneten Stelle; führe den Gang weiter.	Danach im laufenden Gang: gib den Arbeitswert zu; an der D-Stelle; führe den Gang weiter.	Danach im laufenden Gang: gib den Arbeitswert zu; an der bezeichneten Stelle; führe den Gang weiter.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
166	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	GDT576-C01|GDT576-C07	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang: Gib denselben Arbeitswert zu; an der D-Stelle; als Ausführung; beim d-Vermerk; schließe den Schritt.	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
167	G407-E0696	G407-S033	f55v	HERBAL	oeeed	O+EEE+D_ADDR	GDT576-C01	Im laufenden Gang gib denselben Arbeitswert zu; als Ausführung und auf Grad III; an der bezeichneten Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; als Ausführung und auf Grad III; an der D-Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; als Ausführung und auf Grad III; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
168	G407-E0700	G407-S034	f55v	HERBAL	okeody	OK+E+O+D_ADDR+Y	GDT576-C01	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und als Ausführung; an der D-Stelle.	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
169	G407-E0712	G407-S034	f55v	HERBAL	am	AM_ADDR	GDT576-C03	Im laufenden Gang gib denselben Arbeitswert zu; an der bezeichneten Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; an der AM-Stelle.	Im laufenden Gang gib denselben Arbeitswert zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
170	G407-E0714	G407-S034	f55v	HERBAL	chckhdy	CH+CH+K+D_ADDR+Y	GDT576-C01	Nimm den Pflanzenposten zweimal und gib ihn zu; an der bezeichneten Stelle.	Nimm den Pflanzenposten zweimal und gib ihn zu; an der D-Stelle.	Nimm den Pflanzenposten zweimal und gib ihn zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
171	G407-E0716	G407-S034	f55v	HERBAL	keeyfar	K+EE+Y+LOCAL_CHAR_F+AR	GDT576-C05	Gib den Pflanzenposten zu; vom Ausgangsmaterial; auf Grad II; an der bezeichneten Stelle.	Gib den Pflanzenposten zu; vom Ausgangsmaterial; auf Grad II; bei der f-Kennmarke.	Gib den Pflanzenposten zu; vom Ausgangsmaterial; auf Grad II; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
172	G407-E0728	G407-S036	f55v	HERBAL	talam	T+AL+AM_ADDR	GDT576-C03	Stelle denselben Pflanzenposten ein; zur Zielstelle; an der bezeichneten Stelle.	Stelle denselben Pflanzenposten ein; zur Zielstelle; an der AM-Stelle.	Stelle denselben Pflanzenposten ein; zur Zielstelle; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
173	G407-E0733	G407-S036	f55v	HERBAL	daiiny	D_ADDR+AIIN+Y	GDT576-C01	Im laufenden Gang gib den Arbeitswert und den Pflanzenposten zu; an der bezeichneten Stelle.	Im laufenden Gang gib den Arbeitswert und den Pflanzenposten zu; an der D-Stelle.	Im laufenden Gang gib den Arbeitswert und den Pflanzenposten zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
174	G407-E0743	G407-S036	f55v	HERBAL	aldy	AL+D_ADDR+Y	GDT576-C01	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der D-Stelle.	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
175	G407-E0753	G407-S036	f55v	HERBAL	talody	T+AL+O+D_ADDR+Y	GDT576-C01	Stelle den Pflanzenposten ein; zur Zielstelle; als Ausführung; an der bezeichneten Stelle.	Stelle den Pflanzenposten ein; zur Zielstelle; als Ausführung; an der D-Stelle.	Stelle den Pflanzenposten ein; zur Zielstelle; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
176	G407-E0756	G407-S036	f55v	HERBAL	ykaky	Y+K+A_ADDR+K+Y	GDT576-C02	Gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu und gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu; an der bezeichneten Stelle.	Gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu und gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu; an der A-Stelle.	Gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu und gib den äußeren Pflanzenposten und den inneren Pflanzenposten zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
177	G407-E0765	G407-S036	f55v	HERBAL	otaky	OT+A_ADDR+K+Y	GDT576-C02	Danach: gib den Pflanzenposten zu; an der bezeichneten Stelle.	Danach: gib den Pflanzenposten zu; an der A-Stelle.	Danach: gib den Pflanzenposten zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
