stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	state_bank_was_new	active_action_before	active_argument_before	explicit_action_roots	explicit_argument_roots	inherited_action_root	inherited_argument_root	active_action_after	active_argument_after	reader_status	reader_clause_de	baseline_reader_clause_de	order_repair_rule	clause_changed_by_order_repair	state_matches_gdt436	expected_order_safe_clause_de	clause_matches_gdt437	meaning_change
1165	G407-E1165	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	aiin	AIIN	T0_EXACT_OBSERVED	NO	S	AIIN	NONE	AIIN	S	NONE	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang wähle den Positionswert.	Im laufenden Gang wähle den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang wähle den Positionswert.	YES	NO
1166	G407-E1166	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	otam	OT+AM_ADDR	T0_EXACT_OBSERVED	NO	S	AIIN	NONE	NONE	S	AIIN	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	YES	NO
1167	G407-E1167	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	otam	OT+AM_ADDR	T0_EXACT_OBSERVED	NO	S	AIIN	NONE	NONE	S	AIIN	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	YES	NO
1168	G407-E1168	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	chotam	CH+OT+AM_ADDR	T0_EXACT_OBSERVED	NO	S	AIIN	CH	NONE	NONE	AIIN	CH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach nimm den Positionswert [wie zuvor] auf; an der bezeichneten Stelle.	Danach nimm den Positionswert [wie zuvor] auf; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach nimm den Positionswert [wie zuvor] auf; an der bezeichneten Stelle.	YES	NO
1169	G407-E1169	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	sal	S+AL	T0_EXACT_OBSERVED	NO	CH	AIIN	S	NONE	NONE	AIIN	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den Positionswert [wie zuvor]; zur Zielposition.	Wähle den Positionswert [wie zuvor]; zur Zielposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den Positionswert [wie zuvor]; zur Zielposition.	YES	NO
1170	G407-E1170	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	okeo	OK+E+O	T0_EXACT_OBSERVED	NO	S	AIIN	OK	NONE	NONE	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	YES	NO
1171	G407-E1171	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	dar	D_ADDR+AR	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	YES	NO
1172	G407-E1172	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	ar	AR	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	YES	NO
1173	G407-E1173	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	adal	A_ADDR+AL	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; an der bezeichneten Stelle.	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; an der bezeichneten Stelle.	YES	NO
1174	G407-E1174	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	dar	D_ADDR+AR	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	YES	NO
1175	G407-E1175	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	okeeas	OK+EE+Y	T0_EXACT_OBSERVED	NO	OK	AIIN	OK	Y	NONE	NONE	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionsposten; auf Grad II.	Setze den Positionsposten; auf Grad II.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionsposten; auf Grad II.	YES	NO
1176	G407-E1176	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	aiin	AIIN	T0_EXACT_OBSERVED	NO	OK	Y	NONE	AIIN	OK	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert.	Im laufenden Gang setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert.	YES	NO
1177	G407-E1177	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	Y	OK	NONE	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang setze den Positionsposten; auf Grad II.	Danach im laufenden Gang setze den Positionsposten; auf Grad II.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang setze den Positionsposten; auf Grad II.	YES	NO
1178	G407-E1178	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	okaiin	OK+AIIN	T0_EXACT_OBSERVED	NO	OK	Y	OK	AIIN	NONE	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionswert.	Setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionswert.	YES	NO
1179	G407-E1179	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	oteodar	OT+E+O+D_ADDR+AR	T0_EXACT_OBSERVED	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES	NO
1180	G407-E1180	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	ytey	T+E+Y	T0_EXACT_OBSERVED	NO	NONE	NONE	T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Stelle den Positionsposten ein; auf Grad I.	Stelle den Positionsposten ein; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Stelle den Positionsposten ein; auf Grad I.	YES	NO
1181	G407-E1181	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otey	OT+E+Y	T0_EXACT_OBSERVED	NO	T	Y	NONE	Y	T	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad I.	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad I.	YES	NO
1182	G407-E1182	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	shetey	SH+E+T+E+Y	T0_EXACT_OBSERVED	NO	T	Y	SH|T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	Halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	YES	NO
1183	G407-E1183	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	chokshor	OK+OR	T0_EXACT_OBSERVED	NO	T	Y	OK	OR	NONE	NONE	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze die Positionseinheit.	Setze die Positionseinheit.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze die Positionseinheit.	YES	NO
1184	G407-E1184	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	okalal	OK+AL+AL	T0_EXACT_OBSERVED	NO	OK	OR	OK	NONE	NONE	OR	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze die Positionseinheit [wie zuvor]; zur Zielposition [außen] und zur Zielposition [innen].	Setze die Positionseinheit [wie zuvor]; zur Zielposition [außen] und zur Zielposition [innen].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze die Positionseinheit [wie zuvor]; zur Zielposition [außen] und zur Zielposition [innen].	YES	NO
1185	G407-E1185	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otaiin	OT+AIIN	T0_EXACT_OBSERVED	NO	OK	OR	NONE	AIIN	OK	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang setze den Positionswert.	Danach im laufenden Gang setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang setze den Positionswert.	YES	NO
1186	G407-E1186	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	sheolaiin	SH+E+OL+AIIN	T0_EXACT_OBSERVED	NO	OK	AIIN	SH	AIIN	NONE	NONE	SH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter halte den Positionswert; auf Grad I.	Weiter halte den Positionswert; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter halte den Positionswert; auf Grad I.	YES	NO
1187	G407-E1187	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otaiin	OT+AIIN	T0_EXACT_OBSERVED	NO	SH	AIIN	NONE	AIIN	SH	NONE	SH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang halte den Positionswert.	Danach im laufenden Gang halte den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang halte den Positionswert.	YES	NO
1188	G407-E1188	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	chetey	CH+E+T+E+Y	T0_EXACT_OBSERVED	NO	SH	AIIN	CH|T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	YES	NO
1189	G407-E1189	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	cheolor	OL+E+OR	T0_EXACT_OBSERVED	NO	T	Y	NONE	OR	T	NONE	T	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang stelle die Positionseinheit ein; auf Grad I.	Weiter im laufenden Gang stelle die Positionseinheit ein; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang stelle die Positionseinheit ein; auf Grad I.	YES	NO
1190	G407-E1190	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	oteo	OT+E+O	T0_EXACT_OBSERVED	NO	T	OR	NONE	NONE	T	OR	T	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; auf Grad I und als Ausführung.	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; auf Grad I und als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; auf Grad I und als Ausführung.	YES	NO
1191	G407-E1191	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	teeody	T+EE+O+DY	T0_EXACT_OBSERVED	NO	T	OR	T	NONE	NONE	OR	T	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Stelle die Positionseinheit [wie zuvor] ein; auf Grad II und als Ausführung; schließe den Schritt.	Stelle die Positionseinheit [wie zuvor] ein; auf Grad II und als Ausführung; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Stelle die Positionseinheit [wie zuvor] ein; auf Grad II und als Ausführung; schließe den Schritt.	YES	NO
1192	G407-E1192	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otar	OT+AR	T0_EXACT_OBSERVED	NO	T	OR	NONE	NONE	T	OR	T	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; von der Ausgangsposition.	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; von der Ausgangsposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; von der Ausgangsposition.	YES	NO
1193	G407-E1193	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	chokaiin	OK+AIIN	T0_EXACT_OBSERVED	NO	T	OR	OK	AIIN	NONE	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionswert.	Setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionswert.	YES	NO
1194	G407-E1194	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	okaiin	OK+AIIN	T0_EXACT_OBSERVED	NO	OK	AIIN	OK	AIIN	NONE	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionswert.	Setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionswert.	YES	NO
1195	G407-E1195	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	al	AL	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition.	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition.	YES	NO
1196	G407-E1196	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	alo	AL+O	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	NONE	OK	AIIN	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; als Ausführung.	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; als Ausführung.	YES	NO
1197	G407-E1197	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	cheedy	CH+EE+D_ADDR+Y	T0_EXACT_OBSERVED	NO	OK	AIIN	CH	Y	NONE	NONE	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Nimm den Positionsposten auf; auf Grad II; an der bezeichneten Stelle.	Nimm den Positionsposten auf; auf Grad II; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Nimm den Positionsposten auf; auf Grad II; an der bezeichneten Stelle.	YES	NO
1198	G407-E1198	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otear	OT+E+AR	T0_EXACT_OBSERVED	NO	CH	Y	NONE	NONE	CH	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition; auf Grad I.	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition; auf Grad I.	YES	NO
1199	G407-E1199	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	ar	AR	T0_EXACT_OBSERVED	NO	CH	Y	NONE	NONE	CH	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	YES	NO
1200	G407-E1200	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	cheky	CH+K+E+Y	T0_EXACT_OBSERVED	NO	CH	Y	CH|K	Y	NONE	NONE	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	YES	NO
1201	G407-E1201	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	chokal	OK+AL	T0_EXACT_OBSERVED	NO	K	Y	OK	NONE	NONE	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Setze den Positionsposten [wie zuvor]; zur Zielposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionsposten [wie zuvor]; zur Zielposition.	YES	NO
1202	G407-E1202	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otar	OT+AR	T0_EXACT_OBSERVED	NO	OK	Y	NONE	NONE	OK	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	YES	NO
1203	G407-E1203	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	al	AL	T0_EXACT_OBSERVED	NO	OK	Y	NONE	NONE	OK	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	YES	NO
1204	G407-E1204	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	o	O	T0_EXACT_OBSERVED	NO	OK	Y	NONE	NONE	OK	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	Im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	YES	NO
1205	G407-E1205	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	qokar	OK+AR	T0_EXACT_OBSERVED	NO	OK	Y	OK	NONE	NONE	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	Setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	YES	NO
1206	G407-E1206	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	okeeols	OK+EE+OL+S	T0_EXACT_OBSERVED	YES	NONE	NONE	OK|S	NONE	NONE	NONE	S	NONE	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter setze und wähle; auf Grad II.	Weiter setze und wähle; auf Grad II.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter setze und wähle; auf Grad II.	YES	NO
1207	G407-E1207	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	aroly	AR+OL+Y	T0_EXACT_OBSERVED	NO	S	NONE	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter, von der Ausgangsposition: im laufenden Gang wähle den Positionsposten.	Weiter im laufenden Gang wähle den Positionsposten; von der Ausgangsposition.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	YES	YES	Weiter, von der Ausgangsposition: im laufenden Gang wähle den Positionsposten.	YES	NO__RELATION_ARGUMENT_ORDER_ONLY
1208	G407-E1208	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	okees	OK+EE+S	T0_EXACT_OBSERVED	NO	S	Y	OK|S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	YES	NO
1209	G407-E1209	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	alaiin	AL+AIIN	T0_EXACT_OBSERVED	NO	S	Y	NONE	AIIN	S	NONE	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Zur Zielposition: im laufenden Gang wähle den Positionswert.	Im laufenden Gang wähle den Positionswert; zur Zielposition.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	YES	YES	Zur Zielposition: im laufenden Gang wähle den Positionswert.	YES	NO__RELATION_ARGUMENT_ORDER_ONLY
1210	G407-E1210	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	okeor	OK+E+OR	T0_EXACT_OBSERVED	NO	S	AIIN	OK	OR	NONE	NONE	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze die Positionseinheit; auf Grad I.	Setze die Positionseinheit; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze die Positionseinheit; auf Grad I.	YES	NO
1211	G407-E1211	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	chol	OL	T0_EXACT_OBSERVED	NO	OK	OR	NONE	NONE	OK	OR	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang setze die Positionseinheit [wie zuvor].	Weiter im laufenden Gang setze die Positionseinheit [wie zuvor].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang setze die Positionseinheit [wie zuvor].	YES	NO
1212	G407-E1212	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	o	O	T0_EXACT_OBSERVED	NO	OK	OR	NONE	NONE	OK	OR	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze die Positionseinheit [wie zuvor]; als Ausführung.	Im laufenden Gang setze die Positionseinheit [wie zuvor]; als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze die Positionseinheit [wie zuvor]; als Ausführung.	YES	NO
1213	G407-E1213	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	oteos	OT+E+O+S_ADDR	T0_EXACT_OBSERVED	NO	OK	OR	NONE	NONE	OK	OR	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES	NO
1214	G407-E1214	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	aiin	AIIN	T0_EXACT_OBSERVED	NO	OK	OR	NONE	AIIN	OK	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Positionswert.	Im laufenden Gang setze den Positionswert.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Positionswert.	YES	NO
