body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
otaiin	2	s|r	p:-|s:sotaiin|r:rotaiin|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	138	0
paiin	2	s|l	p:-|s:spaiin|r:-|l:lpaiin	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:0	7	1
pchey	2	r|l	p:-|s:-|r:rpchey|l:lpchey	p:0|s:0|r:1|l:1	2	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	8	0
shar	2	p|l	p:pshar|s:-|r:-|l:lshar	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	29	0
shdaiin	2	p|l	p:pshdaiin|s:-|r:-|l:lshdaiin	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:0	4	0
sheg	2	r|l	p:-|s:-|r:rsheg|l:lsheg	p:0|s:0|r:1|l:1	2	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	p:0|s:0|r:0|l:1	0	0
sheo	2	s|l	p:-|s:ssheo|r:-|l:lsheo	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:0|r:0|l:1	37	0
sheodar	2	p|r	p:psheodar|s:-|r:rsheodar|l:-	p:1|s:0|r:1|l:0	2	p:1|s:0|r:1|l:0	p:1|s:0|r:1|l:0	p:1|s:0|r:0|l:0	1	0
shod	2	p|l	p:pshod|s:-|r:-|l:lshod	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:0	10	0
keedy	1	l	p:-|s:-|r:-|l:lkeedy	p:0|s:0|r:0|l:37	37	p:0|s:0|r:0|l:21	p:0|s:0|r:0|l:35	p:0|s:0|r:0|l:23	59	0
kedy	1	l	p:-|s:-|r:-|l:lkedy	p:0|s:0|r:0|l:26	26	p:0|s:0|r:0|l:16	p:0|s:0|r:0|l:25	p:0|s:0|r:0|l:15	42	0
dy	1	l	p:-|s:-|r:-|l:ldy	p:0|s:0|r:0|l:24	24	p:0|s:0|r:0|l:20	p:0|s:0|r:0|l:24	p:0|s:0|r:0|l:18	229	0
kchedy	1	l	p:-|s:-|r:-|l:lkchedy	p:0|s:0|r:0|l:15	15	p:0|s:0|r:0|l:9	p:0|s:0|r:0|l:15	p:0|s:0|r:0|l:11	22	0
s	1	l	p:-|s:-|r:-|l:ls	p:0|s:0|r:0|l:12	12	p:0|s:0|r:0|l:11	p:0|s:0|r:0|l:12	p:0|s:0|r:0|l:7	272	0
kchey	1	l	p:-|s:-|r:-|l:lkchey	p:0|s:0|r:0|l:8	8	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:8	p:0|s:0|r:0|l:7	18	0
keeey	1	l	p:-|s:-|r:-|l:lkeeey	p:0|s:0|r:0|l:7	7	p:0|s:0|r:0|l:6	p:0|s:0|r:0|l:7	p:0|s:0|r:0|l:7	9	0
kl	1	l	p:-|s:-|r:-|l:lkl	p:0|s:0|r:0|l:7	7	p:0|s:0|r:0|l:6	p:0|s:0|r:0|l:7	p:0|s:0|r:0|l:7	2	0
teedy	1	l	p:-|s:-|r:-|l:lteedy	p:0|s:0|r:0|l:6	6	p:0|s:0|r:0|l:6	p:0|s:0|r:0|l:6	p:0|s:0|r:0|l:3	13	0
chdair	1	p	p:pchdair|s:-|r:-|l:-	p:5|s:0|r:0|l:0	5	p:5|s:0|r:0|l:0	p:5|s:0|r:0|l:0	p:3|s:0|r:0|l:0	1	0
kam	1	l	p:-|s:-|r:-|l:lkam	p:0|s:0|r:0|l:5	5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:5	7	0
keol	1	l	p:-|s:-|r:-|l:lkeol	p:0|s:0|r:0|l:5	5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:4	18	0
oin	1	s	p:-|s:soin|r:-|l:-	p:0|s:5|r:0|l:0	5	p:0|s:5|r:0|l:0	p:0|s:5|r:0|l:0	p:0|s:1|r:0|l:0	7	0
pchedy	1	l	p:-|s:-|r:-|l:lpchedy	p:0|s:0|r:0|l:5	5	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:4	35	0
tedy	1	l	p:-|s:-|r:-|l:ltedy	p:0|s:0|r:0|l:5	5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:5	p:0|s:0|r:0|l:3	31	0
arol	1	s	p:-|s:sarol|r:-|l:-	p:0|s:4|r:0|l:0	4	p:0|s:4|r:0|l:0	p:0|s:4|r:0|l:0	p:0|s:3|r:0|l:0	8	0
chdar	1	p	p:pchdar|s:-|r:-|l:-	p:4|s:0|r:0|l:0	4	p:4|s:0|r:0|l:0	p:4|s:0|r:0|l:0	p:4|s:0|r:0|l:0	17	0
chedaiin	1	p	p:pchedaiin|s:-|r:-|l:-	p:4|s:0|r:0|l:0	4	p:4|s:0|r:0|l:0	p:4|s:0|r:0|l:0	p:3|s:0|r:0|l:0	32	0
chodaiin	1	p	p:pchodaiin|s:-|r:-|l:-	p:4|s:0|r:0|l:0	4	p:4|s:0|r:0|l:0	p:4|s:0|r:0|l:0	p:4|s:0|r:0|l:0	42	0
d	1	l	p:-|s:-|r:-|l:ld	p:0|s:0|r:0|l:4	4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:3	53	1
kair	1	l	p:-|s:-|r:-|l:lkair	p:0|s:0|r:0|l:4	4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:2	11	0
keeedy	1	l	p:-|s:-|r:-|l:lkeeedy	p:0|s:0|r:0|l:4	4	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:1	6	0
keody	1	l	p:-|s:-|r:-|l:lkeody	p:0|s:0|r:0|l:4	4	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:4	18	0
kshedy	1	l	p:-|s:-|r:-|l:lkshedy	p:0|s:0|r:0|l:4	4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:4	p:0|s:0|r:0|l:2	5	0
airy	1	s	p:-|s:sairy|r:-|l:-	p:0|s:3|r:0|l:0	3	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	1	0
alchedy	1	s	p:-|s:salchedy|r:-|l:-	p:0|s:3|r:0|l:0	3	p:0|s:2|r:0|l:0	p:0|s:3|r:0|l:0	p:0|s:0|r:0|l:0	4	0
aldy	1	s	p:-|s:saldy|r:-|l:-	p:0|s:3|r:0|l:0	3	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	p:0|s:1|r:0|l:0	10	0
an	1	s	p:-|s:san|r:-|l:-	p:0|s:3|r:0|l:0	3	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	p:0|s:2|r:0|l:0	5	0
arar	1	s	p:-|s:sarar|r:-|l:-	p:0|s:3|r:0|l:0	3	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	p:0|s:3|r:0|l:0	3	0
checkhy	1	l	p:-|s:-|r:-|l:lcheckhy	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	46	0
chocthy	1	p	p:pchocthy|s:-|r:-|l:-	p:3|s:0|r:0|l:0	3	p:3|s:0|r:0|l:0	p:3|s:0|r:0|l:0	p:3|s:0|r:0|l:0	17	1
kechedy	1	l	p:-|s:-|r:-|l:lkechedy	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	3	0
keed	1	l	p:-|s:-|r:-|l:lkeed	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	2	0
keo	1	l	p:-|s:-|r:-|l:lkeo	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	5	0
kol	1	l	p:-|s:-|r:-|l:lkol	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:2	30	1
kor	1	l	p:-|s:-|r:-|l:lkor	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	20	0
olshy	1	p	p:polshy|s:-|r:-|l:-	p:3|s:0|r:0|l:0	3	p:3|s:0|r:0|l:0	p:3|s:0|r:0|l:0	p:3|s:0|r:0|l:0	3	0
orol	1	r	p:-|s:-|r:rorol|l:-	p:0|s:0|r:3|l:0	3	p:0|s:0|r:3|l:0	p:0|s:0|r:3|l:0	p:0|s:0|r:1|l:0	10	0
tal	1	l	p:-|s:-|r:-|l:ltal	p:0|s:0|r:0|l:3	3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	p:0|s:0|r:0|l:3	20	0
ail	1	s	p:-|s:sail|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:1|r:0|l:0	5	0
aim	1	s	p:-|s:saim|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:1|r:0|l:0	5	0
aino	1	s	p:-|s:saino|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	0	0
alo	1	s	p:-|s:salo|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	3	0
ay	1	s	p:-|s:say|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:0|r:0|l:0	7	0
chdam	1	p	p:pchdam|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:1|s:0|r:0|l:0	10	0
cheaiin	1	s	p:-|s:scheaiin|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	4	0
cheal	1	l	p:-|s:-|r:-|l:lcheal	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	26	0
chedain	1	p	p:pchedain|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:1|s:0|r:0|l:0	17	0
chedam	1	l	p:-|s:-|r:-|l:lchedam	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	6	0
cheod	1	l	p:-|s:-|r:-|l:lcheod	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	5	0
cheodar	1	p	p:pcheodar|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	4	0
chg	1	l	p:-|s:-|r:-|l:lchg	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	0	0
chodar	1	p	p:pchodar|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	9	0
chodol	1	p	p:pchodol|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	2	0
cholky	1	p	p:pcholky|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	4	0
dain	1	l	p:-|s:-|r:-|l:ldain	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	193	0
fchedy	1	l	p:-|s:-|r:-|l:lfchedy	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	9	0
fchy	1	l	p:-|s:-|r:-|l:lfchy	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	0	0
kaiiin	1	l	p:-|s:-|r:-|l:lkaiiin	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:0	4	0
kaiir	1	l	p:-|s:-|r:-|l:lkaiir	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	1	0
kchy	1	l	p:-|s:-|r:-|l:lkchy	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	31	0
kedain	1	l	p:-|s:-|r:-|l:lkedain	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:0	0	0
kedal	1	l	p:-|s:-|r:-|l:lkedal	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	1	0
keees	1	l	p:-|s:-|r:-|l:lkeees	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	0	0
keeo	1	l	p:-|s:-|r:-|l:lkeeo	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	8	0
keeol	1	l	p:-|s:-|r:-|l:lkeeol	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	10	0
keeor	1	l	p:-|s:-|r:-|l:lkeeor	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	6	0
kshey	1	l	p:-|s:-|r:-|l:lkshey	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	6	0
ldy	1	l	p:-|s:-|r:-|l:lldy	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	24	0
odaiir	1	p	p:podaiir|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	2	0
odal	1	s	p:-|s:sodal|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:1|r:0|l:0	14	0
odam	1	r	p:-|s:-|r:rodam|l:-	p:0|s:0|r:2|l:0	2	p:0|s:0|r:1|l:0	p:0|s:0|r:2|l:0	p:0|s:0|r:2|l:0	5	0
oeees	1	l	p:-|s:-|r:-|l:loeees	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	6	0
oey	1	s	p:-|s:soey|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:0|r:0|l:0	0	0
okam	1	l	p:-|s:-|r:-|l:lokam	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	27	0
olal	1	p	p:polal|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	5	0
olar	1	p	p:polar|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:1|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:1|s:0|r:0|l:0	11	0
olarar	1	p	p:polarar|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	0	0
olchdy	1	p	p:polchdy|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:1|s:0|r:0|l:0	8	0
olched	1	p	p:polched|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	3	0
oshy	1	s	p:-|s:soshy|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	0	0
oy	1	s	p:-|s:soy|r:-|l:-	p:0|s:2|r:0|l:0	2	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	p:0|s:2|r:0|l:0	12	0
pchdy	1	l	p:-|s:-|r:-|l:lpchdy	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	10	0
shdar	1	p	p:pshdar|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	8	0
sheoldy	1	p	p:psheoldy|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:0|s:0|r:0|l:0	3	0
shety	1	l	p:-|s:-|r:-|l:lshety	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	7	0
sho	1	l	p:-|s:-|r:-|l:lsho	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	106	1
shodaiin	1	p	p:pshodaiin|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	21	0
shor	1	l	p:-|s:-|r:-|l:lshor	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:1	91	1
teey	1	l	p:-|s:-|r:-|l:lteey	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	17	0
ty	1	l	p:-|s:-|r:-|l:lty	p:0|s:0|r:0|l:2	2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	p:0|s:0|r:0|l:2	20	0
ydaiin	1	p	p:pydaiin|s:-|r:-|l:-	p:2|s:0|r:0|l:0	2	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	p:2|s:0|r:0|l:0	14	0
achy	1	s	p:-|s:sachy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
acthy	1	r	p:-|s:-|r:racthy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
adar	1	p	p:padar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
ai	1	s	p:-|s:sai|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aichy	1	p	p:paichy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
aii	1	s	p:-|s:saii|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aiichor	1	s	p:-|s:saiichor|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aiidy	1	s	p:-|s:saiidy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
aiim	1	s	p:-|s:saiim|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
aiinchy	1	s	p:-|s:saiinchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aiino	1	s	p:-|s:saiino|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aiinody	1	p	p:paiinody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
aiiny	1	s	p:-|s:saiiny|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
aiis	1	s	p:-|s:saiis|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aiisol	1	s	p:-|s:saiisol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aikchy	1	r	p:-|s:-|r:raikchy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
ainal	1	l	p:-|s:-|r:-|l:lainal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
airain	1	p	p:pairain|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
airal	1	s	p:-|s:sairal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	2	0
airapy	1	r	p:-|s:-|r:rairapy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
airar	1	p	p:pairar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
airo	1	s	p:-|s:sairo|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
airody	1	p	p:pairody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
airol	1	s	p:-|s:sairol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
airom	1	s	p:-|s:sairom|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aisal	1	s	p:-|s:saisal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
akaiin	1	s	p:-|s:sakaiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
alal	1	s	p:-|s:salal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
alchar	1	p	p:palchar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
alched	1	s	p:-|s:salched|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	2	0
alcheol	1	s	p:-|s:salcheol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
alchs	1	r	p:-|s:-|r:ralchs|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
alchtedytar	1	s	p:-|s:salchtedytar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
alchy	1	r	p:-|s:-|r:ralchy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	1	0
alckhy	1	s	p:-|s:salckhy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aldaiin	1	s	p:-|s:saldaiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
aldal	1	s	p:-|s:saldal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aldam	1	s	p:-|s:saldam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
aldan	1	l	p:-|s:-|r:-|l:laldan	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
alf	1	s	p:-|s:salf|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
alkchdy	1	s	p:-|s:salkchdy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
alkchedy	1	r	p:-|s:-|r:ralkchedy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
