action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	right_first_ordinal	right_first_surface	right_first_gloss_de	right_dispatch	right_confidence	prior_candidate_id	prior_candidate_decision	operation_agreement	degree_agreement	material_agreement	completion_agreement	result_role	competing_or_missing_patient	decision	decision_reason_de	portable_default	full_clause_then_first_item_exact	word_delta	status
A056	f7r	f7r.2	3	5	5	dold	5	dold	Drogenstoff abmessen und abschließen	4	6	9	6	dchey	fertige abgemessene Mittelstufen-Trockenportion	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	HIGH	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	ONE_OPERATION_PLUS_COMPLETION_EQUIVALENT	UNSPECIFIED	GENERIC_PORTION_NO_MATERIAL_HEAD	SEMANTIC_EQUIVALENT	MATERIAL_STATE_PRODUCT	RESULT_MATERIAL_IDENTITY_UNWRITTEN	ADMIT_NEW	Abmessen erscheint direkt als abgemessen; Abschließen entspricht semantisch fertig. Trocken, Mittelstufe und Materialidentität stehen nur rechts beziehungsweise bleiben ungeschrieben.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A057	f80r	f80r.17	2	3	3	sheky	3	sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	3	4	5	4	shkeol	eingeweichter Drogenstoff, bis Mittelstufe erhitzt	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	TWO_EXACT	EXACT	MATERIAL_IDENTITY_UNRESOLVED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	LEFT_PATIENT_OPEN_SHECKHY_ARZNEIKOMPOSITUM	ADMIT_NEW	Einweichen, Erhitzen und Mittelstufe werden im geschriebenen Drogenstoffzustand exakt gespiegelt; der linke Patient bleibt wegen sheckhy#2 offen.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A059	f80r	f80r.17	5	7	7	chetain	7	chetain	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	6	8	10	8	ol	Grundansatz	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	MATERIAL_LABEL	LEFT_OPEN	OPEN_PARTIAL	Grundansatz nennt mögliches Material, schreibt aber weder Trocknung noch Kühlstufe II als Ergebnis.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A060	f80r	f80r.17	7	11	11	sheky	11	sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	8	12	12	12	qokal	Rohstoffklasse I, heiß am Gradanfang	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Gleiches sheky verliert Einweichen und Mittelstufe; rechts steht heißer Rohstoff am Gradanfang.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A063	f80v	f80v.35	3	6	6	qol	6	qol	Drogenstoff zugeben	4	7	12	7	kain	heiß, Grad II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Heiß Grad II kann ein Registerwert sein; Zugabe von Drogenstoff erzeugt ihn nicht eindeutig.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A064	f83v	f83v.12	2	4	4	lldar	4	lldar	Anteil I der Holzdroge abmessen	3	5	11	5	cheey	trocken am Ende des Grades	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Abmessen von Holzdroge erklärt Trockenheit und den erst rechts genannten Gradendpunkt nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A065	f86v3	f86v3.13	2	3	3	tcheody	3	tcheody	abkühlen, bis zur Mittelstufe trocknen und ansetzen	3	4	9	4	qokain	heiß, Grad II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abkühlen und Trocknen bis Mitte stehen heißem Grad II gegenüber.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A066	f86v3	f86v3.13	4	10	10	qokady	10	qokady	einen gleichen Teil erhitzen	5	11	11	11	cholkain	Trockengut, heiß auf Stufe II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	SINGLE_EXACT	UNSPECIFIED	UNRESOLVED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	LEFT_OPEN	HOLD_NEW	Erhitzen passt zu heiß; Trockengut, Stufe II und der Bezug des gleichen Teils kommen nur aus dem Umfeld.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A067	f86v3	f86v3.18	2	4	4	qopchol	4	qopchol	nimm getrockneten Pulverstoff	3	5	7	5	shol	feucht	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrockneten Pulverstoff nehmen wird unmittelbar zu feucht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A068	f86v3	f86v3.19	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	2	2	otain	kalter Ansatz, Grad II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Mittelstufen-Trocknung wechselt zu kaltem Ansatz Grad II.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A070	f86v3	f86v3.19	4	4	4	qokam	4	qokam	nimm ein Maß und erhitze es	5	5	10	5	chol	trocken	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	LEFT_OPEN	OPEN_PARTIAL	Erhitzen eines Maßes kann einem Trockenwert vorausgehen, doch rechts werden weder Nehmen noch Erhitzen gespiegelt und Maß sowie Hitze fehlen.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A071	f86v5	f86v5.2	2	7	7	qopchol	7	qopchol	nimm getrockneten Pulverstoff	3	8	9	8	tal	Rohstoffklasse I, kalt am Gradanfang	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrockneter Pulverstoff wechselt zu kaltem Rohstoff am Gradanfang.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A072	f86v5	f86v5.2	4	10	10	ytol	10	ytol	kühle hiervon den Drogenstoff ab	5	11	12	11	otam	ein Maß kalten Ansatzes	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	COOL_STATE_EXACT	UNSPECIFIED	RELATED	UNSPECIFIED	QUANTITY	LEFT_OPEN	HOLD_NEW	Abkühlen wird als kalt gespiegelt; Maß und Ansatz sind jedoch neue Angaben und der Drogenstoffkopf bleibt nicht erhalten.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A073	f86v5	f86v5.24	2	3	3	ykain	3	ykain	erhitze hiervon auf Stufe II	3	4	9	4	okal	Rohstoffklasse I im heißen Ansatz, Gradanfang	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	SINGLE_EXACT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Erhitzen passt, aber Stufe II wird zum Gradanfang und der Rohstoffkopf erscheint nur rechts.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A074	f86v5	f86v5.4	1	1	1	ypchesy	1	ypchesy	hiervon Samenpulver bis zur Mittelstufe trocknen	2	2	11	2	oky	heißer Ansatz am Anfang des Grades	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Samenpulver-Trocknung bis Mitte wechselt zu heißem Ansatz am Gradanfang.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A075	f86v6	f86v6.25	1	1	1	yteedy	1	yteedy	hiervon bis zur Endstufe abkühlen	2	2	3	2	qokar	heißer Drogenanteil I	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Abkühlen bis Endstufe steht heißem Drogenanteil I gegenüber.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A077	f86v6	f86v6.25	4	5	5	ykaiin	5	ykaiin	erhitze hiervon auf Stufe III	5	6	10	6	or	Drogenportion	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	LEFT_OPEN	OPEN_PARTIAL	Die Drogenportion kann Patient sein; rechts werden weder Nehmen noch Erhitzen und kein heißer Stufe-III-Ergebniszustand ausgeschrieben.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A078	f86v6	f86v6.31	2	10	10	otytam	10	otytam	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	3	11	11	11	orom	eine Handvoll Drogenmaterial als Portion	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	QUANTITY_RELATED	UNSPECIFIED	CONFLICT	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Nur die Mengenidee ist verwandt; Nehmen und Kühlen werden nicht gespiegelt, und Kaltansatz wechselt zu Drogenmaterial.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A079	f88r	f88r.19	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	3	2	chokol	heißer Absud aus Trockengut	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trockenportion bis Mitte wechselt ohne Heizschritt zu heißem Absud; der Zielgrad bleibt ungeschrieben.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A082	f88r	f88r.19	5	6	6	qockhol	6	qockhol	Drogenstoff aus Arzneikompositum zugeben	6	7	8	7	okol	heißer Ansatzstoff	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	OPEN_PARTIAL	Der heiße Ansatzstoff kann eine Folgecharge sein; Zugabe allein erklärt seine Hitze nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A083	f8r	f8r.15	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	10	2	ckhol	Drogenstoff aus Arzneikompositum	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	NONE	CONTROL_CONFLICT	Getrocknete Mittelstufen-Portion wechselt zu Drogenstoff aus Arzneikompositum ohne Zustandsfortsetzung.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
