statement_id	record_unit_id	page	loci	lesson_level	surface_sequence	architecture_sequence	whole_headword_ids	whole_card_count	card_reading_sequence_de	source_instruction_de	copy_instruction_de	readback_instruction_de	teaching_note_en
B2-S017	B2	f82r	f82r.27	L2_BOUND_CARRIERS	rsheal daldy	p p	NONE	0	kurz am Ziel ruhen -> Nebenöffnung [SCHLUSS]	Lass den Posten kurz am Ziel ruhen, schliesse die Nebenöffnung und beende den Schritt.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B2-S018	B2	f82r	f82r.27	L1_PRODUCTIVE	qokeedy	P	NONE	0	länger ansetzen [SCHLUSS]	Setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S019	B2	f82r	f82r.27	L3_CODEBOOK	rshedy	W	W08_WASCHEN	1	Waschgang [SCHLUSS]	Führe den Waschgang aus und schließe.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B2-S020	B2	f82r	f82r.27	L1_PRODUCTIVE	qoteedy	P	NONE	0	lange Folge [SCHLUSS]	Nimm die lange Folge und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S021	B2	f82r	f82r.27	L1_PRODUCTIVE	qokeedy	P	NONE	0	länger ansetzen [SCHLUSS]	Setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S022	B2	f82r	f82r.27	L2_BOUND_CARRIERS	lochedy	p	NONE	0	Rest abführen [SCHLUSS]	Führe den Rest ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B3-S001	B3	f83r	f83r.3	L1_PRODUCTIVE	olkeedy	P	NONE	0	länger sammeln [SCHLUSS]	Sammle länger und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S002	B3	f83r	f83r.3	L1_PRODUCTIVE	qotal chkeedy	P P	NONE	0	danach dorthin -> länger wärmen [SCHLUSS]	Führe danach dorthin, wärme länger und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S003	B3	f83r	f83r.3	L1_PRODUCTIVE	chey daiin chey lchedy	P P P P	NONE	0	dieser Posten -> Sollmaß -> dieser Posten -> abführen [SCHLUSS]	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S004	B3	f83r	f83r.3	L1_PRODUCTIVE	qokaiin qotal dar	P P P	NONE	0	auf Sollmaß einstellen -> danach dorthin -> daraus	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S005	B3	f83r	f83r.6	L1_PRODUCTIVE	schedy	P	NONE	0	umsetzen [SCHLUSS]	Setze die entnommene Sollmaßportion um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S006	B3	f83r	f83r.6	L1_PRODUCTIVE	chedchy qokal olchedy	P P P	NONE	0	umsetzen -> dort ansetzen -> fortsetzen [SCHLUSS]	Setze dorthin um, führe weiter und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S007	B3	f83r	f83r.6	L1_PRODUCTIVE	qokaiin chedy qokeedy	P P P	NONE	0	auf Sollmaß einstellen -> umsetzen -> länger ansetzen [SCHLUSS]	Stelle das Sollmaß ein, setze um, setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S008	B3	f83r	f83r.6	L1_PRODUCTIVE	lchedy	P	NONE	0	abführen [SCHLUSS]	Führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S009	B3	f83r	f83r.6	L1_PRODUCTIVE	qoky	P	NONE	0	Posten ansetzen	Setze den Posten an	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S010	B3	f83r	f83r.8	L1_PRODUCTIVE	pchedal otedy	P P	NONE	0	Einlass -> kurze Folge [SCHLUSS]	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S011	B3	f83r	f83r.8	L1_PRODUCTIVE	shecthedchy qoky chedy chary	P P P P	NONE	0	bereiten Posten umsetzen -> Posten ansetzen -> umsetzen -> daraus	Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S012	B3	f83r	f83r.11	L1_PRODUCTIVE	sor shedy	P P	NONE	0	Ansatz -> absetzen [SCHLUSS]	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S013	B3	f83r	f83r.11	L1_PRODUCTIVE	qokaiin chkain shcthey qokedy	P P P P	NONE	0	auf Sollmaß einstellen -> eine Portion -> kurz bereithalten -> kurz ansetzen [SCHLUSS]	Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S014	B3	f83r	f83r.11	L1_PRODUCTIVE	okair sheedy	P P	NONE	0	Wasser einlassen -> länger absetzen [SCHLUSS]	Lass Wasser ein, lass länger absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S015	B3	f83r	f83r.11	L1_PRODUCTIVE	lchedy	P	NONE	0	abführen [SCHLUSS]	Führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S016	B3	f83r	f83r.11|f83r.14	L2_BOUND_CARRIERS	lo qokchedy	p P	NONE	0	abfuehren -> umsetzen [SCHLUSS]	Fuehre ab, setze den Posten um und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B3-S017	B3	f83r	f83r.14	L1_PRODUCTIVE	qokeedy	P	NONE	0	länger ansetzen [SCHLUSS]	Setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S018	B3	f83r	f83r.14	L1_PRODUCTIVE	shedy	P	NONE	0	absetzen [SCHLUSS]	Lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S019	B3	f83r	f83r.14	L1_PRODUCTIVE	qokshedy	P	NONE	0	absetzen [SCHLUSS]	Lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S020	B3	f83r	f83r.14	L1_PRODUCTIVE	dal lchedy	P P	NONE	0	dorthin -> abführen [SCHLUSS]	Führe dorthin, führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S021	B3	f83r	f83r.14|f83r.15	L1_PRODUCTIVE	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	P P P P P P P P P P P	NONE	0	auf Sollmaß einstellen -> bereit -> dorthin -> dieser Posten -> Sollmaß -> dort absetzen -> kurz bereit halten -> dieser Posten -> dorthin -> bereit -> dorthin umsetzen [SCHLUSS]	Stelle das Sollmass ein, halte bereit, fuehre dorthin, lass dort absetzen, halte den Posten kurz bereit, fuehre ihn erneut dorthin, setze um und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S022	B3	f83r	f83r.15	L1_PRODUCTIVE	qotchedy	P	NONE	0	Folgeumsetzung [SCHLUSS]	Führe die Folgeumsetzung aus und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S023	B3	f83r	f83r.15	L1_PRODUCTIVE	lchedy	P	NONE	0	abführen [SCHLUSS]	Führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S024	B3	f83r	f83r.16	L1_PRODUCTIVE	tchedy	P	NONE	0	umsetzen [SCHLUSS]	Setze um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S025	B3	f83r	f83r.16	L1_PRODUCTIVE	qokchdy	P	NONE	0	umsetzen [SCHLUSS]	Setze um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S026	B3	f83r	f83r.16|f83r.20	L2_BOUND_CARRIERS	cheedar chldaiin chedy qokain checthy chealror solkeedy	P P P P P p P	NONE	0	von dort umsetzen -> Absetzmaß -> umsetzen -> eine Portion zugeben -> bereit -> Ansatz von dort zur Zielstelle -> länger sammeln [SCHLUSS]	Setze von dort um, warte bis zum Absetzmass, setze erneut um, gib eine Portion zu, halte bereit, fuehre den Ansatz von dort zur Zielstelle, sammle laenger und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B3-S027	B3	f83r	f83r.20	L1_PRODUCTIVE	qoteedy	P	NONE	0	lange Folge [SCHLUSS]	Nimm die lange Folge und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S028	B3	f83r	f83r.20	L1_PRODUCTIVE	qokeey qokedy	P P	NONE	0	länger ansetzen -> kurz ansetzen [SCHLUSS]	Setze länger, dann kurz an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S029	B3	f83r	f83r.20	L2_BOUND_CARRIERS	sol cheeety qokedy	P p P	NONE	0	fortsetzen -> ganzen Teilposten -> kurz ansetzen [SCHLUSS]	Fuehre weiter, nimm den ganzen Teilposten, setze kurz an und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B3-S030	B3	f83r	f83r.20|f83r.22	L1_PRODUCTIVE	qoky saiin schedair otchedy	P P P P	NONE	0	Posten ansetzen -> Sollmaß -> Wasser weiterleiten -> Folgeumsetzung [SCHLUSS]	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S031	B3	f83r	f83r.22	L1_PRODUCTIVE	qokeedy	P	NONE	0	länger ansetzen [SCHLUSS]	Setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S032	B3	f83r	f83r.22	L1_PRODUCTIVE	chedain chedy qotedaiin otaiin otedy	P P P P P	NONE	0	Portion umsetzen -> umsetzen -> kurzes Folgemass -> Folgemaß -> kurze Folge [SCHLUSS]	Setze eine Portion um, stelle ein kurzes Folgemass und danach das Folgemass ein, fuehre die kurze Folge aus und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B3-S033	B3	f83r	f83r.22	L2_BOUND_CARRIERS	ldy	p	NONE	0	abziehen [SCHLUSS]	Ziehe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B3-S034	B3	f83r	f83r.24	L1_PRODUCTIVE	soiiin checthy chety otaiin olsaly shedy	P P P P P P	NONE	0	Sollstufe -> bereit -> Teil abtrennen -> Folgemaß -> untere Zielstelle -> absetzen [SCHLUSS]	Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemass ein, fuehre zur unteren Zielstelle, lass absetzen und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S001	B4	f83r	f83r.25	L1_PRODUCTIVE	qokeedy	P	NONE	0	länger ansetzen [SCHLUSS]	Setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S002	B4	f83r	f83r.25	L1_PRODUCTIVE	qolchey qokeey qokedy	P P P	NONE	0	diesen Posten weiterfuehren -> länger ansetzen -> kurz ansetzen [SCHLUSS]	Fuehre diesen Posten weiter, setze ihn laenger und dann kurz an und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S003	B4	f83r	f83r.25|f83r.26	L1_PRODUCTIVE	chedy otal otchey qokeey qoky tol shedy	P P P P P P P	NONE	0	umsetzen -> danach dorthin -> Folgeposten -> länger ansetzen -> Posten ansetzen -> fortsetzen -> absetzen [SCHLUSS]	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S004	B4	f83r	f83r.26	L3_CODEBOOK	qokylddy	W	W16_BEFESTIGEN	1	befestigen [SCHLUSS]	Befestige den Posten und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B4-S005	B4	f83r	f83r.27	L3_CODEBOOK	dain chedy qokeedy	W P P	W05_TUCH	1	Tuch -> umsetzen -> länger ansetzen [SCHLUSS]	Lege das Tuch ein, setze um, setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B4-S006	B4	f83r	f83r.27	L1_PRODUCTIVE	shckhedy	P	NONE	0	seihen [SCHLUSS]	Seih und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S007	B4	f83r	f83r.27	L1_PRODUCTIVE	shckhedy	P	NONE	0	seihen [SCHLUSS]	Seih und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S008	B4	f83r	f83r.28	L2_BOUND_CARRIERS	saiin cheeky sheey qokedy	P P p P	NONE	0	Sollmaß -> länger wärmen -> laenger ruhen -> kurz ansetzen [SCHLUSS]	Stelle das Sollmass ein, waerme laenger, lass laenger ruhen, setze kurz an und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B4-S009	B4	f83r	f83r.28	L1_PRODUCTIVE	shedy	P	NONE	0	absetzen [SCHLUSS]	Lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S010	B4	f83r	f83r.28	L1_PRODUCTIVE	oldy	P	NONE	0	fortsetzen [SCHLUSS]	Führe weiter und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S011	B4	f83r	f83r.35|f83r.37	L3_CODEBOOK	saiin cheky okeeol okain chdy sol lkedy	P P P P P P W	W08_WASCHEN	1	Sollmaß -> kurz wärmen -> länger fortführen -> eine Portion zugeben -> umsetzen -> fortsetzen -> nachwaschen [SCHLUSS]	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B4-S012	B4	f83r	f83r.37	L1_PRODUCTIVE	lchedy	P	NONE	0	abführen [SCHLUSS]	Führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S013	B4	f83r	f83r.37	L1_PRODUCTIVE	qokol shedy	P P	NONE	0	Fortsetzung einsetzen -> absetzen [SCHLUSS]	Setze die Fortsetzung ein, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B4-S014	B4	f83r	f83r.38	L2_BOUND_CARRIERS	or chey qockhey dairydy	P P P p	NONE	0	Ansatz -> dieser Posten -> kurzen Durchlauf ansetzen -> Wasserlauf schließen [SCHLUSS]	Setze den Ansatz in einen kurzen Durchlauf, schliesse den Wasserlauf und beende den Schritt.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B4-S015	B4	f83r	f83r.39|f83r.41	L3_CODEBOOK	qokain shey kain chckhal solkey lchedy	P W P P P P	W11_KLARLAUF	1	eine Portion zugeben -> Klarlauf -> eine Portion -> zur Zielstelle durchleiten -> kurz sammeln -> abführen [SCHLUSS]	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, fuehre ab und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B4-S016	B4	f83r	f83r.41|f83r.44	L2_BOUND_CARRIERS	qolkain dal skar shedy	P P p P	NONE	0	weitere Portion -> dorthin -> von dort ausgiessen -> absetzen [SCHLUSS]	Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B5-S001	B5	f83r	f83r.47	L1_PRODUCTIVE	otchdy	P	NONE	0	Folgeumsetzung [SCHLUSS]	Führe die Folgeumsetzung aus und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B5-S002	B5	f83r	f83r.47	L1_PRODUCTIVE	qokchdy	P	NONE	0	umsetzen [SCHLUSS]	Setze um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B5-S003	B5	f83r	f83r.47|f83r.48|f83r.49	L2_BOUND_CARRIERS	shedal dal cheol lol chdal aiin sol daiiin chedy	P P P p P P P P P	NONE	0	dort absetzen -> dorthin -> fortsetzen -> von dort weiterfuehren -> dort umsetzen -> Sollmaß -> fortsetzen -> Öffnungsstufe -> umsetzen	Lass dort absetzen, fuehre dorthin und weiter, fuehre von dort weiter, setze dort um, stelle das Sollmass ein und setze weiter um.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B6-S001	B6	f83r	f83r.52|f83r.54	L3_CODEBOOK	solkeey qekey raly ol daiin ol dain chey ldalor	P W P P P P W P P	W04_ROH|W05_TUCH	2	länger sammeln -> roh -> diesen Posten dorthin -> fortsetzen -> Sollmaß -> fortsetzen -> Tuch -> dieser Posten -> Endziel	Sammle den rohen Posten laenger, fuehre diesen Posten dorthin, stelle das Sollmass ein, lege das Tuch ein und fuehre den Posten zum Endziel.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
