statement_id	page	record	events	surface_sequence	card_sequence	component_sequence	event_phrases_de	fluent_workshop_reading_de	reading_source	fluency_grade	closes
B3-S011	f83r	B3	4	shecthedchy qoky chedy chary	PROC136|PROC008|PROC042|PROC137	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	kurz bis bereit den laufenden Posten halten und umsetzen | ihn ansetzen | ihn umsetzen | ihn aus dem Vorrat	Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus dem Vorrat.	NORMALIZED_SHORT_V3	CLEAN	NO
B3-S012	f83r	B3	2	sor shedy	PROC016|PROC078	OR | SHED+DY	den Ansatz | absetzen lassen; den Schritt schliessen	Den Ansatz absetzen lassen und den Schritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B3-S013	f83r	B3	4	qokaiin chkain shcthey qokedy	PROC038|PROC069|PROC117|PROC067	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	nach Sollmass ansetzen | als Portion zudosieren | kurz den laufenden Posten bereithalten | kurz ansetzen; den Schritt schliessen	Nach Sollmass ansetzen; dann als Portion zudosieren; dann kurz den laufenden Posten bereithalten; dann kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S014	f83r	B3	2	okair sheedy	PROC138|PROC139	OK+AIR | SH+EE+DY	die laufende Fluessigkeit ansetzen | laenger halten; den Schritt schliessen	Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S015	f83r	B3	1	lchedy	PROC120	L+CHD+DY	weiterleiten und umsetzen; den Schritt schliessen	Weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S016	f83r	B3	2	lo qokchedy	PROC140|PROC091	L+O | OK+CHD+DY	im Arbeitsgang weiterleiten | ansetzen und umsetzen; den Schritt schliessen	Im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S017	f83r	B3	1	qokeedy	PROC100	OK+EE+DY	laenger ansetzen; den Schritt schliessen	Laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S018	f83r	B3	1	shedy	PROC078	SHED+DY	absetzen lassen; den Schritt schliessen	Absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S019	f83r	B3	1	qokshedy	PROC141	OK+SH+E+DY	kurz ansetzen und halten; den Schritt schliessen	Kurz ansetzen und halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S020	f83r	B3	2	dal lchedy	PROC055|PROC120	AL | L+CHD+DY	zur Zielstelle | weiterleiten und umsetzen; den Schritt schliessen	An der Zielstelle weiterleiten, umsetzen und den Schritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B3-S021	f83r	B3	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	PROC038|PROC014|PROC055|PROC019|PROC009|PROC142|PROC143|PROC019|PROC055|PROC014|PROC144	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	nach Sollmass ansetzen | den laufenden Posten bereithalten | zur Zielstelle | ihn beibehalten | nach Sollmass | zur Zielstelle absetzen lassen | kurz bis bereit ihn halten | ihn beibehalten | zur Zielstelle | ihn bereithalten | zur Zielstelle umsetzen; den Schritt schliessen	Nach Sollmass ansetzen und den Posten bereithalten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereithalten, umsetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B3-S022	f83r	B3	1	qotchedy	PROC145	OT+CHD+DY	danach umsetzen; den Schritt schliessen	Danach umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S023	f83r	B3	1	lchedy	PROC120	L+CHD+DY	weiterleiten und umsetzen; den Schritt schliessen	Weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S024	f83r	B3	1	tchedy	PROC076	CHD+DY	umsetzen; den Schritt schliessen	Umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S025	f83r	B3	1	qokchdy	PROC082	OK+CHD+DY	ansetzen und umsetzen; den Schritt schliessen	Ansetzen und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S026	f83r	B3	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	PROC146|PROC147|PROC042|PROC080|PROC014|PROC148|PROC098	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	laenger aus dem Vorrat | nach Sollmass weiterleiten | den laufenden Posten umsetzen | als Portion ansetzen | ihn bereithalten | den Ansatz zur Zielstelle kuehlen | laenger auffangen; den Schritt schliessen	Laenger aus dem Vorrat arbeiten; nach Sollmass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz an der Zielstelle kuehlen, laenger auffangen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B3-S027	f83r	B3	1	qoteedy	PROC129	OT+EE+DY	danach laenger; den Schritt schliessen	Danach laenger; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S028	f83r	B3	2	qokeey qokedy	PROC092|PROC067	OK+EE+Y | OK+E+DY	laenger den laufenden Posten ansetzen | kurz ansetzen; den Schritt schliessen	Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S029	f83r	B3	3	sol cheeety qokedy	PROC013|PROC149|PROC067	OL | EEE+T+Y | OK+E+DY	fortsetzen | vollstaendig den laufenden Posten eintragen | kurz ansetzen; den Schritt schliessen	Fortsetzen; dann vollstaendig den laufenden Posten eintragen; dann kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S030	f83r	B3	4	qoky saiin schedair otchedy	PROC008|PROC009|PROC150|PROC145	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	den laufenden Posten ansetzen | nach Sollmass | die laufende Fluessigkeit umsetzen | danach umsetzen; den Schritt schliessen	Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B3-S031	f83r	B3	1	qokeedy	PROC100	OK+EE+DY	laenger ansetzen; den Schritt schliessen	Laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S032	f83r	B3	5	chedain chedy qotedaiin otaiin otedy	PROC151|PROC042|PROC152|PROC112|PROC135	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	als Portion umsetzen | den laufenden Posten umsetzen | danach kurz nach Sollmass | danach nach Sollmass | danach kurz; den Schritt schliessen	Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B3-S033	f83r	B3	1	ldy	PROC108	L+DY	weiterleiten; den Schritt schliessen	Weiterleiten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S034	f83r	B3	6	soiiin checthy chety otaiin olsaly shedy	PROC097|PROC014|PROC004|PROC112|PROC153|PROC078	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	im Arbeitsgang bis zur Arbeitsstufe | den laufenden Posten bereithalten | ihn eintragen | danach nach Sollmass | ihn zur Zielstelle fortsetzen | absetzen lassen; den Schritt schliessen	Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereithalten und eintragen; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B4-S001	f83r	B4	1	qokeedy	PROC100	OK+EE+DY	laenger ansetzen; den Schritt schliessen	Laenger ansetzen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S002	f83r	B4	3	qolchey qokeey qokedy	PROC154|PROC092|PROC067	OL+Y | OK+EE+Y | OK+E+DY	den laufenden Posten fortsetzen | laenger ihn ansetzen | kurz ansetzen; den Schritt schliessen	Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S003	f83r	B4	7	chedy otal otchey qokeey qoky tol shedy	PROC042|PROC131|PROC065|PROC092|PROC008|PROC013|PROC078	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	den laufenden Posten umsetzen | danach zur Zielstelle | danach ihn | laenger ihn ansetzen | ihn ansetzen | fortsetzen | absetzen lassen; den Schritt schliessen	Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B4-S004	f83r	B4	1	qokylddy	PROC155	OK+Y+LD+DY	den laufenden Posten ansetzen und befestigen; den Schritt schliessen	Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S005	f83r	B4	3	dain chedy qokeedy	PROC156|PROC042|PROC100	AIN | CHD+Y | OK+EE+DY	als Portion | den laufenden Posten umsetzen | laenger ansetzen; den Schritt schliessen	Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B4-S006	f83r	B4	1	shckhedy	PROC099	SH+CKH+E+DY	kurz durch den Durchlass halten; den Schritt schliessen	Kurz durch den Durchlass halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S007	f83r	B4	1	shckhedy	PROC099	SH+CKH+E+DY	kurz durch den Durchlass halten; den Schritt schliessen	Kurz durch den Durchlass halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S008	f83r	B4	4	saiin cheeky sheey qokedy	PROC009|PROC046|PROC157|PROC067	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	nach Sollmass | laenger den laufenden Posten erwaermen | laenger ihn halten | kurz ansetzen; den Schritt schliessen	Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B4-S009	f83r	B4	1	shedy	PROC078	SHED+DY	absetzen lassen; den Schritt schliessen	Absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S010	f83r	B4	1	oldy	PROC047	OL+DY	fortsetzen; den Schritt schliessen	Fortsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S011	f83r	B4	7	saiin cheky okeeol okain chdy sol lkedy	PROC009|PROC083|PROC158|PROC080|PROC042|PROC013|PROC159	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	nach Sollmass | kurz den laufenden Posten erwaermen | weiter laenger ansetzen | als Portion ansetzen | ihn umsetzen | fortsetzen | kurz weiterleiten und zudosieren; den Schritt schliessen	Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B4-S012	f83r	B4	1	lchedy	PROC120	L+CHD+DY	weiterleiten und umsetzen; den Schritt schliessen	Weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S013	f83r	B4	2	qokol shedy	PROC160|PROC078	OK+OL | SHED+DY	weiter ansetzen | absetzen lassen; den Schritt schliessen	Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B4-S014	f83r	B4	4	or chey qockhey dairydy	PROC016|PROC019|PROC161|PROC162	OR | Y | O+CKH+E+Y | AIR+Y+DY	den Ansatz | den laufenden Posten beibehalten | kurz ihn im Arbeitsgang durch den Durchlass | ihn die laufende Fluessigkeit; den Schritt schliessen	Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B4-S015	f83r	B4	6	qokain shey kain chckhal solkey lchedy	PROC080|PROC031|PROC069|PROC163|PROC164|PROC120	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	als Portion ansetzen | laenger den laufenden Posten halten | als Portion zudosieren | durch den Durchlass zur Zielstelle abnehmen | kurz ihn auffangen | weiterleiten und umsetzen; den Schritt schliessen	Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass an der Zielstelle abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B4-S016	f83r	B4	4	qolkain dal skar shedy	PROC070|PROC055|PROC165|PROC078	OL+K+AIN | AL | K+AR | SHED+DY	weiter als Portion zudosieren | zur Zielstelle | aus dem Vorrat zudosieren | absetzen lassen; den Schritt schliessen	Eine Portion weiter zudosieren, an der Zielstelle aus dem Vorrat nachdosieren, absetzen lassen und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B5-S001	f83r	B5	1	otchdy	PROC166	OT+CHD+DY	danach umsetzen; den Schritt schliessen	Danach umsetzen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B5-S002	f83r	B5	1	qokchdy	PROC082	OK+CHD+DY	ansetzen und umsetzen; den Schritt schliessen	Ansetzen und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B5-S003	f83r	B5	9	shedal dal cheol lol chdal aiin sol daiiin chedy	PROC142|PROC055|PROC013|PROC167|PROC168|PROC009|PROC013|PROC169|PROC042	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	zur Zielstelle absetzen lassen | zur Zielstelle | fortsetzen | weiter weiterleiten | zur Zielstelle umsetzen | nach Sollmass | fortsetzen | bis zur Arbeitsstufe fuer den zweiten Durchgang | den laufenden Posten umsetzen	An der Zielstelle absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, an der Zielstelle umsetzen, nach Sollmass fortsetzen, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	HAND_POLISHED_LONG_V2	POLISHED	NO
B6-S001	f83r	B6	9	solkeey qekey raly ol daiin ol dain chey ldalor	PROC170|PROC171|PROC172|PROC013|PROC009|PROC013|PROC156|PROC019|PROC173	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	laenger den laufenden Posten auffangen | kurz ihn zudosieren | ihn zur Zielstelle kuehlen | fortsetzen | nach Sollmass | fortsetzen | als Portion | ihn beibehalten | den Ansatz zur Zielstelle weiterleiten	Den Posten laenger auffangen, kurz zudosieren, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle weiterleiten.	HAND_POLISHED_LONG_V2	POLISHED	NO
