page	locus	section	language	hand	zl3b_line	unknown_after_gdt673	unknown_after_gdt674	applied_ordinals	applied_surfaces	unknown_after_gdt675	remaining_unknown_ordinals	remaining_unknown_surfaces	before_overlay_glosses_de	gdt675_overlay_glosses_de
f86v3	f86v3.19	C	B	2	dchey otain olkechy qokam chol kchdy chol tchdy dar aiindy	3	3	1	dchey	2	3|10	olkechy|aiindy	[dchey:?] | kalt im Zubereitungsrahmen, Grad II | [olkechy:?] | nimm ein Maß und erhitze es | trocken; nominal trockenes Gut/Material | heiß und trocken am Anfang des Grades, abgeschlossen | trocken; nominal trockenes Gut/Material | kalt und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | [aiindy:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | kalt im Zubereitungsrahmen, Grad II | [olkechy:?] | nimm ein Maß und erhitze es | trocken; nominal trockenes Gut/Material | heiß und trocken am Anfang des Grades, abgeschlossen | trocken; nominal trockenes Gut/Material | kalt und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | [aiindy:?]
f86v5	f86v5.2	T	B	2	losair yteody qokar shy qokar shor qopchol tal ol ytol otam otam	2	2	7	qopchol	1	1	losair	[losair:?] | Eintrag/Bezug: kalte Zubereitung, abgeschlossen | heiße Drogenfraktion I | feucht am Anfang des Grades | heiße Drogenfraktion I | Blüten-/Fruchtstand; reproduktiver Teil | [qopchol:?] | Rohstoffklasse I, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kühle hiervon den Drogenstoff ab | ein Maß kalten Ansatzes | ein Maß kalten Ansatzes	[losair:?] | Eintrag/Bezug: kalte Zubereitung, abgeschlossen | heiße Drogenfraktion I | feucht am Anfang des Grades | heiße Drogenfraktion I | Blüten-/Fruchtstand; reproduktiver Teil | nimm getrockneten Pulverstoff | Rohstoffklasse I, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kühle hiervon den Drogenstoff ab | ein Maß kalten Ansatzes | ein Maß kalten Ansatzes
f86v5	f86v5.24	T	B	2	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	2	2	8	olkar	1	5	kchody	Drogenfraktion I im Ansatz | Menge III | erhitze hiervon auf Stufe II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [kchody:?] | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad III | [olkar:?] | kalt im Zubereitungsrahmen, Grad III	Drogenfraktion I im Ansatz | Menge III | erhitze hiervon auf Stufe II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [kchody:?] | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | kalt im Zubereitungsrahmen, Grad III
f86v5	f86v5.4	T	B	2	ypchesy oky sheeey qoty qotaiin sail chepy ltedy dar olkar am	6	6	10	olkar	5	1|3|6|7|8	ypchesy|sheeey|sail|chepy|ltedy	[ypchesy:?] | heißer Ansatz am Anfang des Grades | [sheeey:?] | kalt am Anfang des Grades | kalt, Grad III | [sail:?] | [chepy:?] | [ltedy:?] | abgemessene Fraktion I | [olkar:?] | Maßeinheit I	[ypchesy:?] | heißer Ansatz am Anfang des Grades | [sheeey:?] | kalt am Anfang des Grades | kalt, Grad III | [sail:?] | [chepy:?] | [ltedy:?] | abgemessene Fraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Maßeinheit I
f86v6	f86v6.25	T	B	2	yteedy qokar olkar qodar ykaiin or okeeeey ofchedy qokaiin araram	5	5	3	olkar	4	4|7|8|10	qodar|okeeeey|ofchedy|araram	kühle hiervon vollständig ab und schließe | heiße Drogenfraktion I | [olkar:?] | [qodar:?] | erhitze hiervon auf Stufe III | Drogenportion | [okeeeey:?] | [ofchedy:?] | heiß, Grad III | [araram:?]	kühle hiervon vollständig ab und schließe | heiße Drogenfraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | [qodar:?] | erhitze hiervon auf Stufe III | Drogenportion | [okeeeey:?] | [ofchedy:?] | heiß, Grad III | [araram:?]
f86v6	f86v6.31	T	B	2	dair chepy qokaiin olkar olkchdy okar al dar olkchey otytam orom	5	5	4	olkar	4	2|9|10|11	chepy|olkchey|otytam|orom	abgemessene Fraktion II | [chepy:?] | heiß, Grad III | [olkar:?] | heiß-trocken aufbereitetes Drogenmaterial | heiße Drogenfraktion I im Ansatz | Rohstoffklasse I | abgemessene Fraktion I | [olkchey:?] | [otytam:?] | [orom:?]	abgemessene Fraktion II | [chepy:?] | heiß, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß-trocken aufbereitetes Drogenmaterial | heiße Drogenfraktion I im Ansatz | Rohstoffklasse I | abgemessene Fraktion I | [olkchey:?] | [otytam:?] | [orom:?]
f86v6	f86v6.4	T	B	2	dshor shdy shor ol aiin olkeedy shdal oteor chdar l karchees olkar dalam	3	3	12	olkar	2	8|11	oteor|karchees	abgemessene Blüten-/Fruchtdroge | feucht am Anfang des Grades, abgeschlossen | Blüten-/Fruchtstand; reproduktiver Teil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge III | Holzdrogenansatz vollständig erhitzt und abgeschlossen | feuchte abgemessene Rohstoffmenge I am Gradanfang | [oteor:?] | abgemessene Trockenfraktion I, Anfangsstufe | Holzdroge in der gebundenen Anschlussform | [karchees:?] | [olkar:?] | ein Maß Rohdroge I	abgemessene Blüten-/Fruchtdroge | feucht am Anfang des Grades, abgeschlossen | Blüten-/Fruchtstand; reproduktiver Teil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge III | Holzdrogenansatz vollständig erhitzt und abgeschlossen | feuchte abgemessene Rohstoffmenge I am Gradanfang | [oteor:?] | abgemessene Trockenfraktion I, Anfangsstufe | Holzdroge in der gebundenen Anschlussform | [karchees:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | ein Maß Rohdroge I
f86v6	f86v6.5	T	B	2	tar lol chol olkar daiin chear or otshey qokar opchey taiky qotar	2	2	4	olkar	1	11	taiky	kalte Drogenfraktion I | Holzstoff | trocken; nominal trockenes Gut/Material | [olkar:?] | Grad-/Maßwert III | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | Trockenpulver-Ansatz, Form I | [taiky:?] | kalte Drogenfraktion I	kalte Drogenfraktion I | Holzstoff | trocken; nominal trockenes Gut/Material | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Grad-/Maßwert III | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | Trockenpulver-Ansatz, Form I | [taiky:?] | kalte Drogenfraktion I
f88r	f88r.19	P	A	1	dchey chokol daiin qoekol qoekol qockhol okol cheol	5	5	1	dchey	4	2|4|5|6	chokol|qoekol|qoekol|qockhol	[dchey:?] | [chokol:?] | Qualitätsgrad III | [qoekol:?] | [qoekol:?] | [qockhol:?] | heißer Ansatzstoff | trockener Drogenstoff	eine Dosis bis zur Mittelstufe trocknen und abschließen | [chokol:?] | Qualitätsgrad III | [qoekol:?] | [qoekol:?] | [qockhol:?] | heißer Ansatzstoff | trockener Drogenstoff
f8r	f8r.15	H	A	1	dchey ckhol chol chey kc chy daiin dol daiiiry ckhy	4	4	1	dchey	3	2|5|9	ckhol|kc|daiiiry	[dchey:?] | [ckhol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [kc:?] | trocken am Anfang des Grades | Grad-/Maßwert III | Materialmaß | [daiiiry:?] | Arzneikompositum am Gradanfang	eine Dosis bis zur Mittelstufe trocknen und abschließen | [ckhol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [kc:?] | trocken am Anfang des Grades | Grad-/Maßwert III | Materialmaß | [daiiiry:?] | Arzneikompositum am Gradanfang
f95v1	f95v1.7	H	B	3	dshey kain qokar olkar chy tar otar chdy kchdy dolkain otardy	3	3	4	olkar	2	10|11	dolkain|otardy	eine Dosis bis zur Mittelstufe angefeuchtete Droge | heiß, Grad II | heiße Drogenfraktion I | [olkar:?] | trocken am Anfang des Grades | kalte Drogenfraktion I | kalte Drogenfraktion I im Ansatz | trocken am Anfang des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | [dolkain:?] | [otardy:?]	eine Dosis bis zur Mittelstufe angefeuchtete Droge | heiß, Grad II | heiße Drogenfraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | trocken am Anfang des Grades | kalte Drogenfraktion I | kalte Drogenfraktion I im Ansatz | trocken am Anfang des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | [dolkain:?] | [otardy:?]
