statement_id	physical_page	register	event_count	surface_sequence	pass1025_recipe_sequence	pass1026_recipe_sequence	literal_core_reading_de	changed_event_ids
P1009-S069	f72r	CELESTIAL	21	che shees opcholalaiin oteeor am sheal okaipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy	Y | SH+EE+S | O+P+CH+OL+AL+AIIN | OT+E+OR | AM_ADDR | SH+E+AL | OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y | OT+EE+O+S_ADDR | AR | AM_ADDR | OL+AIIN | OT+E+O+D_ADDR+AR | OL+OL | CH+OT+Y | OT+E+OL | SH+E+O+D_ADDR+Y | CHD+Y | CHD+Y | Y | SH+EE+S | EEE+DY	CH+E | SH+EE+S | O+P+CH+OL+AL+AIIN | OT+EE+OR | AM_ADDR | SH+E+AL | OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y | OT+EEE+S_ADDR | AR | AM_ADDR | OL+AIIN | OT+E+D_ADDR+AR | OL+OL | CH+OT+Y | OT+E+OL | SH+E+O+D_ADDR+Y | CHD+Y | CHD+Y | Y | SH+E+S | EE+DY	NEHMEN · GRAD I / HALTEN · GRAD II · WÄHLEN / AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT / DANACH · GRAD II · EINHEIT / HIER / HALTEN · GRAD I · ZIELORT / SETZEN · HIER · VARIANTE · EINSETZEN · NEHMEN · AKTIVER POSTEN / DANACH · GRAD III · HIER / AUSGANG / HIER / FORTSETZEN · WERT / DANACH · GRAD I · HIER · AUSGANG / FORTSETZEN · FORTSETZEN / NEHMEN · DANACH · AKTIVER POSTEN / DANACH · GRAD I · FORTSETZEN / HALTEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / UMSETZEN · AKTIVER POSTEN / UMSETZEN · AKTIVER POSTEN / AKTIVER POSTEN / HALTEN · GRAD I · WÄHLEN / GRAD II · SCHLUSS	P1008-E0428|P1008-E0431|P1008-E0435|P1008-E0439|P1008-E0447|P1008-E0448
P1009-S070	f72r	CELESTIAL	3	sheol shy ckhol	SH+E+OL | Y | OL	SH+E+OL | Y | CH+K+OL	HALTEN · GRAD I · FORTSETZEN / AKTIVER POSTEN / NEHMEN · GEBEN · FORTSETZEN	P1008-E0451
P1009-S071	f72r	CELESTIAL	9	okeos aiin olaiin oraiin octheolarl okeeody oteos aiin koly	OK+E+O | AIIN | OL+AIIN | OR+AIIN | O+CH+T+E+OL+AR+L | OK+EE+O+D_ADDR+Y | OT+EE+O+S_ADDR | AIIN | OL+Y	OK+E+O+S | AIIN | OL+AIIN | OR+AIIN | O+CH+T+E+OL+AR+L | OK+EE+O+D_ADDR+Y | OT+E+O+S_ADDR | AIIN | K+OL+Y	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN / WERT / FORTSETZEN · WERT / EINHEIT · WERT / AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN · AUSGANG · VERBINDUNG / SETZEN · GRAD II · AUSFÜHRUNG · HIER · AKTIVER POSTEN / DANACH · GRAD I · AUSFÜHRUNG · HIER / WERT / GEBEN · FORTSETZEN · AKTIVER POSTEN	P1008-E0460|P1008-E0466|P1008-E0468
P1009-S183	f76r	BIOLOGICAL	13	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y dshedy	P+OT+CH+OK+OR | CH+O+CH+LOCAL_CHAR_F+Y | CARRIER_Q+O+P+SH+D_ADDR+Y | OL | CH+CH+P+E+Y | CH+CH+P+E+Y | O+P+SH+E+Y | CARRIER_Q+O+P+SH+D_ADDR+Y | P+CHD+Y | S+AIN | A_ADDR+S | Y | SH+E+DY	P+OT+CH+OK+OR | CH+O+CH+LOCAL_CHAR_F+Y | O+P+SH+D_ADDR+Y | OL+P | CH+CH+P+Y | CH+CH+P+Y | O+P+SH+E+Y | CARRIER_Q+O+P+SH+D_ADDR+Y | O+P+CHD+Y | S+AIN | A_ADDR+S | Y | SH+E+DY	EINSETZEN · DANACH · NEHMEN · SETZEN · EINHEIT / NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · AKTIVER POSTEN / AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · AKTIVER POSTEN / FORTSETZEN · EINSETZEN / NEHMEN · NEHMEN · EINSETZEN · AKTIVER POSTEN / NEHMEN · NEHMEN · EINSETZEN · AKTIVER POSTEN / AUSFÜHRUNG · EINSETZEN · HALTEN · GRAD I · AKTIVER POSTEN / BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · AKTIVER POSTEN / AUSFÜHRUNG · EINSETZEN · UMSETZEN · AKTIVER POSTEN / WÄHLEN · ANTEIL / HIER · WÄHLEN / AKTIVER POSTEN / HALTEN · GRAD I · SCHLUSS	P1008-E0471|P1008-E0472|P1008-E0473|P1008-E0474|P1008-E0477
P1009-S184	f76r	BIOLOGICAL	7	qotddyar cthar chep dain okain qokeor shedy	OT+D_ADDR+D_ADDR+Y+AR | CH+T+AR | Y | AIN | OK+AIN | OK+E+OR | SH+E+DY	OT+D_ADDR+D_ADDR+Y+AR | CH+T+AR | CH+E+P | AIN | OK+AIN | OK+E+OR | SH+E+DY	DANACH · HIER · HIER · AKTIVER POSTEN · AUSGANG / NEHMEN · EINSTELLEN · AUSGANG / NEHMEN · GRAD I · EINSETZEN / ANTEIL / SETZEN · ANTEIL / SETZEN · GRAD I · EINHEIT / HALTEN · GRAD I · SCHLUSS	P1008-E0484
P1009-S185	f76r	BIOLOGICAL	9	qol ain sheals qokeey yshey qokeey qokey qokeed okedy	OL | AIN | SH+E+AL | OK+EE+Y | Y+SH+E+Y | OK+EE+Y | OK+E+Y | OK+EE+D_ADDR | OK+E+DY	OL | AIN | SH+E+AL+S | OK+EE+Y | Y+SH+E+Y | OK+EE+Y | OK+E+Y | OK+EE+D_ADDR | OK+E+DY	FORTSETZEN / ANTEIL / HALTEN · GRAD I · ZIELORT · WÄHLEN / SETZEN · GRAD II · AKTIVER POSTEN / AKTIVER POSTEN · HALTEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD II · HIER / SETZEN · GRAD I · SCHLUSS	P1008-E0491
P1009-S188	f76r	BIOLOGICAL	5	shol qoty ol chedy aiiny	SH+OL | OT+Y | OL | CHD+Y | AIIN	SH+OL | OT+Y | OL | CHD+Y | AIIN+Y	HALTEN · FORTSETZEN / DANACH · AKTIVER POSTEN / FORTSETZEN / UMSETZEN · AKTIVER POSTEN / WERT · AKTIVER POSTEN	P1008-E0505
P1009-S193	f76r	BIOLOGICAL	4	qokal chdam solchedy qokeedy	OK+AL | CH+AM_ADDR | S+OL+CHD+Y | OK+EE+DY	OK+AL | CHD+AM_ADDR | S+OL+CHD+Y | OK+EE+DY	SETZEN · ZIELORT / UMSETZEN · HIER / WÄHLEN · FORTSETZEN · UMSETZEN · AKTIVER POSTEN / SETZEN · GRAD II · SCHLUSS	P1008-E0519
P1009-S194	f76r	BIOLOGICAL	4	qopchedy qokeeo rol shedy	CARRIER_Q+O+P+CHD+Y | OK+EE+Y | R+OL | SH+E+DY	CARRIER_Q+O+P+CHD+Y | OK+EE+O | R+OL | SH+E+DY	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · UMSETZEN · AKTIVER POSTEN / SETZEN · GRAD II · AUSFÜHRUNG / MARKIEREN · FORTSETZEN / HALTEN · GRAD I · SCHLUSS	P1008-E0523
P1009-S196	f76r	BIOLOGICAL	6	sheey okees al al chedain dar	SH+EE+Y | OK+EE+Y | AL | AL | CHD+AIN | D_ADDR+AR	SH+EE+Y | OK+EE+S | AL | AL | CHD+AIN | D_ADDR+AR	HALTEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD II · WÄHLEN / ZIELORT / ZIELORT / UMSETZEN · ANTEIL / HIER · AUSGANG	P1008-E0528
P1009-S199	f76r	BIOLOGICAL	1	shed	SH+E+DY	SH+E+D_ADDR	HALTEN · GRAD I · HIER	P1008-E0547
P1009-S200	f76r	BIOLOGICAL	5	al shckhy r ain chcphedy	AL | SH+CH+K+Y | R | AIN | L+CH+CH+P+E+DY	AL | SH+CH+K+Y | R | AIN | CH+CH+P+E+DY	ZIELORT / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / MARKIEREN / ANTEIL / NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	P1008-E0552
P1009-S201	f76r	BIOLOGICAL	9	ain olkeey lkar ain otchy lkain chedy dar daly	AIN | OL+K+EE+Y | K+AR | AIN | OT+CH+Y | K+AIN | CHD+Y | D_ADDR+AR | AL	AIN | OL+K+EE+Y | L+K+AR | AIN | OT+CH+Y | L+K+AIN | CHD+Y | D_ADDR+AR | AL+Y	ANTEIL / FORTSETZEN · GEBEN · GRAD II · AKTIVER POSTEN / VERBINDUNG · GEBEN · AUSGANG / ANTEIL / DANACH · NEHMEN · AKTIVER POSTEN / VERBINDUNG · GEBEN · ANTEIL / UMSETZEN · AKTIVER POSTEN / HIER · AUSGANG / ZIELORT · AKTIVER POSTEN	P1008-E0555|P1008-E0558|P1008-E0561
P1009-S204	f76r	BIOLOGICAL	10	chedy ol chdy raiiin chekain dain chckhy sal oty solshedy	CHD+Y | OL | CHD+Y | R+AIIN | CH+K+AIN | AIN | CH+K+Y | S+AL | OT+Y | OL+SH+E+DY	CHD+Y | OL | CHD+Y | R+AIIN+LOCAL_CHAR_I | CH+K+AIN | AIN | CH+K+Y | S+AL | OT+Y | OL+SH+E+DY	UMSETZEN · AKTIVER POSTEN / FORTSETZEN / UMSETZEN · AKTIVER POSTEN / MARKIEREN · WERT · VARIANTE / NEHMEN · GEBEN · ANTEIL / ANTEIL / NEHMEN · GEBEN · AKTIVER POSTEN / WÄHLEN · ZIELORT / DANACH · AKTIVER POSTEN / FORTSETZEN · HALTEN · GRAD I · SCHLUSS	P1008-E0569
P1009-S205	f76r	BIOLOGICAL	11	qool qctheed shdy qa ol keey dain saiin s ar shedy	CARRIER_Q+O+OL | CH+T+E+Y | SH+D_ADDR+Y | O | OL | K+EE+Y | AIN | S+AIIN | S | AR | SH+E+DY	CARRIER_Q+O+OL | CH+T+E+Y | SH+D_ADDR+Y | A_ADDR | OL | K+EE+Y | AIN | S+AIIN | S | AR | SH+E+DY	BEGINNMARKER · AUSFÜHRUNG · FORTSETZEN / NEHMEN · EINSTELLEN · GRAD I · AKTIVER POSTEN / HALTEN · HIER · AKTIVER POSTEN / HIER / FORTSETZEN / GEBEN · GRAD II · AKTIVER POSTEN / ANTEIL / WÄHLEN · WERT / WÄHLEN / AUSGANG / HALTEN · GRAD I · SCHLUSS	P1008-E0579
P1009-S211	f76r	BIOLOGICAL	9	qoked okees al ar aiin ar ain chckheed lchedy	OK+E+D_ADDR | OK+EE+Y | AL | AR | AIIN | AR | AIN | CH+CH+K+E+Y | L+CHD+DY	OK+E+D_ADDR | OK+EE+S | AL | AR | AIIN | AR | AIN | CH+CH+K+E+Y | L+CHD+DY	SETZEN · GRAD I · HIER / SETZEN · GRAD II · WÄHLEN / ZIELORT / AUSGANG / WERT / AUSGANG / ANTEIL / NEHMEN · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / VERBINDUNG · UMSETZEN · SCHLUSS	P1008-E0605
P1009-S213	f76r	BIOLOGICAL	10	qolair chedy qotes chedy shckhy qokeey okeey kain checkhy qokeedy	OL+D_ADDR+AIR | CHD+Y | OT+E+Y | CHD+Y | SH+CH+K+Y | OK+EE+Y | OK+EE+Y | K+AIN | CH+E+CH+K+Y | OK+EE+DY	OL+D_ADDR+AIR | CHD+Y | OT+E+S | CHD+Y | SH+CH+K+Y | OK+EE+Y | OK+EE+Y | K+AIN | CH+E+CH+K+Y | OK+EE+DY	FORTSETZEN · HIER · LAUF / UMSETZEN · AKTIVER POSTEN / DANACH · GRAD I · WÄHLEN / UMSETZEN · AKTIVER POSTEN / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / GEBEN · ANTEIL / NEHMEN · GRAD I · NEHMEN · GEBEN · AKTIVER POSTEN / SETZEN · GRAD II · SCHLUSS	P1008-E0616
P1009-S214	f76r	BIOLOGICAL	10	qotey qotain chekair chey chckh shey qeeey chol lkain shedy	OT+E+Y | OT+AIN | CH+K+AR | Y | CH+K+Y | SH+E+Y | CARRIER_Q+EE+Y | OL | K+AIN | SH+E+DY	OT+E+Y | OT+AIN | CH+K+AIR | Y | CH+K | SH+E+Y | CARRIER_Q+EEE+Y | OL | L+K+AIN | SH+E+DY	DANACH · GRAD I · AKTIVER POSTEN / DANACH · ANTEIL / NEHMEN · GEBEN · LAUF / AKTIVER POSTEN / NEHMEN · GEBEN / HALTEN · GRAD I · AKTIVER POSTEN / BEGINNMARKER · GRAD III · AKTIVER POSTEN / FORTSETZEN / VERBINDUNG · GEBEN · ANTEIL / HALTEN · GRAD I · SCHLUSS	P1008-E0626|P1008-E0628|P1008-E0630|P1008-E0632
P1009-S216	f76r	BIOLOGICAL	3	okain chedy okeed	OK+AIN | CHD+Y | OK+EE+DY	OK+AIN | CHD+Y | OK+EE+D_ADDR	SETZEN · ANTEIL / UMSETZEN · AKTIVER POSTEN / SETZEN · GRAD II · HIER	P1008-E0637
P1009-S218	f76r	BIOLOGICAL	7	dcheedy qolchey qokeey qokeey chedy qokar shedy	CH+EE+D_ADDR+Y | OL+Y | OK+EE+Y | OK+EE+Y | CHD+Y | OK+AR | SH+E+DY	D_ADDR+CH+EE+D_ADDR+Y | OL+Y | OK+EE+Y | OK+EE+Y | CHD+Y | OK+AR | SH+E+DY	HIER · NEHMEN · GRAD II · HIER · AKTIVER POSTEN / FORTSETZEN · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / UMSETZEN · AKTIVER POSTEN / SETZEN · AUSGANG / HALTEN · GRAD I · SCHLUSS	P1008-E0640
P1009-S222	f76r	BIOLOGICAL	1	otedyl	OT+E+DY	OT+E+DY+L	DANACH · GRAD I · SCHLUSS · VERBINDUNG	P1008-E0650
P1009-S225	f76r	BIOLOGICAL	8	qokey qolchey qotain chckhy shckhy lchar okar alchdy	OK+E+Y | OL+Y | OT+AIN | CH+K+Y | SH+CH+K+Y | AR | OK+AR | AL+CHD+DY	OK+E+Y | OL+Y | OT+AIN | CH+K+Y | SH+CH+K+Y | L+AR | OK+AR | AL+CHD+DY	SETZEN · GRAD I · AKTIVER POSTEN / FORTSETZEN · AKTIVER POSTEN / DANACH · ANTEIL / NEHMEN · GEBEN · AKTIVER POSTEN / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / VERBINDUNG · AUSGANG / SETZEN · AUSGANG / ZIELORT · UMSETZEN · SCHLUSS	P1008-E0660
P1009-S226	f76r	BIOLOGICAL	1	qokchsdy	OK+CHD+DY	OK+CHD+S+DY	SETZEN · UMSETZEN · WÄHLEN · SCHLUSS	P1008-E0663
P1009-S228	f76r	BIOLOGICAL	4	qo olain ot shedy	O | OL+AIIN | OT+Y | SH+E+DY	O | OL+AIN | OT | SH+E+DY	AUSFÜHRUNG / FORTSETZEN · ANTEIL / DANACH / HALTEN · GRAD I · SCHLUSS	P1008-E0667|P1008-E0668
P1009-S229	f76r	BIOLOGICAL	4	qotaly dar sain shedy	OT+AL | D_ADDR+AR | S+AIN | SH+E+DY	OT+AL+Y | D_ADDR+AR | S+AIN | SH+E+DY	DANACH · ZIELORT · AKTIVER POSTEN / HIER · AUSGANG / WÄHLEN · ANTEIL / HALTEN · GRAD I · SCHLUSS	P1008-E0670
P1009-S230	f76r	BIOLOGICAL	1	oleeed	O+EEE+D_ADDR	OL+EEE+D_ADDR	FORTSETZEN · GRAD III · HIER	P1008-E0674
P1009-S234	f76r	BIOLOGICAL	4	olaiin chedy qokey dalshedy	OL+AIIN | CHD+Y | OK+E+Y | AL+CHD+DY	OL+AIIN | CHD+Y | OK+E+Y | AL+SH+E+DY	FORTSETZEN · WERT / UMSETZEN · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / ZIELORT · HALTEN · GRAD I · SCHLUSS	P1008-E0689
P1009-S236	f76r	BIOLOGICAL	13	qokaldy chepy dain alolor olain chedy shecthy qokey lor qoloin chey qokeey lchedy	OK+AL+Y | Y | AIN | OL+OR | OL+AIIN | CHD+Y | SH+E+CH+T+Y | OK+E+Y | L+OR | OL+O+IIN | Y | OK+EE+Y | L+CHD+DY	OK+AL+Y | CH+E+P+Y | AIN | OL+OR | OL+AIN | CHD+Y | SH+E+CH+T+Y | OK+E+Y | L+OR | OL+O+IIN | Y | OK+EE+Y | L+CHD+DY	SETZEN · ZIELORT · AKTIVER POSTEN / NEHMEN · GRAD I · EINSETZEN · AKTIVER POSTEN / ANTEIL / FORTSETZEN · EINHEIT / FORTSETZEN · ANTEIL / UMSETZEN · AKTIVER POSTEN / HALTEN · GRAD I · NEHMEN · EINSTELLEN · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / VERBINDUNG · EINHEIT / FORTSETZEN · AUSFÜHRUNG · STUFE / AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / VERBINDUNG · UMSETZEN · SCHLUSS	P1008-E0693|P1008-E0696
P1009-S239	f76r	BIOLOGICAL	10	qolain ain chey qokaiin okain cheedy lchey l oly dy	OK+AIN | AIN | Y | OK+AIIN | OK+AIN | CH+EE+D_ADDR+Y | L+Y | L | OL+Y | Y	OL+AIN | AIN | Y | OK+AIIN | OK+AIN | CH+EE+D_ADDR+Y | L+Y | L | OL+Y | Y	FORTSETZEN · ANTEIL / ANTEIL / AKTIVER POSTEN / SETZEN · WERT / SETZEN · ANTEIL / NEHMEN · GRAD II · HIER · AKTIVER POSTEN / VERBINDUNG · AKTIVER POSTEN / VERBINDUNG / FORTSETZEN · AKTIVER POSTEN / AKTIVER POSTEN	P1008-E0719
P1009-S240	f76r	BIOLOGICAL	15	soin sheey chear ol aiin chodaiin qokaiin chey qokalchey dal chdy dal ytal qokar shedy	S+AIN | SH+EE+Y | CH+E+AR | OL | AIIN | CH+O+D_ADDR+AIIN | OK+AIIN | Y | OK+AL+CH+E+Y | AL | CHD+Y | AL | T+AL | OK+AR | SH+E+DY	S+O+IIN | SH+EE+Y | CH+E+AR | OL | AIIN | CH+O+D_ADDR+AIIN | OK+AIIN | Y | OK+AL+CH+E+Y | AL | CHD+Y | AL | Y+T+AL | OK+AR | SH+E+DY	WÄHLEN · AUSFÜHRUNG · STUFE / HALTEN · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · AUSGANG / FORTSETZEN / WERT / NEHMEN · AUSFÜHRUNG · HIER · WERT / SETZEN · WERT / AKTIVER POSTEN / SETZEN · ZIELORT · NEHMEN · GRAD I · AKTIVER POSTEN / ZIELORT / UMSETZEN · AKTIVER POSTEN / ZIELORT / AKTIVER POSTEN · EINSTELLEN · ZIELORT / SETZEN · AUSGANG / HALTEN · GRAD I · SCHLUSS	P1008-E0730|P1008-E0742
P1009-S243	f76r	BIOLOGICAL	21	qokain dar shey lshcthy okar okain y laiin y darchey cheolchey shcthy chedy qo qokey dalaiin sheeky qokain olky sain chy	OK+AIN | D_ADDR+AR | SH+E+Y | SH+CH+T+Y | OK+AR | OK+AIN | Y | L+AIIN | Y | AR+CH+EE+Y | CH+E+OL+CH+E+Y | SH+CH+T+Y | CHD+Y | O | OK+E+Y | AL+AIIN | SH+EE+K+Y | OK+AIN | OL+K+Y | S+AIN | Y	OK+AIN | D_ADDR+AR | SH+E+Y | L+SH+CH+T+Y | OK+AR | OK+AIN | Y | L+AIIN | Y | AR+CH+EE+Y | CH+E+OL+CH+E+Y | SH+CH+T+Y | CHD+Y | O | OK+E+Y | AL+AIIN | SH+EE+K+Y | OK+AIN | OL+K+Y | S+AIN | Y	SETZEN · ANTEIL / HIER · AUSGANG / HALTEN · GRAD I · AKTIVER POSTEN / VERBINDUNG · HALTEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN / SETZEN · AUSGANG / SETZEN · ANTEIL / AKTIVER POSTEN / VERBINDUNG · WERT / AKTIVER POSTEN / AUSGANG · NEHMEN · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · FORTSETZEN · NEHMEN · GRAD I · AKTIVER POSTEN / HALTEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN / UMSETZEN · AKTIVER POSTEN / AUSFÜHRUNG / SETZEN · GRAD I · AKTIVER POSTEN / ZIELORT · WERT / HALTEN · GRAD II · GEBEN · AKTIVER POSTEN / SETZEN · ANTEIL / FORTSETZEN · GEBEN · AKTIVER POSTEN / WÄHLEN · ANTEIL / AKTIVER POSTEN	P1008-E0751
P1009-S244	f76r	BIOLOGICAL	7	cheo r ain okaiin dain chey dalshedy	CH+E+O | R | AIN | OK+AIIN | AIN | Y | AL+CHD+DY	CH+E+O | R | AIN | OK+AIIN | AIN | Y | AL+SH+E+DY	NEHMEN · GRAD I · AUSFÜHRUNG / MARKIEREN / ANTEIL / SETZEN · WERT / ANTEIL / AKTIVER POSTEN / ZIELORT · HALTEN · GRAD I · SCHLUSS	P1008-E0776
P1009-S246	f76r	BIOLOGICAL	1	lkey	L+K+E+DY	L+K+E+Y	VERBINDUNG · GEBEN · GRAD I · AKTIVER POSTEN	P1008-E0785
P1009-S248	f76r	BIOLOGICAL	4	qopchey qo l pchedy	O+P+Y | O | L | P+CHD+DY	O+P+E+Y | O | L | P+CHD+DY	AUSFÜHRUNG · EINSETZEN · GRAD I · AKTIVER POSTEN / AUSFÜHRUNG / VERBINDUNG / EINSETZEN · UMSETZEN · SCHLUSS	P1008-E0788
P1009-S252	f76r	BIOLOGICAL	7	ollchy shlches shcthy sain oly sain shedy	OL+CH+Y | D_ADDR+Y+L+CH+E+S | SH+CH+T+Y | S+AIN | OL+Y | S+AIN | SH+E+DY	OL+L+CH+Y | D_ADDR+Y+L+CH+E+S | SH+CH+T+Y | S+AIN | OL+Y | S+AIN | SH+E+DY	FORTSETZEN · VERBINDUNG · NEHMEN · AKTIVER POSTEN / HIER · AKTIVER POSTEN · VERBINDUNG · NEHMEN · GRAD I · WÄHLEN / HALTEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN / WÄHLEN · ANTEIL / FORTSETZEN · AKTIVER POSTEN / WÄHLEN · ANTEIL / HALTEN · GRAD I · SCHLUSS	P1008-E0807
P1009-S254	f76r	BIOLOGICAL	13	sheol cheol alshy chol chdy talor ol alor chol okeor ar o oly	SH+E+OL | CH+E+O+L | AL+S+Y | OL | CHD+Y | L+AL+OR | OL | L+OR | OL | OK+E+OR | AR | O | OL+Y	SH+E+OL | CH+E+O+L | AL+SH+Y | OL | CHD+Y | L+AL+OR | OL | AL+OR | OL | OK+E+OR | AR | O | OL+Y	HALTEN · GRAD I · FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / ZIELORT · HALTEN · AKTIVER POSTEN / FORTSETZEN / UMSETZEN · AKTIVER POSTEN / VERBINDUNG · ZIELORT · EINHEIT / FORTSETZEN / ZIELORT · EINHEIT / FORTSETZEN / SETZEN · GRAD I · EINHEIT / AUSGANG / AUSFÜHRUNG / FORTSETZEN · AKTIVER POSTEN	P1008-E0828|P1008-E0833
P1009-S257	f76r	BIOLOGICAL	1	pshedy	SH+E+DY	P+SH+E+DY	EINSETZEN · HALTEN · GRAD I · SCHLUSS	P1008-E0847
P1009-S258	f76r	BIOLOGICAL	1	opchedy	P+CHD+DY	O+P+CHD+DY	AUSFÜHRUNG · EINSETZEN · UMSETZEN · SCHLUSS	P1008-E0848
P1009-S259	f76r	BIOLOGICAL	3	qokas yksheol qokeedy	OK+AL | SH+E+OL | OK+EE+DY	OK+A_ADDR+S | SH+E+OL | OK+EE+DY	SETZEN · HIER · WÄHLEN / HALTEN · GRAD I · FORTSETZEN / SETZEN · GRAD II · SCHLUSS	P1008-E0849
P1009-S261	f76r	BIOLOGICAL	10	ytal qolchey shckhy qokey lchy opchey dain shdy qokedar olchdy	T+AL | OL+Y | SH+CH+K+Y | OK+E+Y | L+CH+Y | P+Y | AIN | SH+D_ADDR+Y | OK+E+AR | OL+CHD+DY	Y+T+AL | OL+Y | SH+CH+K+Y | OK+E+Y | L+CH+Y | O+P+Y | AIN | SH+D_ADDR+Y | OK+E+D_ADDR+AR | OL+CHD+DY	AKTIVER POSTEN · EINSTELLEN · ZIELORT / FORTSETZEN · AKTIVER POSTEN / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / VERBINDUNG · NEHMEN · AKTIVER POSTEN / AUSFÜHRUNG · EINSETZEN · AKTIVER POSTEN / ANTEIL / HALTEN · HIER · AKTIVER POSTEN / SETZEN · GRAD I · HIER · AUSGANG / FORTSETZEN · UMSETZEN · SCHLUSS	P1008-E0855|P1008-E0860|P1008-E0863
P1009-S265	f76r	BIOLOGICAL	6	qokal shey qoky dain chedy qokchdyl	OK+AL | SH+E+Y | OK+Y | AIN | CHD+Y | OK+CHD+DY	OK+AL | SH+E+Y | OK+Y | AIN | CHD+Y | OK+CHD+DY+L	SETZEN · ZIELORT / HALTEN · GRAD I · AKTIVER POSTEN / SETZEN · AKTIVER POSTEN / ANTEIL / UMSETZEN · AKTIVER POSTEN / SETZEN · UMSETZEN · SCHLUSS · VERBINDUNG	P1008-E0881
P1009-S266	f76r	BIOLOGICAL	6	dain chey lsh daiin chey lchedy	AIN | Y | L+SH+O | AIIN | Y | L+CHD+DY	AIN | Y | L+SH | AIIN | Y | L+CHD+DY	ANTEIL / AKTIVER POSTEN / VERBINDUNG · HALTEN / WERT / AKTIVER POSTEN / VERBINDUNG · UMSETZEN · SCHLUSS	P1008-E0884
P1009-S267	f76r	BIOLOGICAL	3	qolain qotal shedy	OK+AIN | OT+AL | SH+E+DY	OL+AIN | OT+AL | SH+E+DY	FORTSETZEN · ANTEIL / DANACH · ZIELORT / HALTEN · GRAD I · SCHLUSS	P1008-E0888
P1009-S268	f76r	BIOLOGICAL	13	dy shecthy otalam sor shey qokey qokar sheeoldy chol oly chaly lol chdy	Y | SH+E+CH+T+Y | T+AL+AM_ADDR | S+OR | SH+E+Y | OK+E+Y | OK+AR | SH+EE+OL | OL | OL+Y | CH+AL+Y | L+OL | CHD+Y	Y | SH+E+CH+T+Y | OT+AL+AM_ADDR | S+OR | SH+E+Y | OK+E+Y | OK+AR | SH+EE+OL | OL | OL+Y | CH+AL+Y | L+OL | CHD+Y	AKTIVER POSTEN / HALTEN · GRAD I · NEHMEN · EINSTELLEN · AKTIVER POSTEN / DANACH · ZIELORT · HIER / WÄHLEN · EINHEIT / HALTEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / SETZEN · AUSGANG / HALTEN · GRAD II · FORTSETZEN / FORTSETZEN / FORTSETZEN · AKTIVER POSTEN / NEHMEN · ZIELORT · AKTIVER POSTEN / VERBINDUNG · FORTSETZEN / UMSETZEN · AKTIVER POSTEN	P1008-E0893
