group_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	repeat_scope	slot_count	slot_positions_zero_based	intervening_atom_sequences	attachment_topology	topology_short	head_identity_sequence	placement_sequence	assignment_source_sequence	renderer_route	renderer_ready	renderer_history_conflict	current_clause_de	recommended_voice_pattern	guard
36	GDT575-D050	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	PLAIN	2	1+4	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2638@0:SH | ACTION:G407-E2638@3:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
37	GDT575-D052	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	E	PLAIN	2	0+2	S	BRACKETING_SAME_HEAD	B	ACTION:G407-E2755@1:S | ACTION:G407-E2755@1:S	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle denselben Stationsanteil und wähle ihn; auf Grad I und auf Grad I.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
38	GDT575-D053	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	PLAIN	2	1+4	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2783@0:SH | ACTION:G407-E2783@3:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; auf Grad I und auf Grad I; schließe den Schritt.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
39	GDT575-D057	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	D_ADDR	PLAIN	2	0+4	SH+OL+Y	ACTION_PLUS_SEQUENCE_HEAD	Q	ACTION:G407-E3030@1:SH | SEQUENCE:G407-E3030@2:OL	PRE_HEAD+SEQUENCE_CARRY	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_LEFT_SEQUENCE_CARRIER	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Weiter: halte den Stationsposten; an der D-Stelle und an der D-Stelle.	Ersten Slot beim sichtbaren Kopf, zweiten beim geschriebenen Fortsetzungsträger aussprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
40	GDT575-D058	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	E	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3037@0:CH | ACTION:G407-E3037@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I; an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
41	GDT575-D059	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	E	PLAIN	2	2+4	D_ADDR	SAME_HEAD_SAME_SIDE	U	ACTION:G407-E3038@1:K | ACTION:G407-E3038@1:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad I und auf Grad I; an der D-Stelle.	Ein Kopfbündel bilden, die beiden geschriebenen Slots aber in Rohreihenfolge nennen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
42	GDT575-D060	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	E	PLAIN	2	2+4	SH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3040@1:K | ACTION:G407-E3040@3:SH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Führe den äußeren Stationsposten und den inneren Stationsposten zu und halte den äußeren Stationsposten und den inneren Stationsposten; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
43	GDT575-D061	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	D_ADDR	PLAIN	2	0+4	CH+S+E	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3041@1:CH | ACTION:G407-E3041@2:S	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Entnimm denselben Stationsposten und wähle ihn; auf Grad I; an der D-Stelle und an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
44	GDT575-D063	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	D_ADDR	PLAIN	2	0+2	EEE	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E3277@0:OK | ACTION:G407-E3277@0:OK	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad III; an der D-Stelle und an der D-Stelle.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
45	GDT575-D064	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	E	PLAIN	2	2+4	S	BRACKETING_SAME_HEAD	B	ACTION:G407-E3377@3:S | ACTION:G407-E3377@3:S	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle denselben Stationsposten; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
46	GDT575-D065	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	E	PLAIN	2	1+4	CH+P	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3528@0:CH | ACTION:G407-E3528@3:P	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Entnimm dieselbe Stationseinheit und entnimm sie und setze sie ein; auf Grad I und auf Grad I; schließe den Schritt.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
47	GDT575-D066	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	E	PLAIN	2	1+3	K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3533@0:SH | ACTION:G407-E3533@2:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Stationsposten und führe ihn zu; auf Grad I und auf Grad I; an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
48	GDT575-D067	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	E	PLAIN	2	2+5	O+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3605@1:CH | ACTION:G407-E3605@4:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Entnimm den Stationsposten und führe ihn zu; auf Grad I, als Ausführung und auf Grad I; an der D-Stelle und an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
49	GDT575-D068	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	D_ADDR	PLAIN	2	0+6	CH+E+O+K+E	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3605@1:CH | ACTION:G407-E3605@4:K	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Entnimm den Stationsposten und führe ihn zu; auf Grad I, als Ausführung und auf Grad I; an der D-Stelle und an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
50	GDT575-D069	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	E	PLAIN	2	1+4	CH+T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3664@0:SH | ACTION:G407-E3664@3:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I und auf Grad I; an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
51	GDT575-D071	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	E	PLAIN	2	0+2	K	BRACKETING_SAME_HEAD	B	ACTION:G407-E3781@1:K | ACTION:G407-E3781@1:K	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Führe den Stationsposten zu; auf Grad I und auf Grad I.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
52	GDT575-D073	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	O	PLAIN	2	0+4	L+SH+E	BRACKETING_SAME_HEAD	B	ACTION:G407-E3870@2:SH | ACTION:G407-E3870@2:SH	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Halte den Drogenposten; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung; an der D-Stelle.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
53	GDT575-D074	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	E	PLAIN	2	1+4	O+T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3919@0:CH | ACTION:G407-E3919@3:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm den Drogenposten und stelle ihn ein; auf Grad I, als Ausführung und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
54	GDT575-D075	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	E	PLAIN	2	2+4	K	BRACKETING_SAME_HEAD	B	ACTION:G407-E3928@3:K | ACTION:G407-E3928@3:K	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Gib die Ansatzeinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
55	GDT575-D076	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	E	PLAIN	2	1+3	K	BRACKETING_SAME_HEAD	B	ACTION:G407-E3950@2:K | ACTION:G407-E3950@2:K	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Weiter: gib denselben Drogenposten zu; als Ausführung, auf Grad I und auf Grad I.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
56	GDT575-D077	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	E	PLAIN	2	1+4	AR+CH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E3962@0:OK | ACTION:G407-E3962@3:CH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Setze denselben Drogenposten als Ansatz an und nimm ihn; vom Ausgangsgefäß und über die Gefäßverbindung; auf Grad I, auf Grad I und als Ausführung.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
57	GDT575-D078	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	D_ADDR	PLAIN	2	0+3	AIR+O	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E4022@0:K | ACTION:G407-E4022@0:K	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang gib den Drogenanteil zu; entlang der Transferbahn; als Ausführung; an der D-Stelle und an der D-Stelle.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
58	GDT575-D083	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	O	PLAIN	2	1+4	LOCAL_CHAR_I+G_LABEL	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E4351@0:CH | ACTION:G407-E4351@0:CH	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang nimm denselben Drogenposten; als Ausführung und als Ausführung; an der D-Stelle, mit der i-Variante, beim G-Vermerk und bei der m-Ortsmarke.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
59	GDT575-D086	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	O	PLAIN	2	0+3	CH+E	BRACKETING_SAME_HEAD	B	ACTION:G407-E4380@1:CH | ACTION:G407-E4380@1:CH	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Nimm denselben Mengenwert; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
60	GDT575-D088	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	E	PLAIN	2	1+4	K+SH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E4493@0:SH | ACTION:G407-E4493@3:SH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Pflanzenposten, gib ihn zu und halte ihn; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
61	GDT575-D091	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	E	PLAIN	2	2+4	K	BRACKETING_SAME_HEAD	B	ACTION:G515-E0239@3:K | ACTION:G515-E0239@3:K	PRE_HEAD+POST_HEAD	GDT515_FIXED_FOCUS_ATTACHMENT+GDT515_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Gib dieselbe Arbeitseinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
62	GDT575-D096	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	E	PLAIN	2	1+4	O+CH	BRACKETING_SAME_HEAD	B	ACTION:G515-E0525@3:CH | ACTION:G515-E0525@3:CH	PRE_HEAD+POST_HEAD	GDT515_FIXED_FOCUS_ATTACHMENT+GDT515_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Danach: entnimm den laufenden Eintrag; auf Grad I, als Ausführung und auf Grad I.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
