event_profile_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	repeat_roots	attachment_topologies	ordered_slot_head_trace	overlapping_group_count	renderer_ready	current_clause_de	next_voice_instruction	guard
47	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	GDT575-D066	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3533@0:SH[POST_HEAD] | p3:E→ACTION:G407-E3533@2:K[POST_HEAD]	1	YES	Halte den Stationsposten und führe ihn zu; auf Grad I und auf Grad I; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
48	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	GDT575-D067|GDT575-D068	E+D_ADDR	DISTINCT_ACTION_OCCURRENCES+DISTINCT_ACTION_OCCURRENCES	p0:D_ADDR→ACTION:G407-E3605@1:CH[PRE_HEAD] | p2:E→ACTION:G407-E3605@1:CH[POST_HEAD] | p5:E→ACTION:G407-E3605@4:K[POST_HEAD] | p6:D_ADDR→ACTION:G407-E3605@4:K[POST_HEAD]	2	YES	Entnimm den Stationsposten und führe ihn zu; auf Grad I, als Ausführung und auf Grad I; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
49	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	GDT575-D069	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3664@0:SH[POST_HEAD] | p4:E→ACTION:G407-E3664@3:T[POST_HEAD]	1	YES	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I und auf Grad I; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
50	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	GDT575-D071	E	BRACKETING_SAME_HEAD	p0:E→ACTION:G407-E3781@1:K[PRE_HEAD] | p2:E→ACTION:G407-E3781@1:K[POST_HEAD]	1	YES	Führe den Stationsposten zu; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
51	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	GDT575-D073	O	BRACKETING_SAME_HEAD	p0:O→ACTION:G407-E3870@2:SH[PRE_HEAD] | p4:O→ACTION:G407-E3870@2:SH[POST_HEAD]	1	YES	Halte den Drogenposten; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
52	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	GDT575-D074	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3919@0:CH[POST_HEAD] | p4:E→ACTION:G407-E3919@3:T[POST_HEAD]	1	YES	Nimm den Drogenposten und stelle ihn ein; auf Grad I, als Ausführung und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
53	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	GDT575-D075	E	BRACKETING_SAME_HEAD	p2:E→ACTION:G407-E3928@3:K[PRE_HEAD] | p4:E→ACTION:G407-E3928@3:K[POST_HEAD]	1	YES	Gib die Ansatzeinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
54	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	GDT575-D076	E	BRACKETING_SAME_HEAD	p1:E→ACTION:G407-E3950@2:K[PRE_HEAD] | p3:E→ACTION:G407-E3950@2:K[POST_HEAD]	1	YES	Weiter: gib denselben Drogenposten zu; als Ausführung, auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
55	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	GDT575-D077	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3962@0:OK[POST_HEAD] | p4:E→ACTION:G407-E3962@3:CH[POST_HEAD]	1	YES	Setze denselben Drogenposten als Ansatz an und nimm ihn; vom Ausgangsgefäß und über die Gefäßverbindung; auf Grad I, auf Grad I und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
56	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	GDT575-D078	D_ADDR	ACTIVE_CONTEXT_HEAD	p0:D_ADDR→ACTION:G407-E4022@0:K[ACTIVE_CONTEXT] | p3:D_ADDR→ACTION:G407-E4022@0:K[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang gib den Drogenanteil zu; entlang der Transferbahn; als Ausführung; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
57	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	GDT575-D083	O	ACTIVE_CONTEXT_HEAD	p1:O→ACTION:G407-E4351@0:CH[ACTIVE_CONTEXT] | p4:O→ACTION:G407-E4351@0:CH[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang nimm denselben Drogenposten; als Ausführung und als Ausführung; an der D-Stelle, mit der i-Variante, beim G-Vermerk und bei der m-Ortsmarke.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
58	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	GDT575-D086	O	BRACKETING_SAME_HEAD	p0:O→ACTION:G407-E4380@1:CH[PRE_HEAD] | p3:O→ACTION:G407-E4380@1:CH[POST_HEAD]	1	YES	Nimm denselben Mengenwert; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
59	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	GDT575-D088	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E4493@0:SH[POST_HEAD] | p4:E→ACTION:G407-E4493@3:SH[POST_HEAD]	1	YES	Halte den Pflanzenposten, gib ihn zu und halte ihn; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
