surface	positions	lines	v60_action_positions	v60_result_positions	v60_dispatch_class	v60_literal_gloss_de	derived_one_edit_sister	sister_occurrences_v48	sister_pages_v48	sister_source	sister_working_meaning_de	pair_status	v62_class	evidence_basis	transfer_policy	v62_literal_gloss_de	formal_dy_status	gdt515_recipes	gdt516_pair_recipe_relation	gdt516_bound_recipe	gdt516_sister_recipe	rationale_de
sheedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Endstufe	sheey	41	21	V48_WORKING_CARD	feucht am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	feucht am Ende des Grades	FORMAL_DY	SH+EE+DY	DIFFERENT_RECIPE	SH+EE+DY	SH+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
sheody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger angefeuchteter Ansatz	sheoy	1	1	V48_WORKING_CARD	feucht angesetzte Zubereitung am Gradanfang	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	feucht angesetzte Zubereitung auf Anfangsstufe, abgeschlossen	NO_FORMAL_DY	SH+E+O+D_ADDR+Y	DIFFERENT_RECIPE	SH+E+O+D_ADDR+Y	SH+E+O+Y	Stoffkopf und Anfangsstufe der Schwester bleiben erhalten.
solchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Saatgutstoff	solchey	2	1	V48_WORKING_CARD	Saatgutansatz bis zur mittleren Stufe trocknen	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe fertig getrockneter Saatgutansatz	NO_FORMAL_DY	S+OL+CHD+Y	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Dy darf den Saatgutansatz nicht in einen neuen Saatgutstoff umbenennen.
tchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Anfangsstufe	tchy	3	3	V48_WORKING_CARD	kalt und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Anfangsstufe erreicht	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Das Qualitätsraster kontrastiert kalt-trockene Anfangsqualität mit fertiger Zustandsform.
tchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	tchey	6	6	V48_WORKING_CARD	kalt und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Mittelstufe erreicht	NO_FORMAL_DY	T+CHD+Y	DIFFERENT_RECIPE	T+CHD+Y	T+CH+E+Y	Das Qualitätsraster kontrastiert kalt-trockene Mittelqualität mit fertiger Zustandsform.
tcheody	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und ansetzen	tcheoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	abkühlen, bis zur Mittelstufe trocknen und ansetzen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
teeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig abgekühlter Ansatz, fertig	teeey	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	vollständig abgekühlter Ansatz, fertig	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
ychedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige getrocknete Droge	ychey	6	6	V48_WORKING_CARD	trockne hiervon bis zur Mittelstufe und schließe ab	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	INHERITED_TARGET_RESULT_PLUS_ACTION_SISTER	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe getrocknet und abgeschlossen	NO_FORMAL_DY	Y+CHD+Y	DIFFERENT_RECIPE	Y+CHD+Y	Y+Y	Der bisherige Zielwert ist nominal, die Schwester liefert Trocknung und Abschluss; dieser einzige mechanische Regeloverride bleibt ein In-Sample-Ganzwortentscheid, nicht eine gehaltene Prognose.
ycheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig trocknen	ycheey	6	5	V48_WORKING_CARD	trockne hiervon bis zur Endstufe	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Endstufe trocknen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester reicht bereits bis zur Endstufe; die dy-Form erhält keinen zusätzlichen Endpunktwert.
ypcheddy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hieraus Pulver bis zur Mittelstufe trocknen	ypchedy	5	4	V48_WORKING_CARD	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig	NESTED_DY_SISTER_EXCLUDED	UNPAIRED_WHOLE_RETAINED	NESTED_DY_DOES_NOT_ISOLATE_ENDING	WHOLE_ONLY_NO_PAIR_EXPORT	hieraus Pulver bis zur Mittelstufe trocknen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die scheinbare Schwester endet selbst auf dy und isoliert daher keine dy/y-Alternation.
ytedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon bis zur Mittelstufe abkühlen	ytey	0	0	V48_WORKING_CARD	kühle hiervon bis zur Mittelstufe ab und schließe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Mittelstufe abkühlen und abschließen	FORMAL_DY	Y+T+E+DY	DIFFERENT_RECIPE	Y+T+E+DY	T+E+Y	Die Schwester enthält bereits Abkühlung bis Mittelstufe und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
yteedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig abkühlen	yteey	12	6	V48_WORKING_CARD	kühle hiervon bis zur Endstufe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Endstufe abkühlen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester reicht bereits bis zur Endstufe; die dy-Form erhält keinen zusätzlichen Endpunktwert.
yteody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige kalte Zubereitung	yteoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	Eintrag: fertige kalte Zubereitung	FORMAL_DY	Y+T+E+O+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
