locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	atomic_reading_de	celestial_context_reading_de	orientation	cross_instrument_join
96	A2	f68r1	f68r1.22	A68_MULTIPANEL_STAR_ATLAS	1	236	Arbeitsgang + Aussenbezug + Entnahme + senken	Lesegang; Aussenbezug; entnommener Wert; senken.	UNSPECIFIED	NONE
97	A2	f68r1	f68r1.23	A68_MULTIPANEL_STAR_ATLAS	1	237	danach umsetzen; Schluss	naechster Eintrag; uebertragen; Eintrag schliessen.	UNSPECIFIED	NONE
98	A2	f68r1	f68r1.24	A68_MULTIPANEL_STAR_ATLAS	1	238	danach + dies + zufuehren + entnehmen + Sternbezug	naechster Eintrag; dieser Eintrag; zuordnen; Eintrag entnehmen; Sternbezug.	UNSPECIFIED	NONE
99	A2	f68r1	f68r1.25	A68_MULTIPANEL_STAR_ATLAS	1	239	danach fortsetzen	naechster Eintrag; weiterzaehlen.	UNSPECIFIED	NONE
100	A2	f68r1	f68r1.26	A68_MULTIPANEL_STAR_ATLAS	1	240	danach + Ansatz	naechster Eintrag; Einstellung.	UNSPECIFIED	NONE
101	A2	f68r1	f68r1.27	A68_MULTIPANEL_STAR_ATLAS	1	241	Arbeitsgang + Sollstufe + von dort	Lesegang; Sollstufe; von dieser Position.	UNSPECIFIED	NONE
102	A2	f68r1	f68r1.28	A68_MULTIPANEL_STAR_ATLAS	1	242	ansetzen + fortsetzen + Schluss	markieren; weiterzaehlen; Eintrag schliessen.	UNSPECIFIED	NONE
103	A2	f68r1	f68r1.29	A68_MULTIPANEL_STAR_ATLAS	1	243	dies + zufuehren + umsetzen + dies	dieser Eintrag; zuordnen; uebertragen; dieser Eintrag.	UNSPECIFIED	NONE
104	A2	f68r1	f68r1.30	A68_MULTIPANEL_STAR_ATLAS	1	244	Arbeitsgang + laenger + Arbeitsgang + Schluss	Lesegang; lange Stufe; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
105	A2	f68r1	f68r1.31	A68_MULTIPANEL_STAR_ATLAS	1	245	Arbeitsgang + Sternfigur + dies	Lesegang; Sternfigur; dieser Eintrag.	UNSPECIFIED	NONE
106	A2	f68r1	f68r1.32	A68_MULTIPANEL_STAR_ATLAS	1	246	ansetzen + laenger + Arbeitsgang + Stelle	markieren; lange Stufe; Lesegang; Position.	UNSPECIFIED	NONE
107	A2	f68r1	f68r1.33	A68_MULTIPANEL_STAR_ATLAS	1	247	ansetzen + Ansatz	markieren; Einstellung.	UNSPECIFIED	NONE
108	A2	f68r1	f68r1.34	A68_MULTIPANEL_STAR_ATLAS	1	248	Arbeitsgang + Sternbezug + Mass	Lesegang; Sternbezug; Wert.	UNSPECIFIED	NONE
109	A2	f68r1	f68r1.35	A68_MULTIPANEL_STAR_ATLAS	1	249	danach + Arbeitsgang + umsetzen + dies	naechster Eintrag; Lesegang; uebertragen; dieser Eintrag.	UNSPECIFIED	NONE
110	A2	f68r1	f68r1.36	A68_MULTIPANEL_STAR_ATLAS	1	250	Teiladresse + fortsetzen + umsetzen + dies	Teiladresse; weiterzaehlen; uebertragen; dieser Eintrag.	UNSPECIFIED	NONE
111	A2	f68r1	f68r1.37	A68_MULTIPANEL_STAR_ATLAS	5	251|252|253|254|255	verwende dies; ansetzen + umsetzen + dies; ansetzen + von dort + dies; kurz + von dort; Arbeitsgang + dies + Strahlmarke + dies	markieren; dieser Eintrag. markieren; uebertragen; dieser Eintrag. markieren; von dieser Position; dieser Eintrag. kurze Stufe; von dieser Position. Lesegang; dieser Eintrag; Strahlmarke; dieser Eintrag.	UNSPECIFIED	NONE
112	A3	f69v	f69v.1	A69_LEFT_28_PLACE_WHEEL	40	256|257|258|259|260|261|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|277|278|279|280|281|282|283|284|285|286|287|288|289|290|291|292|293|294|295	Teiladresse + Lauf; dies + zufuehren + dies; Himmelsname OTAZA; von dort; von dort; dies + zufuehren + von dort; ansetzen + Arbeitsgang + Zaehlstrich + senken + halten; von dort; entnehmen + kurz + eintragen + Arbeitsgang + dies; ansetzen + laenger + Arbeitsgang + Sternbezug; Arbeitsgang; eintragen + kurz + dies; danach + ansetzen + vollstaendig + dies; ansetzen + laenger + Arbeitsgang + dies; länger ansetzen; Teiladresse + Arbeitsgang + Zaehlstrich + Zaehlstrich + senken; eintragen + laenger + Arbeitsgang; dies; dies; danach; dies; ansetzen + kurz + dies; entnehmen + Sternbezug + dies; ansetzen + kurz + Arbeitsgang + Teiladresse; dies; dies; Gabe + Mass; ansetzen + von dort; ansetzen + von dort; fortsetzen; entnehmen + laenger + Sternbezug; dies + eintragen + Arbeitsgang; Arbeitsgang + Teiladresse + Lauf; danach + dies; danach + laenger + Arbeitsgang; von dort; Arbeitsgang; kurz + dies + zufuehren + kurz + Arbeitsgang + dies; Teiladresse + Ansatz; von dort	Teiladresse; Bahn. dieser Eintrag; zuordnen; dieser Eintrag. Himmelsname OTAZA. von dieser Position. von dieser Position. dieser Eintrag; zuordnen; von dieser Position. markieren; Lesegang; Zaehlstrich; senken; beibehalten. von dieser Position. Eintrag entnehmen; kurze Stufe; eintragen; Lesegang; dieser Eintrag. markieren; lange Stufe; Lesegang; Sternbezug. Lesegang. eintragen; kurze Stufe; dieser Eintrag. naechster Eintrag; markieren; volle Stufe; dieser Eintrag. markieren; lange Stufe; Lesegang; dieser Eintrag. markieren; lange Stufe; dieser Eintrag. Teiladresse; Lesegang; Zaehlstrich; Zaehlstrich; senken. eintragen; lange Stufe; Lesegang. dieser Eintrag. dieser Eintrag. naechster Eintrag. dieser Eintrag. markieren; kurze Stufe; dieser Eintrag. Eintrag entnehmen; Sternbezug; dieser Eintrag. markieren; kurze Stufe; Lesegang; Teiladresse. dieser Eintrag. dieser Eintrag. Eintrag; Wert. markieren; von dieser Position. markieren; von dieser Position. weiterzaehlen. Eintrag entnehmen; lange Stufe; Sternbezug. dieser Eintrag; eintragen; Lesegang. Lesegang; Teiladresse; Bahn. naechster Eintrag; dieser Eintrag. naechster Eintrag; lange Stufe; Lesegang. von dieser Position. Lesegang. kurze Stufe; dieser Eintrag; zuordnen; kurze Stufe; Lesegang; dieser Eintrag. Teiladresse; Einstellung. von dieser Position.	UNSPECIFIED	NONE
113	A3	f69v	f69v.2	A69_MIDDLE_CLOUD_WAVE_WHEEL	38	296|297|298|299|300|301|302|303|304|305|306|307|308|309|310|311|312|313|314|315|316|317|318|319|320|321|322|323|324|325|326|327|328|329|330|331|332|333	dies + zufuehren + Nebenadresse; fortsetzen; dies + zufuehren + von dort; Stelle; dies + zufuehren + Nebenadresse + dies; Zaehlstrich + ansetzen + laenger + Ansatz; Ergebnis; fortsetzen + dies; dies + zufuehren + laenger + Stelle; Entnahme; Arbeitsgang + von dort + Gegenfeld; Arbeitsgang + Durchgang + dies; dies länger halten; Mass; dies; Teiladresse + Nebenadresse + Zaehlstrich + Zaehlstrich + Stelle; Entnahme + dies; Stelle; dies + kurz + eintragen + kurz + dies; entnehmen + kurz + von dort; dies; dies; dies + zufuehren + kurz + dies; entnehmen; dies; dies; fortsetzen; dies + zufuehren + von dort; fortsetzen; dies; dies + zufuehren + laenger + Arbeitsgang + dies; dies; Stelle; Arbeitsgang abschließen; Lauf + dies; verwende dies; dies + dies; dies	dieser Eintrag; zuordnen; Nebenadresse. weiterzaehlen. dieser Eintrag; zuordnen; von dieser Position. Position. dieser Eintrag; zuordnen; Nebenadresse; dieser Eintrag. Zaehlstrich; markieren; lange Stufe; Einstellung. Resultat. weiterzaehlen; dieser Eintrag. dieser Eintrag; zuordnen; lange Stufe; Position. entnommener Wert. Lesegang; von dieser Position; Gegenfeld. Lesegang; Diagrammdurchgang; dieser Eintrag. beibehalten; lange Stufe; dieser Eintrag. Wert. dieser Eintrag. Teiladresse; Nebenadresse; Zaehlstrich; Zaehlstrich; Position. entnommener Wert; dieser Eintrag. Position. dieser Eintrag; kurze Stufe; eintragen; kurze Stufe; dieser Eintrag. Eintrag entnehmen; kurze Stufe; von dieser Position. dieser Eintrag. dieser Eintrag. dieser Eintrag; zuordnen; kurze Stufe; dieser Eintrag. Eintrag entnehmen. dieser Eintrag. dieser Eintrag. weiterzaehlen. dieser Eintrag; zuordnen; von dieser Position. weiterzaehlen. dieser Eintrag. dieser Eintrag; zuordnen; lange Stufe; Lesegang; dieser Eintrag. dieser Eintrag. Position. Lesegang; Eintrag schliessen. Bahn; dieser Eintrag. markieren; dieser Eintrag. dieser Eintrag; dieser Eintrag. dieser Eintrag.	UNSPECIFIED	NONE
114	A3	f69v	f69v.3	A69_RIGHT_FACE_RAY_WHEEL	29	334|335|336|337|338|339|340|341|342|343|344|345|346|347|348|349|350|351|352|353|354|355|356|357|358|359|360|361|362	Teiladresse + Arbeitsgang + Lauf; danach + Stelle + Stelle; Teiladresse + Lauf; dies umsetzen; danach + Arbeitsgang + von dort; von dort; dies; danach + kurz + Ansatz; Gabe; danach + Lauf; umsetzen + Nebenadresse; danach + laenger + Stelle; Entnahme + senken; von dort; Lauf; danach + kurz + Arbeitsgang + dies; dies + eintragen + dies + Teiladresse; Nebenadresse; Teiladresse + dies; danach + fortsetzen + dies; ansetzen + kurz + Arbeitsgang + Stelle; danach + kurz + Arbeitsgang + von dort + von dort; entnehmen + kurz + eintragen + laenger + Sternbezug + kurz + senken; Teiladresse + Lauf; dies; ansetzen + Arbeitsgang + dies; Stelle; nächsten Posten länger halten; nächsten Posten länger halten	Teiladresse; Lesegang; Bahn. naechster Eintrag; Position; Position. Teiladresse; Bahn. uebertragen; dieser Eintrag. naechster Eintrag; Lesegang; von dieser Position. von dieser Position. dieser Eintrag. naechster Eintrag; kurze Stufe; Einstellung. Eintrag. naechster Eintrag; Bahn. uebertragen; Nebenadresse. naechster Eintrag; lange Stufe; Position. entnommener Wert; senken. von dieser Position. Bahn. naechster Eintrag; kurze Stufe; Lesegang; dieser Eintrag. dieser Eintrag; eintragen; dieser Eintrag; Teiladresse. Nebenadresse. Teiladresse; dieser Eintrag. naechster Eintrag; weiterzaehlen; dieser Eintrag. markieren; kurze Stufe; Lesegang; Position. naechster Eintrag; kurze Stufe; Lesegang; von dieser Position; von dieser Position. Eintrag entnehmen; kurze Stufe; eintragen; lange Stufe; Sternbezug; kurze Stufe; senken. Teiladresse; Bahn. dieser Eintrag. markieren; Lesegang; dieser Eintrag. Position. naechster Eintrag; lange Stufe; dieser Eintrag. naechster Eintrag; lange Stufe; dieser Eintrag.	UNSPECIFIED	NONE
115	A3	f69v	f69v.4	A69_LEFT_28_PLACE_WHEEL	2	363|364	länger ansetzen; von dort	markieren; lange Stufe; dieser Eintrag. von dieser Position.	UNSPECIFIED	NONE
116	A3	f69v	f69v.5	A69_LEFT_28_PLACE_WHEEL	2	365|366	ansetzen + kurz + Arbeitsgang; dies	markieren; kurze Stufe; Lesegang. dieser Eintrag.	UNSPECIFIED	NONE
117	A3	f69v	f69v.6	A69_LEFT_28_PLACE_WHEEL	1	367	Arbeitsgang + Gabe + dies + zufuehren	Lesegang; Eintrag; dieser Eintrag; zuordnen.	UNSPECIFIED	NONE
118	A3	f69v	f69v.7	A69_LEFT_28_PLACE_WHEEL	1	368	dies + zufuehren + laenger + dies	dieser Eintrag; zuordnen; lange Stufe; dieser Eintrag.	UNSPECIFIED	NONE
119	A3	f69v	f69v.8	A69_LEFT_28_PLACE_WHEEL	1	369	dies + eintragen + Ansatz + dies	dieser Eintrag; eintragen; Einstellung; dieser Eintrag.	UNSPECIFIED	NONE
120	A3	f69v	f69v.9	A69_LEFT_28_PLACE_WHEEL	1	370	Arbeitsgang + laenger + dies	Lesegang; lange Stufe; dieser Eintrag.	UNSPECIFIED	NONE
121	A3	f69v	f69v.10	A69_LEFT_28_PLACE_WHEEL	1	371	dies + eintragen + Arbeitsgang + Schluss	dieser Eintrag; eintragen; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
122	A3	f69v	f69v.11	A69_LEFT_28_PLACE_WHEEL	1	372	ansetzen + Arbeitsgang + Schluss	markieren; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
123	A3	f69v	f69v.12	A69_LEFT_28_PLACE_WHEEL	1	373	danach + Arbeitsgang + Schluss	naechster Eintrag; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
124	A3	f69v	f69v.13	A69_LEFT_28_PLACE_WHEEL	1	374	ansetzen + kurz + Stelle	markieren; kurze Stufe; Position.	UNSPECIFIED	NONE
125	A3	f69v	f69v.14	A69_LEFT_28_PLACE_WHEEL	1	375	ansetzen + kurz + Arbeitsgang + Teiladresse	markieren; kurze Stufe; Lesegang; Teiladresse.	UNSPECIFIED	NONE
126	A3	f69v	f69v.15	A69_LEFT_28_PLACE_WHEEL	1	376	danach + laenger + dies + Sternbezug	naechster Eintrag; lange Stufe; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
127	A3	f69v	f69v.16	A69_LEFT_28_PLACE_WHEEL	1	377	danach + kurz + fortsetzen	naechster Eintrag; kurze Stufe; weiterzaehlen.	UNSPECIFIED	NONE
128	A3	f69v	f69v.17	A69_LEFT_28_PLACE_WHEEL	1	378	dies + zufuehren + kurz + dies + Schluss	dieser Eintrag; zuordnen; kurze Stufe; dieser Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE
129	A3	f69v	f69v.18	A69_LEFT_28_PLACE_WHEEL	1	379	ansetzen + kurz + Arbeitsgang + Teiladresse	markieren; kurze Stufe; Lesegang; Teiladresse.	UNSPECIFIED	NONE
130	A3	f69v	f69v.19	A69_LEFT_28_PLACE_WHEEL	1	380	von dort + Stelle	von dieser Position; Position.	UNSPECIFIED	NONE
131	A3	f69v	f69v.20	A69_LEFT_28_PLACE_WHEEL	1	381	Sternbezug + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	Sternbezug; Nebenadresse; Zaehlstrich; Zaehlstrich; senken.	UNSPECIFIED	NONE
132	A3	f69v	f69v.21	A69_LEFT_28_PLACE_WHEEL	1	382	ansetzen + fortsetzen + von dort	markieren; weiterzaehlen; von dieser Position.	UNSPECIFIED	NONE
133	A3	f69v	f69v.22	A69_LEFT_28_PLACE_WHEEL	1	383	dies + zufuehren + kurz + Arbeitsgang + Schluss	dieser Eintrag; zuordnen; kurze Stufe; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
134	A3	f69v	f69v.23	A69_LEFT_28_PLACE_WHEEL	1	384	von dort + dies + Schluss	von dieser Position; dieser Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE
135	A3	f69v	f69v.24	A69_LEFT_28_PLACE_WHEEL	1	385	danach + dies	naechster Eintrag; dieser Eintrag.	UNSPECIFIED	NONE
136	A3	f69v	f69v.25	A69_LEFT_28_PLACE_WHEEL	2	386|387	länger ansetzen; dies	markieren; lange Stufe; dieser Eintrag. dieser Eintrag.	UNSPECIFIED	NONE
137	A3	f69v	f69v.26	A69_LEFT_28_PLACE_WHEEL	2	388|389	kurz ansetzen; Teiladresse	markieren; kurze Stufe; dieser Eintrag. Teiladresse.	UNSPECIFIED	NONE
138	A3	f69v	f69v.27	A69_LEFT_28_PLACE_WHEEL	1	390	ansetzen + kurz + Arbeitsgang + Teiladresse	markieren; kurze Stufe; Lesegang; Teiladresse.	UNSPECIFIED	NONE
139	A3	f69v	f69v.28	A69_LEFT_28_PLACE_WHEEL	1	391	ansetzen + Arbeitsgang + Teiladresse + dies	markieren; Lesegang; Teiladresse; dieser Eintrag.	UNSPECIFIED	NONE
140	A3	f69v	f69v.29	A69_LEFT_28_PLACE_WHEEL	1	392	ansetzen + kurz + Arbeitsgang + Schluss	markieren; kurze Stufe; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
141	A3	f69v	f69v.30	A69_LEFT_28_PLACE_WHEEL	1	393	ansetzen + dies + Sternbezug	markieren; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
142	A3	f69v	f69v.31	A69_LEFT_28_PLACE_WHEEL	2	394|395	Arbeitsgang + von dort; Stelle + dies + Sternbezug	Lesegang; von dieser Position. Position; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
