pair_fragment_id	record_id	physical_page	register	pair_ordinal_in_record	left_source_event_id	right_source_event_id	left_bundle_id	right_bundle_id	pair_boundary	surface_pair	strict_template_id	strict_occurrence_count	strict_recurrence_class	strict_frame	recipe_frame	role_shape_id	role_occurrence_count	role_recurrence_class	role_frame	owner_neutral_phrase_de	definitive_fragment_reading_de	all_fragments_have_default
G481-P032	G475-R078	f72r	CELESTIAL	1	P1008-E0421	P1008-E0422	G474-B081	G474-B082	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	orara|olaiin	G481-PT031	1	SINGLETON	CATALOGUE[EINHEIT · AUSGANG · {N1} @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[FORTSETZEN · WERT @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	CATALOGUE[OR+AR @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[OL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS029	1	SINGLETON	CATALOGUE[ARG · REL · NAME @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[ORDER · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Namenseintrag »{N1}« — Einheitsangabe, Ausgangszuordnung. Dann: Eintrag »{N2}« — Fortsetzungsvermerk, Wertangabe. Reihenfolge konkret: OL — weiter mit Wert.	Sternstelle »a« — Einheitsangabe, Ausgangszuordnung. Dann: Eintrag »olaiin« — Fortsetzungsvermerk, Wertangabe. Reihenfolge konkret: OL — weiter mit Wert.	YES
G481-P033	G475-R078	f72r	CELESTIAL	2	P1008-E0422	P1008-E0423	G474-B082	G474-B082	SAME_BUNDLE	olaiin|olay	G481-PT032	1	SINGLETON	CATALOGUE[FORTSETZEN · WERT @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[FORTSETZEN · {N1} @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	CATALOGUE[OL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[OL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS030	1	SINGLETON	CATALOGUE[ORDER · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[ORDER · NAME @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Eintrag »{N1}« — Fortsetzungsvermerk, Wertangabe. Reihenfolge konkret: OL — weiter mit Wert. Dann: Namenseintrag »{N2}« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N2}«.	Eintrag »olaiin« — Fortsetzungsvermerk, Wertangabe. Reihenfolge konkret: OL — weiter mit Wert. Dann: Sternstelle »ay« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Sternstelle »ay«.	YES
G481-P034	G475-R078	f72r	CELESTIAL	3	P1008-E0423	P1008-E0424	G474-B082	G474-B083	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	olay|olfsheoral	G481-PT033	1	SINGLETON	CATALOGUE[FORTSETZEN · {N1} @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[FORTSETZEN · {N2} · HALTEN · {N3} · ZIELORT @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	CATALOGUE[OL @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL+SH+AL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS031	1	SINGLETON	CATALOGUE[ORDER · NAME @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[ORDER · NAME · ACTION · NAME · REL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Namenseintrag »{N1}« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N1}«. Dann: Weiter halte den Namenseintrag »{N2}« und den Namenseintrag »{N3}« zum Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N2}«.	Sternstelle »ay« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Sternstelle »ay«. Dann: Weiter halte den Sternstelleneintrag »f« und den Sternstelleneintrag »eor« zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »f«.	YES
G481-P035	G475-R082	f72r	CELESTIAL	1	P1008-E0455	P1008-E0456	G474-B087	G474-B087	SAME_BUNDLE	ytoar|shar	G481-PT034	1	SINGLETON	CATALOGUE[{N1} · AUSGANG @NONE] <SAME_BUNDLE> CATALOGUE[HALTEN · AUSGANG @NONE]	CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[SH+AR @NONE]	G481-PS032	1	SINGLETON	CATALOGUE[NAME · REL @NONE] <SAME_BUNDLE> CATALOGUE[ACTION · REL @NONE]	Namenseintrag »{N1}« — Ausgangszuordnung. Dann: Eintrag »{N2}« — Haltevermerk, Ausgangszuordnung.	Sternstelle »yto« — Ausgangszuordnung. Dann: Eintrag »shar« — Haltevermerk, Ausgangszuordnung.	YES
G481-P036	G475-R084	f72r	CELESTIAL	1	P1008-E0458	P1008-E0459	G474-B089	G474-B090	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	aral|oletal	G481-PT035	1	SINGLETON	COORDINATE[AUSGANG · ZIELORT @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[FORTSETZEN · {N1} · ZIELORT @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	COORDINATE[AR+AL @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[OL+AL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS033	1	SINGLETON	COORDINATE[REL · REL @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[ORDER · NAME · REL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Adressspur: Ausgang → Zielort. Dann: Adressspur: weiter → Namenseintrag »{N1}« → Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N1}«.	Adressspur: Ausgangsposition → Zielposition. Dann: Adressspur: weiter → Sternstelle »et« → Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »et«.	YES
G481-P037	G475-R085	f77r	BIOLOGICAL	1	P1003-E0081	P1003-E0082	G474-B091	G474-B092	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	darchdar|olkchs	G481-PT036	1	SINGLETON	CATALOGUE[{N1} · AUSGANG · {N2} · AUSGANG @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[FORTSETZEN · {N3} @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	CATALOGUE[AR+AR @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[OL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS034	1	SINGLETON	CATALOGUE[NAME · REL · NAME · REL @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[ORDER · NAME @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Namenseintrag »{N1}« / Namenseintrag »{N2}« — Ausgangszuordnung, Ausgangszuordnung. Dann: Namenseintrag »{N3}« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N3}«.	Badstation »d« / Badstation »chd« — Ausgangszuordnung, Ausgangszuordnung. Dann: Badstation »kchs« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Badstation »kchs«.	YES
G481-P038	G475-R093	f77r	BIOLOGICAL	1	P1003-E0411	P1003-E0412	G474-B100	G474-B100	SAME_BUNDLE	otolaiin|o	G481-PT037	1	SINGLETON	COORDINATE[DANACH · FORTSETZEN · WERT @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> COORDINATE[AUSFÜHRUNG @NONE]	COORDINATE[OT+OL+AIIN @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> COORDINATE[O @NONE]	G481-PS035	1	SINGLETON	COORDINATE[ORDER · ORDER · ARG @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> COORDINATE[MOD @NONE]	Adressspur: danach → weiter → Wert. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in Wert weiterführen. Dann: Adressspur: Ausführungspunkt.	Adressspur: danach → weiter → Stationswert. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in Wert weiterführen. Dann: Adressspur: Ausführungspunkt.	YES
G481-P039	G475-R097	f88v	PHARMA	1	P1003-E0416	P1003-E0417	G474-B104	G474-B104	SAME_BUNDLE	otar|arody	G481-PT038	1	SINGLETON	CATALOGUE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[AUSGANG · {N1} @NONE]	CATALOGUE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[AR @NONE]	G481-PS036	1	SINGLETON	CATALOGUE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[REL · NAME @NONE]	Eintrag »{N1}« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Ausgang. Dann: Namenseintrag »{N2}« — Ausgangszuordnung.	Eintrag »otar« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Ausgang. Dann: Droge »ody« — Ausgangszuordnung.	YES
G481-P040	G475-R107	f89r	PHARMA	1	P1008-E1038	P1008-E1039	G474-B114	G474-B115	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	okchshy|qkol	G481-PT039	1	SINGLETON	INSTRUCTION[SETZEN · NEHMEN · POSTEN @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[{N1} · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	INSTRUCTION[OK+CH+Y @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	G481-PS037	1	SINGLETON	INSTRUCTION[ACTION · ACTION · ARG @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[NAME · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	Setze den Posten als Ansatz an und nimm den Posten. Dann: Weiter beziehe den Namenseintrag »{N1}«. Reihenfolge konkret: OL — Namenseintrag »{N1}« weiterführen.	Setze den Drogenposten als Ansatz an und nimm den Drogenposten. Dann: Weiter beziehe den Drogeneintrag »qk«. Reihenfolge konkret: OL — Droge »qk« weiterführen.	YES
G481-P041	G475-R107	f89r	PHARMA	2	P1008-E1039	P1008-E1040	G474-B115	G474-B116	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	qkol|oldam	G481-PT040	1	SINGLETON	INSTRUCTION[{N1} · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[FORTSETZEN · {N2} · HIER @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	INSTRUCTION[OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL+AM_ADDR @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS038	1	SINGLETON	INSTRUCTION[NAME · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[ORDER · NAME · MOD @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Weiter beziehe den Namenseintrag »{N1}«. Reihenfolge konkret: OL — Namenseintrag »{N1}« weiterführen. Dann: Weiter beziehe den Namenseintrag »{N2}« an der bezeichneten Stelle. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N2}«.	Weiter beziehe den Drogeneintrag »qk«. Reihenfolge konkret: OL — Droge »qk« weiterführen. Dann: Weiter beziehe den Drogeneintrag »d« an der bezeichneten Stelle. Reihenfolge konkret: OL — weiter mit Droge »d«.	YES
G481-P042	G475-R110	f89r	PHARMA	1	P1008-E1090	P1008-E1091	G474-B119	G474-B120	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	ykyd|chol	G481-PT041	1	SINGLETON	INSTRUCTION[POSTEN · GEBEN · POSTEN · HIER @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[FORTSETZEN @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	INSTRUCTION[Y+K+Y+D_ADDR @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS039	1	SINGLETON	INSTRUCTION[ARG · ACTION · ARG · MOD @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[ORDER @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Gib den Posten [außen] und den Posten [innen] zu an der bezeichneten Stelle. Dann: Weiter beziehe den Eintrag. Reihenfolge konkret: OL — im aktiven Eintrag weiter.	Gib den Drogenposten [außen] und den Drogenposten [innen] zu an der bezeichneten Stelle. Dann: Weiter beziehe den Eintrag. Reihenfolge konkret: OL — im aktiven Eintrag weiter.	YES
G481-P043	G475-R110	f89r	PHARMA	2	P1008-E1091	P1008-E1092	G474-B120	G474-B120	SAME_BUNDLE	chol|ches	G481-PT042	1	SINGLETON	INSTRUCTION[FORTSETZEN @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[NEHMEN · GRAD I · WÄHLEN @NONE]	INSTRUCTION[OL @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[CH+E+S @NONE]	G481-PS040	1	SINGLETON	INSTRUCTION[ORDER @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[ACTION · MOD · ACTION @NONE]	Weiter beziehe den Eintrag. Reihenfolge konkret: OL — im aktiven Eintrag weiter. Dann: Nimm den Eintrag und wähle den Eintrag, auf Grad I.	Weiter beziehe den Eintrag. Reihenfolge konkret: OL — im aktiven Eintrag weiter. Dann: Nimm den Eintrag und wähle den Eintrag, auf Grad I.	YES
G481-P044	G475-R112	f89r	PHARMA	1	P1008-E1094	P1008-E1095	G474-B122	G474-B122	SAME_BUNDLE	okaiin|dan	G481-PT043	1	SINGLETON	INSTRUCTION[SETZEN · WERT @NONE] <SAME_BUNDLE> INSTRUCTION[ANTEIL @NONE]	INSTRUCTION[OK+AIIN @NONE] <SAME_BUNDLE> INSTRUCTION[AIN @NONE]	G481-PS041	1	SINGLETON	INSTRUCTION[ACTION · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[ARG @NONE]	Setze den Wert als Ansatz an. Dann: Im selben Gang setze den Anteil als Ansatz an.	Setze den Mengenwert als Ansatz an. Dann: Im selben Gang setze den Drogenanteil als Ansatz an.	YES
G481-P045	G475-R117	f89r	PHARMA	1	P1008-E1179	P1008-E1180	G474-B127	G474-B128	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	odory|doly	G481-PT044	1	SINGLETON	CATALOGUE[{N1} · EINHEIT · POSTEN @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[{N2} · FORTSETZEN · POSTEN @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	CATALOGUE[OR+Y @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[OL+Y @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	G481-PS042	1	SINGLETON	CATALOGUE[NAME · ARG · ARG @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> CATALOGUE[NAME · ORDER · ARG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	Namenseintrag »{N1}« — Einheitsangabe, Postenangabe. Dann: Namenseintrag »{N2}« — Fortsetzungsvermerk, Postenangabe. Reihenfolge konkret: OL — Namenseintrag »{N2}« in Posten weiterführen.	Droge »od« — Einheitsangabe, Postenangabe. Dann: Droge »d« — Fortsetzungsvermerk, Postenangabe. Reihenfolge konkret: OL — Droge »d« in Posten weiterführen.	YES
G481-P046	G475-R121	f89r	PHARMA	1	P1008-E1228	P1008-E1229	G474-B132	G474-B132	SAME_BUNDLE	otold|y	G481-PT045	1	SINGLETON	CATALOGUE[DANACH · FORTSETZEN · {N1} @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> CATALOGUE[POSTEN @NONE]	CATALOGUE[OT+OL @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> CATALOGUE[Y @NONE]	G481-PS043	1	SINGLETON	CATALOGUE[ORDER · ORDER · NAME @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT] <SAME_BUNDLE> CATALOGUE[ARG @NONE]	Namenseintrag »{N1}« — Folgevermerk, Fortsetzungsvermerk. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in Namenseintrag »{N1}« weiterführen. Dann: Eintrag »{N2}« — Postenangabe.	Droge »d« — Folgevermerk, Fortsetzungsvermerk. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in Droge »d« weiterführen. Dann: Eintrag »y« — Postenangabe.	YES
G481-P047	G475-R122	f89r	PHARMA	1	P1008-E1230	P1008-E1231	G474-B133	G474-B133	SAME_BUNDLE	okol|shol	G481-PT046	1	SINGLETON	INSTRUCTION[SETZEN · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[HALTEN · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	INSTRUCTION[OK+OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[SH+OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	G481-PS044	1	SINGLETON	INSTRUCTION[ACTION · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[ACTION · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	Weiter setze den Eintrag als Ansatz an. Reihenfolge konkret: OL — Setzen weiterführen. Dann: Weiter halte den Eintrag. Reihenfolge konkret: OL — Halten weiterführen.	Weiter setze den Eintrag als Ansatz an. Reihenfolge konkret: OL — Setzen weiterführen. Dann: Weiter halte den Eintrag. Reihenfolge konkret: OL — Halten weiterführen.	YES
G481-P048	G475-R122	f89r	PHARMA	2	P1008-E1231	P1008-E1232	G474-B133	G474-B133	SAME_BUNDLE	shol|dy	G481-PT047	1	SINGLETON	INSTRUCTION[HALTEN · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[POSTEN @NONE]	INSTRUCTION[SH+OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[Y @NONE]	G481-PS045	1	SINGLETON	INSTRUCTION[ACTION · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[ARG @NONE]	Weiter halte den Eintrag. Reihenfolge konkret: OL — Halten weiterführen. Dann: Im selben Gang halte den Posten.	Weiter halte den Eintrag. Reihenfolge konkret: OL — Halten weiterführen. Dann: Im selben Gang halte den Drogenposten.	YES
