root	old_value_de	pass1018_value_de	register	occurrence_count	representative_page	representative_statement_id	representative_surface	representative_recipe	visible_owner_or_namespace_de	pass1018_local_expansion_de	representative_statement_translation_de	decision
AIN	PORTION	ANTEIL	CELESTIAL	8	f67r2	P1009-S031	ain	AIN	zwei getrennte Himmelsräder und Tabelle	Teilwert oder Sektoranteil	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: eine Portion einsetzen, fortsetzen und wählen; zum bezeichneten Ort; in Grad II; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; schließen.	REVISE_PORTABLE_CORE
AIN	PORTION	ANTEIL	PHARMA	19	f88v	P1009-S604	dain	AIN	zweite Gefaess-/Zutatengruppe	Zutatenanteil	Bei der Posten- oder Gefäßgruppe „zweite Gefaess-/Zutatengruppe“: am Ansatz; eine Portion geben, nehmen, markieren und halten; im bezeichneten Lauf und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; schließen.	REVISE_PORTABLE_CORE
R	MARKIEREN	MARKIEREN	HERBAL	10	f18r	P1009-S022	dary	DA+R+Y	große abgebildete Blütenpflanze	MARKIEREN mit dem sichtbaren Besitzer	Beim Bildbesitzer „große abgebildete Blütenpflanze“: danach; am Ansatz; den Posten nach Maß setzen, markieren, fortsetzen, nehmen, einstellen, halten, wählen und geben; vom bezeichneten Ausgang, im bezeichneten Lauf und zum bezeichneten Ort; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
R	MARKIEREN	MARKIEREN	BIOLOGICAL	59	f75r	P1009-S076	r	R	großes Bad-/Stationsblatt mit dreieckiger Insel	MARKIEREN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: eine Portion halten, geben, nehmen, markieren und fortsetzen; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
R	MARKIEREN	MARKIEREN	CELESTIAL	15	f68r1	P1009-S042	cheor	CH+E+O+R	mehrteilige Sternstellentafel	MARKIEREN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „mehrteilige Sternstellentafel“: danach; am Ansatz; den Eintrag halten, setzen, nehmen, einstellen, einsetzen, fortsetzen, markieren und wählen; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; schließen.	KEEP_PORTABLE_CORE
R	MARKIEREN	MARKIEREN	PHARMA	19	f88r	P1009-S592	cheor	CH+E+O+R	sechzehn Drogenposten und drei Gefäßansätze	MARKIEREN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; den Posten nach Maß wählen, nehmen, setzen, fortsetzen, geben, halten und markieren; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
P	EINSETZEN	EINSETZEN	HERBAL	25	f13r	P1009-S005	opchy	O+P+Y	große Wurzelkrone mit Blatt und Blütenstand	EINSETZEN mit dem sichtbaren Besitzer	Von Wurzelkrone, Blatt und Blütenstand die bezeichneten Teile wählen, nach Maß halten, zum bezeichneten Ort geben und schließen.	KEEP_PORTABLE_CORE
P	EINSETZEN	EINSETZEN	BIOLOGICAL	67	f75r	P1009-S078	pchedy	P+CHD+DY	großes Bad-/Stationsblatt mit dreieckiger Insel	EINSETZEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: den Posten setzen, einsetzen und umsetzen; schließen.	KEEP_PORTABLE_CORE
P	EINSETZEN	EINSETZEN	CELESTIAL	16	f71v	P1009-S045	parar	P+AR+AR	erste lokale Figuren-/Sternringgruppe	EINSETZEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „erste lokale Figuren-/Sternringgruppe“: danach; den Eintrag nach Maß halten, einsetzen, einstellen, geben und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
P	EINSETZEN	EINSETZEN	PHARMA	15	f88r	P1009-S591	cphol	CH+P+OL	sechzehn Drogenposten und drei Gefäßansätze	EINSETZEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; den Posten geben, nehmen, einsetzen und fortsetzen; über die bezeichnete Verbindung; in Grad I; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
AIR	LAUF	LAUF	HERBAL	10	f10r	P1009-S002	dair	D_ADDR+AIR	zweiknolliges blauköpfiges Heilkraut	LAUF mit dem sichtbaren Besitzer	Danach weitere sichtbare Teile wählen, portionsweise nach Maß in den Ansatz setzen, halten und fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
AIR	LAUF	LAUF	BIOLOGICAL	10	f75r	P1009-S089	qokair	OK+AIR	großes Bad-/Stationsblatt mit dreieckiger Insel	LAUF mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: den Posten setzen und fortsetzen; im bezeichneten Lauf; in Grad II; schließen.	KEEP_PORTABLE_CORE
AIR	LAUF	LAUF	CELESTIAL	6	f67r2	P1009-S036	air	AIR	zwei getrennte Himmelsräder und Tabelle	LAUF mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: den Eintrag nach Maß wählen und setzen; vom bezeichneten Ausgang, über die bezeichnete Verbindung, im bezeichneten Lauf und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
AIR	LAUF	LAUF	PHARMA	12	f88v	P1009-S606	dair	D_ADDR+AIR	zweite Gefaess-/Zutatengruppe	LAUF mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „zweite Gefaess-/Zutatengruppe“: am Ansatz; eine Portion nach Maß halten, setzen, geben, einstellen, wählen und nehmen; im bezeichneten Lauf und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
