surface	literal_gloss_de	positions	loci	pages	action_licensed_positions	specificity_open_positions	strict_card_debt_positions	strict_debt_categories	maximum_severity	strict_severity	anchor_drift_positions	priority_score	primary_classes	identity_signals	repair_routes	sample_keys	priority_rank
ar	Drogenfraktion I	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.31#4|f116r.12#2	102
chcphey	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#5|f77r.38#5	103
chty	trocken-kalt am Gradanfang	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:2	NONE	STATE_HOST_BINDING	f10r.2#4|f114r.24#9	104
kchdy	heiß und trocken am Anfang des Grades, abgeschlossen	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:2	NONE	STATE_HOST_BINDING	f86v3.19#6|f95v1.7#9	105
keey	heiß am Ende des Grades	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:2	NONE	STATE_HOST_BINDING	f115r.23#2|f56r.6#4	106
ldy	Holzdroge, fertig aufbereitet	2	2	2	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_WOOD	NONE	f115r.23#13|f80v.35#12	107
lol	Holzstoff	2	2	2	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_WOOD	NONE	f115r.23#10|f86v6.5#2	108
odar	erste Ansatzfraktion abmessen	2	2	2	2	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:2	NONE	NONE	f105r.2#11|f105v.14#8	109
okar	heiße Drogenfraktion I im Ansatz	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.26#5|f86v6.31#6	110
okeey	heißer Ansatz am Ende des Grades	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f112r.36#5|f116r.12#7	111
okol	heißer Ansatzstoff	2	2	2	0	2	0	NONE	CRITICAL	NONE	0	0	D3_GENERIC_CARRIER:2	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f23r.6#7|f88r.19#7	112
oky	heißer Ansatz am Anfang des Grades	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#8|f86v5.4#2	113
olpchedy	fertiggestelltes Trockenpulver aus Holzdrogenansatz	2	2	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_POWDER|IDENTITY_WOOD	NONE	f105v.1#5|f105v.14#4	114
otain	kalt im Zubereitungsrahmen, Grad II	2	2	2	0	2	0	NONE	CRITICAL	NONE	0	0	D2_STRUCTURAL_OR_REGISTER_META:2	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f116r.12#8|f86v3.19#2	115
otair	zweite kalte Drogenfraktion im Ansatz	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f104v.2#9|f107r.40#8	116
otam	ein Maß kalten Ansatzes	2	1	1	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f86v5.2#11|f86v5.2#12	117
otedy	kalter Ansatz in der Mitte des Grades, abgeschlossen	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#8|f115r.1#4	118
pchedaiin	drei Dosen bis Mittelstufe getrocknetes Pulver	2	2	2	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_POWDER	NONE	f105v.14#1|f86v3.18#1	119
qotar	kalte Drogenfraktion I	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f114v.36#8|f86v6.5#12	120
qoty	kalt am Anfang des Grades	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:2	NONE	STATE_HOST_BINDING	f80v.27#10|f86v5.4#4	121
shecphy	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#6|f76v.10#8	122
shey	feucht in der Mitte des Grades	2	2	1	0	2	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:2	NONE	STATE_HOST_BINDING	f80v.27#4|f80v.35#11	123
tar	kalte Drogenfraktion I	2	2	2	0	2	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.5#1|f95v1.7#6	124
ykaiin	erhitze hiervon auf Stufe III	2	2	2	2	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:2	NONE	NONE	f105v.1#4|f86v6.25#5	125
adeeody	gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f26r.2#3	126
aiijy	in drei Bündel abfüllen und schließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f105r.31#5	127
aiindy	drei Teile, fertig abgeteilt	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v3.19#10	128
aiir	Drogenfraktion III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#8	129
airoy	zweite Drogenfraktion als Grundansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.26#9	130
alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f104v.2#8	131
araram	ein Maß der ersten Drogenfraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.25#10	132
arl	erste Holzdrogenfraktion	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f113v.12#3	133
aror	eine Portion der ersten Drogenfraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#10	134
chair	zweite Trockenfraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#6	135
char	Trockenfraktion I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#3	136
chckhdy	Arzneikompositum: trocken, Gradanfang, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105v.14#2	137
chckhy	Arzneikompositum: trocken, Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v5.24#6	138
chcthey	Krautdroge bis zur mittleren Stufe trocknen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_LEAF_HERB	NONE	f30r.9#5	139
chdar	abgemessene Trockenfraktion I, Anfangsstufe	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.4#9	140
chdy	trocken am Anfang des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f95v1.7#8	141
chear	trockene Fraktion I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.5#6	142
checkhy	trockenes Arzneikompositum am Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f112r.36#3	143
chedaiin	abgemessene Trockendroge, Dosis III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.13#7	144
cheky	bis zur mittleren Trockenstufe, dann leicht erhitzen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f30r.9#7	145
cheockhy	trocken angesetztes Arzneikompositum am Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f107r.2#8	146
cheop	bis zur Mittelstufe getrocknet	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.1#5	147
chetain	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f80r.17#7	148
chockhy	Arzneikompositum im Trockenansatz am Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f104v.2#3	149
chodaiin	Trockenansatz, Dosis III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.26#4	150
chody	Trockenansatz, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f115r.23#4	151
chokol	heißer Trockenabsud	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f88r.19#2	152
cholkain	Trockengut, heiß auf Stufe II	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.13#11	153
chopo	Pulverzubereitung aus Trockenansatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f114r.24#10	154
chos	eine Charge Trockenansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#7	155
chotar	erste Fraktion des abgekühlten Trockenansatzes	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f113v.3#3	156
chtchy	Droge kalt trocknen und leicht nachtrocknen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f105v.14#10	157
ckhy	Arzneikompositum am Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f8r.15#10	158
cphdor	eine Portion Arzneikompositum abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f76v.10#1	159
cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.31#6	160
cphochy	leicht angetrocknetes Arzneikompositum im Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#6	161
daiidal	drei abgemessene Mengen Rohdroge I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f23r.6#9	162
daiiiry	abgemessene vierte Trockenfraktion, Anfangsstufe	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f8r.15#9	163
dairody	fertiggestellte abgemessene Ansatzfraktion II	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105v.1#7	164
dalam	ein Maß Rohdroge I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.4#13	165
dam	Dosis I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f23r.6#10	166
dchal	eine Dosis angetrocknete Rohdroge I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f24v.15#3	167
dchedy	abgemessene Trockendroge, fertig	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.18#2	168
dcheey	eine Dosis vollständig trocknen und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f7r.2#1	169
dshedy	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f76v.10#4	170
dshey	eine Dosis bis zur Mittelstufe angefeuchtete Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f95v1.7#1	171
etyd	bis Mittelstufe gekühlter Ansatz, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#10	172
fdar	erste Blütenfraktion abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_FLOWER_FRUIT	NONE	f115r.1#1	173
karchees	vollständig getrocknete Kräutercharge der ersten heißen Fraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.4#11	174
kard	erste erhitzte Drogenfraktion, abgezogen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105v.14#9	175
kc	Charge unter Wärme getrockneter Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f8r.15#5	176
kchey	heiß und trocken in der Mitte des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f7r.2#7	177
kchod	heiß-trockener Ansatz, abgezogen und abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f24v.15#2	178
kchody	fertiggestellter heiß-trockener Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v5.24#5	179
keeaiin	vollständig erhitzt, Stufe III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f30r.9#4	180
keeey	stark erhitzt, Endstufe III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.23#9	181
keeod	vollständig erhitzter und abgezogener Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f27r.9#2	182
kodeey	vollständig erhitzte und abgeschlossene Zubereitungsdosis	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.31#1	183
kor	heiße Drogenportion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f23r.6#3	184
l	Holzdroge in der gebundenen Anschlussform	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f86v6.4#10	185
lchl	getrocknetes Drogenholz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f105r.31#2	186
ldals	eine Charge Holzrohdroge I abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_WOOD	NONE	f23r.6#12	187
lkar	heiße Holzfraktion I	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f105r.31#9	188
lkedy	erhitzte Holzdroge, Mittelstufe, fertig	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f105r.31#8	189
lldar	erste Holzdrogenfraktion abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_WOOD	NONE	f83v.12#4	190
lolkaiin	Holzstoff, heiß auf Stufe III	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f107r.40#1	191
lor	Holzportion	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f107r.2#13	192
losair	zweite Fraktion des Drogenholzpostens	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f86v5.2#1	193
lshedy	eingeweichtes Drogenholz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f77v.7#7	194
lsheetal	Rohholzdroge I, vollständig eingeweicht und kaltgestellt	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f76v.10#7	195
ltaiin	Holzdroge, kalt auf Stufe III	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f77r.38#7	196
ltain	Holzdroge, kalt auf Stufe II	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f75r.3#7	197
ltedy	bis zur Mittelstufe abgekühlte und fertige Holzdroge	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f86v5.4#8	198
oair	zweite Ansatzfraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105v.1#2	199
oar	Drogenfraktion I im Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v5.24#1	200
ochdy	fertiggestellter Trockenansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f24v.15#4	201
ockhdar	erste abgemessene Fraktion des Arzneikompositum-Ansatzes	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f85r2.5#1	202
oechedy	bis zur Mittelstufe getrockneter und fertiggestellter Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f115r.1#9	203
ofchedy	fertig getrockneter Blütenansatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_FLOWER_FRUIT	NONE	f86v6.25#8	204
okchedy	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f112v.10#3	205
okedy	heißer Ansatz in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f77v.7#6	206
okeeeey	Ansatz vollständig bis zur letzten Heizstufe geführt	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.25#7	207
okeeodar	erste abgemessene Fraktion des vollständig erhitzten Ansatzes	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f113v.3#4	208
okees	Charge vollständig erhitzten Ansatzes	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.2#10	209
ol	Pulverstoff	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f115r.1#6	210
olchain	Holzdrogenansatz, trocken auf Stufe II	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f112r.36#4	211
olchey	Holzdrogenansatz, bis Mittelstufe getrocknet	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f113v.12#4	212
oldal	abgemessener Drogenrohstoff I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#2	213
olkaiin	heiße Drogenbasis, Stufe III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.26#6	214
olkaiir	dritte erhitzte Holzdrogenfraktion im Ansatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f114r.26#2	215
olkchey	erhitzter Holzdrogenansatz, bis Mittelstufe getrocknet	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f86v6.31#9	216
olkechy	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_WOOD	NONE	f86v3.19#3	217
olkeedy	Holzdrogenansatz vollständig erhitzt und abgeschlossen	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f86v6.4#6	218
olkeey	Holzdrogenansatz vollständig erhitzt	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f107r.2#9	219
olol	Holzdrogen-Grundansatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f113v.3#6	220
olord	abgezogene Portion Holzdrogenansatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f105v.14#5	221
olshedy	Holzdroge im Ansatz vollständig eingeweicht	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f77v.7#1	222
oltaiin	Holzdrogenansatz, kalt auf Stufe III	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f80v.27#7	223
