voice_slot_ordinal	gdt577_slot_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	slot_occurrence_in_group	slot_atom_position_zero_based	attachment_topology	head_identity	placement	head_nominal_de	repeat_particle_de	rendered_fragment_de	root_expression_de	root_expression_start	root_expression_end	particle_start	particle_end	guard
66	70	GDT575-D049	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2481@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	78	88	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
67	71	GDT575-D049	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2481@3:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	115	125	105	114	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
68	72	GDT575-D050	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2638@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	69	79	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
69	73	GDT575-D050	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2638@3:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	106	116	96	105	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
70	74	GDT575-D052	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	E	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E2755@1:S	PRE_HEAD	ersten Wählen	NONE	beim ersten Wählen: auf Grad I	auf Grad I	66	76	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
71	75	GDT575-D052	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	E	2	2	BRACKETING_SAME_HEAD	ACTION:G407-E2755@1:S	POST_HEAD	ersten Wählen	erneut	beim ersten Wählen: erneut auf Grad I	auf Grad I	105	115	98	104	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
72	76	GDT575-D053	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2783@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	78	88	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
73	77	GDT575-D053	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2783@3:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	115	125	105	114	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
74	78	GDT575-D057	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	D_ADDR	1	0	ACTION_PLUS_SEQUENCE_HEAD	ACTION:G407-E3030@1:SH	PRE_HEAD	Halten	NONE	beim Halten: an der D-Stelle	an der D-Stelle	47	62	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
75	79	GDT575-D057	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	D_ADDR	2	4	ACTION_PLUS_SEQUENCE_HEAD	SEQUENCE:G407-E3030@2:OL	SEQUENCE_CARRY	Fortsetzen	wieder	bei der Fortsetzung: wieder an der D-Stelle	an der D-Stelle	92	107	85	91	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
76	80	GDT575-D058	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3037@0:CH	POST_HEAD	Entnehmen	NONE	beim Entnehmen: auf Grad I	auf Grad I	63	73	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
77	81	GDT575-D058	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3037@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	102	112	92	101	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
78	82	GDT575-D059	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	E	1	2	SAME_HEAD_SAME_SIDE	ACTION:G407-E3038@1:K	POST_HEAD	Zuführen	NONE	beim Zuführen: auf Grad I	auf Grad I	75	85	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
79	83	GDT575-D059	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	E	2	4	SAME_HEAD_SAME_SIDE	ACTION:G407-E3038@1:K	POST_HEAD	Zuführen	erneut	beim Zuführen: erneut auf Grad I	auf Grad I	126	136	119	125	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
80	84	GDT575-D060	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	E	1	2	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3040@1:K	POST_HEAD	Zuführen	NONE	beim Zuführen: auf Grad I	auf Grad I	151	161	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
81	85	GDT575-D060	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3040@3:SH	POST_HEAD	Halten	ebenfalls	beim Halten: ebenfalls auf Grad I	auf Grad I	186	196	176	185	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
82	86	GDT575-D061	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	D_ADDR	1	0	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3041@1:CH	PRE_HEAD	Entnehmen	NONE	beim Entnehmen: an der D-Stelle	an der D-Stelle	64	79	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
83	87	GDT575-D061	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	D_ADDR	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3041@2:S	POST_HEAD	Wählen	wieder	beim Wählen: wieder an der D-Stelle	an der D-Stelle	113	128	106	112	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
84	88	GDT575-D063	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	D_ADDR	1	0	ACTIVE_CONTEXT_HEAD	ACTION:G407-E3277@0:OK	ACTIVE_CONTEXT	Ansetzen	NONE	beim fortgeführten Ansetzen: an der D-Stelle	an der D-Stelle	92	107	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
85	89	GDT575-D063	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	D_ADDR	2	2	ACTIVE_CONTEXT_HEAD	ACTION:G407-E3277@0:OK	ACTIVE_CONTEXT	Ansetzen	wieder	beim fortgeführten Ansetzen: wieder an der D-Stelle	an der D-Stelle	159	174	152	158	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
86	90	GDT575-D064	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	E	1	2	BRACKETING_SAME_HEAD	ACTION:G407-E3377@3:S	PRE_HEAD	Wählen	NONE	beim Wählen: auf Grad I	auf Grad I	80	90	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
87	91	GDT575-D064	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	E	2	4	BRACKETING_SAME_HEAD	ACTION:G407-E3377@3:S	POST_HEAD	Wählen	erneut	beim Wählen: erneut auf Grad I	auf Grad I	112	122	105	111	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
88	92	GDT575-D065	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3528@0:CH	POST_HEAD	ersten Entnehmen	NONE	beim ersten Entnehmen: auf Grad I	auf Grad I	91	101	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
89	93	GDT575-D065	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3528@3:P	POST_HEAD	Einsetzen	ebenfalls	beim Einsetzen: ebenfalls auf Grad I	auf Grad I	129	139	119	128	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
90	94	GDT575-D066	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3533@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	56	66	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
91	95	GDT575-D066	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3533@2:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	93	103	83	92	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
92	98	GDT575-D068	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	D_ADDR	1	0	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3605@1:CH	PRE_HEAD	Entnehmen	NONE	beim Entnehmen: an der D-Stelle	an der D-Stelle	61	76	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
93	96	GDT575-D067	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	E	1	2	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3605@1:CH	POST_HEAD	Entnehmen	NONE	beim Entnehmen: auf Grad I	auf Grad I	94	104	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
94	97	GDT575-D067	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	E	2	5	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3605@4:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	147	157	137	146	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
95	99	GDT575-D068	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	D_ADDR	2	6	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3605@4:K	POST_HEAD	Zuführen	wieder	beim Zuführen: wieder an der D-Stelle	an der D-Stelle	181	196	174	180	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
96	100	GDT575-D069	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3664@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	71	81	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
97	101	GDT575-D069	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3664@3:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	110	120	100	109	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
98	102	GDT575-D071	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	E	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E3781@1:K	PRE_HEAD	Zuführen	NONE	beim Zuführen: auf Grad I	auf Grad I	44	54	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
99	103	GDT575-D071	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	E	2	2	BRACKETING_SAME_HEAD	ACTION:G407-E3781@1:K	POST_HEAD	Zuführen	erneut	beim Zuführen: erneut auf Grad I	auf Grad I	78	88	71	77	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
100	104	GDT575-D073	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	O	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E3870@2:SH	PRE_HEAD	Halten	NONE	beim Halten: als Ausführung	als Ausführung	37	51	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
101	105	GDT575-D073	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	O	2	4	BRACKETING_SAME_HEAD	ACTION:G407-E3870@2:SH	POST_HEAD	Halten	erneut	beim Halten: erneut als Ausführung	als Ausführung	111	125	104	110	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
102	106	GDT575-D074	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3919@0:CH	POST_HEAD	Nehmen	NONE	beim Nehmen: auf Grad I	auf Grad I	55	65	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
103	107	GDT575-D074	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3919@3:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	110	120	100	109	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
104	108	GDT575-D075	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	E	1	2	BRACKETING_SAME_HEAD	ACTION:G407-E3928@3:K	PRE_HEAD	Zugeben	NONE	beim Zugeben: auf Grad I	auf Grad I	75	85	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
105	109	GDT575-D075	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	E	2	4	BRACKETING_SAME_HEAD	ACTION:G407-E3928@3:K	POST_HEAD	Zugeben	erneut	beim Zugeben: erneut auf Grad I	auf Grad I	108	118	101	107	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
106	110	GDT575-D076	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	E	1	1	BRACKETING_SAME_HEAD	ACTION:G407-E3950@2:K	PRE_HEAD	Zugeben	NONE	beim Zugeben: auf Grad I	auf Grad I	69	79	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
107	111	GDT575-D076	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	E	2	3	BRACKETING_SAME_HEAD	ACTION:G407-E3950@2:K	POST_HEAD	Zugeben	erneut	beim Zugeben: erneut auf Grad I	auf Grad I	102	112	95	101	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
108	112	GDT575-D077	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3962@0:OK	POST_HEAD	Ansetzen	NONE	beim Ansetzen: auf Grad I	auf Grad I	72	82	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
109	113	GDT575-D077	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E3962@3:CH	POST_HEAD	Nehmen	ebenfalls	beim Nehmen: ebenfalls auf Grad I	auf Grad I	126	136	116	125	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
110	114	GDT575-D078	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	D_ADDR	1	0	ACTIVE_CONTEXT_HEAD	ACTION:G407-E4022@0:K	ACTIVE_CONTEXT	Zugeben	NONE	beim fortgeführten Zugeben: an der D-Stelle	an der D-Stelle	71	86	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
111	115	GDT575-D078	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	D_ADDR	2	3	ACTIVE_CONTEXT_HEAD	ACTION:G407-E4022@0:K	ACTIVE_CONTEXT	Zugeben	wieder	beim fortgeführten Zugeben: wieder an der D-Stelle	an der D-Stelle	165	180	158	164	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
112	116	GDT575-D083	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	O	1	1	ACTIVE_CONTEXT_HEAD	ACTION:G407-E4351@0:CH	ACTIVE_CONTEXT	Nehmen	NONE	beim fortgeführten Nehmen: als Ausführung	als Ausführung	91	105	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
113	117	GDT575-D083	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	O	2	4	ACTIVE_CONTEXT_HEAD	ACTION:G407-E4351@0:CH	ACTIVE_CONTEXT	Nehmen	erneut	beim fortgeführten Nehmen: erneut als Ausführung	als Ausführung	177	191	170	176	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
114	118	GDT575-D086	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	O	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E4380@1:CH	PRE_HEAD	Nehmen	NONE	beim Nehmen: als Ausführung	als Ausführung	40	54	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
115	119	GDT575-D086	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	O	2	3	BRACKETING_SAME_HEAD	ACTION:G407-E4380@1:CH	POST_HEAD	Nehmen	erneut	beim Nehmen: erneut als Ausführung	als Ausführung	88	102	81	87	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
116	120	GDT575-D088	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E4493@0:SH	POST_HEAD	ersten Halten	NONE	beim ersten Halten: auf Grad I	auf Grad I	72	82	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
117	121	GDT575-D088	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E4493@3:SH	POST_HEAD	zweiten Halten	ebenfalls	beim zweiten Halten: ebenfalls auf Grad I	auf Grad I	115	125	105	114	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
118	122	GDT575-D091	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	E	1	2	BRACKETING_SAME_HEAD	ACTION:G515-E0239@3:K	PRE_HEAD	Zugeben	NONE	beim Zugeben: auf Grad I	auf Grad I	81	91	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
119	123	GDT575-D091	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	E	2	4	BRACKETING_SAME_HEAD	ACTION:G515-E0239@3:K	POST_HEAD	Zugeben	erneut	beim Zugeben: erneut auf Grad I	auf Grad I	114	124	107	113	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
120	124	GDT575-D096	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	E	1	1	BRACKETING_SAME_HEAD	ACTION:G515-E0525@3:CH	PRE_HEAD	Entnehmen	NONE	beim Entnehmen: auf Grad I	auf Grad I	55	65	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
121	125	GDT575-D096	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	E	2	4	BRACKETING_SAME_HEAD	ACTION:G515-E0525@3:CH	POST_HEAD	Entnehmen	erneut	beim Entnehmen: erneut auf Grad I	auf Grad I	106	116	99	105	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
