fragment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	repeat_particle_de	head_nominal_de	binding_status	attachment_topology	gdt575_duplicate_group_id	guard
69	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	46	69	59	69	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D036	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
70	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	2	3	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	71	108	98	108	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D036	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
71	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	1	1	E	auf Grad I	beim Aufnehmen: auf Grad I	49	75	65	75	NONE	Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D037	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
72	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	2	3	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	77	114	104	114	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D037	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
73	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	1	1	E	auf Grad I	beim Halten: auf Grad I	15	38	28	38	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D042	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
74	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	2	2	D_ADDR	an der D-Stelle	an der D-Stelle	40	55	40	55	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
75	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	3	4	E	auf Grad I	beim Halten: erneut auf Grad I	57	87	77	87	erneut	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D042	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
76	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	56	79	69	79	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D043	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
77	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	2	4	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	81	116	106	116	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D043	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
78	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	1	0	D_ADDR	an der D-Stelle	beim Entnehmen: an der D-Stelle	28	59	44	59	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D044	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
79	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	2	2	EE	auf Grad II	auf Grad II	61	72	61	72	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
80	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	3	3	D_ADDR	an der D-Stelle	beim Entnehmen: wieder an der D-Stelle	74	112	97	112	wieder	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D044	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
81	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	1	1	E	auf Grad I	beim ersten Entnehmen: auf Grad I	52	85	75	85	NONE	ersten Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D045	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
82	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	2	4	E	auf Grad I	beim zweiten Entnehmen: ebenfalls auf Grad I	87	131	121	131	ebenfalls	zweiten Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D045	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
83	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	1	1	E	auf Grad I	beim ersten Entnehmen: auf Grad I	58	91	81	91	NONE	ersten Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D046	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
84	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	2	4	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	93	128	118	128	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D046	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
85	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	1	1	E	auf Grad I	beim Entnehmen: auf Grad I	47	73	63	73	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D048	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
86	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	2	3	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	75	112	102	112	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D048	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
87	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	1	1	E	auf Grad I	beim Halten: auf Grad I	65	88	78	88	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D049	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
88	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	2	4	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	90	125	115	125	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D049	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
89	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	56	79	69	79	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D050	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
90	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	2	4	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	81	116	106	116	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D050	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
91	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	1	0	E	auf Grad I	beim ersten Wählen: auf Grad I	46	76	66	76	NONE	ersten Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D052	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
92	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	2	2	E	auf Grad I	beim ersten Wählen: erneut auf Grad I	78	115	105	115	erneut	ersten Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D052	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
93	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	1	1	E	auf Grad I	beim Halten: auf Grad I	65	88	78	88	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D053	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
94	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	2	4	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	90	125	115	125	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D053	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
95	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	1	0	D_ADDR	an der D-Stelle	beim Halten: an der D-Stelle	34	62	47	62	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTION_PLUS_SEQUENCE_HEAD	GDT575-D057	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
96	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	2	4	D_ADDR	an der D-Stelle	bei der Fortsetzung: wieder an der D-Stelle	64	107	92	107	wieder	Fortsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTION_PLUS_SEQUENCE_HEAD	GDT575-D057	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
97	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	1	1	E	auf Grad I	beim Entnehmen: auf Grad I	47	73	63	73	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D058	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
98	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	2	3	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	75	112	102	112	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D058	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
99	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	3	4	D_ADDR	an der D-Stelle	an der D-Stelle	114	129	114	129	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
100	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	1	0	L	über die sichtbare Verbindung	über die sichtbare Verbindung	29	58	29	58	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
101	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	2	2	E	auf Grad I	beim Zuführen: auf Grad I	60	85	75	85	NONE	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D059	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
102	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	3	3	D_ADDR	an der D-Stelle	an der D-Stelle	87	102	87	102	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
103	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	4	4	E	auf Grad I	beim Zuführen: erneut auf Grad I	104	136	126	136	erneut	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D059	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
104	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	1	2	E	auf Grad I	beim Zuführen: auf Grad I	136	161	151	161	NONE	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D060	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
105	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	2	4	E	auf Grad I	beim Halten: ebenfalls auf Grad I	163	196	186	196	ebenfalls	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D060	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
106	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	1	0	D_ADDR	an der D-Stelle	beim Entnehmen: an der D-Stelle	48	79	64	79	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D061	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
107	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	2	3	E	auf Grad I	auf Grad I	81	91	81	91	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
108	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	3	4	D_ADDR	an der D-Stelle	beim Wählen: wieder an der D-Stelle	93	128	113	128	wieder	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D061	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
109	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	1	0	D_ADDR	an der D-Stelle	beim fortgeführten Ansetzen: an der D-Stelle	63	107	92	107	NONE	Ansetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D063	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
110	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	2	1	EEE	auf Grad III	auf Grad III	109	121	109	121	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
111	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	3	2	D_ADDR	an der D-Stelle	beim fortgeführten Ansetzen: wieder an der D-Stelle	123	174	159	174	wieder	Ansetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D063	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
112	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	1	0	CARRIER_Q	als neuen Einsatz	als neuen Einsatz	32	49	32	49	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
113	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	2	1	O	als Ausführung	als Ausführung	51	65	51	65	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
114	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	3	2	E	auf Grad I	beim Wählen: auf Grad I	67	90	80	90	NONE	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D064	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
115	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	4	4	E	auf Grad I	beim Wählen: erneut auf Grad I	92	122	112	122	erneut	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D064	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
116	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	1	1	E	auf Grad I	beim ersten Entnehmen: auf Grad I	68	101	91	101	NONE	ersten Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D065	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
117	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	2	4	E	auf Grad I	beim Einsetzen: ebenfalls auf Grad I	103	139	129	139	ebenfalls	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D065	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
118	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	43	66	56	66	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D066	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
119	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	2	3	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	68	103	93	103	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D066	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
120	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	3	4	D_ADDR	an der D-Stelle	an der D-Stelle	105	120	105	120	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
121	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	1	0	D_ADDR	an der D-Stelle	beim Entnehmen: an der D-Stelle	45	76	61	76	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D068	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
122	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	2	2	E	auf Grad I	beim Entnehmen: auf Grad I	78	104	94	104	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D067	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
123	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	3	3	O	als Ausführung	als Ausführung	106	120	106	120	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
124	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	4	5	E	auf Grad I	beim Zuführen: ebenfalls auf Grad I	122	157	147	157	ebenfalls	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D067	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
125	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	5	6	D_ADDR	an der D-Stelle	beim Zuführen: wieder an der D-Stelle	159	196	181	196	wieder	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D068	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
126	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	58	81	71	81	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D069	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
127	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	2	4	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	83	120	110	120	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D069	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
128	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	3	5	D_ADDR	an der D-Stelle	an der D-Stelle	122	137	122	137	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
129	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	1	0	E	auf Grad I	beim Zuführen: auf Grad I	29	54	44	54	NONE	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D071	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
130	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	2	2	E	auf Grad I	beim Zuführen: erneut auf Grad I	56	88	78	88	erneut	Zuführen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D071	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
131	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	1	0	O	als Ausführung	beim Halten: als Ausführung	24	51	37	51	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D073	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
132	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	2	1	L	über die Gefäßverbindung	über die Gefäßverbindung	53	77	53	77	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
133	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	3	3	E	auf Grad I	auf Grad I	79	89	79	89	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
134	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	4	4	O	als Ausführung	beim Halten: erneut als Ausführung	91	125	111	125	erneut	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D073	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
135	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	5	5	D_ADDR	an der D-Stelle	an der D-Stelle	127	142	127	142	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
