change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
215	G407-E1004	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	sshey	S+SH+E+Y	1	1	1	Wähle den Positionsposten und halte den Positionsposten; auf Grad I.	Wähle den Positionsposten und halte ihn; auf Grad I.	Wähle den Positionsposten und halte den Positionsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
216	G407-E1006	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	shees	SH+EE+S	1	1	1	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	Halte denselben Positionsposten und wähle ihn; auf Grad II.	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
217	G407-E1010	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	qokeochy	OK+E+O+CH+Y	1	1	1	Setze den Positionsposten und nimm den Positionsposten auf; auf Grad I und als Ausführung.	Setze den Positionsposten und nimm ihn auf; auf Grad I und als Ausführung.	Setze den Positionsposten und nimm den Positionsposten auf; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
218	G407-E1017	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	cheos	CH+E+O+S	1	1	1	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und wähle ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
219	G407-E1019	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	qockhy	CARRIER_Q+O+CH+K+Y	1	1	1	Nimm den Positionsposten auf und ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	Nimm den Positionsposten auf und ordne ihn zu; als neuen Einsatz und als Ausführung.	Nimm den Positionsposten auf und ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
220	G407-E1020	G407-S051	f67r2	CELESTIAL	NONSTATE_CARD	chos	CH+O+S	1	1	1	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; als Ausführung.	Nimm denselben Positionsposten auf und wähle ihn; als Ausführung.	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
221	G407-E1028	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	shokchy	SH+OK+CH+Y	1	2	2	Halte den Positionsposten, setze den Positionsposten und nimm den Positionsposten auf.	Halte den Positionsposten, setze ihn und nimm ihn auf.	Halte den Positionsposten, setze den Positionsposten und nimm den Positionsposten auf.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
222	G407-E1029	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	chteey	CH+T+EE+Y	1	1	1	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II.	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
223	G407-E1031	G407-S052	f68r1	CELESTIAL	STATE_CARD	cphol	CH+P+OL	1	1	1	Weiter: nimm denselben Positionsposten auf und setze denselben Positionsposten ein.	Weiter: nimm denselben Positionsposten auf und setze ihn ein.	Weiter: nimm denselben Positionsposten auf und setze denselben Positionsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
224	G407-E1032	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
225	G407-E1033	G407-S052	f68r1	CELESTIAL	STATE_CARD	opcheeol	O+P+CH+EE+OL	1	1	1	Weiter: setze denselben Positionsposten ein und nimm denselben Positionsposten auf; als Ausführung und auf Grad II.	Weiter: setze denselben Positionsposten ein und nimm ihn auf; als Ausführung und auf Grad II.	Weiter: setze denselben Positionsposten ein und nimm denselben Positionsposten auf; als Ausführung und auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
226	G407-E1035	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	choctheeey	CH+O+CH+T+EEE+Y	1	2	2	Nimm den Positionsposten auf, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung und auf Grad III.	Nimm den Positionsposten auf, nimm ihn auf und stelle ihn ein; als Ausführung und auf Grad III.	Nimm den Positionsposten auf, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung und auf Grad III.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
227	G407-E1036	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	okchoal	OK+CH+O+AL	1	1	1	Setze denselben Positionsposten und nimm denselben Positionsposten auf; zur Zielposition; als Ausführung.	Setze denselben Positionsposten und nimm ihn auf; zur Zielposition; als Ausführung.	Setze denselben Positionsposten und nimm denselben Positionsposten auf; zur Zielposition; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
228	G407-E1037	G407-S052	f68r1	CELESTIAL	NONSTATE_CARD	tochso	T+O+CH+S+O	1	2	2	Stelle denselben Positionsposten ein, nimm denselben Positionsposten auf und wähle denselben Positionsposten; als Ausführung und als Ausführung.	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; als Ausführung und als Ausführung.	Stelle denselben Positionsposten ein, nimm denselben Positionsposten auf und wähle denselben Positionsposten; als Ausführung und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
229	G407-E1041	G407-S053	f68r1	CELESTIAL	NONSTATE_CARD	cheeteey	CH+EE+T+EE+Y	1	1	1	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II und auf Grad II.	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II und auf Grad II.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II und auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
230	G407-E1043	G407-S054	f68r1	CELESTIAL	NONSTATE_CARD	chpor	CH+P+OR	1	1	1	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	Nimm die Positionseinheit auf und setze sie ein.	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
231	G407-E1044	G407-S054	f68r1	CELESTIAL	NONSTATE_CARD	cheokorchey	CH+E+O+K+OR+CH+E+Y	2	4	4	Nimm die Positionseinheit und den Positionsposten auf, ordne die Positionseinheit und den Positionsposten zu und nimm die Positionseinheit und den Positionsposten auf; auf Grad I, als Ausführung und auf Grad I.	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; auf Grad I, als Ausführung und auf Grad I.	Nimm die Positionseinheit und den Positionsposten auf, ordne die Positionseinheit und den Positionsposten zu und nimm die Positionseinheit und den Positionsposten auf; auf Grad I, als Ausführung und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
232	G407-E1052	G407-S054	f68r1	CELESTIAL	NONSTATE_CARD	eckhear	E+CH+K+E+AR	1	1	1	Nimm dieselbe Positionseinheit auf und ordne dieselbe Positionseinheit zu; von der Ausgangsposition; auf Grad I und auf Grad I.	Nimm dieselbe Positionseinheit auf und ordne sie zu; von der Ausgangsposition; auf Grad I und auf Grad I.	Nimm dieselbe Positionseinheit auf und ordne dieselbe Positionseinheit zu; von der Ausgangsposition; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
233	G407-E1058	G407-S054	f68r1	CELESTIAL	STATE_CARD	chkchykoly	CH+K+CH+Y+K+OL+Y	1	3	3	Weiter: nimm die beiden Positionsposten auf und ordne die beiden Positionsposten zu und nimm die beiden Positionsposten auf und ordne die beiden Positionsposten zu.	Weiter: nimm die beiden Positionsposten auf und ordne sie zu und nimm sie auf und ordne sie zu.	Weiter: nimm die beiden Positionsposten auf und ordne die beiden Positionsposten zu und nimm die beiden Positionsposten auf und ordne die beiden Positionsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
234	G407-E1082	G407-S056	f71v	CELESTIAL	NONSTATE_CARD	chpchy	CH+P+CH+Y	1	2	2	Nimm den Positionsposten auf, setze den Positionsposten ein und nimm den Positionsposten auf.	Nimm den Positionsposten auf, setze ihn ein und nimm ihn auf.	Nimm den Positionsposten auf, setze den Positionsposten ein und nimm den Positionsposten auf.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
235	G407-E1094	G407-S056	f71v	CELESTIAL	NONSTATE_CARD	cheols	CH+E+O+L+S	1	1	1	Nimm dieselbe Positionseinheit auf und wähle dieselbe Positionseinheit; über die Ringverbindung; auf Grad I und als Ausführung.	Nimm dieselbe Positionseinheit auf und wähle sie; über die Ringverbindung; auf Grad I und als Ausführung.	Nimm dieselbe Positionseinheit auf und wähle dieselbe Positionseinheit; über die Ringverbindung; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
236	G407-E1095	G407-S056	f71v	CELESTIAL	NONSTATE_CARD	okaikaly	OK+A_ADDR+IIN+K+AL+Y	1	1	1	Setze den Positionsposten und ordne den Positionsposten zu; zur Zielposition; auf der bezeichneten Stufe; an der bezeichneten Stelle.	Setze den Positionsposten und ordne ihn zu; zur Zielposition; auf der bezeichneten Stufe; an der bezeichneten Stelle.	Setze den Positionsposten und ordne den Positionsposten zu; zur Zielposition; auf der bezeichneten Stufe; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
237	G407-E1099	G407-S057	f71v	CELESTIAL	NONSTATE_CARD	sheky	SH+E+K+Y	1	1	1	Halte den Positionsposten und ordne den Positionsposten zu; auf Grad I.	Halte den Positionsposten und ordne ihn zu; auf Grad I.	Halte den Positionsposten und ordne den Positionsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
238	G407-E1109	G407-S057	f71v	CELESTIAL	STATE_CARD	otchr	OT+CH+R	1	1	1	Danach: nimm denselben Positionsposten auf und markiere denselben Positionsposten.	Danach: nimm denselben Positionsposten auf und markiere ihn.	Danach: nimm denselben Positionsposten auf und markiere denselben Positionsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
239	G407-E1110	G407-S057	f71v	CELESTIAL	NONSTATE_CARD	chtos	CH+T+O+S	1	2	2	Nimm denselben Positionsposten auf, stelle denselben Positionsposten ein und wähle denselben Positionsposten; als Ausführung.	Nimm denselben Positionsposten auf, stelle ihn ein und wähle ihn; als Ausführung.	Nimm denselben Positionsposten auf, stelle denselben Positionsposten ein und wähle denselben Positionsposten; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
240	G407-E1111	G407-S057	f71v	CELESTIAL	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
241	G407-E1112	G407-S057	f71v	CELESTIAL	STATE_CARD	shepchol	SH+E+P+CH+OL	1	2	2	Weiter: halte denselben Positionsposten und setze denselben Positionsposten ein und nimm denselben Positionsposten auf; auf Grad I.	Weiter: halte denselben Positionsposten und setze ihn ein und nimm ihn auf; auf Grad I.	Weiter: halte denselben Positionsposten und setze denselben Positionsposten ein und nimm denselben Positionsposten auf; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
242	G407-E1115	G407-S057	f71v	CELESTIAL	NONSTATE_CARD	shopcho	SH+O+P+CH+O	1	2	2	Halte dieselbe Positionseinheit, setze dieselbe Positionseinheit ein und nimm dieselbe Positionseinheit auf; als Ausführung und als Ausführung.	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; als Ausführung und als Ausführung.	Halte dieselbe Positionseinheit, setze dieselbe Positionseinheit ein und nimm dieselbe Positionseinheit auf; als Ausführung und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
243	G407-E1127	G407-S059	f71v	CELESTIAL	NONSTATE_CARD	okeosar	OK+E+O+S+AR	1	1	1	Setze denselben Positionsposten und wähle denselben Positionsposten; von der Ausgangsposition; auf Grad I und als Ausführung.	Setze denselben Positionsposten und wähle ihn; von der Ausgangsposition; auf Grad I und als Ausführung.	Setze denselben Positionsposten und wähle denselben Positionsposten; von der Ausgangsposition; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
244	G407-E1129	G407-S059	f71v	CELESTIAL	NONSTATE_CARD	chkeeal	CH+K+EE+AL	1	1	1	Nimm denselben Positionswert auf und ordne denselben Positionswert zu; zur Zielposition; auf Grad II.	Nimm denselben Positionswert auf und ordne ihn zu; zur Zielposition; auf Grad II.	Nimm denselben Positionswert auf und ordne denselben Positionswert zu; zur Zielposition; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
245	G407-E1131	G407-S059	f71v	CELESTIAL	NONSTATE_CARD	cheekaiin	CH+K+EE+K+AIIN	1	2	2	Nimm den Positionswert auf, ordne den Positionswert zu und ordne den Positionswert zu; auf Grad II.	Nimm den Positionswert auf, ordne ihn zu und ordne ihn zu; auf Grad II.	Nimm den Positionswert auf, ordne den Positionswert zu und ordne den Positionswert zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
246	G407-E1133	G407-S059	f71v	CELESTIAL	NONSTATE_CARD	okchor	OK+CH+OR	1	1	1	Setze die Positionseinheit und nimm die Positionseinheit auf.	Setze die Positionseinheit und nimm sie auf.	Setze die Positionseinheit und nimm die Positionseinheit auf.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
247	G407-E1138	G407-S060	f72r	CELESTIAL	NONSTATE_CARD	cthey	CH+T+E+Y	1	1	1	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I.	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
248	G407-E1149	G407-S062	f72r	CELESTIAL	NONSTATE_CARD	cheoky	CH+E+O+K+Y	1	1	1	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I und als Ausführung.	Nimm den Positionsposten auf und ordne ihn zu; auf Grad I und als Ausführung.	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
249	G407-E1150	G407-S062	f72r	CELESTIAL	NONSTATE_CARD	okaiir	OK+IIN+R	1	1	1	Setze denselben Positionsposten und markiere denselben Positionsposten; auf der bezeichneten Stufe.	Setze denselben Positionsposten und markiere ihn; auf der bezeichneten Stufe.	Setze denselben Positionsposten und markiere denselben Positionsposten; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
250	G407-E1152	G407-S063	f72r	CELESTIAL	STATE_CARD	sheoltey	SH+E+OL+T+E+Y	1	1	1	Weiter: halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	Weiter: halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	Weiter: halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
251	G407-E1153	G407-S063	f72r	CELESTIAL	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
252	G407-E1158	G407-S063	f72r	CELESTIAL	NONSTATE_CARD	okalshey	S+A_ADDR+L+SH+E+Y	1	1	1	Wähle den Positionsposten und halte den Positionsposten; über die Ringverbindung; auf Grad I; an der bezeichneten Stelle.	Wähle den Positionsposten und halte ihn; über die Ringverbindung; auf Grad I; an der bezeichneten Stelle.	Wähle den Positionsposten und halte den Positionsposten; über die Ringverbindung; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
253	G407-E1161	G407-S063	f72r	CELESTIAL	STATE_CARD	chekeol	CH+K+E+OL	1	1	1	Weiter: nimm denselben Positionswert auf und ordne denselben Positionswert zu; auf Grad I.	Weiter: nimm denselben Positionswert auf und ordne ihn zu; auf Grad I.	Weiter: nimm denselben Positionswert auf und ordne denselben Positionswert zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
254	G407-E1182	G407-S064	f72r	CELESTIAL	NONSTATE_CARD	shetey	SH+E+T+E+Y	1	1	1	Halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	Halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	Halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
255	G407-E1188	G407-S064	f72r	CELESTIAL	NONSTATE_CARD	chetey	CH+E+T+E+Y	1	1	1	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I und auf Grad I.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
256	G407-E1200	G407-S065	f72r	CELESTIAL	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	Nimm den Positionsposten auf und ordne ihn zu; auf Grad I.	Nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
257	G407-E1208	G407-S066	f72r	CELESTIAL	NONSTATE_CARD	okees	OK+EE+S	1	1	1	Setze denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	Setze denselben Positionsposten und wähle ihn; auf Grad II.	Setze denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
258	G407-E1217	G407-S066	f72r	CELESTIAL	NONSTATE_CARD	atchor	A_ADDR+T+CH+OR	1	1	1	Stelle die Positionseinheit ein und nimm die Positionseinheit auf; an der bezeichneten Stelle.	Stelle die Positionseinheit ein und nimm sie auf; an der bezeichneten Stelle.	Stelle die Positionseinheit ein und nimm die Positionseinheit auf; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
259	G407-E1218	G407-S066	f72r	CELESTIAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Nimm den Positionsposten auf und ordne den Positionsposten zu.	Nimm den Positionsposten auf und ordne ihn zu.	Nimm den Positionsposten auf und ordne den Positionsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
260	G407-E1232	G407-S067	f72r	CELESTIAL	NONSTATE_CARD	okalchal	OK+CH+AL	1	1	1	Setze denselben Positionswert und nimm denselben Positionswert auf; zur Zielposition.	Setze denselben Positionswert und nimm ihn auf; zur Zielposition.	Setze denselben Positionswert und nimm denselben Positionswert auf; zur Zielposition.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
261	G407-E1244	G407-S067	f72r	CELESTIAL	NONSTATE_CARD	ckhal	CH+K+AL	1	1	1	Nimm denselben Positionsposten auf und ordne denselben Positionsposten zu; zur Zielposition.	Nimm denselben Positionsposten auf und ordne ihn zu; zur Zielposition.	Nimm denselben Positionsposten auf und ordne denselben Positionsposten zu; zur Zielposition.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
262	G407-E1245	G407-S067	f72r	CELESTIAL	NONSTATE_CARD	chekaiin	CH+K+AIIN	1	1	1	Nimm den Positionswert auf und ordne den Positionswert zu.	Nimm den Positionswert auf und ordne ihn zu.	Nimm den Positionswert auf und ordne den Positionswert zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
263	G407-E1254	G407-S067	f72r	CELESTIAL	NONSTATE_CARD	chekaiin	CH+K+AIIN	1	1	1	Nimm den Positionswert auf und ordne den Positionswert zu.	Nimm den Positionswert auf und ordne ihn zu.	Nimm den Positionswert auf und ordne den Positionswert zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
264	G407-E1270	G407-S068	f72r	CELESTIAL	NONSTATE_CARD	shokal	SH+OK+AL	1	1	1	Halte denselben Positionswert und setze denselben Positionswert; zur Zielposition.	Halte denselben Positionswert und setze ihn; zur Zielposition.	Halte denselben Positionswert und setze denselben Positionswert; zur Zielposition.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
265	G407-E1283	G407-S070	f72r	CELESTIAL	NONSTATE_CARD	chas	CH+A_ADDR+S	1	1	1	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; an der bezeichneten Stelle.	Nimm denselben Positionsposten auf und wähle ihn; an der bezeichneten Stelle.	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
266	G407-E1291	G407-S071	f72r	CELESTIAL	NONSTATE_CARD	chs	CH+S	1	1	1	Nimm denselben Positionswert auf und wähle denselben Positionswert.	Nimm denselben Positionswert auf und wähle ihn.	Nimm denselben Positionswert auf und wähle denselben Positionswert.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
267	G407-E1292	G407-S071	f72r	CELESTIAL	NONSTATE_CARD	chchs	CH+CH+S	1	2	2	Nimm denselben Positionswert auf, nimm denselben Positionswert auf und wähle denselben Positionswert.	Nimm denselben Positionswert auf, nimm ihn auf und wähle ihn.	Nimm denselben Positionswert auf, nimm denselben Positionswert auf und wähle denselben Positionswert.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
268	G407-E1302	G407-S072	f72r	CELESTIAL	NONSTATE_CARD	chekoy	CH+K+O+Y	1	1	1	Nimm den Positionsposten auf und ordne den Positionsposten zu; als Ausführung.	Nimm den Positionsposten auf und ordne ihn zu; als Ausführung.	Nimm den Positionsposten auf und ordne den Positionsposten zu; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
269	G407-E1308	G407-S072	f72r	CELESTIAL	NONSTATE_CARD	chocthar	CH+O+CH+T+AR	1	2	2	Nimm dieselbe Positionseinheit auf, nimm dieselbe Positionseinheit auf und stelle dieselbe Positionseinheit ein; von der Ausgangsposition; als Ausführung.	Nimm dieselbe Positionseinheit auf, nimm sie auf und stelle sie ein; von der Ausgangsposition; als Ausführung.	Nimm dieselbe Positionseinheit auf, nimm dieselbe Positionseinheit auf und stelle dieselbe Positionseinheit ein; von der Ausgangsposition; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
270	G407-E1319	G407-S073	f72r	CELESTIAL	NONSTATE_CARD	okeos	OK+E+O+S	1	1	1	Setze denselben Positionswert und wähle denselben Positionswert; auf Grad I und als Ausführung.	Setze denselben Positionswert und wähle ihn; auf Grad I und als Ausführung.	Setze denselben Positionswert und wähle denselben Positionswert; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
271	G407-E1328	G407-S073	f72r	CELESTIAL	NONSTATE_CARD	chekackhy	CH+E+CH+K+Y	1	2	2	Nimm den Positionsposten auf, nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	Nimm den Positionsposten auf, nimm ihn auf und ordne ihn zu; auf Grad I.	Nimm den Positionsposten auf, nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
272	G407-E1329	G407-S073	f72r	CELESTIAL	NONSTATE_CARD	chokees	OK+EE+S	1	1	1	Setze denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	Setze denselben Positionsposten und wähle ihn; auf Grad II.	Setze denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
273	G407-E1331	G407-S074	f72r	CELESTIAL	NONSTATE_CARD	chekar	CH+K+AR	1	1	1	Nimm denselben Positionsposten auf und ordne denselben Positionsposten zu; von der Ausgangsposition.	Nimm denselben Positionsposten auf und ordne ihn zu; von der Ausgangsposition.	Nimm denselben Positionsposten auf und ordne denselben Positionsposten zu; von der Ausgangsposition.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
274	G407-E1334	G407-S074	f72r	CELESTIAL	NONSTATE_CARD	ches	CH+E+S	1	1	1	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I.	Nimm denselben Positionsposten auf und wähle ihn; auf Grad I.	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
275	G407-E1339	G407-S074	f72r	CELESTIAL	NONSTATE_CARD	ches	CH+E+S	1	1	1	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I.	Nimm denselben Positionsposten auf und wähle ihn; auf Grad I.	Nimm denselben Positionsposten auf und wähle denselben Positionsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
