statement_order	statement_id	record_unit_id	page	constituent_fields	physical_loci	line_crossing	event_count	event_serials	visible_surface_sequence	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule	status
43	B2-S003	B2	f82r	F047	f82r.2	NO	3	169|170|171	qokain dy qokeedy	Gib eine Portion zu, setze den Posten länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
44	B2-S004	B2	f82r	F048|F049	f82r.2|f82r.3	YES__CONTINUE_ACROSS_PHYSICAL_LINE	5	172|173|174|175|176	qokal lcheckhy lched qokeey lcheckhedy	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
45	B2-S005	B2	f82r	F050|F051	f82r.3|f82r.4	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	177|178|179|180|181|182|183|184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
46	B2-S006	B2	f82r	F052	f82r.4	NO	4	185|186|187|188	oteey qokal sheckhy qoky	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
47	B2-S007	B2	f82r	F053	f82r.7	NO	1	189	dshedy	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
48	B2-S008	B2	f82r	F054	f82r.7	NO	3	190|191|192	sotaiin qokar shedy	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
49	B2-S009	B2	f82r	F055	f82r.7	NO	1	193	solshedy	Lass weiter absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
50	B2-S010	B2	f82r	F056	f82r.7	NO	4	194|195|196|197	qokeey qoky ls cheey	Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
51	B2-S011	B2	f82r	F057	f82r.19	NO	4	198|199|200|201	okain char okain qokeedy	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
52	B2-S012	B2	f82r	F058|F059	f82r.19|f82r.23	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	202|203|204|205|206|207|208|209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
53	B2-S013	B2	f82r	F060	f82r.23	NO	1	210	lchedy	Führe ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
54	B2-S014	B2	f82r	F061	f82r.23	NO	1	211	lar	Führe von dort ab.	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
55	B2-S015	B2	f82r	F062	f82r.26	NO	2	212|213	tshey qokeedy	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
56	B2-S016	B2	f82r	F063|F064	f82r.26|f82r.27	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	214|215|216|217|218|219|220|221	cheal lchedar ches aiin oteey qokaiin okey pchedy	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
57	B2-S017	B2	f82r	F065	f82r.27	NO	2	222|223	rsheal daldy	Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
58	B2-S018	B2	f82r	F066	f82r.27	NO	1	224	qokeedy	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
59	B2-S019	B2	f82r	F067	f82r.27	NO	1	225	rshedy	Führe den Waschgang aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
60	B2-S020	B2	f82r	F068	f82r.27	NO	1	226	qoteedy	Nimm die lange Folge und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
61	B2-S021	B2	f82r	F069	f82r.27	NO	1	227	qokeedy	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
62	B2-S022	B2	f82r	F070	f82r.27	NO	1	228	lochedy	Führe den Rest ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
63	B3-S001	B3	f83r	F071	f83r.3	NO	1	229	olkeedy	Sammle länger und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Sammle länger und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
64	B3-S002	B3	f83r	F072	f83r.3	NO	2	230|231	qotal chkeedy	Führe danach dorthin, wärme länger und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
65	B3-S003	B3	f83r	F073	f83r.3	NO	4	232|233|234|235	chey daiin chey lchedy	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
66	B3-S004	B3	f83r	F074	f83r.3	NO	3	236|237|238	qokaiin qotal dar	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
67	B3-S005	B3	f83r	F075	f83r.6	NO	1	239	schedy	Setze die entnommene Sollmaßportion um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze die entnommene Sollmaßportion um und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
68	B3-S006	B3	f83r	F076	f83r.6	NO	3	240|241|242	chedchy qokal olchedy	Setze dorthin um, führe weiter und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
69	B3-S007	B3	f83r	F077	f83r.6	NO	3	243|244|245	qokaiin chedy qokeedy	Stelle das Sollmaß ein, setze um, setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
70	B3-S008	B3	f83r	F078	f83r.6	NO	1	246	lchedy	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
71	B3-S009	B3	f83r	F079	f83r.6	NO	1	247	qoky	Setze den Posten an	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
72	B3-S010	B3	f83r	F080	f83r.8	NO	2	248|249	pchedal otedy	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
73	B3-S011	B3	f83r	F081	f83r.8	NO	4	250|251|252|253	shecthedchy qoky chedy chary	Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
74	B3-S012	B3	f83r	F082	f83r.11	NO	2	254|255	sor shedy	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
75	B3-S013	B3	f83r	F083	f83r.11	NO	4	256|257|258|259	qokaiin chkain shcthey qokedy	Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
76	B3-S014	B3	f83r	F084	f83r.11	NO	2	260|261	okair sheedy	Lass Wasser ein, lass länger absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
77	B3-S015	B3	f83r	F085	f83r.11	NO	1	262	lchedy	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
78	B3-S016	B3	f83r	F086|F087	f83r.11|f83r.14	YES__CONTINUE_ACROSS_PHYSICAL_LINE	2	263|264	lo qokchedy	Führe ab, setze den Posten um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
79	B3-S017	B3	f83r	F088	f83r.14	NO	1	265	qokeedy	Setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
80	B3-S018	B3	f83r	F089	f83r.14	NO	1	266	shedy	Lass absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
81	B3-S019	B3	f83r	F090	f83r.14	NO	1	267	qokshedy	Lass absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
82	B3-S020	B3	f83r	F091	f83r.14	NO	2	268|269	dal lchedy	Führe dorthin, führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
83	B3-S021	B3	f83r	F092|F093	f83r.14|f83r.15	YES__CONTINUE_ACROSS_PHYSICAL_LINE	11	270|271|272|273|274|275|276|277|278|279|280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
84	B3-S022	B3	f83r	F094	f83r.15	NO	1	281	qotchedy	Führe die Folgeumsetzung aus und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
85	B3-S023	B3	f83r	F095	f83r.15	NO	1	282	lchedy	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
