event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	whole_plant_owner	owner_status	apprentice_layer	portable_or_local_value_de	spoken_token_de	scope_guard	picture_supplies
85	H5-S002	H5	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	einsetzen	einsetzen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
86	H5-S002	H5	f56r	cheeckhody	MC099	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Langpassage; Schluss	Langpassage; Schluss	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
87	H5-S003	H5	f56r	sh	MC114	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	halten	halten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
88	H5-S003	H5	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weitere Zutat	weitere Zutat	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
89	H5-S003	H5	f56r	kchey	MC122	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bearbeiten · kurz · Posten	bearbeiten kurz Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
90	H5-S003	H5	f56r	qokokchy	MC015	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	einsetzen · einsetzen · Posten	einsetzen einsetzen Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
91	H5-S004	H5	f56r	okchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiterbearbeiten	weiterbearbeiten	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
92	H5-S004	H5	f56r	chokcheo	MC006	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	einsetzen · Auszug	einsetzen Auszug	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
93	H5-S004	H5	f56r	kchal	MC077	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bearbeiten · Ziel	bearbeiten Ziel	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
94	H5-S005	H5	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weitere Zutat	weitere Zutat	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
95	H5-S005	H5	f56r	chokchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiterbearbeiten	weiterbearbeiten	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
96	H5-S005	H5	f56r	kchoar	MC136	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Auszug · Quelle	Auszug Quelle	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
97	H5-S005	H5	f56r	sotodan	MC068	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	danach · anwenden	danach anwenden	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
98	H5-S006	H5	f56r	otchey	MC171	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	das nächste	das nächste	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
99	H5-S006	H5	f56r	keol	MC104	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	kurz · weiter	kurz weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
100	H5-S006	H5	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
