rank	page	locus	section	language	hand	token_count	practical_unit_count	gdt734_changed_cell_count	active_whole_repair_count	unique_split_candidate_count	editorial_override_count	unknown_cells_v99r6	unknown_cells_v99r7	unknown_delta	complete_line_v99r6	complete_line_v99r7	newly_complete_line	gdt734_changed_ordinals	gdt734_dispatch_classes	zl3b_line	v99r7_semantic_token_values_de	v99r7_spoken_token_values_de	v99r7_practical_units_de	v99r6_practical_render_de	v99r7_practical_render_de
25	f113v	f113v.45	S	B	3	11	11	2	1	1	1	4	2	-2	0	0	0	1|5	UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	polaiin arol shear okeeeody ls ar lkeey opchedy qokchdy ota aram	Pulver, Wert III | Grundauszug, Fraktion I | erste Fraktion bis zur Mittelstufe einweichen | [okeeeody:?] | eine Charge Holz | Drogenfraktion I | Drogenholz, heiß am Gradende | vollständig getrocknetes Pulverpräparat | heiß und trocken am Anfang des Grades, abgeschlossen | [ota:?] | ein Maß der ersten Drogenfraktion	Pulver, Wert III | Grundauszug, Fraktion I | erste Fraktion bis zur Mittelstufe einweichen | [okeeeody:?] | ein Posten Drogenholz | Drogenfraktion I | Drogenholz, vollständig erhitzt | vollständig getrocknetes Pulverpräparat | heiß und trocken, Anfangsstufe erreicht; abgeschlossen | [ota:?] | ein Maß der ersten Drogenfraktion	Pulver, Wert III | Grundauszug, Fraktion I | erste Fraktion bis zur Mittelstufe einweichen | [okeeeody:?] | ein Posten Drogenholz | Drogenfraktion I | Drogenholz, vollständig erhitzt | vollständig getrocknetes Pulverpräparat | heiß und trocken, Anfangsstufe erreicht; abgeschlossen | [ota:?] | ein Maß der ersten Drogenfraktion	[polaiin:?]; Grundauszug, Fraktion I; erste Fraktion bis zur Mittelstufe einweichen; [okeeeody:?]; [ls:?]; Drogenfraktion I; Drogenholz, vollständig erhitzt; vollständig getrocknetes Pulverpräparat; heiß und trocken, Anfangsstufe erreicht; abgeschlossen; [ota:?]; ein Maß der ersten Drogenfraktion	Pulver, Wert III; Grundauszug, Fraktion I; erste Fraktion bis zur Mittelstufe einweichen; [okeeeody:?]; ein Posten Drogenholz; Drogenfraktion I; Drogenholz, vollständig erhitzt; vollständig getrocknetes Pulverpräparat; heiß und trocken, Anfangsstufe erreicht; abgeschlossen; [ota:?]; ein Maß der ersten Drogenfraktion
26	f20v	f20v.5	H	A	1	9	9	2	1	1	0	4	2	-2	0	0	0	1|8	ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733	tshol folchol otor shol shor fshodchy otchy chcphy dy	kalt-feucht | [folchol:?] | kalte Drogenportion im Ansatz | feucht; nominal feuchtes Gut/Material | Blüten-/Fruchtstand; reproduktiver Teil | [fshodchy:?] | kalt-trockener Ansatz am Anfang des Grades | trockene Mischung | Qualitäts-/Wertfeld geschlossen	kalt-feucht | [folchol:?] | kalte Drogenportion im Ansatz | feucht; nominal feuchtes Gut/Material | Blüten-/Fruchtstand; reproduktiver Teil | [fshodchy:?] | kalt-trockener Ansatz, Anfangsstufe | trockene Mischung | Qualitäts-/Wertfeld geschlossen	kalt-feucht | [folchol:?] | kalte Drogenportion im Ansatz | feucht; nominal feuchtes Gut/Material | Blüten-/Fruchtstand; reproduktiver Teil | [fshodchy:?] | kalt-trockener Ansatz, Anfangsstufe | trockene Mischung | Qualitäts-/Wertfeld geschlossen	[tshol:?]; [folchol:?]; kalte Drogenportion im Ansatz; feucht; nominal feuchtes Gut/Material; Blüten-/Fruchtstand; reproduktiver Teil; [fshodchy:?]; kalt-trockener Ansatz, Anfangsstufe; [chcphy:?]; Qualitäts-/Wertfeld geschlossen	kalt-feucht; [folchol:?]; kalte Drogenportion im Ansatz; feucht; nominal feuchtes Gut/Material; Blüten-/Fruchtstand; reproduktiver Teil; [fshodchy:?]; kalt-trockener Ansatz, Anfangsstufe; trockene Mischung; Qualitäts-/Wertfeld geschlossen
27	f46r	f46r.5	H	B	2	10	10	2	1	1	1	4	2	-2	0	0	0	6|8	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733	okeedy shekeey ykey shedy chdy shky qotsheod ytedy ytey cheor	heißer Ansatz am Ende des Grades, abgeschlossen | [shekeey:?] | erhitze hiervon bis zur Mittelstufe und schließe ab | feucht in der Mitte des Grades, abgeschlossen | trocken am Anfang des Grades, abgeschlossen | heiß angefeuchtet, Anfangsstufe | [qotsheod:?] | hiervon bis zur Mittelstufe abkühlen und abschließen | kühle hiervon bis zur Mittelstufe ab und schließe ab | trockener Drogenteil	vollständig erhitzter Ansatz, abgeschlossen | [shekeey:?] | erhitze hiervon bis zur Mittelstufe und schließe ab | bis zur Mittelstufe angefeuchtet; abgeschlossen | leicht getrocknet; abgeschlossen | heiß angefeuchtet, Anfangsstufe | [qotsheod:?] | bis zur Mittelstufe abkühlen und abschließen | kühle hiervon bis zur Mittelstufe ab und schließe ab | trockener Drogenteil	vollständig erhitzter Ansatz, abgeschlossen | [shekeey:?] | erhitze hiervon bis zur Mittelstufe und schließe ab | bis zur Mittelstufe angefeuchtet; abgeschlossen | leicht getrocknet; abgeschlossen | heiß angefeuchtet, Anfangsstufe | [qotsheod:?] | bis zur Mittelstufe abkühlen und abschließen | kühle hiervon bis zur Mittelstufe ab und schließe ab | trockener Drogenteil	vollständig erhitzter Ansatz, abgeschlossen; [shekeey:?]; erhitze hiervon bis zur Mittelstufe und schließe ab; bis zur Mittelstufe angefeuchtet; abgeschlossen; leicht getrocknet; abgeschlossen; [shky:?]; [qotsheod:?]; [ytedy:?]; kühle hiervon bis zur Mittelstufe ab und schließe ab; trockener Drogenteil	vollständig erhitzter Ansatz, abgeschlossen; [shekeey:?]; erhitze hiervon bis zur Mittelstufe und schließe ab; bis zur Mittelstufe angefeuchtet; abgeschlossen; leicht getrocknet; abgeschlossen; heiß angefeuchtet, Anfangsstufe; [qotsheod:?]; bis zur Mittelstufe abkühlen und abschließen; kühle hiervon bis zur Mittelstufe ab und schließe ab; trockener Drogenteil
28	f81v	f81v.12	B	B	2	9	9	2	2	0	2	4	2	-2	0	0	0	6|9	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR	qol ol chdy shedy qokedy ytedy chetedy lkedey ytedy	Drogenstoff zugeben | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Anfang des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | hiervon bis zur Mittelstufe abkühlen und abschließen | [chetedy:?] | [lkedey:?] | hiervon bis zur Mittelstufe abkühlen und abschließen	Drogenstoff zugeben | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | leicht getrocknet; abgeschlossen | bis zur Mittelstufe angefeuchtet; abgeschlossen | bis zur Mittelstufe erhitzt; abgeschlossen | bis zur Mittelstufe abkühlen und abschließen | [chetedy:?] | [lkedey:?] | bis zur Mittelstufe abkühlen und abschließen	Drogenstoff zugeben | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | leicht getrocknet; abgeschlossen | bis zur Mittelstufe angefeuchtet; abgeschlossen | bis zur Mittelstufe erhitzt; abgeschlossen | bis zur Mittelstufe abkühlen und abschließen | [chetedy:?] | [lkedey:?] | bis zur Mittelstufe abkühlen und abschließen	Drogenstoff zugeben; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; leicht getrocknet; abgeschlossen; bis zur Mittelstufe angefeuchtet; abgeschlossen; bis zur Mittelstufe erhitzt; abgeschlossen; [ytedy:?]; [chetedy:?]; [lkedey:?]; [ytedy:?]	Drogenstoff zugeben; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; leicht getrocknet; abgeschlossen; bis zur Mittelstufe angefeuchtet; abgeschlossen; bis zur Mittelstufe erhitzt; abgeschlossen; bis zur Mittelstufe abkühlen und abschließen; [chetedy:?]; [lkedey:?]; bis zur Mittelstufe abkühlen und abschließen
29	f94v	f94v.10	H	B	3	10	10	2	1	1	0	4	2	-2	0	0	0	7|8	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733	ol air cheey okchaiin shy tararain otody qodar oteey dar	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zweite Drogenfraktion | trocken am Ende des Grades | [okchaiin:?] | feucht am Anfang des Grades | [tararain:?] | kalter, fertiger Ansatz | Anteil I abmessen | kalter Ansatz am Ende des Grades | abgemessene Fraktion I	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zweite Drogenfraktion | vollständig getrocknet | [okchaiin:?] | leicht angefeuchtet | [tararain:?] | kalter, fertiger Ansatz | Anteil I abmessen | vollständig abgekühlter Ansatz | abgemessene Fraktion I	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zweite Drogenfraktion | vollständig getrocknet | [okchaiin:?] | leicht angefeuchtet | [tararain:?] | kalter, fertiger Ansatz | Anteil I abmessen | vollständig abgekühlter Ansatz | abgemessene Fraktion I	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; zweite Drogenfraktion; vollständig getrocknet; [okchaiin:?]; leicht angefeuchtet; [tararain:?]; [otody:?]; [qodar:?]; vollständig abgekühlter Ansatz; abgemessene Fraktion I	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; zweite Drogenfraktion; vollständig getrocknet; [okchaiin:?]; leicht angefeuchtet; [tararain:?]; kalter, fertiger Ansatz; Anteil I abmessen; vollständig abgekühlter Ansatz; abgemessene Fraktion I
30	f102r1	f102r1.3	P	A	1	7	7	2	0	2	0	5	3	-2	0	0	0	1|3	UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin	Pulver, Wert III | feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | abgekühlten Drogenstoff nehmen | Drogenholz: Formklasse IV | [oteeor:?] | [cpheodar:?] | [sholdaiin:?]	Pulver, Wert III | feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | abgekühlten Drogenstoff nehmen | Drogenholz: Formklasse IV | [oteeor:?] | [cpheodar:?] | [sholdaiin:?]	Pulver, Wert III | feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | abgekühlten Drogenstoff nehmen | Drogenholz: Formklasse IV | [oteeor:?] | [cpheodar:?] | [sholdaiin:?]	[polaiin:?]; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; [qoteol:?]; Drogenholz: Formklasse IV; [oteeor:?]; [cpheodar:?]; [sholdaiin:?]	Pulver, Wert III; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; abgekühlten Drogenstoff nehmen; Drogenholz: Formklasse IV; [oteeor:?]; [cpheodar:?]; [sholdaiin:?]
31	f104r	f104r.28	S	B	3	15	15	2	1	1	1	5	3	-2	0	0	0	4|9	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	olcheear chedar or aror sheey olkeechy or char cheeo l s or or aiin atam	[olcheear:?] | abgemessene Trockenfraktion I, Mittelstufe | Drogenportion | eine Portion des Drogenanteils I | feucht am Ende des Grades | [olkeechy:?] | Drogenportion | Trockenfraktion I | vollständig getrocknet | Grundstoff des vorstehenden Ansatzes | Samen-/Saatgutposten | Drogenportion | Drogenportion | Menge III | [atam:?]	[olcheear:?] | abgemessene Trockenfraktion I, Mittelstufe | Drogenportion | ein Teil aus Anteil I | vollständig angefeuchtet | [olkeechy:?] | Drogenportion | Trockenfraktion I | vollständig getrocknet | Grundstoff des vorstehenden Ansatzes | Samen-/Saatgutposten | Drogenportion | Drogenportion | Menge III | [atam:?]	[olcheear:?] | abgemessene Trockenfraktion I, Mittelstufe | Drogenportion | ein Teil aus Anteil I | vollständig angefeuchtet | [olkeechy:?] | Drogenportion | Trockenfraktion I | vollständig getrocknet | Grundstoff des vorstehenden Ansatzes | Samen-/Saatgutposten | Drogenportion | Drogenportion | Menge III | [atam:?]	[olcheear:?]; abgemessene Trockenfraktion I, Mittelstufe; Drogenportion; [aror:?]; vollständig angefeuchtet; [olkeechy:?]; Drogenportion; Trockenfraktion I; [cheeo:?]; Grundstoff des vorstehenden Ansatzes; Samen-/Saatgutposten; Drogenportion; Drogenportion; Menge III; [atam:?]	[olcheear:?]; abgemessene Trockenfraktion I, Mittelstufe; Drogenportion; ein Teil aus Anteil I; vollständig angefeuchtet; [olkeechy:?]; Drogenportion; Trockenfraktion I; vollständig getrocknet; Grundstoff des vorstehenden Ansatzes; Samen-/Saatgutposten; Drogenportion; Drogenportion; Menge III; [atam:?]
32	f104v	f104v.43	S	B	3	11	11	2	2	0	0	5	3	-2	0	0	0	2|11	UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR	chey keeey qockheey lkeey o keeedy qokeey okchey qotodaiin okain orom	trocken in der Mitte des Grades | stark erhitzt, Endstufe III | [qockheey:?] | Drogenholz, heiß am Gradende | Ansatz mit keeedy | [keeedy:?] | heiß am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades | [qotodaiin:?] | heiß im Zubereitungsrahmen, Grad II | Portion	bis zur Mittelstufe getrocknet | stark erhitzt, Endstufe III | [qockheey:?] | Drogenholz, vollständig erhitzt | Ansatz mit keeedy | [keeedy:?] | vollständig erhitzt | heiß-trockener Ansatz, Mittelstufe | [qotodaiin:?] | heiß im Zubereitungsrahmen, Grad II | Portion	bis zur Mittelstufe getrocknet | stark erhitzt, Endstufe III | [qockheey:?] | Drogenholz, vollständig erhitzt | Ansatz mit keeedy | [keeedy:?] | vollständig erhitzt | heiß-trockener Ansatz, Mittelstufe | [qotodaiin:?] | heiß im Zubereitungsrahmen, Grad II | Portion	bis zur Mittelstufe getrocknet; [keeey:?]; [qockheey:?]; Drogenholz, vollständig erhitzt; Ansatz mit keeedy; [keeedy:?]; vollständig erhitzt; heiß-trockener Ansatz, Mittelstufe; [qotodaiin:?]; heiß im Zubereitungsrahmen, Grad II; [orom:?]	bis zur Mittelstufe getrocknet; stark erhitzt, Endstufe III; [qockheey:?]; Drogenholz, vollständig erhitzt; Ansatz mit keeedy; [keeedy:?]; vollständig erhitzt; heiß-trockener Ansatz, Mittelstufe; [qotodaiin:?]; heiß im Zubereitungsrahmen, Grad II; Portion
33	f105r	f105r.1	S	B	3	11	11	2	1	1	1	5	3	-2	0	0	0	3|5	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	aiin dar chcphy qokeey qopaiin ypcheeey saraisl aiin cheedy aiin arody	Menge III | abgemessene Fraktion I | trockene Mischung | heiß am Ende des Grades | drei Teile Pulverzubereitung | [ypcheeey:?] | [saraisl:?] | Menge III | trocken am Ende des Grades, abgeschlossen | Menge III | [arody:?]	Menge III | abgemessene Fraktion I | trockene Mischung | vollständig erhitzt | drei Teile Pulver | [ypcheeey:?] | [saraisl:?] | Menge III | vollständig getrocknet, abgeschlossen | Menge III | [arody:?]	Menge III | abgemessene Fraktion I | trockene Mischung | vollständig erhitzt | drei Teile Pulver | [ypcheeey:?] | [saraisl:?] | Menge III | vollständig getrocknet, abgeschlossen | Menge III | [arody:?]	Menge III; abgemessene Fraktion I; [chcphy:?]; vollständig erhitzt; [qopaiin:?]; [ypcheeey:?]; [saraisl:?]; Menge III; vollständig getrocknet, abgeschlossen; Menge III; [arody:?]	Menge III; abgemessene Fraktion I; trockene Mischung; vollständig erhitzt; drei Teile Pulver; [ypcheeey:?]; [saraisl:?]; Menge III; vollständig getrocknet, abgeschlossen; Menge III; [arody:?]
34	f108v	f108v.7	S	B	3	11	11	2	1	1	0	5	3	-2	0	0	0	1|7	ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	pchedaiin okedy otedal lkedeed okedar okeey qoteol lkedy otey raiin am	drei Portionen des bis zur Mittelstufe getrockneten Pulvers | heißer Ansatz in der Mitte des Grades, abgeschlossen | [otedal:?] | [lkedeed:?] | [okedar:?] | heißer Ansatz am Ende des Grades | abgekühlten Drogenstoff nehmen | erhitzte Holzdroge, Mittelstufe, fertig | kalter Ansatz in der Mitte des Grades | Wurzel, Typ/Charge III | Maßeinheit I	drei Portionen des bis zur Mittelstufe getrockneten Pulvers | bis zur Mittelstufe erhitzter Ansatz; abgeschlossen | [otedal:?] | [lkedeed:?] | [okedar:?] | vollständig erhitzter Ansatz | abgekühlten Drogenstoff nehmen | erhitzte Holzdroge, Mittelstufe, fertig | bis zur Mittelstufe abgekühlter Ansatz | Wurzel, Typ/Charge III | Maßeinheit I	drei Portionen des bis zur Mittelstufe getrockneten Pulvers | bis zur Mittelstufe erhitzter Ansatz; abgeschlossen | [otedal:?] | [lkedeed:?] | [okedar:?] | vollständig erhitzter Ansatz | abgekühlten Drogenstoff nehmen | erhitzte Holzdroge, Mittelstufe, fertig | bis zur Mittelstufe abgekühlter Ansatz | Wurzel, Typ/Charge III | Maßeinheit I	[pchedaiin:?]; bis zur Mittelstufe erhitzter Ansatz; abgeschlossen; [otedal:?]; [lkedeed:?]; [okedar:?]; vollständig erhitzter Ansatz; [qoteol:?]; erhitzte Holzdroge, Mittelstufe, fertig; bis zur Mittelstufe abgekühlter Ansatz; Wurzel, Typ/Charge III; Maßeinheit I	drei Portionen des bis zur Mittelstufe getrockneten Pulvers; bis zur Mittelstufe erhitzter Ansatz; abgeschlossen; [otedal:?]; [lkedeed:?]; [okedar:?]; vollständig erhitzter Ansatz; abgekühlten Drogenstoff nehmen; erhitzte Holzdroge, Mittelstufe, fertig; bis zur Mittelstufe abgekühlter Ansatz; Wurzel, Typ/Charge III; Maßeinheit I
35	f111r	f111r.46	S	B	3	13	13	2	1	1	1	5	3	-2	0	0	0	2|4	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	y cheeo lkeey oteed lkeedy okeeshey chey lkar al olchal or aiin cheom	Eintrag: | vollständig getrocknet | Drogenholz, heiß am Gradende | vollständig abgekühlt; abgezogen | Drogenholz, heiß am Gradende, abgeschlossen | [okeeshey:?] | trocken in der Mitte des Grades | heiße Holzfraktion I | Rohstoffklasse I | [olchal:?] | Drogenportion | Menge III | [cheom:?]	Eintrag: | vollständig getrocknet | Drogenholz, vollständig erhitzt | vollständig abgekühlt; entnommen | Drogenholz, vollständig erhitzt, abgeschlossen | [okeeshey:?] | bis zur Mittelstufe getrocknet | heiße Holzfraktion I | Rohstoffklasse I | [olchal:?] | Drogenportion | Menge III | [cheom:?]	Eintrag: | vollständig getrocknet | Drogenholz, vollständig erhitzt | vollständig abgekühlt; entnommen | Drogenholz, vollständig erhitzt, abgeschlossen | [okeeshey:?] | bis zur Mittelstufe getrocknet | heiße Holzfraktion I | Rohstoffklasse I | [olchal:?] | Drogenportion | Menge III | [cheom:?]	Eintrag: [cheeo:?]; Drogenholz, vollständig erhitzt; [oteed:?]; Drogenholz, vollständig erhitzt, abgeschlossen; [okeeshey:?]; bis zur Mittelstufe getrocknet; heiße Holzfraktion I; Rohstoffklasse I; [olchal:?]; Drogenportion; Menge III; [cheom:?]	Eintrag: vollständig getrocknet; Drogenholz, vollständig erhitzt; vollständig abgekühlt; entnommen; Drogenholz, vollständig erhitzt, abgeschlossen; [okeeshey:?]; bis zur Mittelstufe getrocknet; heiße Holzfraktion I; Rohstoffklasse I; [olchal:?]; Drogenportion; Menge III; [cheom:?]
36	f111v	f111v.22	S	B	3	11	11	2	1	1	0	5	3	-2	0	0	0	4|11	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey	Samencharge III | [ychear:?] | [olsheey:?] | bis Mittelstufe trocknen, dann auf Kühlstufe II bringen | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad II | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I | trocken, Grad I | [okalchey:?] | holziger Pflanzenteil, stark erhitzt, Endstufe	Samencharge III | [ychear:?] | [olsheey:?] | bis Mittelstufe trocknen, dann auf Kühlstufe II bringen | bis zur Mittelstufe getrocknet; abgeschlossen | heiß, Grad II | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I | trocken, Grad I | [okalchey:?] | holziger Pflanzenteil, stark erhitzt, Endstufe	Samencharge III | [ychear:?] | [olsheey:?] | bis Mittelstufe trocknen, dann auf Kühlstufe II bringen | bis zur Mittelstufe getrocknet; abgeschlossen | heiß, Grad II | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I | trocken, Grad I | [okalchey:?] | holziger Pflanzenteil, stark erhitzt, Endstufe	Samencharge III; [ychear:?]; [olsheey:?]; [chetain:?]; bis zur Mittelstufe getrocknet; abgeschlossen; heiß, Grad II; heiß im Zubereitungsrahmen, Grad II; Rohstoffklasse I; trocken, Grad I; [okalchey:?]; [lkeeey:?]	Samencharge III; [ychear:?]; [olsheey:?]; bis Mittelstufe trocknen, dann auf Kühlstufe II bringen; bis zur Mittelstufe getrocknet; abgeschlossen; heiß, Grad II; heiß im Zubereitungsrahmen, Grad II; Rohstoffklasse I; trocken, Grad I; [okalchey:?]; holziger Pflanzenteil, stark erhitzt, Endstufe
37	f115r	f115r.40	S	B	@	10	10	2	1	1	0	5	3	-2	0	0	0	5|8	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733	paiinody lkcheo lchy qokchedy qokl sheedy qokar aiir ar opchdain	[paiinody:?] | [lkcheo:?] | Drogenholz, trockene Grundform | heiß und trocken in der Mitte des Grades, abgeschlossen | holzigen Pflanzenteil erhitzen | feucht am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | Anteil III | Drogenfraktion I | [opchdain:?]	[paiinody:?] | [lkcheo:?] | Drogenholz, trockene Grundform | heiß und trocken, Mittelstufe erreicht; abgeschlossen | holzigen Pflanzenteil erhitzen | vollständig angefeuchtet; abgeschlossen | heiße Drogenfraktion I | Anteil III | Drogenfraktion I | [opchdain:?]	[paiinody:?] | [lkcheo:?] | Drogenholz, trockene Grundform | heiß und trocken, Mittelstufe erreicht; abgeschlossen | holzigen Pflanzenteil erhitzen | vollständig angefeuchtet; abgeschlossen | heiße Drogenfraktion I | Anteil III | Drogenfraktion I | [opchdain:?]	[paiinody:?]; [lkcheo:?]; Drogenholz, trockene Grundform; heiß und trocken, Mittelstufe erreicht; abgeschlossen; [qokl:?]; vollständig angefeuchtet; abgeschlossen; heiße Drogenfraktion I; [aiir:?]; Drogenfraktion I; [opchdain:?]	[paiinody:?]; [lkcheo:?]; Drogenholz, trockene Grundform; heiß und trocken, Mittelstufe erreicht; abgeschlossen; holzigen Pflanzenteil erhitzen; vollständig angefeuchtet; abgeschlossen; heiße Drogenfraktion I; Anteil III; Drogenfraktion I; [opchdain:?]
