visible_surface	master_card_id	joint_tuple_id	master_head_form	surface_role	short_meaning_de	component_reading	macro_id	observed_event_count	direct_lookup_unique	context_needed_for_card_identity	previous_short_meaning_de	unique_short_meaning_de	gloss_revision
orain	MC072	6afeb5c9ab9f6cbdea0d	orain	FIXED_REGISTERED_FORM	Ansatzportion	OR_BATCH+AIN_PORTION	M04	1	YES	NO	Ansatzportion	Ansatzportion	UNCHANGED_UNIQUE
os	MC159	df1098831679a8ad1b39	os	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO	Gefaess	Mischgefäß	DISAMBIGUATED_DUPLICATE
otaiin	MC060	54d0e228ca346110af05	otaiin	MASTER_HEAD_FORM	Folgemaß	OT_FOLLOW+AIIN_MEASURE	M04	2	YES	NO	Folgemaß	Folgemaß	UNCHANGED_UNIQUE
otal	MC093	90bcf0a9ec0ef56399e6	otal	MASTER_HEAD_FORM	danach dorthin	OT_NEXT+AL_TO	M05	1	YES	NO	danach dorthin	danach dorthin	UNCHANGED_UNIQUE
otar	MC121	b6b654722e55729cc947	otar	FIXED_REGISTERED_FORM	danach von dort	OT_NEXT+AR_FROM	M05	1	YES	NO	danach von dort	danach von dort	UNCHANGED_UNIQUE
otchdy	MC067	601b77449028deed39de	otchdy	FIXED_REGISTERED_FORM	Folgeumsetzung; Schluss	OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO	Folgeumsetzung; Schluss	Folgegang vollziehen; Schluss	DISAMBIGUATED_DUPLICATE
otchedy	MC057	4de12cf322dfb76ded1e	otchedy	MASTER_HEAD_FORM	Folgeumsetzung; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO	Folgeumsetzung; Schluss	nächsten Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
otchey	MC171	faf321940aed922846a9	otchey	FIXED_REGISTERED_FORM	Folgeposten	OT_FOLLOW+Y_CURRENT_ITEM	M02	2	YES	NO	Folgeposten	nächster Teilposten	DISAMBIGUATED_DUPLICATE
otchor	MC013	10488b911aae52b3b334	otchor	MASTER_HEAD_FORM	Folgeansatz	OT_FOLLOW+OR_BATCH	M03	1	YES	NO	Folgeansatz	Folgeansatz	UNCHANGED_UNIQUE
otedy	MC135	c45ebac60774620561e2	otedy	FIXED_REGISTERED_FORM	kurze Folge; Schluss	OT_FOLLOW+GRADE_1+CLOSE	M02	2	YES	NO	kurze Folge; Schluss	kurze Folge; Schluss	UNCHANGED_UNIQUE
oteey	MC063	5d5e0b288cf36864ed9d	oteey	FIXED_REGISTERED_FORM	langer Folgeposten	OT_FOLLOW+GRADE_2+Y_ITEM	M02	2	YES	NO	langer Folgeposten	langer Folgeposten	UNCHANGED_UNIQUE
otol	MC053	497cbd9c7401810ff56b	otol	FIXED_REGISTERED_FORM	danach fortsetzen	OT_FOLLOW+OL_CONTINUE	M02	1	YES	NO	danach fortsetzen	danach fortsetzen	UNCHANGED_UNIQUE
otytchol	MC069	62ff059766b21c7de083	otytchol	FIXED_REGISTERED_FORM	naechsten Teilposten weiterfuehren	OT_FOLLOW+TY_PART+OL_CONTINUE	M04	1	YES	NO	naechsten Teilposten weiterfuehren	naechsten Teilposten weiterfuehren	UNCHANGED_UNIQUE
oykchor	MC027	27d97af8c96eb056c2e6	oykchor	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO	Gefaess	Ansatzgefäß	DISAMBIGUATED_DUPLICATE
pchedal	MC126	ba540da978ea132f6da5	pchedal	FIXED_REGISTERED_FORM	Einlass	P_IN+CHED_TRANSFER+AL_TO	M06	1	YES	NO	Einlass	Einlass	UNCHANGED_UNIQUE
pchedy	MC070	65df3cd9e59060042d47	pchedy	FIXED_REGISTERED_FORM	einführen; Schluss	P_IN+CHED_TRANSFER+TERMINAL	M06	1	YES	NO	einführen; Schluss	einführen; Schluss	UNCHANGED_UNIQUE
qcthey	MC073	6b89d6dd70635bc60fe0	qcthey	MASTER_HEAD_FORM	kurz bereithalten	CTH_READY+GRADE_1+Y_CURRENT	M08	1	YES	NO	kurz bereithalten	kurz bereithalten	UNCHANGED_UNIQUE
qekey	MC052	43eb9aa12959b4d5cdc9	qekey	FIXED_REGISTERED_FORM	roh	MEMORIZED_WHOLE_CARD	M08	1	YES	NO	roh	roh	UNCHANGED_UNIQUE
qockhey	MC165	ecce30bc8dcc400bf2c8	qockhey	FIXED_REGISTERED_FORM	kurzen Durchlauf ansetzen	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	M06	1	YES	NO	kurzen Durchlauf ansetzen	kurzen Durchlauf ansetzen	UNCHANGED_UNIQUE
qoctholy	MC115	af816c04e65874a0f2fa	qoctholy	FIXED_REGISTERED_FORM	bereiten Posten weiterfuehren	CTH_READY+OL_CONTINUE+Y_CURRENT	M08	1	YES	NO	bereiten Posten weiterfuehren	bereiten Posten weiterfuehren	UNCHANGED_UNIQUE
qokaiin	MC120	b5fcea1eaed06b2f2291	okaiin	Q_CELL_VARIANT	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	M04	8	YES	NO	auf Sollmaß einstellen	auf Sollmaß einstellen	UNCHANGED_UNIQUE
qokain	MC017	1645e612504fcef59ced	okain	Q_CELL_VARIANT	eine Portion zugeben	OK+AIN_PORTION	M04	4	YES	NO	eine Portion zugeben	eine Portion zugeben	UNCHANGED_UNIQUE
qokal	MC040	308e8ea2d5d190c498e8	okal	Q_CELL_VARIANT	dort ansetzen	OK_SET+AL_TO	M07	4	YES	NO	dort ansetzen	dort ansetzen	UNCHANGED_UNIQUE
qokaly	MC054	4a7a6326ac95a8809302	qokaly	FIXED_REGISTERED_FORM	dies dort ansetzen	OK_SET+AL_TO+Y_ITEM	M07	1	YES	NO	dies dort ansetzen	dies dort ansetzen	UNCHANGED_UNIQUE
qokar	MC044	3ae9a121ba0045b913e8	qokar	FIXED_REGISTERED_FORM	daraus ansetzen	OK_SET+AR_FROM	M07	1	YES	NO	daraus ansetzen	daraus ansetzen	UNCHANGED_UNIQUE
qokchdy	MC088	87411f84689b4f93a303	qokchdy	FIXED_REGISTERED_FORM	umsetzen; Schluss	OK+CHD_TRANSFER+CLOSE	M06	3	YES	NO	umsetzen; Schluss	Umsetzung ansetzen; Schluss	DISAMBIGUATED_DUPLICATE
qokchedy	MC005	07913ef9b1fb773cd325	okchedy	Q_CELL_VARIANT	umsetzen; Schluss	OK+CHED_TRANSFER+CLOSE	M06	1	YES	NO	umsetzen; Schluss	angesetzten Inhalt überführen; Schluss	DISAMBIGUATED_DUPLICATE
qokchy	MC103	9ad66e67803a12e745de	chokchy	Q_CELL_VARIANT	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO	Posten ansetzen	Posten zur Weiterbearbeitung ansetzen	DISAMBIGUATED_DUPLICATE
qokedy	MC083	7db18b2f0fb7ed0fcfd3	qokedy	FIXED_REGISTERED_FORM	kurz ansetzen; Schluss	OK_SET+GRADE_1+DY_CLOSE	M07	8	YES	NO	kurz ansetzen; Schluss	kurz ansetzen; Schluss	UNCHANGED_UNIQUE
qokeedal	MC096	93f69c38fdedee1598e9	qokeedal	FIXED_REGISTERED_FORM	dort länger halten	OK_SET+EE_HOLD+AL_TO	M07	1	YES	NO	dort länger halten	dort länger halten	UNCHANGED_UNIQUE
qokeedy	MC082	7d25241b0e56c836372a	qokeedy	FIXED_REGISTERED_FORM	länger ansetzen; Schluss	OK_SET+GRADE_2+DY_CLOSE	M07	10	YES	NO	länger ansetzen; Schluss	länger ansetzen; Schluss	UNCHANGED_UNIQUE
qokeeedy	MC140	d25110e0d8488927278f	qokeeedy	FIXED_REGISTERED_FORM	vollständig ansetzen; Schluss	OK_SET+GRADE_3+DY_CLOSE	M07	1	YES	NO	vollständig ansetzen; Schluss	vollständig ansetzen; Schluss	UNCHANGED_UNIQUE
qokeey	MC002	0275fbf14e07935b0a45	okeey	Q_CELL_VARIANT	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	M07	6	YES	NO	länger ansetzen	länger ansetzen	UNCHANGED_UNIQUE
qokey	MC007	08bd5ca0c2ad137a056d	okey	Q_CELL_VARIANT	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	M07	1	YES	NO	kurz ansetzen	kurz ansetzen	UNCHANGED_UNIQUE
qokokchy	MC015	1322bc176443fc2a8a86	qokokchy	FIXED_REGISTERED_FORM	erneut ansetzen	OK_SET+OK_REPEAT+Y_CURRENT	M07	1	YES	NO	erneut ansetzen	erneut ansetzen	UNCHANGED_UNIQUE
qokol	MC024	232195d6ff2f326322f7	qokol	FIXED_REGISTERED_FORM	Fortsetzung einsetzen	OK_SET+OL_CONTINUE	M07	1	YES	NO	Fortsetzung einsetzen	Fortsetzung ansetzen	DISAMBIGUATED_DUPLICATE
qokshedy	MC151	db167f8e9b53eefb58f8	qokshedy	FIXED_REGISTERED_FORM	absetzen; Schluss	OK_SET+SHED_SETTLE+CLOSE	M07	1	YES	NO	absetzen; Schluss	Absetzgang ansetzen; Schluss	DISAMBIGUATED_DUPLICATE
qoky	MC026	276a7c2d74d1143446f4	choky	Q_CELL_VARIANT	Posten ansetzen	OK_SET+Y_OPEN	M07	7	YES	NO	Posten ansetzen	aktuellen Posten ansetzen	DISAMBIGUATED_DUPLICATE
qokylddy	MC164	eb2e4bc143f623ee03ac	qokylddy	FIXED_REGISTERED_FORM	befestigen	OK+Y_ITEM+LDDY_FASTEN_CLOSE	M07	1	YES	NO	befestigen	befestigen	UNCHANGED_UNIQUE
qol	MC153	dcda95c81a5460feb191	cheol	Q_CELL_VARIANT	fortsetzen	OL_CONTINUE	M02	3	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
qolchedy	MC028	28ffbc88b97772a75f1e	olchedy	Q_CELL_VARIANT	fortsetzen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	M06	2	YES	NO	fortsetzen; Schluss	weiterüberführen; Schluss	DISAMBIGUATED_DUPLICATE
qolchey	MC162	e2eb77ca9d9e1a8ba29a	qolchey	FIXED_REGISTERED_FORM	diesen Posten weiterfuehren	OL_CONTINUE+Y_CURRENT	M02	1	YES	NO	diesen Posten weiterfuehren	diesen Posten weiterfuehren	UNCHANGED_UNIQUE
qolkain	MC097	94df4847b7b16c98394a	olkain	Q_CELL_VARIANT	weitere Portion	OL_CONTINUE+AIN_PORTION	M04	1	YES	NO	weitere Portion	weitere Portion	UNCHANGED_UNIQUE
qolky	MC134	c205570c49d4d93c23d3	qolky	FIXED_REGISTERED_FORM	weiterfuehren	Q_FRAME+OL_CONTINUE+KY_PATH	M02	1	YES	NO	weiterfuehren	auf dem Arbeitsweg weiterleiten	DISAMBIGUATED_DUPLICATE
qotal	MC093	90bcf0a9ec0ef56399e6	otal	Q_CELL_VARIANT	danach dorthin	OT_NEXT+AL_TO	M05	2	YES	NO	danach dorthin	danach dorthin	UNCHANGED_UNIQUE
qotchedy	MC057	4de12cf322dfb76ded1e	otchedy	Q_CELL_VARIANT	Folgeumsetzung; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO	Folgeumsetzung; Schluss	nächsten Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
qotchol	MC163	e8a6105b5c3a6220b440	qotchol	FIXED_REGISTERED_FORM	danach weiterfuehren	OT_FOLLOW+OL_CONTINUE	M02	1	YES	NO	danach weiterfuehren	danach weiterfuehren	UNCHANGED_UNIQUE
qotchor	MC013	10488b911aae52b3b334	otchor	Q_CELL_VARIANT	Folgeansatz	OT_FOLLOW+OR_BATCH	M03	1	YES	NO	Folgeansatz	Folgeansatz	UNCHANGED_UNIQUE
qotchy	MC107	a48efd6c4491a046ba78	qotchy	FIXED_REGISTERED_FORM	Folgeposten	OT_FOLLOW+CHY_ITEM	M02	1	YES	NO	Folgeposten	anschließender Arbeitsposten	DISAMBIGUATED_DUPLICATE
qotedaiin	MC018	1779decef17481ec2853	qotedaiin	FIXED_REGISTERED_FORM	kurzes Folgemass	OT_FOLLOW+E_SHORT+AIIN_MEASURE	M04	1	YES	NO	kurzes Folgemass	kurzes Folgemass	UNCHANGED_UNIQUE
qoteedy	MC173	ff178343c18e287ce3b7	qoteedy	FIXED_REGISTERED_FORM	lange Folge; Schluss	OT_FOLLOW+GRADE_2+CLOSE	M02	2	YES	NO	lange Folge; Schluss	lange Folge; Schluss	UNCHANGED_UNIQUE
ral	MC056	4da0f0f7b5fc7ac20067	ral	FIXED_REGISTERED_FORM	zur Zielstelle	R_FRAME+AL_TO	M05	1	YES	NO	zur Zielstelle	zur Zielstelle	UNCHANGED_UNIQUE
raly	MC046	3e9c7f217843b588489d	raly	FIXED_REGISTERED_FORM	diesen Posten dorthin	AL_TO+Y_CURRENT	M05	1	YES	NO	diesen Posten dorthin	diesen Posten dorthin	UNCHANGED_UNIQUE
rol	MC016	1496a731803a9f48d2e1	rol	FIXED_REGISTERED_FORM	weiterfuehren	R_FRAME+OL_CONTINUE	M02	1	YES	NO	weiterfuehren	vom vorigen Gang weiterführen	DISAMBIGUATED_DUPLICATE
rsheal	MC102	98bdc4244c84cbef3321	rsheal	FIXED_REGISTERED_FORM	kurz am Ziel ruhen	R_FRAME+SH_REST+E_SHORT+AL_TO	M08	1	YES	NO	kurz am Ziel ruhen	kurz am Ziel ruhen	UNCHANGED_UNIQUE
rshedy	MC084	7f68f60279efe6b28cd7	rshedy	FIXED_REGISTERED_FORM	Waschgang	RSHE_WASH_WHOLE_CARD+DY_CLOSE	M07	1	YES	NO	Waschgang	Waschgang abschließen	DISAMBIGUATED_DUPLICATE
saiin	MC039	2f1c5e56e8f0ff459065	aiin	S_LINE_VARIANT	Sollmaß	AIIN_TARGET_MEASURE	M04	4	YES	NO	Sollmaß	Sollmaß	UNCHANGED_UNIQUE
sal	MC154	dd0ecaf5e27d81befffc	al	S_LINE_VARIANT	dorthin	AL_TO	M05	1	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
sar	MC055	4d4559019a961b834aa1	char	S_LINE_VARIANT	daraus	AR_FROM	M05	1	YES	NO	daraus	aus dem Ansatz	DISAMBIGUATED_DUPLICATE
schedair	MC116	b154ff779abe5f196c80	schedair	FIXED_REGISTERED_FORM	Wasser weiterleiten	SCHED_LEAD+AIR_WATER	M06	1	YES	NO	Wasser weiterleiten	Wasser weiterleiten	UNCHANGED_UNIQUE
schedy	MC025	259b2b3b0bf859882e2c	dchedy	S_LINE_VARIANT	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	2	YES	NO	umsetzen; Schluss	Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
schoal	MC049	428a5e3662aa57b4b256	schoal	FIXED_REGISTERED_FORM	Zutat dorthin	HO_INGREDIENT+AL_TO	M01	1	YES	NO	Zutat dorthin	Zutat an die Arbeitsstelle geben	DISAMBIGUATED_DUPLICATE
schol	MC142	d665560c8ff80799a82c	dchol	S_LINE_VARIANT	Voriges	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE	M02	1	YES	NO	Voriges	Voriges	UNCHANGED_UNIQUE
sh	MC114	ad3581d3144f69a5912d	sh	FIXED_REGISTERED_FORM	Staengel	MEMORIZED_WHOLE_CARD	M07	1	YES	NO	Staengel	Staengel	UNCHANGED_UNIQUE
shckhedy	MC143	d68bc8de3bcee09db23c	shckhedy	FIXED_REGISTERED_FORM	seihen; Schluss	CKHE_STRAIN+TERMINAL	M07	3	YES	NO	seihen; Schluss	seihen; Schluss	UNCHANGED_UNIQUE
shckhy	MC035	2cc8bb3c2af19607888f	chckhy	S_LINE_VARIANT	durchleiten	CKH_THROUGH+Y_ITEM	M06	1	YES	NO	durchleiten	durchleiten	UNCHANGED_UNIQUE
shcthey	MC073	6b89d6dd70635bc60fe0	qcthey	S_LINE_VARIANT	kurz bereithalten	CTH_READY+GRADE_1+Y_CURRENT	M08	1	YES	NO	kurz bereithalten	kurz bereithalten	UNCHANGED_UNIQUE
shcthy	MC161	e0b630cb1b5df5e7105b	checthy	S_LINE_VARIANT	bereit	CTH_READY+Y_CURRENT	M08	2	YES	NO	bereit	bereit	UNCHANGED_UNIQUE
sheckhal	MC058	4eab1841ed655c20a348	sheckhal	FIXED_REGISTERED_FORM	kurz zur Zielstelle durchleiten	CKH_THROUGH+E_SHORT+AL_TO	M06	1	YES	NO	kurz zur Zielstelle durchleiten	kurz zur Zielstelle durchleiten	UNCHANGED_UNIQUE
sheckhy	MC132	c1913ec4ff84148da6d3	sheckhy	FIXED_REGISTERED_FORM	kurz durchleiten	CKH_THROUGH+E_SHORT+Y_CURRENT	M06	1	YES	NO	kurz durchleiten	kurz durchleiten	UNCHANGED_UNIQUE
shecthedchy	MC043	348e81ba084c5acdb32b	shecthedchy	FIXED_REGISTERED_FORM	bereiten Posten umsetzen	CTH_READY+CHED_TRANSFER+Y_CURRENT	M06	1	YES	NO	bereiten Posten umsetzen	bereiten Posten umsetzen	UNCHANGED_UNIQUE
shecthy	MC137	cb57b696b815fdef9cb7	shecthy	FIXED_REGISTERED_FORM	kurz bereit halten	CTH_READY+E_SHORT+Y_CURRENT	M08	1	YES	NO	kurz bereit halten	kurz bereit halten	UNCHANGED_UNIQUE
shedal	MC113	abb23e5e6936b4147f76	shedal	FIXED_REGISTERED_FORM	dort absetzen	SHED_SETTLE+AL_TO	M07	2	YES	NO	dort absetzen	dort absetzen	UNCHANGED_UNIQUE
shedy	MC128	bc4f1f5c006c74a4d26d	cheedy	S_LINE_VARIANT	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	10	YES	NO	absetzen; Schluss	kurz absetzen lassen; Schluss	DISAMBIGUATED_DUPLICATE
sheedy	MC003	03626ca94cb17800d767	sheedy	FIXED_REGISTERED_FORM	länger absetzen; Schluss	SHED_SETTLE+GRADE_2+DY_CLOSE	M07	1	YES	NO	länger absetzen; Schluss	länger absetzen; Schluss	UNCHANGED_UNIQUE
sheey	MC095	92e43836d82f98bf02d3	sheey	FIXED_REGISTERED_FORM	laenger ruhen	SH_REST+EE_LONG+Y_CURRENT	M08	1	YES	NO	laenger ruhen	laenger ruhen	UNCHANGED_UNIQUE
shey	MC119	b5df9126607030b95175	cheey	S_LINE_VARIANT	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	M08	2	YES	NO	Klarlauf	klarer Auszug	DISAMBIGUATED_DUPLICATE
shfydaiin	MC111	a8af08e69edab8e54f15	shfydaiin	FIXED_REGISTERED_FORM	Standmaß	SHFY_STAND+AIIN_MEASURE	M04	1	YES	NO	Standmaß	Standmaß	UNCHANGED_UNIQUE
sho	MC034	2cc054357a929df85f64	cho	S_LINE_VARIANT	Zutat	HO_INGREDIENT	M01	2	YES	NO	Zutat	Zutat	UNCHANGED_UNIQUE
shor	MC080	7a4bb8136330ee4e6e56	chor	S_LINE_VARIANT	Ansatz	OR_BATCH	M03	1	YES	NO	Ansatz	Ansatz	UNCHANGED_UNIQUE
shoyty	MC062	577c03a928d674d420d7	shoyty	FIXED_REGISTERED_FORM	Zutatenteil	HO_INGREDIENT+Y_CURRENT+TY_PART	M04	1	YES	NO	Zutatenteil	Zutatenteil	UNCHANGED_UNIQUE
shy	MC123	b921a237be883a820352	chey	S_LINE_VARIANT	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
skar	MC089	883a6708116c342cb10b	skar	FIXED_REGISTERED_FORM	von dort ausgiessen	SK_POUR+AR_FROM	M06	1	YES	NO	von dort ausgiessen	von dort ausgiessen	UNCHANGED_UNIQUE
soiiin	MC033	2c82523794dcb7d2b343	oiiin	S_LINE_VARIANT	Sollstufe	IIN_TARGET_STAGE	M04	1	YES	NO	Sollstufe	Sollstufe	UNCHANGED_UNIQUE
sol	MC153	dcda95c81a5460feb191	cheol	S_LINE_VARIANT	fortsetzen	OL_CONTINUE	M02	3	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
solkaiin	MC036	2d2e37ccb2dacc53ee5a	solkaiin	FIXED_REGISTERED_FORM	bis Sollmass sammeln	SOLK_COLLECT+AIIN_MEASURE	M04	1	YES	NO	bis Sollmass sammeln	bis Sollmass sammeln	UNCHANGED_UNIQUE
solkeedy	MC045	3b70942557b3a40e8030	olkeedy	S_LINE_VARIANT	länger sammeln; Schluss	SOLK_COLLECT+EE_LONG+TERMINAL	M07	1	YES	NO	länger sammeln; Schluss	länger sammeln; Schluss	UNCHANGED_UNIQUE
solkeey	MC020	1bfd786e6b8b63734a59	solkeey	FIXED_REGISTERED_FORM	länger sammeln	SOLK_COLLECT+EE_LONG+Y_ITEM	M07	1	YES	NO	länger sammeln	länger sammeln	UNCHANGED_UNIQUE
solkey	MC050	42cdc187d5b9ffc60063	solkey	FIXED_REGISTERED_FORM	kurz sammeln	SOLK_COLLECT+E_SHORT+Y_ITEM	M07	1	YES	NO	kurz sammeln	kurz sammeln	UNCHANGED_UNIQUE
solshedy	MC149	daa1347f456415fe8737	solshedy	FIXED_REGISTERED_FORM	weiter absetzen; Schluss	OL_CONTINUE+SHED_SETTLE+CLOSE	M07	1	YES	NO	weiter absetzen; Schluss	weiter absetzen; Schluss	UNCHANGED_UNIQUE
sor	MC080	7a4bb8136330ee4e6e56	chor	S_LINE_VARIANT	Ansatz	OR_BATCH	M03	1	YES	NO	Ansatz	Ansatz	UNCHANGED_UNIQUE
sotaiin	MC060	54d0e228ca346110af05	otaiin	S_LINE_VARIANT	Folgemaß	OT_FOLLOW+AIIN_MEASURE	M04	1	YES	NO	Folgemaß	Folgemaß	UNCHANGED_UNIQUE
sotodan	MC068	61a075bc54793c1c781f	sotodan	FIXED_REGISTERED_FORM	danach anwenden	S_FRAME+OT_FOLLOW+DAN_APPLY	M07	1	YES	NO	danach anwenden	danach anwenden	UNCHANGED_UNIQUE
sshkchdy	MC061	54e32e9c1414b20640e9	sshkchdy	FIXED_REGISTERED_FORM	schwenken	SSHK_SWIVEL_WHOLE+CLOSE	M07	1	YES	NO	schwenken	schwenken	UNCHANGED_UNIQUE
sy	MC123	b921a237be883a820352	chey	S_LINE_VARIANT	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
taiin	MC039	2f1c5e56e8f0ff459065	aiin	OTHER_REGISTERED_ALLOGRAPH	Sollmaß	AIIN_TARGET_MEASURE	M04	1	YES	NO	Sollmaß	Sollmaß	UNCHANGED_UNIQUE
tal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	1	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
talam	MC160	e026af581c99322fbd46	talam	FIXED_REGISTERED_FORM	am Ziel verwahren	T_STORE_FRAME+AL_TO+AM_STORE	M05	1	YES	NO	am Ziel verwahren	am Ziel verwahren	UNCHANGED_UNIQUE
tchedy	MC025	259b2b3b0bf859882e2c	dchedy	OTHER_REGISTERED_ALLOGRAPH	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	1	YES	NO	umsetzen; Schluss	Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
tchody	MC037	2e2027b1951d79911e24	tchody	FIXED_REGISTERED_FORM	kalt stellen	TCHO_COOL+DY_CLOSE	M07	1	YES	NO	kalt stellen	kalt stellen	UNCHANGED_UNIQUE
tedy	MC128	bc4f1f5c006c74a4d26d	cheedy	OTHER_REGISTERED_ALLOGRAPH	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	1	YES	NO	absetzen; Schluss	kurz absetzen lassen; Schluss	DISAMBIGUATED_DUPLICATE
teol	MC106	a06244ef1f2b37ca44c1	teol	FIXED_REGISTERED_FORM	kurz weiterfuehren	E_SHORT+OL_CONTINUE	M02	1	YES	NO	kurz weiterfuehren	kurz weiterleiten	DISAMBIGUATED_DUPLICATE
tol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	1	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
tshey	MC141	d4a31dbcf1ed6d9e5aa9	tshey	FIXED_REGISTERED_FORM	Klarlauf	T_FRAME+SHEY_CLEAR_FLOW	M08	1	YES	NO	Klarlauf	Klarlauf zugeben	DISAMBIGUATED_DUPLICATE
tshol	MC098	953ad19b79517fc8a211	tshol	FIXED_REGISTERED_FORM	Zutat entnehmen	T_FRAME+HO_INGREDIENT+L_OUT	M06	1	YES	NO	Zutat entnehmen	Zutat entnehmen	UNCHANGED_UNIQUE
y	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
ycheor	MC075	7249edc4df3419c26999	ycheor	FIXED_REGISTERED_FORM	Auszugsansatz	Y_ITEM+CHEO_EXTRACT+OR_BATCH	M03	1	YES	NO	Auszugsansatz	Auszugsansatz	UNCHANGED_UNIQUE
ykaiin	MC170	f7dc90b2c31fd341f0a4	ykaiin	FIXED_REGISTERED_FORM	Postenmaß	Y_ITEM+AIIN_MEASURE	M04	1	YES	NO	Postenmaß	Postenmaß	UNCHANGED_UNIQUE
ykain	MC047	403c1592f918c8f23b88	ykain	FIXED_REGISTERED_FORM	Postenportion	Y_ITEM+AIN_PORTION	M04	1	YES	NO	Postenportion	Postenportion	UNCHANGED_UNIQUE
ykan	MC148	d929a14ec45749b2e805	ykan	FIXED_REGISTERED_FORM	dieser Anteil	Y_ITEM+AIN_PORTION	M04	1	YES	NO	dieser Anteil	dieser Anteil	UNCHANGED_UNIQUE
ytey	MC109	a7af89ab31ce5e247395	ytey	FIXED_REGISTERED_FORM	fuellen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO	fuellen	fuellen	UNCHANGED_UNIQUE
