surface	occurrence_count	one_edit_source_count	best_shared_context_score	distinct_candidate_recipe_count	selected_recipe	selection_status	manual_recipe_seen_in_one_edit_candidates	candidate_recipes_by_weight	supporting_surfaces_for_selection	transform_rules_for_selection
podar	1	3	4	2	P+O+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	YES	P+O+DA+R::2 | P+O+D_ADDR+AR::2	odar|qodar	VISIBLE_INSERT_P|VISIBLE_SUBSTITUTION
polchdy	1	2	6	2	P+OL+CHD+DY	NEW_VISIBLE_COMPOSITION	YES	P+OL+CHD+DY::1 | P+OL+CHD+Y::1	olchdy	VISIBLE_INSERT_P
polchoy	1	1	4	1	P+OL+CH+O+Y	NEW_VISIBLE_COMPOSITION	NO	P+OL+SH+O+Y::2		
pshedar	1	2	6	2	P+SH+E+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	YES	P+SH+E+AR::2 | P+SH+E+D_ADDR+AR::1	shedar	VISIBLE_INSERT_P
pydeey	1	13	3	12	P+Y+D_ADDR+EE+Y	NEW_MICROFORM_OLD_FACTORS	NO	SH+D_ADDR+EE+Y::42 | OK+D_ADDR+EE+Y::14 | OT+D_ADDR+EE+Y::12 | Y+K+D_ADDR+EE+Y::5 | O+D_ADDR+EE+Y::2 | A_ADDR+T+D_ADDR+EE+Y::1 | CARRIER_Q+D_ADDR+EEE+Y::1 | L+K+D_ADDR+EE+Y::1 | P+EE+Y::1 | S+O+D_ADDR+EE+Y::1 | T+D_ADDR+EEE+Y::1 | Y+T+D_ADDR+EE+Y::1		
qcthdys	1	1	4	1	CH+T+D_ADDR+Y+S	NEW_MICROFORM_OLD_FACTORS	NO	CH+T+E+Y+S::1		
qodain	1	1	6	1	CARRIER_Q+O+AIN	NEW_VISIBLE_COMPOSITION	YES	CARRIER_Q+O+AIN::1	qodaiin	VISIBLE_I_CHANGE
qodom	1	2	4	2	CARRIER_Q+O+D_ADDR+O+AM_ADDR	NEW_MICROFORM_OLD_FACTORS	NO	CARRIER_Q+O+D_ADDR+M_LOCAL+OR::1 | O+D_ADDR+O+AM_ADDR::1		
qofaiin	1	4	6	4	CARRIER_Q+O+LOCAL_CHAR_F+AIIN	NEW_VISIBLE_COMPOSITION	NO	OK+F+AIIN::37 | OT+F+AIIN::8 | CARRIER_Q+F+O+AIIN::1 | OL+F+AIIN::1		
qofchdaiin	1	1	7	1	CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	NEW_VISIBLE_COMPOSITION	NO	OT+SH+E+AIIN::1		
qokch	1	1	5	1	OK+CH	NEW_VISIBLE_COMPOSITION	NO	OK::7		
qokechedy	1	2	8	2	OK+E+CHD+DY	NEW_VISIBLE_COMPOSITION	YES	OK+E+CHD+Y::3 | OK+E+CHD+DY::1	qokechdy	LICENSED_CHD_CHED
qokeeod	1	1	7	1	OK+EE+O+D_ADDR	NEW_MICROFORM_OLD_FACTORS	YES	OK+EE+O+D_ADDR::1	qokeeody	VISIBLE_REMOVE_Y
qokesdy	1	3	6	3	OK+E+S+DY	NEW_MICROFORM_OLD_FACTORS	YES	OK+EE+S+DY::64 | OK+E+S+DY::49 | OK+E+S+D_ADDR+Y::8	qokedy	VISIBLE_INSERT_S
qoko	1	4	4	1	OK+O	NEW_VISIBLE_COMPOSITION	YES	OK+O::16	qokeo|qokod|qokol|qokor	VISIBLE_DELETE_L|VISIBLE_DELETE_R|VISIBLE_E_GRADE|VISIBLE_REMOVE_D_ADDRESS
qoksh	1	1	3	1	OK+SH	NEW_VISIBLE_COMPOSITION	NO	OK+Y+SH::26		
qokshy	1	1	6	1	OK+SH+Y	NEW_VISIBLE_COMPOSITION	YES	OK+SH+Y::1	qokshdy	VISIBLE_REMOVE_CLOSE
qolsheedy	1	3	8	3	OL+SH+EE+DY	NEW_VISIBLE_COMPOSITION	YES	CARRIER_Q+O+L+SH+EE+D_ADDR+Y::1 | OL+SH+EE+DY::1 | OL+SH+SH+EE+DY::1	olsheedy	LICENSED_Q_WRAPPER
qopchol	1	1	7	1	CARRIER_Q+O+P+CH+OL	NEW_MICROFORM_OLD_FACTORS	NO	CARRIER_Q+O+CH+T+OL::1		
qotaldar	1	1	5	1	OT+AL+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	NO	OK+E+L+D_ADDR+AR::1		
qotches	1	1	5	1	OT+CH+E+S	NEW_VISIBLE_COMPOSITION	NO	OT+Y+S::5		
qotchey	1	1	7	1	OT+CHD+Y	NEW_MICROFORM_OLD_FACTORS	YES	OT+CHD+Y::2	qotchedy	VISIBLE_REMOVE_CLOSE
qoteesy	1	2	6	2	OT+EE+S+Y	NEW_MICROFORM_OLD_FACTORS	YES	OT+EE+S+DY::18 | OT+EE+S+Y::5	qoteey	VISIBLE_INSERT_S
ro	1	2	2	2	R+O	NEW_VISIBLE_COMPOSITION	YES	R+O::4 | OR::2	rol	VISIBLE_DELETE_L
roloty	1	1	3	1	R+OL+OT+Y	NEW_MICROFORM_OLD_FACTORS	NO	CH+L+OT+Y::3		
sckhey	1	1	6	1	S+CH+K+E+Y	NEW_VISIBLE_COMPOSITION	YES	S+CH+K+E+Y::2	shckhey	VISIBLE_REMOVE_H
shcthaiin	1	2	6	2	SH+CH+T+AIIN	NEW_VISIBLE_COMPOSITION	NO	SH+E+SH+AIIN::4 | SH+OK+SH+AIIN::1		
shecphy	1	3	6	1	SH+E+CH+P+Y	NEW_VISIBLE_COMPOSITION	YES	SH+E+CH+P+Y::9	shechy|sheckhy|shecthy	VISIBLE_INSERT_P|VISIBLE_SUBSTITUTION
shedain	1	1	7	1	SH+E+AIN	NEW_VISIBLE_COMPOSITION	YES	SH+E+AIN::4	shedaiin	VISIBLE_I_CHANGE
shekaiin	1	3	7	3	SH+E+K+AIIN	NEW_VISIBLE_COMPOSITION	NO	SH+K+E+AIIN::4 | SH+K+AIIN::2 | SH+E+OK+AIIN::1		
shekoiin	1	1	5	1	SH+E+K+O+IIN	NEW_MICROFORM_OLD_FACTORS	NO	OK+E+O+IIN::1		
shekshey	1	5	5	5	SH+E+K+SH+E+Y	NEW_MICROFORM_OLD_FACTORS	NO	SH+CH+K+S+E+Y::2 | SH+CH+T+S+E+Y::2 | OL+SH+K+E+Y::1 | S+A_ADDR+L+K+SH+E+Y::1 | SH+E+OK+E+SH+Y::1		
shekydy	1	2	5	2	SH+E+K+Y+DY	NEW_MICROFORM_OLD_FACTORS	NO	SH+EE+Y+DY::14 | SH+E+O+Y+D_ADDR+Y::3		
sheos	1	1	5	1	SH+E+O+S	NEW_VISIBLE_COMPOSITION	YES	SH+E+O+S::1	sheeos	VISIBLE_E_GRADE
sheyk	1	4	4	2	SH+E+Y+K	NEW_VISIBLE_COMPOSITION	YES	SH+E+Y+K::40 | Y+E+K::1	shek|shey|sheyr	VISIBLE_INSERT_K|VISIBLE_INSERT_Y|VISIBLE_SUBSTITUTION
shoaiin	1	1	7	1	SH+O+AIIN	NEW_VISIBLE_COMPOSITION	NO	SH+OK+AIIN::1		
shod	2	1	4	1	SH+O+D_ADDR	NEW_VISIBLE_COMPOSITION	YES	SH+O+D_ADDR::2	shody	VISIBLE_REMOVE_Y
shodain	1	1	6	1	SH+O+D_ADDR+AIN	NEW_VISIBLE_COMPOSITION	NO	SH+D_ADDR+OK+AIN::1		
shodan	1	4	2	4	SH+O+D_ADDR+AN	NEW_VISIBLE_COMPOSITION	NO	S+AIIN+A_ADDR::20 | D_ADDR+OK+D_ADDR+AN::1 | OK+D_ADDR+AN::1 | OT+D_ADDR+AN::1		
shodary	1	4	4	4	SH+O+D_ADDR+AR+Y	NEW_MICROFORM_OLD_FACTORS	NO	SH+OL+D_ADDR+R+Y::2 | HO+Y+R::1 | SH+O+E+T+R+Y::1 | SH+O+Y+T+R+Y::1		
shok	1	6	3	4	SH+OK	NEW_VISIBLE_COMPOSITION	YES	SH+OK::13 | SH+OR+K::10 | SH+O+K::5 | O+K::1	chok|shol	VISIBLE_SUBSTITUTION
shokcheey	1	1	8	1	SH+OK+CH+EE+Y	NEW_VISIBLE_COMPOSITION	YES	SH+OK+CH+EE+Y::1	sokcheey	VISIBLE_SH_FRAME
shory	1	3	4	3	SH+OR+Y	NEW_VISIBLE_COMPOSITION	YES	SH+OR+Y::10 | SH+O+R+DY::2 | SH+O+R+Y::2	shor	VISIBLE_INSERT_Y
shos	2	6	3	3	SH+O+S	NEW_VISIBLE_COMPOSITION	YES	SH+OL+S::12 | SH+O+S::11 | SH+OR+S::10	chos|shes|sho|shoy	VISIBLE_INSERT_S|VISIBLE_SUBSTITUTION
shoshy	1	1	5	1	SH+O+SH+Y	NEW_VISIBLE_COMPOSITION	NO	HO+SH+Y::1		
shotshey	1	1	6	1	SH+OT+SH+E+Y	NEW_MICROFORM_OLD_FACTORS	NO	SH+OT+EE+SH+Y::1		
shoyfar	1	1	4	1	SH+O+Y+LOCAL_CHAR_F+AR	NEW_MICROFORM_OLD_FACTORS	NO	SH+O+Y+T+Y+R::1		
skchdy	1	3	5	2	S+K+CHD+DY	NEW_VISIBLE_COMPOSITION	NO	S+K+CHD+Y::2 | S+OK+CHD+DY::1		
soiin	2	1	5	1	S+O+IIN	NEW_VISIBLE_COMPOSITION	NO	S+O+LOCAL_CHAR_I+IIN::2		
sory	1	5	3	2	S+OR+Y	NEW_VISIBLE_COMPOSITION	YES	S+OR+Y::10 | S+O+R+Y::1	dory|ory|rory|sor	VISIBLE_INSERT_S|VISIBLE_INSERT_Y|VISIBLE_SUBSTITUTION
syaiir	1	1	3	1	S+Y+IIN+R	NEW_MICROFORM_OLD_FACTORS	NO	D_ADDR+O+A_ADDR+IIN+R::1		
tchar	1	4	4	2	T+CH+AR	NEW_VISIBLE_COMPOSITION	YES	T+AR::5 | T+CH+AR::2	tchor	VISIBLE_SUBSTITUTION
tchdaiin	1	1	6	1	T+CHD+AIIN	NEW_VISIBLE_COMPOSITION	NO	T+SH+O+AIIN::1		
tchey	1	2	5	2	T+CH+E+Y	NEW_MICROFORM_OLD_FACTORS	NO	T+Y::5 | T+CHD+Y::4		
tchodar	1	1	5	1	T+CH+O+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	NO	T+CH+O+DY+R::1		
teody	1	3	5	3	T+E+O+DY	NEW_VISIBLE_COMPOSITION	YES	T+E+O+Y::4 | T+E+O+DY::1 | Y+T+E+O+D_ADDR::1	teeody	VISIBLE_E_GRADE
tochol	1	2	5	2	T+O+CH+OL	NEW_VISIBLE_COMPOSITION	NO	O+T+OL::3 | T+O+OL::1		
tshdal	1	2	4	2	T+SH+D_ADDR+AL	NEW_VISIBLE_COMPOSITION	NO	S+CHD+AL::1 | T+SH+A_ADDR+OL::1		
tshes	1	2	4	2	T+SH+E+S	NEW_VISIBLE_COMPOSITION	YES	SH+E+S::1 | T+SH+E+S::1	shes	VISIBLE_INSERT_T
tshodeesy	1	86	1	84	T+SH+O+D_ADDR+EE+S+Y	NEW_MICROFORM_OLD_FACTORS	NO	CARRIER_Q+O+P+CHD+S+Y::5 | OL+CHD+DY+S::5 | OK+CHD+Y+S::3 | OK+SH+E+DY+S::3 | OL+K+EE+D_ADDR+S+Y::3 | S+OL+CHD+Y+S::3 | SH+CH+K+E+S+DY::3 | AL+SH+E+DY+S::2 | CARRIER_Q+O+CH+T+OL+S+Y::2 | CH+E+O+CH+K+S+Y::2 | L+CH+K+Y+S::2 | OK+E+O+D_ADDR+AL+S+Y::2 | OK+EEE+DY+S::2 | OL+SH+E+DY+S::2 | OT+CHD+DY+S::2 | SH+E+CH+K+E+S+Y::2 | AL+CHD+DY+S::1 | CARRIER_Q+E+P+CHD+S+Y::1 | CARRIER_Q+O+LOCAL_CHAR_F+CHD+S+Y::1 | CARRIER_Q+O+SH+EE+D_ADDR+S+Y::1 | CH+CH+P+E+S+DY::1 | CH+CH+T+E+S+DY::1 | CH+E+CH+K+E+S+Y::1 | CH+E+O+CH+P+S+Y::1 | CH+EE+T+EE+S+Y::1 | CH+K+EE+DY+S::1 | CH+O+CH+T+E+S+Y::1 | CH+OL+D_ADDR+SH+S+Y::1 | CH+OT+CH+E+S+Y::1 | D_ADDR+AIIN+Y+S::1 | D_ADDR+AIN+AL+DY+S::1 | D_ADDR+AIR+CH+E+S+Y::1 | D_ADDR+AR+D_ADDR+AR+S+DY::1 | D_ADDR+OR+SH+E+O+S+Y::1 | D_ADDR+SH+E+CH+K+S+Y::1 | K+O+SH+OL+S+DY::1 | L+CH+P+CHD+S+Y::1 | L+OL+CHD+DY+S::1 | L+SH+E+D_ADDR+AR+S+Y::1 | O+CH+K+E+S+Y::1 | O+L+SH+E+O+D_ADDR+S+Y::1 | O+P+CH+OR+S+DY::1 | OK+A_ADDR+IIN+K+AL+S+Y::1 | OK+A_ADDR+LOCAL_CHAR_I+P+CH+S+Y::1 | OK+CH+E+Y+S::1 | OK+CH+EE+Y+S::1 | OK+CHD+S+DY+S::1 | OK+E+CHD+DY+S::1 | OK+E+O+CH+S+Y::1 | OK+E+O+D_ADDR+S+Y::1 | OK+EE+O+D_ADDR+S+Y::1 | OK+OK+CH+Y+S::1 | OK+Y+L+D_ADDR+S+DY::1 | OL+CH+E+O+S+DY::1 | OL+CH+EE+DY+S::1 | OL+K+EE+CH+S+Y::1 | OL+SH+EE+DY+S::1 | OL+T+EE+DY+S::1 | OR+Y+S::1 | OT+E+O+K+EE+S+Y::1 | OT+EE+O+DY+S::1 | OT+EEE+DY+S::1 | OT+O+CHD+DY+S::1 | OT+OL+P+CH+S+Y::1 | P+CH+O+CH+T+S+Y::1 | P+DA+L+SH+D_ADDR+S+Y::1 | P+D_ADDR+R+AIR+S+DY::1 | P+O+S+A_ADDR+L+SH+S+Y::1 | R+O+SH+CH+K+S+Y::1 | S+AL+CHD+Y+S::1 | S+A_ADDR+L+SH+E+S+Y::1 | S+O+CH+T+O+D_ADDR+S+Y::1 | S+OK+CH+EE+S+Y::1 | S+SH+E+CH+K+S+Y::1 | SH+E+CH+K+D_ADDR+S+Y::1 | SH+E+K+E+D_ADDR+S+Y::1 | SH+E+OL+T+E+S+Y::1 | SH+E+Y+CH+T+S+Y::1 | SH+EE+K+CH+S+Y::1 | SH+EE+OL+S::1 | SH+K+CHD+DY+S::1 | T+EE+OL+AIN+Y::1 | Y+CH+K+Y+S::1 | Y+CH+O+CH+P+S+Y::1		
tshor	1	6	4	2	T+SH+OR	NEW_VISIBLE_COMPOSITION	YES	T+SH+OR::16 | T+SH+O+R::1	dshor|oshor|shor|tchor|tshol	VISIBLE_INSERT_T|VISIBLE_SUBSTITUTION
ychedy	1	1	6	1	Y+CHD+Y	NEW_MICROFORM_OLD_FACTORS	NO	Y+CH+E+D_ADDR+Y::1		
ycheey	1	6	5	4	Y+SH+EE+Y	NEW_VISIBLE_COMPOSITION	YES	Y+SH+EE+Y::24 | Y+EE+Y::3 | Y+CH+EE+Y::2 | Y+Y+Y::1	cheey	VISIBLE_INSERT_Y
ycheol	1	5	5	1	Y+CH+E+O+L	NEW_VISIBLE_COMPOSITION	YES	Y+CH+E+O+L::31	cheol|ocheol|tcheol|ycheo|ycheor	VISIBLE_INSERT_L|VISIBLE_INSERT_Y|VISIBLE_SUBSTITUTION
ycho	1	3	4	1	Y+CH+O	NEW_VISIBLE_COMPOSITION	YES	Y+CH+O::3	ycheo|ychod|ykcho	VISIBLE_DELETE_K|VISIBLE_E_GRADE|VISIBLE_REMOVE_D_ADDRESS
ychol	1	1	5	1	Y+OL	NEW_VISIBLE_COMPOSITION	YES	Y+OL::2	ykchol	VISIBLE_DELETE_K
ydals	1	2	4	1	Y+AL+S	NEW_VISIBLE_COMPOSITION	YES	Y+AL+S::3	dals|ydal	VISIBLE_INSERT_S|VISIBLE_INSERT_Y
ydaraishy	1	4	3	4	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NEW_MICROFORM_OLD_FACTORS	NO	CH+OL+D_ADDR+LOCAL_CHAR_I+SH+Y::1 | P+O+S+A_ADDR+LOCAL_CHAR_I+L+SH+Y::1 | Y+CH+K+S+Y::1 | Y+CH+O+CH+S+P+Y::1		
ydoin	1	1	4	1	Y+D_ADDR+O+IIN	NEW_MICROFORM_OLD_FACTORS	NO	Y+O+IIN::1		
ykal	1	8	3	4	Y+K+AL	NEW_VISIBLE_COMPOSITION	YES	Y+OK+AL::13 | Y+K+AL::12 | K+Y+AL::2 | Y+K+L+AN::1	kal|skal|ykar|ykol|ytal	VISIBLE_INSERT_Y|VISIBLE_SUBSTITUTION
ykaly	1	3	4	3	Y+K+AL+Y	NEW_VISIBLE_COMPOSITION	YES	Y+K+AL+Y::2 | Y+K+A_ADDR+L+Y::1 | Y+OK+AL+Y::1	ykoly	VISIBLE_SUBSTITUTION
ytar	1	8	3	2	Y+T+AR	NEW_VISIBLE_COMPOSITION	YES	Y+OT+AR::15 | Y+T+AR::11	tar|yar|ydar|ykar|yoar|ytal|ytor	VISIBLE_INSERT_T|VISIBLE_INSERT_Y|VISIBLE_SUBSTITUTION
ytasal	1	1	3	1	Y+T+A_ADDR+S+AL	NEW_MICROFORM_OLD_FACTORS	NO	Y+T+AIN+L::2		
ytchdy	1	3	5	3	Y+T+CHD+Y	NEW_MICROFORM_OLD_FACTORS	YES	Y+T+Y::2 | Y+OT+CHD+DY::1 | Y+T+CHD+Y::1	ykchdy	VISIBLE_SUBSTITUTION
ytshedy	1	1	6	1	Y+T+SH+E+DY	NEW_VISIBLE_COMPOSITION	YES	Y+T+SH+E+DY::2	yshedy	VISIBLE_INSERT_T
