card_no	section	surfaces	component_parse	atomic_card_value_de	composition_status	section_local_partition	occurrences	records	semantic_learning_rule	separate_whole_word_needed
PROC149	BIOLOGICAL	cheeety	EEE+T+Y	diesen Posten vollständig eintragen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC150	BIOLOGICAL	schedair	CHD+AIR	den laufenden Posten durch laufender Bestand umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC151	BIOLOGICAL	chedain	CHD+AIN	den laufenden Posten nach Portion umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC152	BIOLOGICAL	qotedaiin	OT+E+AIIN	danach · kurz · vorgeschriebenes Maß	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC153	BIOLOGICAL	olsaly	OL+AL+Y	fortsetzen · bezeichnete Stelle · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC154	BIOLOGICAL	qolchey	OL+Y	fortsetzen · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC155	BIOLOGICAL	qokylddy	OK+Y+LD+DY	diesen Posten ansetzen und befestigen; Schritt schließen	PARTIAL_WITH_LEARNED_ATOM	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	B4	LEARN_ONE_SPECIALIST_VALUE	YES
PROC156	BIOLOGICAL	dain	AIN	Portion	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B4|B6	GENERATE_FROM_COMPONENTS	NO
PROC157	BIOLOGICAL	sheey	SH+EE+Y	diesen Posten länger halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC158	BIOLOGICAL	okeeol	OK+EE+OL	fortsetzen den laufenden Posten länger ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC159	BIOLOGICAL	lkedy	L+K+E+DY	den laufenden Posten kurz führen und zuführen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC160	BIOLOGICAL	qokol	OK+OL	fortsetzen den laufenden Posten ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC161	BIOLOGICAL	qockhey	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC162	BIOLOGICAL	dairydy	AIR+Y+DY	laufender Bestand · dieser Posten; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC163	BIOLOGICAL	chckhal	CH+CKH+AL	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC164	BIOLOGICAL	solkey	SOLK+E+Y	diesen Posten kurz auffangen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC165	BIOLOGICAL	skar	K+AR	den laufenden Posten von dort zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B4	GENERATE_FROM_COMPONENTS	NO
PROC166	BIOLOGICAL	otchdy	OT+CHD+DY	danach den laufenden Posten umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B5	GENERATE_FROM_COMPONENTS	NO
PROC167	BIOLOGICAL	lol	L+OL	fortsetzen den laufenden Posten führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B5	GENERATE_FROM_COMPONENTS	NO
PROC168	BIOLOGICAL	chdal	CHD+AL	den laufenden Posten an bezeichnete Stelle umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B5	GENERATE_FROM_COMPONENTS	NO
PROC169	BIOLOGICAL	daiiin	DA+IIN	zweite · Sollstufe	PARTIAL_WITH_LEARNED_ATOM	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	B5	LEARN_ONE_SPECIALIST_VALUE	YES
PROC170	BIOLOGICAL	solkeey	SOLK+EE+Y	diesen Posten länger auffangen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B6	GENERATE_FROM_COMPONENTS	NO
PROC171	BIOLOGICAL	qekey	E+K+E+Y	diesen Posten kurz kurz zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B6	GENERATE_FROM_COMPONENTS	NO
PROC172	BIOLOGICAL	raly	R+AL+Y	diesen Posten an bezeichnete Stelle abkühlen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B6	GENERATE_FROM_COMPONENTS	NO
PROC173	BIOLOGICAL	ldalor	L+AL+OR	den Ansatz an bezeichnete Stelle führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B6	GENERATE_FROM_COMPONENTS	NO
