locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	resolved_atomic_reading_de	resolved_groups	local_groups	locus_resolution_status	orientation	cross_instrument_join
116	A3	f69v	f69v.5	A69_LEFT_28_PLACE_WHEEL	2	365|366	ansetzen + kurz + Arbeitsgang; dies	2	0	FULLY_RESOLVED	UNSPECIFIED	NONE
117	A3	f69v	f69v.6	A69_LEFT_28_PLACE_WHEEL	1	367	Arbeitsgang + Gabe + dies + zufuehren	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
118	A3	f69v	f69v.7	A69_LEFT_28_PLACE_WHEEL	1	368	dies + zufuehren + laenger + dies	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
119	A3	f69v	f69v.8	A69_LEFT_28_PLACE_WHEEL	1	369	dies + eintragen + Ansatz + dies	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
120	A3	f69v	f69v.9	A69_LEFT_28_PLACE_WHEEL	1	370	Arbeitsgang + laenger + dies	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
121	A3	f69v	f69v.10	A69_LEFT_28_PLACE_WHEEL	1	371	dies + eintragen + Arbeitsgang + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
122	A3	f69v	f69v.11	A69_LEFT_28_PLACE_WHEEL	1	372	ansetzen + Arbeitsgang + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
123	A3	f69v	f69v.12	A69_LEFT_28_PLACE_WHEEL	1	373	danach + Arbeitsgang + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
124	A3	f69v	f69v.13	A69_LEFT_28_PLACE_WHEEL	1	374	ansetzen + kurz + Stelle	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
125	A3	f69v	f69v.14	A69_LEFT_28_PLACE_WHEEL	1	375	ansetzen + kurz + Arbeitsgang + Platzetikett	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
126	A3	f69v	f69v.15	A69_LEFT_28_PLACE_WHEEL	1	376	danach + laenger + dies + Sternetikett	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
127	A3	f69v	f69v.16	A69_LEFT_28_PLACE_WHEEL	1	377	danach + kurz + fortsetzen	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
128	A3	f69v	f69v.17	A69_LEFT_28_PLACE_WHEEL	1	378	dies + zufuehren + kurz + dies + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
129	A3	f69v	f69v.18	A69_LEFT_28_PLACE_WHEEL	1	379	ansetzen + kurz + Arbeitsgang + Platzetikett	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
130	A3	f69v	f69v.19	A69_LEFT_28_PLACE_WHEEL	1	380	von dort + Stelle	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
131	A3	f69v	f69v.20	A69_LEFT_28_PLACE_WHEEL	1	381	lokale Etikette	0	1	LOCAL_ONLY	UNSPECIFIED	NONE
132	A3	f69v	f69v.21	A69_LEFT_28_PLACE_WHEEL	1	382	ansetzen + fortsetzen + von dort	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
133	A3	f69v	f69v.22	A69_LEFT_28_PLACE_WHEEL	1	383	dies + zufuehren + kurz + Arbeitsgang + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
134	A3	f69v	f69v.23	A69_LEFT_28_PLACE_WHEEL	1	384	von dort + dies + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
135	A3	f69v	f69v.24	A69_LEFT_28_PLACE_WHEEL	1	385	danach + dies	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
136	A3	f69v	f69v.25	A69_LEFT_28_PLACE_WHEEL	2	386|387	länger ansetzen; dies	2	0	FULLY_RESOLVED	UNSPECIFIED	NONE
137	A3	f69v	f69v.26	A69_LEFT_28_PLACE_WHEEL	2	388|389	kurz ansetzen; Platzetikett	2	0	FULLY_RESOLVED	UNSPECIFIED	NONE
138	A3	f69v	f69v.27	A69_LEFT_28_PLACE_WHEEL	1	390	ansetzen + kurz + Arbeitsgang + Platzetikett	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
139	A3	f69v	f69v.28	A69_LEFT_28_PLACE_WHEEL	1	391	ansetzen + Arbeitsgang + Teiladresse + dies	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
140	A3	f69v	f69v.29	A69_LEFT_28_PLACE_WHEEL	1	392	ansetzen + kurz + Arbeitsgang + Schluss	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
141	A3	f69v	f69v.30	A69_LEFT_28_PLACE_WHEEL	1	393	ansetzen + dies + Sternetikett	1	0	FULLY_RESOLVED	UNSPECIFIED	NONE
142	A3	f69v	f69v.31	A69_LEFT_28_PLACE_WHEEL	2	394|395	Arbeitsgang + von dort; Stelle + dies + Sternetikett	2	0	FULLY_RESOLVED	UNSPECIFIED	NONE
