event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
74	H5-S001	H5	f56r	H5-S001	chochor	MC125	HO+OR	chochor	ZERO	Zutatenansatz	Setze die gelernte Fachkarte: Zutatenansatz.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
75	H5-S001	H5	f56r	H5-S001	cho	MC034	HO	ho	OTHER_ENTRY	Zutat	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
76	H5-S001	H5	f56r	H5-S001	chodaly	MC010	HO+AL+Y	chodaly	ZERO	diese Zutat zur Stelle bringen	Setze die gelernte Fachkarte: diese Zutat zur Stelle bringen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
77	H5-S001	H5	f56r	H5-S001	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
78	H5-S001	H5	f56r	H5-S001	sho	MC034	HO	ho	S_ENTRY	Zutat	Setze die gelernte Fachkarte: Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
79	H5-S001	H5	f56r	H5-S001	kchol	MC090	KCH+OL	kchol	ZERO	weiter bearbeiten	Danach oder in demselben Gang: weiter bearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
80	H5-S001	H5	f56r	H5-S001	otchor	MC013	OT+OR	otchor	ZERO	Folgeansatz	Danach oder in demselben Gang: Folgeansatz.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
81	H5-S001	H5	f56r	H5-S001	choky	MC026	OK+Y	oky	CH_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
82	H5-S001	H5	f56r	H5-S001	dal	MC154	AL	al	D_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
83	H5-S002	H5	f56r	H5-S002	schol	MC142	DCHOL	chol	S_ENTRY	vorigen Posten fortsetzen	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
84	H5-S002	H5	f56r	H5-S002	choy	MC131	HO+Y	choy	ZERO	diese Zutat	Setze die gelernte Fachkarte: diese Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
85	H5-S002	H5	f56r	H5-S002	choky	MC026	OK+Y	oky	CH_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
86	H5-S002	H5	f56r	H5-S002	cheeckhody	MC099	EE+CKH+HO+CLOSE	cheeckhody	ZERO	länger auftragen; Schluss	Setze die gelernte Fachkarte: länger auftragen; Schluss.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
87	H5-S003	H5	f56r	H5-S003	sh	MC114	SH	sh	ZERO	halten	Führe die Handlung aus; schließe nur bei Endkarte: halten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
88	H5-S003	H5	f56r	H5-S003	cho	MC034	HO	ho	OTHER_ENTRY	Zutat	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
89	H5-S003	H5	f56r	H5-S003	kchey	MC122	KCH+E+Y	kchey	ZERO	diesen Posten kurz bearbeiten	Führe aus und beachte Dauer oder Endpunkt: diesen Posten kurz bearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
90	H5-S003	H5	f56r	H5-S003	qokokchy	MC015	OK+OK+Y	qokokchy	ZERO	erneut ansetzen	Führe es mit diesem laufenden Posten aus: erneut ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
91	H5-S004	H5	f56r	H5-S004	okchy	MC103	OK+Y	okchy	ZERO	Posten zur Weiterbearbeitung ansetzen	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	NO
92	H5-S004	H5	f56r	H5-S004	chokcheo	MC006	OK+CHEO	chokcheo	ZERO	Auszug zugeben	Führe es aus dem Vorrat oder am Ansatz aus: Auszug zugeben.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	NO
93	H5-S004	H5	f56r	H5-S004	kchal	MC077	KCH+AL	kchal	ZERO	an der Zielstelle bearbeiten	Führe es an der bezeichneten Stelle aus: an der Zielstelle bearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	NO
94	H5-S005	H5	f56r	H5-S005	sho	MC034	HO	ho	S_ENTRY	Zutat	Setze die gelernte Fachkarte: Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NO
95	H5-S005	H5	f56r	H5-S005	chokchy	MC103	OK+Y	okchy	CH_ENTRY	Posten zur Weiterbearbeitung ansetzen	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NO
96	H5-S005	H5	f56r	H5-S005	kchoar	MC136	CHEO+AR	kchoar	ZERO	Auszug daraus	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug daraus.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NO
97	H5-S005	H5	f56r	H5-S005	sotodan	MC068	OT+DAN	sotodan	ZERO	danach anwenden	Danach oder in demselben Gang: danach anwenden.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NO
98	H5-S006	H5	f56r	H5-S006	otchey	MC171	OT+Y	otchey	ZERO	nächster Teilposten	Danach oder in demselben Gang: nächster Teilposten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	NO
99	H5-S006	H5	f56r	H5-S006	keol	MC104	E+OL	keol	ZERO	kurz weiterbearbeiten	Danach oder in demselben Gang: kurz weiterbearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	NO
100	H5-S006	H5	f56r	H5-S006	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	NO
101	B1-S001	B1	f81v	B1-S001	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NO
102	B1-S002	B1	f81v	B1-S002	okaiin	MC120	OK+AIIN	okaiin	ZERO	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
103	B1-S002	B1	f81v	B1-S002	kair	MC023	AIR	kair	ZERO	Beckenwasser	Nenne Quelle, Lauf, Auszug oder Ansatz: Beckenwasser.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
104	B1-S002	B1	f81v	B1-S002	okal	MC040	OK+AL	okal	ZERO	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
105	B1-S002	B1	f81v	B1-S002	sar	MC055	AR	ar	S_ENTRY	aus dem Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
106	B1-S002	B1	f81v	B1-S002	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
107	B1-S002	B1	f81v	B1-S002	kain	MC105	AIN	kain	ZERO	eine Portion	Setze Maß, Portion oder Stufe: eine Portion.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
108	B1-S002	B1	f81v	B1-S002	olkain	MC097	OL+AIN	olkain	ZERO	weitere Portion	Danach oder in demselben Gang: weitere Portion.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
109	B1-S002	B1	f81v	B1-S002	al	MC154	AL	al	ZERO	dorthin	Setze die bezeichnete Zielstelle: dorthin.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
110	B1-S002	B1	f81v	B1-S002	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
111	B1-S002	B1	f81v	B1-S002	rol	MC016	OL	rol	ZERO	vom vorigen Gang weiterführen	Danach oder in demselben Gang: vom vorigen Gang weiterführen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
112	B1-S002	B1	f81v	B1-S002	dl	MC012	LOCAL_WHOLE	dl	ZERO	Zusatz	Setze die gelernte Fachkarte: Zusatz.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
113	B1-S002	B1	f81v	B1-S002	olor	MC157	OL+OR	olor	ZERO	Fortsetzungsansatz	Danach oder in demselben Gang: Fortsetzungsansatz.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
114	B1-S002	B1	f81v	B1-S002	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
115	B1-S002	B1	f81v	B1-S002	sheckhal	MC058	CKH+E+AL	sheckhal	ZERO	kurz zur Zielstelle durchleiten	Führe aus und beachte Dauer oder Endpunkt: kurz zur Zielstelle durchleiten.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
116	B1-S002	B1	f81v	B1-S002	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
117	B1-S002	B1	f81v	B1-S002	qokeedal	MC096	OK+EE+AL	qokeedal	ZERO	dort länger halten	Führe aus und beachte Dauer oder Endpunkt: dort länger halten.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
118	B1-S002	B1	f81v	B1-S002	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
119	B1-S002	B1	f81v	B1-S002	chckhy	MC035	CKH+Y	hckhy	OTHER_ENTRY	durchleiten	Führe es mit diesem laufenden Posten aus: durchleiten.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
120	B1-S002	B1	f81v	B1-S002	schedy	MC025	CHD+CLOSE	chedy	S_ENTRY	Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
121	B1-S003	B1	f81v	B1-S003	qol	MC153	OL	ol	Q_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
122	B1-S003	B1	f81v	B1-S003	sshkchdy	MC061	SH+KCH+CHD+CLOSE	sshkchdy	ZERO	im Arbeitsgang schwenken; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: im Arbeitsgang schwenken; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
123	B1-S004	B1	f81v	B1-S004	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	NO
124	B1-S004	B1	f81v	B1-S004	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	NO
125	B1-S004	B1	f81v	B1-S004	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	NO
126	B1-S005	B1	f81v	B1-S005	qolchedy	MC028	OL+CHD+CLOSE	olchedy	Q_ENTRY	weiterüberführen; Schluss	Danach oder in demselben Gang: weiterüberführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	NO
127	B1-S006	B1	f81v	B1-S006	qokain	MC017	OK+AIN	okain	Q_ENTRY	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NO
128	B1-S006	B1	f81v	B1-S006	shckhy	MC035	CKH+Y	hckhy	S_ENTRY	durchleiten	Führe es mit diesem laufenden Posten aus: durchleiten.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NO
129	B1-S006	B1	f81v	B1-S006	dl	MC012	LOCAL_WHOLE	dl	ZERO	Zusatz	Setze die gelernte Fachkarte: Zusatz.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NO
130	B1-S006	B1	f81v	B1-S006	ral	MC056	AL	ral	ZERO	zur Zielstelle	Setze die bezeichnete Zielstelle: zur Zielstelle.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NO
131	B1-S007	B1	f81v	B1-S007	qokchdy	MC088	OK+CHD+CLOSE	qokchdy	ZERO	Umsetzung ansetzen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	NO
132	B1-S008	B1	f81v	B1-S008	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NO
133	B1-S008	B1	f81v	B1-S008	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NO
134	B1-S008	B1	f81v	B1-S008	cheky	MC147	CHK+E+Y	cheky	ZERO	kurz wärmen	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NO
135	B1-S008	B1	f81v	B1-S008	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NO
136	B1-S008	B1	f81v	B1-S008	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NO
137	B1-S009	B1	f81v	B1-S009	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NO
138	B1-S010	B1	f81v	B1-S010	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NO
139	B1-S011	B1	f81v	B1-S011	chckhy	MC035	CKH+Y	hckhy	OTHER_ENTRY	durchleiten	Führe es mit diesem laufenden Posten aus: durchleiten.	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	NO
140	B1-S011	B1	f81v	B1-S011	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	NO
141	B1-S012	B1	f81v	B1-S012	lsho	MC130	WASH	lsho	ZERO	Waschgang beginnen	Setze die gelernte Fachkarte: Waschgang beginnen.	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	NO
142	B1-S012	B1	f81v	B1-S012	qokey	MC007	OK+E+Y	okey	Q_ENTRY	kurz ansetzen	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	NO
143	B1-S012	B1	f81v	B1-S012	lshedy	MC038	WASH+CLOSE	lshedy	ZERO	waschen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	NO
144	B1-S013	B1	f81v	B1-S013	lshedy	MC038	WASH+CLOSE	lshedy	ZERO	waschen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	NO
145	B1-S014	B1	f81v	B1-S014	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	NO
146	B1-S014	B1	f81v	B1-S014	qolky	MC134	OL	qolky	ZERO	auf dem Arbeitsweg weiterleiten	Danach oder in demselben Gang: auf dem Arbeitsweg weiterleiten.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	NO
147	B1-S014	B1	f81v	B1-S014	lchedal	MC051	L+CHD+AL	lchedal	ZERO	zur Ablaufstelle führen	Setze die gelernte Fachkarte: zur Ablaufstelle führen.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	NO
148	B1-S014	B1	f81v	B1-S014	qol	MC153	OL	ol	Q_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	NO
149	B1-S014	B1	f81v	B1-S014	otar	MC121	OT+AR	otar	ZERO	danach von dort	Danach oder in demselben Gang: danach von dort.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	NO
150	B1-S015	B1	f81v	B1-S015	ytey	MC109	Y+E+TY	ytey	ZERO	kurzen Teil des aktuellen Postens nehmen	Setze Maß, Portion oder Stufe: kurzen Teil des aktuellen Postens nehmen.	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	NO
