unified_serial	compiler_mode	page	unit_id	local_address	visible_or_opaque_identity	registered_identity	default_meaning_de	continuous_reading_de	owner_or_namespace
241	COMBINATORIAL_PROSE	f83r	B3	B3-S006	qokal	MC040	dort ansetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	B3
242	COMBINATORIAL_PROSE	f83r	B3	B3-S006	olchedy	MC028	weiterüberführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	B3
243	COMBINATORIAL_PROSE	f83r	B3	B3-S007	qokaiin	MC120	auf Sollmaß einstellen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	B3
244	COMBINATORIAL_PROSE	f83r	B3	B3-S007	chedy	MC074	laufenden Posten umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	B3
245	COMBINATORIAL_PROSE	f83r	B3	B3-S007	qokeedy	MC082	länger ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	B3
246	COMBINATORIAL_PROSE	f83r	B3	B3-S008	lchedy	MC155	abführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	B3
247	COMBINATORIAL_PROSE	f83r	B3	B3-S009	qoky	MC026	aktuellen Posten ansetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an	B3
248	COMBINATORIAL_PROSE	f83r	B3	B3-S010	pchedal	MC126	Einlass	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	B3
249	COMBINATORIAL_PROSE	f83r	B3	B3-S010	otedy	MC135	kurze Folge; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	B3
250	COMBINATORIAL_PROSE	f83r	B3	B3-S011	shecthedchy	MC043	bereiten Posten umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	B3
251	COMBINATORIAL_PROSE	f83r	B3	B3-S011	qoky	MC026	aktuellen Posten ansetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	B3
252	COMBINATORIAL_PROSE	f83r	B3	B3-S011	chedy	MC074	laufenden Posten umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	B3
253	COMBINATORIAL_PROSE	f83r	B3	B3-S011	chary	MC009	aus diesem Posten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	B3
254	COMBINATORIAL_PROSE	f83r	B3	B3-S012	sor	MC080	Ansatz	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	B3
255	COMBINATORIAL_PROSE	f83r	B3	B3-S012	shedy	MC128	kurz absetzen lassen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	B3
256	COMBINATORIAL_PROSE	f83r	B3	B3-S013	qokaiin	MC120	auf Sollmaß einstellen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	B3
257	COMBINATORIAL_PROSE	f83r	B3	B3-S013	chkain	MC105	eine Portion	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	B3
258	COMBINATORIAL_PROSE	f83r	B3	B3-S013	shcthey	MC073	kurz bereithalten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	B3
259	COMBINATORIAL_PROSE	f83r	B3	B3-S013	qokedy	MC083	kurz ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	B3
260	COMBINATORIAL_PROSE	f83r	B3	B3-S014	okair	MC081	Wasser einlassen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	B3
261	COMBINATORIAL_PROSE	f83r	B3	B3-S014	sheedy	MC003	länger absetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	B3
262	COMBINATORIAL_PROSE	f83r	B3	B3-S015	lchedy	MC155	abführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	B3
263	COMBINATORIAL_PROSE	f83r	B3	B3-S016	lo	MC030	abfuehren	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	B3
264	COMBINATORIAL_PROSE	f83r	B3	B3-S016	qokchedy	MC005	angesetzten Inhalt überführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	B3
265	COMBINATORIAL_PROSE	f83r	B3	B3-S017	qokeedy	MC082	länger ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	B3
266	COMBINATORIAL_PROSE	f83r	B3	B3-S018	shedy	MC128	kurz absetzen lassen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	B3
267	COMBINATORIAL_PROSE	f83r	B3	B3-S019	qokshedy	MC151	Absetzgang ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	B3
268	COMBINATORIAL_PROSE	f83r	B3	B3-S020	dal	MC154	dorthin	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	B3
269	COMBINATORIAL_PROSE	f83r	B3	B3-S020	lchedy	MC155	abführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	B3
270	COMBINATORIAL_PROSE	f83r	B3	B3-S021	qokaiin	MC120	auf Sollmaß einstellen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
271	COMBINATORIAL_PROSE	f83r	B3	B3-S021	shcthy	MC161	bereit	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
272	COMBINATORIAL_PROSE	f83r	B3	B3-S021	dal	MC154	dorthin	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
273	COMBINATORIAL_PROSE	f83r	B3	B3-S021	sy	MC123	dieser Posten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
274	COMBINATORIAL_PROSE	f83r	B3	B3-S021	saiin	MC039	Sollmaß	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
275	COMBINATORIAL_PROSE	f83r	B3	B3-S021	shedal	MC113	dort absetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
276	COMBINATORIAL_PROSE	f83r	B3	B3-S021	shecthy	MC137	kurz bereit halten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
277	COMBINATORIAL_PROSE	f83r	B3	B3-S021	chey	MC123	dieser Posten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
278	COMBINATORIAL_PROSE	f83r	B3	B3-S021	tal	MC154	dorthin	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
279	COMBINATORIAL_PROSE	f83r	B3	B3-S021	shcthy	MC161	bereit	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
280	COMBINATORIAL_PROSE	f83r	B3	B3-S021	dalchdy	MC031	dorthin umsetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	B3
281	COMBINATORIAL_PROSE	f83r	B3	B3-S022	qotchedy	MC057	nächsten Posten überführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe	B3
282	COMBINATORIAL_PROSE	f83r	B3	B3-S023	lchedy	MC155	abführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	B3
283	COMBINATORIAL_PROSE	f83r	B3	B3-S024	tchedy	MC025	Posten überführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	B3
284	COMBINATORIAL_PROSE	f83r	B3	B3-S025	qokchdy	MC088	Umsetzung ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	B3
285	COMBINATORIAL_PROSE	f83r	B3	B3-S026	cheedar	MC042	von dort umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
286	COMBINATORIAL_PROSE	f83r	B3	B3-S026	chldaiin	MC144	Absetzmaß	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
287	COMBINATORIAL_PROSE	f83r	B3	B3-S026	chedy	MC074	laufenden Posten umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
288	COMBINATORIAL_PROSE	f83r	B3	B3-S026	qokain	MC017	eine Portion zugeben	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
289	COMBINATORIAL_PROSE	f83r	B3	B3-S026	checthy	MC161	bereit	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
290	COMBINATORIAL_PROSE	f83r	B3	B3-S026	chealror	MC146	Ansatz von dort zur Zielstelle	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
291	COMBINATORIAL_PROSE	f83r	B3	B3-S026	solkeedy	MC045	länger sammeln; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	B3
292	COMBINATORIAL_PROSE	f83r	B3	B3-S027	qoteedy	MC173	lange Folge; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm die lange Folge und schließe	B3
293	COMBINATORIAL_PROSE	f83r	B3	B3-S028	qokeey	MC002	länger ansetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe	B3
294	COMBINATORIAL_PROSE	f83r	B3	B3-S028	qokedy	MC083	kurz ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe	B3
295	COMBINATORIAL_PROSE	f83r	B3	B3-S029	sol	MC153	fortsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	B3
296	COMBINATORIAL_PROSE	f83r	B3	B3-S029	cheeety	MC094	ganzen Teilposten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	B3
297	COMBINATORIAL_PROSE	f83r	B3	B3-S029	qokedy	MC083	kurz ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	B3
298	COMBINATORIAL_PROSE	f83r	B3	B3-S030	qoky	MC026	aktuellen Posten ansetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	B3
299	COMBINATORIAL_PROSE	f83r	B3	B3-S030	saiin	MC039	Sollmaß	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	B3
300	COMBINATORIAL_PROSE	f83r	B3	B3-S030	schedair	MC116	Wasser weiterleiten	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	B3
301	COMBINATORIAL_PROSE	f83r	B3	B3-S030	otchedy	MC057	nächsten Posten überführen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	B3
302	COMBINATORIAL_PROSE	f83r	B3	B3-S031	qokeedy	MC082	länger ansetzen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	B3
303	COMBINATORIAL_PROSE	f83r	B3	B3-S032	chedain	MC145	Portion umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	B3
304	COMBINATORIAL_PROSE	f83r	B3	B3-S032	chedy	MC074	laufenden Posten umsetzen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	B3
305	COMBINATORIAL_PROSE	f83r	B3	B3-S032	qotedaiin	MC018	kurzes Folgemass	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	B3
306	COMBINATORIAL_PROSE	f83r	B3	B3-S032	otaiin	MC060	Folgemaß	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	B3
307	COMBINATORIAL_PROSE	f83r	B3	B3-S032	otedy	MC135	kurze Folge; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	B3
308	COMBINATORIAL_PROSE	f83r	B3	B3-S033	ldy	MC004	abziehen; Ende	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Ziehe ab und schließe	B3
309	COMBINATORIAL_PROSE	f83r	B3	B3-S034	soiiin	MC033	Sollstufe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
310	COMBINATORIAL_PROSE	f83r	B3	B3-S034	checthy	MC161	bereit	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
311	COMBINATORIAL_PROSE	f83r	B3	B3-S034	chety	MC086	Teil abtrennen	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
312	COMBINATORIAL_PROSE	f83r	B3	B3-S034	otaiin	MC060	Folgemaß	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
313	COMBINATORIAL_PROSE	f83r	B3	B3-S034	olsaly	MC078	untere Zielstelle	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
314	COMBINATORIAL_PROSE	f83r	B3	B3-S034	shedy	MC128	kurz absetzen lassen; Schluss	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	B3
315	COMBINATORIAL_PROSE	f83r	B4	B4-S001	qokeedy	MC082	länger ansetzen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	B4
316	COMBINATORIAL_PROSE	f83r	B4	B4-S002	qolchey	MC162	diesen Posten weiterfuehren	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	B4
317	COMBINATORIAL_PROSE	f83r	B4	B4-S002	qokeey	MC002	länger ansetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	B4
318	COMBINATORIAL_PROSE	f83r	B4	B4-S002	qokedy	MC083	kurz ansetzen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	B4
319	COMBINATORIAL_PROSE	f83r	B4	B4-S003	chedy	MC074	laufenden Posten umsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
320	COMBINATORIAL_PROSE	f83r	B4	B4-S003	otal	MC093	danach dorthin	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
321	COMBINATORIAL_PROSE	f83r	B4	B4-S003	otchey	MC171	nächster Teilposten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
322	COMBINATORIAL_PROSE	f83r	B4	B4-S003	qokeey	MC002	länger ansetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
323	COMBINATORIAL_PROSE	f83r	B4	B4-S003	qoky	MC026	aktuellen Posten ansetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
324	COMBINATORIAL_PROSE	f83r	B4	B4-S003	tol	MC153	fortsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
325	COMBINATORIAL_PROSE	f83r	B4	B4-S003	shedy	MC128	kurz absetzen lassen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	B4
326	COMBINATORIAL_PROSE	f83r	B4	B4-S004	qokylddy	MC164	aktuellen Posten befestigen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	B4
327	COMBINATORIAL_PROSE	f83r	B4	B4-S005	dain	MC059	Tuch	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	B4
328	COMBINATORIAL_PROSE	f83r	B4	B4-S005	chedy	MC074	laufenden Posten umsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	B4
329	COMBINATORIAL_PROSE	f83r	B4	B4-S005	qokeedy	MC082	länger ansetzen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	B4
330	COMBINATORIAL_PROSE	f83r	B4	B4-S006	shckhedy	MC143	seihen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	B4
331	COMBINATORIAL_PROSE	f83r	B4	B4-S007	shckhedy	MC143	seihen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	B4
332	COMBINATORIAL_PROSE	f83r	B4	B4-S008	saiin	MC039	Sollmaß	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	B4
333	COMBINATORIAL_PROSE	f83r	B4	B4-S008	cheeky	MC032	länger erwärmen und offen halten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	B4
334	COMBINATORIAL_PROSE	f83r	B4	B4-S008	sheey	MC095	laenger ruhen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	B4
335	COMBINATORIAL_PROSE	f83r	B4	B4-S008	qokedy	MC083	kurz ansetzen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	B4
336	COMBINATORIAL_PROSE	f83r	B4	B4-S009	shedy	MC128	kurz absetzen lassen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	B4
337	COMBINATORIAL_PROSE	f83r	B4	B4-S010	oldy	MC019	Fortsetzung abschließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	B4
338	COMBINATORIAL_PROSE	f83r	B4	B4-S011	saiin	MC039	Sollmaß	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
339	COMBINATORIAL_PROSE	f83r	B4	B4-S011	cheky	MC147	kurz wärmen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
340	COMBINATORIAL_PROSE	f83r	B4	B4-S011	okeeol	MC150	länger fortführen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
341	COMBINATORIAL_PROSE	f83r	B4	B4-S011	okain	MC017	eine Portion zugeben	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
342	COMBINATORIAL_PROSE	f83r	B4	B4-S011	chdy	MC074	laufenden Posten umsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
343	COMBINATORIAL_PROSE	f83r	B4	B4-S011	sol	MC153	fortsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
344	COMBINATORIAL_PROSE	f83r	B4	B4-S011	lkedy	MC124	kurz abführen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	B4
345	COMBINATORIAL_PROSE	f83r	B4	B4-S012	lchedy	MC155	abführen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	B4
346	COMBINATORIAL_PROSE	f83r	B4	B4-S013	qokol	MC024	Fortsetzung ansetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	B4
347	COMBINATORIAL_PROSE	f83r	B4	B4-S013	shedy	MC128	kurz absetzen lassen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	B4
348	COMBINATORIAL_PROSE	f83r	B4	B4-S014	or	MC080	Ansatz	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	B4
349	COMBINATORIAL_PROSE	f83r	B4	B4-S014	chey	MC123	dieser Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	B4
350	COMBINATORIAL_PROSE	f83r	B4	B4-S014	qockhey	MC165	kurzen Durchlauf ansetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	B4
351	COMBINATORIAL_PROSE	f83r	B4	B4-S014	dairydy	MC091	Wasserlauf schliessen; Schluss	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	B4
