dictionary_order	master_card_id	master_form	registered_surface_family	stable_surface_host	entry_gestures	renderer_family_class	semantic_atoms	short_default_de	imperative_de	prose_events	leading_head	productivity_tier	composition_policy
103	MC103	chokchy	chokchy|okchy|qokchy	okchy	CH_ENTRY|ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	Posten zur Weiterbearbeitung ansetzen	Setze den aktuellen Posten	3	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
104	MC104	keol	keol	keol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz weiterbearbeiten	Führe kurz fort	1	E	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
105	MC105	chkain	chkain|kain	kain	CH_ENTRY|ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AIN	eine Portion	Nimm einen Anteil	3	AIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
106	MC106	teol	teol	teol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz weiterleiten	Führe kurz fort	1	E	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
107	MC107	qotchy	qotchy	qotchy	ZERO	SINGLE_REGISTERED_FORM	OT+Y	anschließender Arbeitsposten	Nimm den Folgeposten	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
108	MC108	etyd	etyd	etyd	ZERO	SINGLE_REGISTERED_FORM	E+TY	kleiner Restteil	Nimm einen kurzen Teil	1	E	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
109	MC109	ytey	ytey	ytey	ZERO	SINGLE_REGISTERED_FORM	Y+E+TY	kurzen Teil des aktuellen Postens nehmen	Nimm einen kurzen Teil des aktuellen Postens	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
110	MC110	chkeedy	chkeedy	chkeedy	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+CLOSE	länger wärmen; Schluss	Wärme länger und schließe	1	CHK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
111	MC111	shfydaiin	shfydaiin	shfydaiin	ZERO	SINGLE_REGISTERED_FORM	SH+AIIN	Standmaß	Halte bis zum Vorgabewert	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
112	MC112	octheol	octheol	octheol	ZERO	SINGLE_REGISTERED_FORM	CTH+OL	bereitgestellten Gang fortsetzen	Führe den bereiten Posten fort	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
113	MC113	shedal	shedal	shedal	ZERO	SINGLE_REGISTERED_FORM	SHED+AL	dort absetzen	Lass am Ziel absetzen	2	SHED	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
114	MC114	sh	sh	sh	ZERO	SINGLE_REGISTERED_FORM	SH	halten	Halte den aktuellen Posten	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
115	MC115	qoctholy	qoctholy	qoctholy	ZERO	SINGLE_REGISTERED_FORM	CTH+OL+Y	bereiten Posten weiterfuehren	Führe den bereiten Posten fort	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
116	MC116	schedair	schedair	schedair	ZERO	SINGLE_REGISTERED_FORM	AIR	Wasser weiterleiten	Nutze den Wasserlauf	1	AIR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
117	MC117	kchy	kchy	kchy	ZERO	SINGLE_REGISTERED_FORM	KCH+Y	diesen Posten bearbeiten	Bearbeite den aktuellen Posten	1	KCH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
118	MC118	ly	ly	ly	ZERO	SINGLE_REGISTERED_FORM	L+Y	aktuellen Posten abführen	Führe den aktuellen Posten ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
119	MC119	cheey	cheey|shey	ey	CH_ENTRY|SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHEEY	klarer Auszug	Lies den freigegebenen Wert	4	CHEEY	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
120	MC120	okaiin	okaiin|qokaiin	okaiin	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIIN	auf Sollmaß einstellen	Stelle auf den Vorgabewert ein	9	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
121	MC121	otar	otar	otar	ZERO	SINGLE_REGISTERED_FORM	OT+AR	danach von dort	Nimm danach vom Ausgang	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
122	MC122	kchey	kchey	kchey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	diesen Posten kurz bearbeiten	Bearbeite kurz	1	KCH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
123	MC123	chey	chey|chy|dy|shy|sy|y	y	CH_ENTRY|CH_ENTRY|D_ENTRY|SH_ENTRY|S_ENTRY|ZERO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	Nimm den aktuellen Posten	18	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
124	MC124	lkedy	lkedy	lkedy	ZERO	SINGLE_REGISTERED_FORM	L+E+CLOSE	kurz abführen; Schluss	Führe kurz ab und schließe	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
125	MC125	chochor	chochor	chochor	ZERO	SINGLE_REGISTERED_FORM	HO+OR	Zutatenansatz	Bereite den Eingangsansatz	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
126	MC126	pchedal	pchedal	pchedal	ZERO	SINGLE_REGISTERED_FORM	P+CHD+AL	Einlass	Führe zum Ziel ein	1	P	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
127	MC127	lched	lched	lched	ZERO	SINGLE_REGISTERED_FORM	L+CHD	abführen	Führe ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
128	MC128	cheedy	cheedy|shedy|tedy	edy	CH_ENTRY|SH_ENTRY|T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass kurz absetzen und schließe	12	SHED	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
129	MC129	cfhy	cfhy	cfhy	ZERO	SINGLE_REGISTERED_FORM	CFH+Y	aktuellen Posten auswringen	Wringe den aktuellen Posten aus	1	CFH	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
130	MC130	lsho	lsho	lsho	ZERO	SINGLE_REGISTERED_FORM	WASH	Waschgang beginnen	Führe den Waschgang aus	1	WASH	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
131	MC131	choy	choy	choy	ZERO	SINGLE_REGISTERED_FORM	HO+Y	diese Zutat	Nimm den aktuellen Eingangsposten	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
132	MC132	sheckhy	sheckhy	sheckhy	ZERO	SINGLE_REGISTERED_FORM	CKH+E+Y	kurz durchleiten	Leite kurz durch	1	CKH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
133	MC133	lcheckhedy	lcheckhedy	lcheckhedy	ZERO	SINGLE_REGISTERED_FORM	L+CKHE+CLOSE	abseihen; Schluss	Seihe ab und schließe	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
134	MC134	qolky	qolky	qolky	ZERO	SINGLE_REGISTERED_FORM	OL	auf dem Arbeitsweg weiterleiten	Führe auf dem Arbeitsweg fort	1	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
135	MC135	otedy	otedy	otedy	ZERO	SINGLE_REGISTERED_FORM	OT+E+CLOSE	kurze Folge; Schluss	Führe die kurze Folge aus und schließe	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
136	MC136	kchoar	kchoar	kchoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug daraus	Nimm den Auszug vom Ausgang	1	CHEO	WHOLE_CARD_FIRST	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
137	MC137	shecthy	shecthy	shecthy	ZERO	SINGLE_REGISTERED_FORM	CTH+E+Y	kurz bereit halten	Halte kurz bereit	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
138	MC138	dshedy	dshedy	dshedy	ZERO	SINGLE_REGISTERED_FORM	SHED+E+CLOSE	kurz absetzen; Schluss	Lass kurz absetzen und schließe	1	SHED	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
139	MC139	dchdy	dchdy	dchdy	ZERO	SINGLE_REGISTERED_FORM	CHD+CLOSE	weitergeführten Posten überführen; Schluss	Übertrage und schließe	1	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
140	MC140	qokeeedy	qokeeedy	qokeeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EEE+CLOSE	vollständig ansetzen; Schluss	Setze vollständig und schließe	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
141	MC141	tshey	tshey	tshey	ZERO	SINGLE_REGISTERED_FORM	CHEEY	Klarlauf zugeben	Lies den freigegebenen Wert	1	CHEEY	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
142	MC142	dchol	dchol|schol	chol	D_ENTRY|S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	DCHOL	vorigen Posten fortsetzen	Nimm den vorigen Posten wieder auf	2	DCHOL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
143	MC143	shckhedy	shckhedy	shckhedy	ZERO	SINGLE_REGISTERED_FORM	CKHE+CLOSE	seihen; Schluss	Seihe und schließe	3	CKHE	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
144	MC144	chldaiin	chldaiin	chldaiin	ZERO	SINGLE_REGISTERED_FORM	SHED+AIIN	Absetzmaß	Stelle den Absetzwert ein	1	SHED	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
145	MC145	chedain	chedain	chedain	ZERO	SINGLE_REGISTERED_FORM	CHD+AIN	Portion umsetzen	Übertrage einen Anteil	1	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
146	MC146	chealror	chealror	chealror	ZERO	SINGLE_REGISTERED_FORM	AL+OR	Ansatz von dort zur Zielstelle	Führe den Ansatz zum Ziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
147	MC147	cheky	cheky	cheky	ZERO	SINGLE_REGISTERED_FORM	CHK+E+Y	kurz wärmen	Wärme kurz	3	CHK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
148	MC148	ykan	ykan	ykan	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	dieser Anteil	Nimm den aktuellen Anteil	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
149	MC149	solshedy	solshedy	solshedy	ZERO	SINGLE_REGISTERED_FORM	OL+SHED+CLOSE	weiter absetzen; Schluss	Lass weiter absetzen und schließe	1	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
150	MC150	okeeol	okeeol	okeeol	ZERO	SINGLE_REGISTERED_FORM	OK+EE+OL	länger fortführen	Führe länger fort	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
151	MC151	qokshedy	qokshedy	qokshedy	ZERO	SINGLE_REGISTERED_FORM	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	Beginne den Absetzgang und schließe	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
152	MC152	ches	ches	ches	ZERO	SINGLE_REGISTERED_FORM	PARTITION	teilen	Trenne	1	PARTITION	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
153	MC153	cheol	cheol|chol|ol|qol|sol|tol	ol	CH_ENTRY|CH_ENTRY|ZERO|Q_ENTRY|S_ENTRY|T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	fortsetzen	Führe fort	19	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
154	MC154	al	al|chal|cheal|dal|sal|tal	al	ZERO|CH_ENTRY|CH_ENTRY|D_ENTRY|S_ENTRY|T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	Führe zum Ziel	10	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
155	MC155	lchedy	lchedy	lchedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe	8	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
156	MC156	cphy	cphy	cphy	ZERO	SINGLE_REGISTERED_FORM	CPH+Y	aktuellen Posten nachseihen	Seihe den aktuellen Posten nach	1	CPH	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
157	MC157	cholor	cholor|olor	olor	CH_ENTRY|ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+OR	Fortsetzungsansatz	Führe den Ansatz weiter	2	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
158	MC158	cthoor	cthoor	cthoor	ZERO	SINGLE_REGISTERED_FORM	CTH+OR	Ansatz bereit	Halte den Ansatz bereit	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
159	MC159	os	os	os	ZERO	SINGLE_REGISTERED_FORM	OS	Mischgefäß	Gib in den umschließenden Träger	1	OS	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
160	MC160	talam	talam	talam	ZERO	SINGLE_REGISTERED_FORM	AL+AM	am Ziel verwahren	Verwahre am Ziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
161	MC161	checthy	checthy|cthy|shcthy	cthy	CH_ENTRY|ZERO|SH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	bereit	Halte den Posten bereit	7	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
162	MC162	qolchey	qolchey	qolchey	ZERO	SINGLE_REGISTERED_FORM	OL+Y	diesen Posten weiterfuehren	Führe den aktuellen Posten fort	1	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
163	MC163	qotchol	qotchol	qotchol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach weiterfuehren	Danach führe fort	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
164	MC164	qokylddy	qokylddy	qokylddy	ZERO	SINGLE_REGISTERED_FORM	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	Befestige den aktuellen Posten und schließe	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
165	MC165	qockhey	qockhey	qockhey	ZERO	SINGLE_REGISTERED_FORM	OK+CKH+E+Y	kurzen Durchlauf ansetzen	Setze den kurzen Durchlauf	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
166	MC166	chkeey	chkeey	chkeey	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	diesen Posten länger warm halten	Wärme länger	1	CHK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
167	MC167	lochedy	lochedy	lochedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	Rest abfuehren; Schluss	Führe den Rest ab und schließe	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
168	MC168	lcheckhy	lcheckhy	lcheckhy	ZERO	SINGLE_REGISTERED_FORM	L+CKH+Y	Ausgangsdurchlass	Führe den Posten durch den Ausgang	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
169	MC169	cthaiin	cthaiin	cthaiin	ZERO	SINGLE_REGISTERED_FORM	CTH+AIIN	Fertigmaß	Stelle den Bereitwert ein	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
170	MC170	ykaiin	ykaiin	ykaiin	ZERO	SINGLE_REGISTERED_FORM	Y+AIIN	Postenmaß	Stelle den Postenwert ein	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
171	MC171	otchey	otchey	otchey	ZERO	SINGLE_REGISTERED_FORM	OT+Y	nächster Teilposten	Nimm den nächsten Posten	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
172	MC172	daiiin	daiiin	daiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Öffnungsstufe	Stelle die Stufe ein	1	IIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
173	MC173	qoteedy	qoteedy	qoteedy	ZERO	SINGLE_REGISTERED_FORM	OT+EE+CLOSE	lange Folge; Schluss	Führe die lange Folge aus und schließe	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
