component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
CH+OR	NEHMEN · EINHEIT	3	SOURCE_SECTION_T|HERBAL|PHARMA	THREE_REGISTERS	23	10	1	chor	0	0	0	FULLY_SELF_CONTAINED	Entnimm die Eintragseinheit.	Nimm die Arbeitseinheit.	NONE	NONE	Nimm die Ansatzeinheit.
CH+OT+AM_ADDR	NEHMEN · DANACH · HIER	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	chotam	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Danach nimm den Positionswert [wie zuvor] auf; an der bezeichneten Stelle.	Danach nimm den Drogenposten [wie zuvor]; an der bezeichneten Stelle.
CH+OT+Y	NEHMEN · DANACH · POSTEN	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	THREE_REGISTERS	4	4	1	choty	0	0	0	FULLY_SELF_CONTAINED	Danach entnimm den laufenden Eintrag.	Danach nimm den Pflanzenposten.	NONE	Danach nimm den Positionsposten auf.	NONE
CH+P+E+Y	NEHMEN · EINSETZEN · GRAD I · POSTEN	3	SOURCE_SECTION_T|BIOLOGICAL|PHARMA	THREE_REGISTERS	3	3	2	cphey|qocphey	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	NONE	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	NONE	Nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.
CH+P+OL	NEHMEN · EINSETZEN · FORTSETZEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	cphol	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein.
CH+P+OR	NEHMEN · EINSETZEN · EINHEIT	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	2	chpor|cphor	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm die Arbeitseinheit und setze die Arbeitseinheit ein.	NONE	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	NONE
CH+P+Y	NEHMEN · EINSETZEN · POSTEN	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	2	2	1	cphy	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	NONE	NONE	NONE
CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	4	3	2	chtaiin|cthaiin	0	0	0	FULLY_SELF_CONTAINED	Entnimm den Kennwert und lege den Kennwert fest.	Nimm den Arbeitswert und stelle den Arbeitswert ein.	NONE	NONE	NONE
CH+T+AL	NEHMEN · EINSTELLEN · ZIELORT	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	6	4	3	chcthal|chtal|cthal	0	6	6	FULLY_CONTEXT_BOUND	Entnimm den Teilwert [wie zuvor] und lege den Teilwert [wie zuvor] fest; zur Zielspalte.	Nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein; zur Zielstelle.	Entnimm den Stationsanteil [wie zuvor] und stelle den Stationsanteil [wie zuvor] ein; zur Zielstation.	NONE	NONE
CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	6	4	1	cthar	0	6	6	FULLY_CONTEXT_BOUND	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein; vom Ausgangsmaterial.	Entnimm den Stationsposten [wie zuvor] und stelle den Stationsposten [wie zuvor] ein; von der Ausgangsstation.	NONE	NONE
CH+T+E+Y	NEHMEN · EINSTELLEN · GRAD I · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	6	6	3	cthey|qctheed|qcthey	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad I.	Nimm den Drogenposten und stelle den Drogenposten ein; auf Grad I.
CH+T+OL	NEHMEN · EINSTELLEN · FORTSETZEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	6	5	1	cthol	0	6	6	FULLY_CONTEXT_BOUND	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest.	Weiter nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	Weiter entnimm den Stationsposten [wie zuvor] und stelle den Stationsposten [wie zuvor] ein.	NONE	Weiter nimm den Drogenposten [wie zuvor] und stelle den Drogenposten [wie zuvor] ein.
CH+T+OR	NEHMEN · EINSTELLEN · EINHEIT	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	3	3	2	chtor|cthor	0	0	0	FULLY_SELF_CONTAINED	Entnimm die Eintragseinheit und lege die Eintragseinheit fest.	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein.	NONE	NONE	NONE
CH+T+Y	NEHMEN · EINSTELLEN · POSTEN	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	19	10	3	checthy|chty|cthy	0	0	0	FULLY_SELF_CONTAINED	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Entnimm den Stationsposten und stelle den Stationsposten ein.	NONE	NONE
CHD+AIIN	BEARBEITEN · WERT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	8	5	1	chedaiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Bearbeite den Arbeitswert.	Bearbeite den Stationswert.	Bearbeite den Positionswert.	NONE
CHD+AIN	BEARBEITEN · ANTEIL	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	4	4	1	chedain	0	0	0	FULLY_SELF_CONTAINED	NONE	Bearbeite den Materialanteil.	Bearbeite den Stationsanteil.	NONE	Bearbeite den Drogenanteil.
CHD+AL	BEARBEITEN · ZIELORT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	chdal|chedal	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Bearbeite den Stationsposten [wie zuvor]; zur Zielstation.	Bearbeite den Positionsposten [wie zuvor]; zur Zielposition.	NONE
CHD+AM_ADDR	BEARBEITEN · HIER	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	chdam	0	2	2	FULLY_CONTEXT_BOUND	NONE	Bearbeite den Pflanzenposten [wie zuvor]; an der bezeichneten Stelle.	Bearbeite den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	NONE	NONE
CHD+DY	BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	4	3	2	dchdy|schedy	0	4	4	FULLY_CONTEXT_BOUND	NONE	Bearbeite den Pflanzenposten [wie zuvor]; schließe den Schritt.	Bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	NONE	NONE
CHD+Y	BEARBEITEN · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	107	13	3	chdy|chedchy|chedy	0	0	0	FULLY_SELF_CONTAINED	Bearbeite den laufenden Eintrag.	Bearbeite den Pflanzenposten.	Bearbeite den Stationsposten.	Bearbeite den Positionsposten.	Bearbeite den Drogenposten.
DA+AM_ADDR	ZWEITE STUFE · HIER	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	5	3	1	dam	5	5	5	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang markiere den Stationsposten [wie zuvor]; auf der zweiten Stufe; an der bezeichneten Stelle.	NONE	Im laufenden Gang nimm den Drogenposten [wie zuvor]; auf der zweiten Stufe; an der bezeichneten Stelle.
DA+IIN	ZWEITE STUFE · STUFE	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	5	5	1	daiiin	5	5	5	FULLY_CONTEXT_BOUND	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; auf der zweiten Stufe und auf der bezeichneten Stufe.	Im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; auf der zweiten Stufe und auf der bezeichneten Stufe.	Im laufenden Gang halte den Stationswert [wie zuvor]; auf der zweiten Stufe und auf der bezeichneten Stufe.	NONE	Im laufenden Gang nimm den Drogenposten [wie zuvor]; auf der zweiten Stufe und auf der bezeichneten Stufe.
DA+R+A_ADDR+AM_ADDR	ZWEITE STUFE · MARKIEREN · HIER · HIER	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	daram	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Markiere; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	NONE	Markiere die Positionseinheit [wie zuvor]; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	NONE
DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	5	4	1	dary	0	0	0	FULLY_SELF_CONTAINED	NONE	Markiere den Pflanzenposten; auf der zweiten Stufe.	Markiere den Stationsposten; auf der zweiten Stufe.	Markiere den Positionsposten; auf der zweiten Stufe.	NONE
D_ADDR	HIER	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	FOUR_REGISTERS	11	8	1	d	11	11	11	FULLY_CONTEXT_BOUND	Im laufenden Gang halte den Teilwert [wie zuvor] fest; an der bezeichneten Stelle.	Im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle.	Im laufenden Gang wähle den Stationswert [wie zuvor]; an der bezeichneten Stelle.	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; an der bezeichneten Stelle.	NONE
D_ADDR+AIIN+Y	HIER · WERT · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	2	daiinody|daiiny	2	0	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang gib den Arbeitswert und den Pflanzenposten zu; an der bezeichneten Stelle.	NONE	NONE	Im laufenden Gang stelle den Mengenwert und den Drogenposten ein; an der bezeichneten Stelle.
D_ADDR+AIR	HIER · BAHN	2	HERBAL|PHARMA	TWO_REGISTERS	9	6	1	dair	9	8	9	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle den Materialanteil [wie zuvor] ein; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	NONE	NONE	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; entlang der Transferbahn; an der bezeichneten Stelle.
D_ADDR+AR	HIER · AUSGANG	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	47	18	1	dar	47	47	47	FULLY_CONTEXT_BOUND	Im laufenden Gang setze den laufenden Eintrag [wie zuvor] ein; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang nimm den Arbeitswert [wie zuvor]; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; von der Ausgangsstation; an der bezeichneten Stelle.	Im laufenden Gang wähle den Positionswert [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; vom Ausgangsgefäß; an der bezeichneten Stelle.
D_ADDR+CH+OR	HIER · NEHMEN · EINHEIT	2	HERBAL|CELESTIAL	TWO_REGISTERS	3	3	1	dchor	0	0	0	FULLY_SELF_CONTAINED	NONE	Nimm die Arbeitseinheit; an der bezeichneten Stelle.	NONE	Nimm die Positionseinheit auf; an der bezeichneten Stelle.	NONE
D_ADDR+EE+Y	HIER · GRAD II · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	deey	2	0	2	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang bearbeite den Stationsposten; auf Grad II; an der bezeichneten Stelle.	NONE	Im laufenden Gang setze den Drogenposten ein; auf Grad II; an der bezeichneten Stelle.
D_ADDR+O+IIN	HIER · AUSFÜHRUNG · STUFE	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	doiin	2	2	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang halte den Pflanzenposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	NONE	Im laufenden Gang wähle den Positionsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	NONE
D_ADDR+OL	HIER · FORTSETZEN	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	13	9	2	dchol|dol	13	13	13	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang nimm den Arbeitswert [wie zuvor]; an der bezeichneten Stelle.	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	NONE	Weiter im laufenden Gang nimm den Drogenposten [wie zuvor]; an der bezeichneten Stelle.
D_ADDR+OR	HIER · EINHEIT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	5	1	dor	6	0	6	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle die Arbeitseinheit ein; an der bezeichneten Stelle.	Im laufenden Gang halte die Stationseinheit; an der bezeichneten Stelle.	NONE	NONE
D_ADDR+SH+OR	HIER · HALTEN · EINHEIT	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	dshor	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Halte die Stationseinheit; an der bezeichneten Stelle.	NONE	Halte die Ansatzeinheit; an der bezeichneten Stelle.
E+OL	GRAD I · FORTSETZEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	4	3	2	eol|teol	4	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I.	Weiter im laufenden Gang halte den Positionsposten [wie zuvor]; auf Grad I.	Weiter im laufenden Gang wähle den Mengenwert [wie zuvor]; auf Grad I.
E+S	GRAD I · WÄHLEN	2	SOURCE_SECTION_T|CELESTIAL	TWO_REGISTERS	2	2	1	es	0	2	2	FULLY_CONTEXT_BOUND	Wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	NONE	NONE	Wähle den Positionsposten [wie zuvor]; auf Grad I.	NONE
E+Y	GRAD I · POSTEN	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	5	4	3	edy|ey|qey	5	0	5	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang nimm den Pflanzenposten; auf Grad I.	Im laufenden Gang entnimm den Stationsposten; auf Grad I.	NONE	Im laufenden Gang setze den Drogenposten als Ansatz an; auf Grad I.
EEE+DY	GRAD III · SCHLUSS	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	eeedy|eeer	2	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang halte den Stationswert [wie zuvor]; auf Grad III; schließe den Schritt.	Im laufenden Gang setze den Positionsposten [wie zuvor] ein; auf Grad III; schließe den Schritt.	NONE
HO	KLASSE	3	SOURCE_SECTION_T|HERBAL|PHARMA	THREE_REGISTERS	8	7	1	cho	8	8	8	FULLY_CONTEXT_BOUND	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; in der bezeichneten Klasse.	Im laufenden Gang halte den Pflanzenposten [wie zuvor]; in der bezeichneten Klasse.	NONE	NONE	Im laufenden Gang gib den Drogenposten [wie zuvor] zu; in der bezeichneten Klasse.
HO+M_LOCAL	KLASSE · HIER	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	1	chom	2	2	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle den Arbeitswert [wie zuvor] ein; in der bezeichneten Klasse und an der bezeichneten Stelle.	NONE	NONE	Im laufenden Gang nimm den Drogenanteil [wie zuvor]; in der bezeichneten Klasse und an der bezeichneten Stelle.
K+AIIN	GEBEN · WERT	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	6	4	1	kaiin	0	0	0	FULLY_SELF_CONTAINED	Ordne den Kennwert zu.	NONE	Führe den Stationswert zu.	Ordne den Positionswert zu.	NONE
K+AIN	GEBEN · ANTEIL	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	5	1	kain	0	0	0	FULLY_SELF_CONTAINED	NONE	Gib den Materialanteil zu.	Führe den Stationsanteil zu.	NONE	NONE
K+AIR	GEBEN · BAHN	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	2	2	1	kair	0	2	2	FULLY_CONTEXT_BOUND	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	NONE	Führe den Stationswert [wie zuvor] zu; entlang der Stationsbahn.	NONE	NONE
K+AL	GEBEN · ZIELORT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	5	4	1	kal	0	5	5	FULLY_CONTEXT_BOUND	NONE	Gib den Pflanzenposten [wie zuvor] zu; zur Zielstelle.	Führe den Stationsposten [wie zuvor] zu; zur Zielstation.	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	NONE
K+AR	GEBEN · AUSGANG	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	5	2	kar|skar	0	6	6	FULLY_CONTEXT_BOUND	NONE	Gib den Arbeitswert [wie zuvor] zu; vom Ausgangsmaterial.	Führe den Stationsposten [wie zuvor] zu; von der Ausgangsstation.	NONE	NONE
K+CH+OR	GEBEN · NEHMEN · EINHEIT	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	1	kchor	0	0	0	FULLY_SELF_CONTAINED	NONE	Gib die Arbeitseinheit zu und nimm die Arbeitseinheit.	NONE	NONE	Gib die Ansatzeinheit zu und nimm die Ansatzeinheit.
K+E+OL	GEBEN · GRAD I · FORTSETZEN	2	HERBAL|PHARMA	TWO_REGISTERS	4	4	1	keol	0	4	4	FULLY_CONTEXT_BOUND	NONE	Weiter gib den Pflanzenposten [wie zuvor] zu; auf Grad I.	NONE	NONE	Weiter gib die Ansatzeinheit [wie zuvor] zu; auf Grad I.
K+EE+Y	GEBEN · GRAD II · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	9	6	1	keey	0	0	0	FULLY_SELF_CONTAINED	Ordne den laufenden Eintrag zu; auf Grad II.	Gib den Pflanzenposten zu; auf Grad II.	Führe den Stationsposten zu; auf Grad II.	Ordne den Positionsposten zu; auf Grad II.	Gib den Drogenposten zu; auf Grad II.
K+OL	GEBEN · FORTSETZEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	FOUR_REGISTERS	7	6	2	kchol|kol	0	7	7	FULLY_CONTEXT_BOUND	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	Weiter gib den Pflanzenposten [wie zuvor] zu.	Weiter führe den Stationsposten [wie zuvor] zu.	Weiter ordne den Positionswert [wie zuvor] zu.	NONE
K+OL+DY	GEBEN · FORTSETZEN · SCHLUSS	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	koldam|koldy	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter führe den Stationsposten [wie zuvor] zu; schließe den Schritt.	NONE	Weiter gib den Mengenwert [wie zuvor] zu; schließe den Schritt.
K+OR	GEBEN · EINHEIT	3	SOURCE_SECTION_T|BIOLOGICAL|PHARMA	THREE_REGISTERS	4	3	2	kor|qkor	0	0	0	FULLY_SELF_CONTAINED	Ordne die Eintragseinheit zu.	NONE	Führe die Stationseinheit zu.	NONE	Gib die Ansatzeinheit zu.
K+SH+Y	GEBEN · HALTEN · POSTEN	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	2	2	1	kshy	0	0	0	FULLY_SELF_CONTAINED	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest.	Gib den Pflanzenposten zu und halte den Pflanzenposten.	NONE	NONE	NONE
K+Y	GEBEN · POSTEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	7	6	2	kchy|ky	0	0	0	FULLY_SELF_CONTAINED	Ordne den laufenden Eintrag zu.	Gib den Pflanzenposten zu.	Führe den Stationsposten zu.	NONE	Gib den Drogenposten zu.
L	VERBINDUNG	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	18	9	2	dl|l	18	18	18	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang stelle den Stationsposten [wie zuvor] ein; über die sichtbare Verbindung.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; über die Gefäßverbindung.
L+CHD+Y	VERBINDUNG · BEARBEITEN · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	lchdy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Bearbeite den Stationsposten; über die sichtbare Verbindung.	NONE	Bearbeite den Drogenposten; über die Gefäßverbindung.
L+DY	VERBINDUNG · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	4	1	ldy	6	6	6	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; über die Verbindung im Pflanzenartikel; schließe den Schritt.	Im laufenden Gang halte den Stationsanteil [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	NONE	NONE
L+OL	VERBINDUNG · FORTSETZEN	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	12	7	2	chlol|lol	12	12	12	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang stelle den Arbeitswert [wie zuvor] ein; über die Verbindung im Pflanzenartikel.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	Weiter im laufenden Gang stelle den Positionsposten [wie zuvor] ein; über die Ringverbindung.	NONE
L+Y	VERBINDUNG · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	12	7	3	lchey|lklchey|ly	11	0	11	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	NONE	Im laufenden Gang setze den Drogenposten als Ansatz an; über die Gefäßverbindung.
O	AUSFÜHRUNG	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	28	11	2	o|qo	27	27	27	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Im laufenden Gang stelle die Arbeitseinheit [wie zuvor] ein; als Ausführung.	Im laufenden Gang bearbeite den Stationsposten [wie zuvor]; als Ausführung.	Im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	Im laufenden Gang gib den Mengenwert [wie zuvor] zu; als Ausführung.
O+AIIN	AUSFÜHRUNG · WERT	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	oaiin	2	0	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang gib den Arbeitswert zu; als Ausführung.	NONE	Im laufenden Gang nimm den Positionswert auf; als Ausführung.	NONE
O+AM_ADDR	AUSFÜHRUNG · HIER	2	HERBAL|PHARMA	TWO_REGISTERS	5	4	1	om	5	5	5	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang gib den Pflanzenposten [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	NONE	NONE	Im laufenden Gang wähle die Ansatzeinheit [wie zuvor]; als Ausführung; an der bezeichneten Stelle.
O+CH+K+E+Y	AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	8	5	3	ockhey|qockhedy|qockhey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Entnimm den Stationsposten und führe den Stationsposten zu; als Ausführung und auf Grad I.	NONE	Nimm den Drogenposten und gib den Drogenposten zu; als Ausführung und auf Grad I.
O+CH+K+Y	AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	ockhy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	NONE	Nimm den Positionsposten auf und ordne den Positionsposten zu; als Ausführung.	Nimm den Drogenposten und gib den Drogenposten zu; als Ausführung.
O+DY	AUSFÜHRUNG · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	5	4	1	ody	5	5	5	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang markiere die Arbeitseinheit [wie zuvor]; als Ausführung; schließe den Schritt.	Im laufenden Gang setze den Stationsposten [wie zuvor] ein; als Ausführung; schließe den Schritt.	NONE	NONE
O+D_ADDR+AIIN	AUSFÜHRUNG · HIER · WERT	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	6	6	1	odaiin	6	0	6	FULLY_CONTEXT_BOUND	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang stelle den Arbeitswert ein; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den Stationswert im Stationsgang an; als Ausführung; an der bezeichneten Stelle.	NONE	Im laufenden Gang nimm den Mengenwert; als Ausführung; an der bezeichneten Stelle.
O+D_ADDR+AR	AUSFÜHRUNG · HIER · AUSGANG	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	FOUR_REGISTERS	4	4	3	keodar|odar|qodar	3	3	3	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang halte die Stationseinheit [wie zuvor]; von der Ausgangsstation; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze die Positionseinheit [wie zuvor]; von der Ausgangsposition; als Ausführung; an der bezeichneten Stelle.	NONE
O+EE+Y	AUSFÜHRUNG · GRAD II · POSTEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	3	3	2	qoeeeo|qoeey	3	0	3	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	Im laufenden Gang gib den Drogenposten zu; als Ausführung und auf Grad II.
