card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	revised_components	backread_revision	pre_617_standard_command_de	noun_address_components	noun_address_revision
PROC095	ly	L+Y	CMD068	WEITERLEITEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B1	NO	CMD068	FUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · DIES	Y	YES
PROC096	dsheol	SH+E+OL	CMD138	HALTEN · KURZ · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD138	HALTEN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · FORTSETZEN	NONE	NO
PROC097	oiiin|soiiin	O+IIN	CMD075	ARBEITSGANG · ARBEITSSTUFE	ARGUMENT_OR_OBJECT_FORMULA	2	B1|B3	NO	CMD075	GANG · STUFE	UNCHANGED_UNIQUE_COMMAND	O	YES	ARBEITSGANG · STUFE	IIN	YES
PROC098	olkeedy|solkeedy	SOLK+EE+DY	CMD150	AUFFANGEN · LANG; SCHLUSS	ACTION_COMMAND	3	B1|B3	NO	CMD150	AUFFANGEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUFFANGEN · LANG; SCHLUSS	NONE	NO
PROC099	shckhedy	SH+CKH+E+DY	CMD132	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	ACTION_COMMAND	3	B1|B4	NO	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · DURCHLASS · KURZ; SCHLUSS	CKH	YES
PROC100	qokeedy	OK+EE+DY	CMD088	ANSETZEN · LANG; SCHLUSS	ACTION_COMMAND	10	B2|B3|B4	NO	CMD088	ANSETZEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · LANG; SCHLUSS	NONE	NO
PROC101	lcheckhy	L+CKH+Y	CMD061	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD061	FUEHREN · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · DURCHLASS · DIES	CKH|Y	YES
PROC102	lched	L+CHD	CMD056	WEITERLEITEN · UMSETZEN	ACTION_COMMAND	1	B2	NO	CMD056	FUEHREN · UMSETZEN	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · UMSETZEN	NONE	NO
PROC103	lcheckhedy	L+CKH+E+DY	CMD060	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD060	FUEHREN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · DURCHLASS · KURZ; SCHLUSS	CKH	YES
PROC104	qokaly	OK+AL+Y	CMD081	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD081	ANSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · ZIEL · DIES	AL|Y	YES
PROC105	solkaiin	SOLK+AIIN	CMD148	AUFFANGEN · SOLLMASS	ACTION_COMMAND	1	B2	NO	CMD148	AUFFANGEN · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUFFANGEN · MASS	AIIN	YES
PROC106	octheol	O+CTH+E+OL	CMD072	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B2	NO	CMD072	GANG · BEREIT · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	O	YES	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	NONE	NO
PROC107	chkeey	CHK+EE+Y	CMD025	WAERMEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	WAERMEN · LANG · DIES	Y	YES
PROC108	ldy	L+DY	CMD062	WEITERLEITEN; SCHLUSS	ACTION_COMMAND	2	B2|B3	NO	CMD062	FUEHREN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN; SCHLUSS	NONE	NO
PROC109	oteey	OT+EE+Y	CMD118	DANACH · LANG · ARBEITSPOSTEN	STATE_OR_GRADE_FORMULA	2	B2	NO	CMD118	DANACH · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · LANG · DIES	Y	YES
PROC110	sheckhy	SH+E+CKH+Y	CMD134	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD134	HALTEN · KURZ · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · DURCHLASS · DIES	CKH|Y	YES
PROC111	dshedy	SH+E+DY	CMD137	HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD137	HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ; SCHLUSS	NONE	NO
PROC112	otaiin|sotaiin	OT+AIIN	CMD109	DANACH · SOLLMASS	SEQUENCE_FORMULA	3	B2|B3	NO	CMD109	DANACH · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · MASS	AIIN	YES
PROC113	qokar	OK+AR	CMD082	ANSETZEN · VORRAT	ACTION_COMMAND	1	B2	NO	CMD082	ANSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · QUELLE	AR	YES
PROC114	solshedy	OL+SH+E+DY	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · HALTEN · KURZ; SCHLUSS	NONE	NO
PROC115	ls	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	1	B2	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	FORTSETZEN	NONE	NO
PROC116	lchy	L+CH+Y	CMD055	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD055	FUEHREN · ABZIEHEN · DIES	UNCHANGED_UNIQUE_COMMAND	CH|L	YES	WEITERLEITEN · ABNEHMEN · DIES	Y	YES
PROC117	qcthey|shcthey	CTH+E+Y	CMD028	BEREIT · KURZ · ARBEITSPOSTEN	STATE_OR_GRADE_FORMULA	2	B2|B3	NO	CMD028	BEREIT · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	BEREIT · KURZ · DIES	Y	YES
PROC118	lcheey	L+EE+Y	CMD063	WEITERLEITEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD063	FUEHREN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · LANG · DIES	Y	YES
PROC119	qokeeedy	OK+EEE+DY	CMD091	ANSETZEN · VOLL; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD091	ANSETZEN · VOLL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · VOLL; SCHLUSS	NONE	NO
PROC120	lchedy	L+CHD+DY	CMD059	WEITERLEITEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	8	B2|B3|B4	NO	CMD059	FUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · UMSETZEN; SCHLUSS	NONE	NO
PROC121	lar	L+AR	CMD054	WEITERLEITEN · VORRAT	ACTION_COMMAND	1	B2	NO	CMD054	FUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · QUELLE	AR	YES
PROC122	tshey	SH+E+Y	CMD139	HALTEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	B2	NO	CMD139	HALTEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · DIES	Y	YES
PROC123	lchedar	L+CHD+AR	CMD058	WEITERLEITEN · UMSETZEN · VORRAT	ACTION_COMMAND	1	B2	NO	CMD058	FUEHREN · UMSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · UMSETZEN · QUELLE	AR	YES
PROC124	ches	CH+E+S	CMD014	ABNEHMEN · KURZ · TEILEN	ACTION_COMMAND	1	B2	NO	CMD014	ABZIEHEN · KURZ · TEILEN	UNCHANGED_UNIQUE_COMMAND	CH	YES	ABNEHMEN · KURZ · TEILEN	NONE	NO
PROC125	pchedy	P+CHD+DY	CMD124	EINFUELLEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD124	HINEIN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	P	YES	EINFUELLEN · UMSETZEN; SCHLUSS	NONE	NO
PROC126	rsheal	R+SH+E+AL	CMD129	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	ACTION_COMMAND	1	B2	NO	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KUEHLEN · HALTEN · KURZ · ZIEL	AL	YES
PROC127	daldy	AL+DY	CMD006	ZIELSTELLE; SCHLUSS	CLOSE_FORMULA	1	B2	NO	CMD006	ZIEL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ZIEL; SCHLUSS	AL	YES
PROC128	rshedy	R+SHED+DY	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KUEHLEN · ABSETZEN; SCHLUSS	NONE	NO
PROC129	qoteedy	OT+EE+DY	CMD117	DANACH · LANG; SCHLUSS	CLOSE_FORMULA	2	B2|B3	NO	CMD117	DANACH · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · LANG; SCHLUSS	NONE	NO
PROC130	lochedy	L+O+CHD+DY	CMD066	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD066	FUEHREN · GANG · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	L|O	YES	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	NONE	NO
PROC131	otal|qotal	OT+AL	CMD110	DANACH · ZIELSTELLE	SEQUENCE_FORMULA	3	B3|B4	NO	CMD110	DANACH · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · ZIEL	AL	YES
PROC132	chkeedy	CHK+EE+DY	CMD024	WAERMEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD024	WAERMEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	WAERMEN · LANG; SCHLUSS	NONE	NO
PROC133	chedchy	CHD+Y	CMD022	UMSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B3	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	UMSETZEN · DIES	Y	YES
PROC134	pchedal	P+CHD+AL	CMD123	EINFUELLEN · UMSETZEN · ZIELSTELLE	ACTION_COMMAND	1	B3	NO	CMD123	HINEIN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	P	YES	EINFUELLEN · UMSETZEN · ZIEL	AL	YES
PROC135	otedy	OT+E+DY	CMD116	DANACH · KURZ; SCHLUSS	CLOSE_FORMULA	2	B3	NO	CMD116	DANACH · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · KURZ; SCHLUSS	NONE	NO
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B3	NO	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	Y	YES
PROC137	chary	AR+Y	CMD009	VORRAT · ARBEITSPOSTEN	ARGUMENT_OR_OBJECT_FORMULA	1	B3	NO	CMD009	QUELLE · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	QUELLE · DIES	AR|Y	YES
PROC138	okair	OK+AIR	CMD079	ANSETZEN · FLUESSIGKEITSLAUF	ACTION_COMMAND	1	B3	NO	CMD079	ANSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · LAUF	AIR	YES
PROC139	sheedy	SH+EE+DY	CMD140	HALTEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD140	HALTEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · LANG; SCHLUSS	NONE	NO
PROC140	lo	L+O	CMD065	WEITERLEITEN · ARBEITSGANG	ACTION_COMMAND	1	B3	NO	CMD065	FUEHREN · GANG	UNCHANGED_UNIQUE_COMMAND	L|O	YES	WEITERLEITEN · ARBEITSGANG	NONE	NO
PROC141	qokshedy	OK+SH+E+DY	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · HALTEN · KURZ; SCHLUSS	NONE	NO
PROC142	shedal	SHED+AL	CMD146	ABSETZEN · ZIELSTELLE	ACTION_COMMAND	2	B3|B5	NO	CMD146	ABSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ABSETZEN · ZIEL	AL	YES
PROC143	shecthy	SH+E+CTH+Y	CMD136	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	ACTION_COMMAND	1	B3	NO	CMD136	HALTEN · KURZ · BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · KURZ · BEREIT · DIES	Y	YES
PROC144	dalchdy	AL+CHD+DY	CMD005	ZIELSTELLE · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD005	ZIEL · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ZIEL · UMSETZEN; SCHLUSS	AL	YES
PROC145	otchedy|qotchedy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B3	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	DANACH · UMSETZEN; SCHLUSS	NONE	NO
PROC146	cheedar	EE+AR	CMD035	LANG · VORRAT	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD035	LANG · QUELLE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	LANG · QUELLE	AR	YES
PROC147	chldaiin	L+AIIN	CMD052	WEITERLEITEN · SOLLMASS	ACTION_COMMAND	1	B3	NO	CMD052	FUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · MASS	AIIN	YES
PROC148	chealror	AL+R+OR	CMD007	ZIELSTELLE · KUEHLEN · ANSATZ	ACTION_COMMAND	1	B3	NO	CMD007	ZIEL · KUEHLEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ZIEL · KUEHLEN · ANSATZ	AL	YES
PROC149	cheeety	EEE+T+Y	CMD036	VOLL · EINTRAGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	B3	NO	CMD036	VOLL · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	VOLL · EINTRAGEN · DIES	Y	YES
PROC150	schedair	CHD+AIR	CMD019	UMSETZEN · FLUESSIGKEITSLAUF	ACTION_COMMAND	1	B3	NO	CMD019	UMSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND	NONE	NO	UMSETZEN · LAUF	AIR	YES
PROC151	chedain	CHD+AIN	CMD018	UMSETZEN · PORTION	ACTION_COMMAND	1	B3	NO	CMD018	UMSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND	NONE	NO	UMSETZEN · PORTION	NONE	NO
PROC152	qotedaiin	OT+E+AIIN	CMD115	DANACH · KURZ · SOLLMASS	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD115	DANACH · KURZ · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · KURZ · MASS	AIIN	YES
PROC153	olsaly	OL+AL+Y	CMD098	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	SEQUENCE_FORMULA	1	B3	NO	CMD098	FORTSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · ZIEL · DIES	AL|Y	YES
PROC154	qolchey	OL+Y	CMD105	FORTSETZEN · ARBEITSPOSTEN	SEQUENCE_FORMULA	1	B4	NO	CMD105	FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · DIES	Y	YES
PROC155	qokylddy	OK+Y+LD+DY	CMD096	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	Y	YES
PROC156	dain	AIN	CMD002	PORTION	ARGUMENT_OR_OBJECT_FORMULA	2	B4|B6	NO	CMD002	PORTION	UNCHANGED_UNIQUE_COMMAND	NONE	NO	PORTION	NONE	NO
PROC157	sheey	SH+EE+Y	CMD141	HALTEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	1	B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	HALTEN · LANG · DIES	Y	YES
PROC158	okeeol	OK+EE+OL	CMD089	ANSETZEN · LANG · FORTSETZEN	ACTION_COMMAND	1	B4	NO	CMD089	ANSETZEN · LANG · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSETZEN · LANG · FORTSETZEN	NONE	NO
PROC159	lkedy	L+K+E+DY	CMD064	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD064	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	K|L	YES	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	NONE	NO
PROC160	qokol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	B4	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · FORTSETZEN	NONE	NO
PROC161	qockhey	O+CKH+E+Y	CMD071	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	STATE_OR_GRADE_FORMULA	1	B4	NO	CMD071	GANG · DURCHLASS · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	O	YES	ARBEITSGANG · DURCHLASS · KURZ · DIES	CKH|Y	YES
PROC162	dairydy	AIR+Y+DY	CMD003	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	CLOSE_FORMULA	1	B4	NO	CMD003	LAUF · DIES; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	LAUF · DIES; SCHLUSS	AIR|Y	YES
PROC163	chckhal	CH+CKH+AL	CMD012	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	ACTION_COMMAND	1	B4	NO	CMD012	ABZIEHEN · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND	CH	YES	ABNEHMEN · DURCHLASS · ZIEL	AL|CKH	YES
PROC164	solkey	SOLK+E+Y	CMD149	AUFFANGEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	B4	NO	CMD149	AUFFANGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUFFANGEN · KURZ · DIES	Y	YES
PROC165	skar	K+AR	CMD044	ZUDOSIEREN · VORRAT	ACTION_COMMAND	1	B4	NO	CMD044	ZUFUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · QUELLE	AR	YES
PROC166	otchdy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B5	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	DANACH · UMSETZEN; SCHLUSS	NONE	NO
PROC167	lol	L+OL	CMD067	WEITERLEITEN · FORTSETZEN	ACTION_COMMAND	1	B5	NO	CMD067	FUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · FORTSETZEN	NONE	NO
PROC168	chdal	CHD+AL	CMD020	UMSETZEN · ZIELSTELLE	ACTION_COMMAND	1	B5	NO	CMD020	UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	NONE	NO	UMSETZEN · ZIEL	AL	YES
PROC169	daiiin	DA+IIN	CMD031	ZWEITMARKER · ARBEITSSTUFE	ARGUMENT_OR_OBJECT_FORMULA	1	B5	NO	CMD031	ZWEIT · STUFE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ZWEIT · STUFE	DA|IIN	YES
PROC170	solkeey	SOLK+EE+Y	CMD151	AUFFANGEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	1	B6	NO	CMD151	AUFFANGEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUFFANGEN · LANG · DIES	Y	YES
PROC171	qekey	E+K+E+Y	CMD032	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	B6	NO	CMD032	KURZ · ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	K	YES	KURZ · ZUDOSIEREN · KURZ · DIES	Y	YES
PROC172	raly	R+AL+Y	CMD127	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	ACTION_COMMAND	1	B6	NO	CMD127	KUEHLEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KUEHLEN · ZIEL · DIES	AL|Y	YES
PROC173	ldalor	L+AL+OR	CMD053	WEITERLEITEN · ZIELSTELLE · ANSATZ	ACTION_COMMAND	1	B6	NO	CMD053	FUEHREN · ZIEL · ANSATZ	UNCHANGED_UNIQUE_COMMAND	L	YES	WEITERLEITEN · ZIEL · ANSATZ	AL	YES
