statement_id	record_unit_id	page	visible_surface_sequence	period_sized_card_chain_de	terse_workshop_clause_de	previous_fluent_expansion_de
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe | bereit | Anteil | Folgemaß | Zielstelle · Posten | kurz absetzen; Schluss	Arbeitsstufe; bereit; Anteil; Folgemaß; Zielstelle · Posten; kurz absetzen; Schluss.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
B4-S001	B4	f83r	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
B4-S002	B4	f83r	qolchey qokeey qokedy	weiter · Posten | lange einwirken | kurz einwirken; Schluss	weiter · Posten; lange einwirken; kurz einwirken; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Übertrage, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
B4-S004	B4	f83r	qokylddy	einsetzen · Posten · festbinden	einsetzen · Posten · festbinden.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
B4-S005	B4	f83r	dain chedy qokeedy	Tuch | überführen | lange einwirken; Schluss	Tuch; überführen; lange einwirken; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, übertrage, setze länger an und schließe
B4-S006	B4	f83r	shckhedy	seihen; Schluss	seihen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S007	B4	f83r	shckhedy	seihen; Schluss	seihen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S008	B4	f83r	saiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; Schluss	Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, bearbeite länger, lass länger ruhen, setze kurz an und schließe.
B4-S009	B4	f83r	shedy	kurz absetzen; Schluss	kurz absetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
B4-S010	B4	f83r	oldy	fertig	fertig.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	Sollmaß | kurz wärmen | einsetzen · länger · weiter | Anteil zugeben | überführen | weiter | abführen · kurz; schließen	Sollmaß; kurz wärmen; einsetzen · länger · weiter; Anteil zugeben; überführen; weiter; abführen · kurz; schließen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, übertrage, führe weiter, wasche nach und schließe
B4-S012	B4	f83r	lchedy	abführen; Schluss	abführen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
B4-S013	B4	f83r	qokol shedy	einsetzen · weiter | kurz absetzen; Schluss	einsetzen · weiter; kurz absetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
B4-S014	B4	f83r	or chey qockhey dairydy	Ansatz | dies | einsetzen · Durchgang · kurz · Posten | Flüssigkeitslauf · Posten; schließen	Ansatz; dies; einsetzen · Durchgang · kurz · Posten; Flüssigkeitslauf · Posten; schließen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	Anteil zugeben | Klarauszug | Anteil | Durchgang · Zielstelle | auffangen · kurz · Posten | abführen; Schluss	Anteil zugeben; Klarauszug; Anteil; Durchgang · Zielstelle; auffangen · kurz · Posten; abführen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
B4-S016	B4	f83r	qolkain dal skar shedy	weiter · Anteil | dorthin | ausgießen · Ausgang | kurz absetzen; Schluss	weiter · Anteil; dorthin; ausgießen · Ausgang; kurz absetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
B5-S001	B5	f83r	otchdy	danach · übertragen; schließen	danach · übertragen; schließen.	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
B5-S002	B5	f83r	qokchdy	einführen; Schluss	einführen; Schluss.	An der linken figurenlosen Dienststation: Setze um und schließe
B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	absetzen · Zielstelle | dorthin | weiter | abführen · weiter | übertragen · Zielstelle | Sollmaß | weiter | Arbeitsstufe | überführen	absetzen · Zielstelle; dorthin; weiter; abführen · weiter; übertragen · Zielstelle; Sollmaß; weiter; Arbeitsstufe; überführen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	auffangen · länger · Posten | bearbeiten · kurz · Posten | Zielstelle · Posten | weiter | Sollmaß | weiter | Tuch | dies | Zielstelle	auffangen · länger · Posten; bearbeiten · kurz · Posten; Zielstelle · Posten; weiter; Sollmaß; weiter; Tuch; dies; Zielstelle.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
