visible_surface	register_status	learning_mode	visible_groups	short_spoken_value_de	component_hint
todaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
tshey	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	1	Klarlauf zugeben	CHEEY
tshol	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	1	Zutat entnehmen	HO+L
ycheody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	aktueller Ablesewert fest	CHEO
ychey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktueller Ablesewert	NONE
ydam	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	festgelegter Aspektwert	NONE
ydchos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
ydoly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	im selben Ring, Band oder Satz fortsetzen	OL
yekees	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
yetey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	ausgewählter Phasenwert	NONE
yfain	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	gezaehlter Teil oder Unterabschnitt	AIN
yka	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktuelle Qualität	NONE
ykady	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktuelle Qualität fest	NONE
ykaly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
ykchdy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Wert oder Platzbezug uebertragen	KCH
ykchos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammplatz berechnen oder bearbeiten	KCH
ykchy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammplatz berechnen oder bearbeiten	KCH
ykchys	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Diagrammplatz berechnen oder bearbeiten	KCH
ykecho	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
ykeeal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld	AL
ykeeody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
ykees	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
ykeey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	lange oder volle Diagrammstufe	NONE
ykey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktuelle Klasse	NONE
ykeydy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktuelle Klasse fest	NONE
ykoaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
ykshy	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Position oder Bedingung halten	NONE
yky	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	aktuelles Haus	NONE
ypair	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmels-, Ring- oder Zeigerlauf	AIR
yshey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	abgelesener oder freigegebener Wert	NONE
ytalchos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	1	Ziel + Eingangsposten	AL+HO
ytchodly	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
ytchody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Himmelsobjekt oder Eingangsbedingung	HO
yteody	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Phasenplatz fest eingetragen	NONE
yteoor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
yteos	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	sekundärer Phasenplatz	NONE
ytoaiin	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Sollwert oder Grad eines Diagrammplatzes	AIIN
ytodal	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Zielsektor, Zielstern oder Zielfeld	AL
ytoeopchey	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	1	Vergleichswert dieses Platzes	NONE
ytor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
ytory	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Bedingungs-, Tabellen- oder Wahlansatz	OR
ytyd	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	1	Teilsektor oder Untereintrag	TY
