rank	priority_tier	candidate_page_host	exact_card_types	events_on_ten_pages	surface_cards_and_tuple_ids	current_V43_defaults	shared_semantic_intersection	formal_coordinates_per_card	proposed_form_rule	counterevidence_or_exception	confidence	status
35	5	okeey	1	7	okeey|qokeey [0275fbf14e07935b0a45]	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	0275fbf14e07935b0a45:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
36	5	ckhy	1	4	chckhy|shckhy [2cc8bb3c2af19607888f]	durch die verbundenen Läufe	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2cc8bb3c2af19607888f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
37	5	ckhe	1	3	shckhedy [d68bc8de3bcee09db23c]	seihe es einmal durch ein Tuch und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d68bc8de3bcee09db23c:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
38	5	ky	1	3	cheky [d904bf7b044dd3922781]	bei sanfter Wärme	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d904bf7b044dd3922781:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
39	5	okch	1	3	qokchdy [87411f84689b4f93a303]	erwärme es einmal und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	87411f84689b4f93a303:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
40	5	okchy	1	3	chokchy|okchy|qokchy [9ad66e67803a12e745de]	gebrauche die frisch bereitete Arznei	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	9ad66e67803a12e745de:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
41	5	olche	1	3	olchedy|qolchedy [28ffbc88b97772a75f1e]	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	28ffbc88b97772a75f1e:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
42	5	olkee	1	3	olkeedy|solkeedy [3b70942557b3a40e8030]	lasse die Flüssigkeit sich setzen und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	3b70942557b3a40e8030:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
43	5	cthey	1	2	qcthey|shcthey [6b89d6dd70635bc60fe0]	unter derselben Einstellung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	6b89d6dd70635bc60fe0:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
44	5	eky	1	2	cheeky [2c1a5fd92b9e3c762242]	solange es noch warm ist	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2c1a5fd92b9e3c762242:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
45	5	lshe	1	2	lshedy [2e7e89e0bd12b999c280]	wasche einmal und beende diesen Durchgang	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2e7e89e0bd12b999c280:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
46	5	oiiin	1	2	oiiin|soiiin [2c82523794dcb7d2b343]	bis es klar ist	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2c82523794dcb7d2b343:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
47	5	okche	1	2	okchedy|qokchedy [07913ef9b1fb773cd325]	lasse es abkühlen und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	07913ef9b1fb773cd325:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
48	5	okey	1	2	okey|qokey [08bd5ca0c2ad137a056d]	warmes Wasser	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	08bd5ca0c2ad137a056d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
49	5	olor	1	2	cholor|olor [dec401773c1f0347793d]	Aus dem vorigen Ansatz entnehmen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	dec401773c1f0347793d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
50	5	ty	1	2	chety|chty [80ebbbbf238eee9f0aef]	Gleichmäßig bearbeiten	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	80ebbbbf238eee9f0aef:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
51	5	aiiin	1	1	daiiin [fcc1deda9e24ec268eb0]	die zweite Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	fcc1deda9e24ec268eb0:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
52	5	air	1	1	chair [12efe866f335461823a6]	gib Rotwein hinzu	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	12efe866f335461823a6:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
53	5	airy	1	1	dairydy [8aedd154964a78e555d6]	gebrauche sie sofort und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	8aedd154964a78e555d6:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=d	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
54	5	ala	1	1	talam [e026af581c99322fbd46]	wasche die wunde Stelle einmal	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	e026af581c99322fbd46:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=1;WRAPPER_EXAMPLE=t	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
55	5	alch	1	1	dalchdy [2bc2ed2630dbdaaa6b59]	behalte den Rückstand und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2bc2ed2630dbdaaa6b59:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=d	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
56	5	alror	1	1	chealror [d788d8d72d41b25a3c71]	bis der Strom klar wird	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d788d8d72d41b25a3c71:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
57	5	ary	1	1	chary [0bdc8b6db811b4e67a63]	und lasse es abkühlen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	0bdc8b6db811b4e67a63:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
58	5	cfhy	1	1	cfhy [bdad9f9ea8b80f141496]	bevor sich die Blütenkrone öffnet	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	bdad9f9ea8b80f141496:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
59	5	ched	1	1	schedair [b154ff779abe5f196c80]	ziehe die klare Flüssigkeit ab	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	b154ff779abe5f196c80:FRAME=NONE;INNER_D=0;RIGHT=air;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
60	5	ckh	1	1	chckhal [21ed2873b71e57269c08]	für die angegebene Dauer	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	21ed2873b71e57269c08:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
61	5	cphy	1	1	cphy [deb377381ceaf55ea310]	seihe die Flüssigkeit ein zweites Mal	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	deb377381ceaf55ea310:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
62	5	cthoor	1	1	cthoor [dedc383b600397a301ee]	wasche sie in fließendem Wasser	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	dedc383b600397a301ee:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
63	5	eckh	1	1	sheckhal [4eab1841ed655c20a348]	eine mäßige Menge	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	4eab1841ed655c20a348:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
64	5	eckho	1	1	cheeckhody [95987d6f198d6d247511]	lasse das Pflaster unbedeckt trocknen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	95987d6f198d6d247511:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
65	5	eckhy	1	1	sheckhy [c1913ec4ff84148da6d3]	über der örtlich bezeichneten Stelle	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	c1913ec4ff84148da6d3:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
66	5	ecthedchy	1	1	shecthedchy [348e81ba084c5acdb32b]	wende es an der markierten Stelle an	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	348e81ba084c5acdb32b:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
67	5	ecthy	1	1	shecthy [cb57b696b815fdef9cb7]	warmes Wasser	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	cb57b696b815fdef9cb7:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
68	5	eety	1	1	cheeety [9247e38d29c79a0d2fa5]	nach der ersten Spülung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	9247e38d29c79a0d2fa5:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
69	5	ekey	1	1	qekey [43eb9aa12959b4d5cdc9]	ohne Kochen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	43eb9aa12959b4d5cdc9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
70	5	eol	1	1	teol [a06244ef1f2b37ca44c1]	die erste Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a06244ef1f2b37ca44c1:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=t	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
71	5	etyd	1	1	etyd [a6939862e33ece5a0483]	bewahre die übrige Wurzel trocken auf	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a6939862e33ece5a0483:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
72	5	fyd	1	1	shfydaiin [a8af08e69edab8e54f15]	presse die gequetschte Wurzel durch ein Tuch	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a8af08e69edab8e54f15:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
73	5	h	1	1	sh [ad3581d3144f69a5912d]	ihren kleinen Samen- oder Knospenkopf	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	ad3581d3144f69a5912d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
74	5	kaiiin	1	1	kaiiin [409de02322e7b2ca0c62]	bis ein bitterer Geschmack bleibt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	409de02322e7b2ca0c62:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
75	5	kch	1	1	kchal [75a523fcf039b006f97b]	bewahre den Rest trocken im Schatten	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	75a523fcf039b006f97b:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
76	5	kchey	1	1	kchey [b74e9e65637b7c8538dd]	das getrocknete schmale Blatt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	b74e9e65637b7c8538dd:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
77	5	kcho	1	1	kchoar [c71c72da4e09e0833392]	mische es mit Honig	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	c71c72da4e09e0833392:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
78	5	kchol	1	1	kchol [893c570f3fa3fce99711]	lasse es in Weißwein ziehen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	893c570f3fa3fce99711:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
79	5	kchy	1	1	kchy [b2812c8283c3a62438bd]	binde es auf die geschwollene Stelle	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	b2812c8283c3a62438bd:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
