bio_field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_local_owner	owner_status	owner_transition	visible_contact_basis	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	medical_application_model	bathhouse_operation_model	iconographic_formal_model	strongest_rival	contradiction	global_flow_claim	semantic_ceiling
59	F079	B3	f83r	f83r.6	B3-S009	1	247	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	zweite Randfigur ist sichtbar in einer eigenen rund eingefassten Station	E247:276a7c2d74d1143446f4	E247=Gebrauche die Waschflotte am bezeichneten Körper- oder Beckenbereich dieser Station.	An derselben lokalen Station [B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]: Gebrauche die Waschflotte am bezeichneten Körper- oder Beckenbereich dieser Station.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.62	0.620	Einpersonen-Teilbad oder Waschstation im runden Gefäß	kleines rundes Becken für Füllen, Mischen und Ablassen	Teil eines dreifachen Randstapels ohne eigenständige Betriebsfunktion	Badehausbetrieb an [B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]: aktive Charge an technischem Stationsziel F079.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANWENDEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
60	F080	B3	f83r	f83r.8	B3-S010	2	248|249	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	DIRECT_VISIBLE	RESET_AT_V71_SCENE_GAP	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E248:ba540da978ea132f6da5 > E249:c45ebac60774620561e2	E248=Fülle danach das örtlich bezeichnete Gefäß. | E249=Lasse den örtlichen Posten bis zum bezeichneten Klarzustand ziehen und beende den Schritt.	Setze den lokalen Besitzer [B3_LOWER_MARGIN_BASKET_VESSEL_STATION] (untere f83r-Randfigur im korbartigen Gefäß): Fülle danach das örtlich bezeichnete Gefäß. Lasse den örtlichen Posten bis zum bezeichneten Klarzustand ziehen und beende den Schritt.	"{""EXEMPLAR_ONLY"": 1, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.48	0.480	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: obere Rinne füllen. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Charge über das Gefälle umlaufen lassen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
61	F081	B3	f83r	f83r.8	B3-S011	4	250|251|252|253	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E250:348e81ba084c5acdb32b > E251:276a7c2d74d1143446f4 > E252:6f7ff8287eddf4da9fdb > E253:0bdc8b6db811b4e67a63	E250=Wende den aktiven Posten an der örtlich markierten Stelle an. | E251=Gebrauche die Waschflotte am bezeichneten Körper- oder Beckenbereich dieser Station. | E252=Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. | E253=Lasse den örtlichen Posten anschließend abkühlen.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Wende den aktiven Posten an der örtlich markierten Stelle an. Gebrauche die Waschflotte am bezeichneten Körper- oder Beckenbereich dieser Station. Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. Lasse den örtlichen Posten anschließend abkühlen.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.470	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Arbeitsziel an der Station bereitstellen. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: aktive Charge an technischem Stationsziel F081. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Durchgang beobachten. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Restcharge im Auffanggefäß sammeln.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANWENDEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
62	F082	B3	f83r	f83r.11	B3-S012	2	254|255	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E254:7a4bb8136330ee4e6e56 > E255:bc4f1f5c006c74a4d26d	E254=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E255=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.520	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: aktive Charge/Rücklauf des Feldes F082. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Restcharge zurückführen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANSATZ? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
63	F083	B3	f83r	f83r.11	B3-S013	4	256|257|258|259	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E256:b5fcea1eaed06b2f2291 > E257:9da1b6ac2c929daea697 > E258:6b89d6dd70635bc60fe0 > E259:7db18b2f0fb7ed0fcfd3	E256=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E257=Nimm einen abgemessenen Anteil des lokalen Postens. | E258=Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. | E259=Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Nimm einen abgemessenen Anteil des lokalen Postens. Behalte für diesen örtlichen Schritt dieselbe Einstellung bei. Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	"{""EXEMPLAR_ONLY"": 2, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.510	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Mengenbuch=B3:F083:M. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Leitung bis zum klaren Lauf spülen. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Spülrest getrennt auffangen. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Leitungsweg von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; SPÜLEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
64	F084	B3	f83r	f83r.11	B3-S014	2	260|261	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E260:7d2404c835b10a2c06af > E261:03626ca94cb17800d767	E260=Öffne danach den innerhalb dieser Station bezeichneten oberen Lauf. | E261=Wasche den bezeichneten Bereich einmal und beende den örtlichen Schritt.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Öffne danach den innerhalb dieser Station bezeichneten oberen Lauf. Wasche den bezeichneten Bereich einmal und beende den örtlichen Schritt.	"{""EXEMPLAR_ONLY"": 1, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.38	0.400	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Filtertuch oder Sieb einsetzen. Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Charge durch den Filter führen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
65	F085	B3	f83r	f83r.11	B3-S015	1	262	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E262:de7321bface5628e35d6	E262=Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.58	0.580	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Unterlauf von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ABLASSEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
66	F086	B3	f83r	f83r.11	B3-S016	1	263	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	E263:2b7fa918d1b2f5c656e3	E263=Schließe den bezeichneten unteren Ablauf dieser Station.	An derselben lokalen Station [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Schließe den bezeichneten unteren Ablauf dieser Station.	"{""EXEMPLAR_ONLY"": 1}"	0.38	0.380	örtliche Anwendung oder Teilbad im korbartigen Gefäß	unterer Gefäßposten für Filtern, Halten und Auslassen	Teil des dreifachen Randstapels oder symbolischer Korb	Badehausbetrieb an [B3_LOWER_MARGIN_BASKET_VESSEL_STATION]: Filter lösen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
67	F087	B3	f83r	f83r.14	B3-S016	1	264	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	RESET_AT_V71_GAP_AND_MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E264:07913ef9b1fb773cd325	E264=Lasse den örtlichen Posten abkühlen und beende den Schritt.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Lasse den örtlichen Posten abkühlen und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.260	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
68	F088	B3	f83r	f83r.14	B3-S017	1	265	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E265:7d25241b0e56c836372a	E265=Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den lokalen Schritt.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den lokalen Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.260	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
69	F089	B3	f83r	f83r.14	B3-S018	1	266	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E266:bc4f1f5c006c74a4d26d	E266=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.260	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
70	F090	B3	f83r	f83r.14	B3-S019	1	267	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E267:db167f8e9b53eefb58f8	E267=Erwärme den Bade- oder Waschzusatz sanft und beende den örtlichen Arbeitsschritt.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Erwärme den Bade- oder Waschzusatz sanft und beende den örtlichen Arbeitsschritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.260	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
71	F091	B3	f83r	f83r.14	B3-S020	2	268|269	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E268:dd0ecaf5e27d81befffc > E269:de7321bface5628e35d6	E268=Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. | E269=Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.42	0.420	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ZIEL? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ABLASSEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
72	F092	B3	f83r	f83r.14	B3-S021	4	270|271|272|273	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	MASTER_EXEMPLAR_OWNER_LOOKUP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	E270:b5fcea1eaed06b2f2291 > E271:e0b630cb1b5df5e7105b > E272:dd0ecaf5e27d81befffc > E273:b921a237be883a820352	E270=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E271=Prüfe den örtlich vorgeschriebenen Zustand der Charge. | E272=Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. | E273=Verwende nun diese aktive Bade- oder Waschportion.	Am nur durch das Masterexemplar zuweisbaren örtlichen Posten [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] (örtlicher f83r-Posten laut Exemplar; keine Bildvererbung über die Lücke): Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Prüfe den örtlich vorgeschriebenen Zustand der Charge. Führe den aktiven Posten an die örtlich bezeichnete Stelle innerhalb derselben Bildstation. Verwende nun diese aktive Bade- oder Waschportion.	"{""EXEMPLAR_ONLY"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.26	0.400	nur exemplarisch zuweisbarer Bade-/Waschposten zwischen Rand und Hauptpaar	nur exemplarisch zuweisbarer Übergabe- oder Wartungsposten	unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher	Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen. Ikonographisch/formal an [B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]: unaufgelöster Bildzwischenraum; weder Rand- noch Hauptstation erbt sicher; die exakte Karte kann nur einen lokalen Konstruktionsplatz füllen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; STANDARDSLOT_SETZEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; BEREIT? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ZIEL? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; selbst der lokale Besitzer ist an dieser Lücke nur exemplarisch entscheidbar.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
