bath_action_ordinal	source_event_id	action_slot_id	statement_id	physical_page	locus	surface	component_recipe	upstream_selection_route	typing_card_id	reference_scope_card_id	typing_token	scope_source_pointer	reference_mode	object_class	object_lemma_de	grammatical_gender	determiner_de	rendered_object_np_de	participant_count	selected_participant_position	participant_np_sequence_de	bath_frame	modifier_id_sequence	modifier_root_sequence	modifier_group_count	modifier_suffix_de	gdt595_clause_de	gdt596_reconstructed_clause_de	exact_replay	host_attachment_rival	default_survives_with_rival	guard
33	G407-E1611	RUNNING:G407-E1611@2	G407-S119	f75r	f75r.21	ysheor	Y+SH+E+OR	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1611:RUNNING:G407-E1611@1|RUNNING:G407-E1611@4|RUNNING:G407-E1613@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	1	den Stationsansatz|die Badeinheit	BAD	M02_APPLY|M05_GRADE_I|M10_WORK_SITE|M13_SOURCE|M14_CONTACT	O|E|D_ADDR|AR|L	5	 in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz und die Badeinheit im Bad in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz und die Badeinheit im Bad in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
34	G407-E1616	RUNNING:G407-E1616@1	G407-S119	f75r	f75r.22	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1616:RUNNING:G407-E1616@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
35	G407-E1620	RUNNING:G407-E1620@1	G407-S119	f75r	f75r.22	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1620:RUNNING:G407-E1620@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
36	G407-E1625	RUNNING:G407-E1625@2	G407-S119	f75r	f75r.23	kshey	K+SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1625:RUNNING:G407-E1625@4	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
37	G407-E1628	RUNNING:G407-E1628@2	G407-S119	f75r	f75r.23	sshey	S+SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1628:RUNNING:G407-E1628@4	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
38	G407-E1648	RUNNING:G407-E1648@1	G407-S122	f75r	f75r.26	sheol	SH+E+OL	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1648:RUNNING:G407-E1649@1|RUNNING:G407-E1651@2|RUNNING:G407-E1653@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	2	die Anwendungsportion|den Stationsansatz	BAD	M08_MAIN_SITE|M10_WORK_SITE|M13_SOURCE	A_ADDR|D_ADDR|AR	3	 an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
39	G407-E1654	RUNNING:G407-E1654@4	G407-S122	f75r	f75r.27	pdalshor	P+D_ADDR+AL+SH+OR	WRITTEN_OR_UNIT	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	OR_UNIT	HOST:G407-E1654:RUNNING:G407-E1654@5	DEFINITE	BATH_UNIT	Badeinheit	FEMININE	die	die Badeinheit	1	1	die Badeinheit	BAD	NONE	NONE	0	NONE	Halte die Badeinheit im Bad	Halte die Badeinheit im Bad	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
40	G407-E1658	RUNNING:G407-E1658@1	G407-S122	f75r	f75r.27	shedy	SH+E+DY	GDT569_Y_LOCAL_BODY_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_BODY	GDT594:G407-E1656	ANAPHORIC	BODY	Körper	MASCULINE	denselben	denselben Körper	1	1	denselben Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Körper im Bad auf Grad I	Halte denselben Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
41	G407-E1670	RUNNING:G407-E1670@1	G407-S126	f75r	f75r.28	shecthy	SH+E+CH+T+Y	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT595:G407-E1670:RUNNING:G407-E1667@3	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
42	G407-E1673	RUNNING:G407-E1673@1	G407-S126	f75r	f75r.28	sheedy	SH+EE+DY	INTERVENING_OBJECT_HANDOFF	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	HANDOFF:G407-E1670:RUNNING:G407-E1670@5	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
43	G407-E1699	RUNNING:G407-E1699@1	G407-S130	f75r	f75r.30	shedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1696	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
44	G407-E1702	RUNNING:G407-E1702@1	G407-S131	f75r	f75r.31	dshedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
45	G407-E1706	RUNNING:G407-E1706@1	G407-S132	f75r	f75r.31	shedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1704	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
46	G407-E1711	RUNNING:G407-E1711@3	G407-S135	f75r	f75r.32	polshy	P+OL+SH+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1711:RUNNING:G407-E1711@4	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M12_TARGET	AL	1	 zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
47	G407-E1713	RUNNING:G407-E1713@1	G407-S135	f75r	f75r.32	shedy	SH+E+DY	EPISODE_CARRY	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	CARRY:G407-E1711	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
48	G407-E1717	RUNNING:G407-E1717@1	G407-S137	f75r	f75r.32	shedy	SH+E+DY	GDT569_AIN_PORTION_PROMOTION	T04_STABLE_AIN_OR_TYPE	Q03_LOCAL_OR_DEFAULT_DEFINITE	AIN_PORTION_DEFAULT	TYPE_DEFAULT:AIN	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	1	die Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
49	G407-E1719	RUNNING:G407-E1719@1	G407-S138	f75r	f75r.32	shedy	SH+E+DY	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:AR	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I|M13_SOURCE	E|AR	2	 auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte den Stationsansatz im Bad auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte den Stationsansatz im Bad auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
50	G407-E1723	RUNNING:G407-E1723@1	G407-S140	f75r	f75r.33	shedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1721	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
51	G407-E1742	RUNNING:G407-E1742@1	G407-S145	f75r	f75r.35	sheety	SH+EE+T+Y	SAME_EVENT_RIGHTWARD_SHARED_COMPLEMENT	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	RIGHT_INHERIT_BODY	RIGHT:G407-E1742:RUNNING:G407-E1742@4	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
52	G407-E1746	RUNNING:G407-E1746@1	G407-S145	f75r	f75r.35	shedy	SH+E+DY	INTERVENING_OBJECT_HANDOFF	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_PORTION	HANDOFF:G407-E1743:RUNNING:G407-E1743@2	ANAPHORIC	PORTION	Anwendungsportion	FEMININE	dieselbe	dieselbe Anwendungsportion	1	1	dieselbe Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
53	G407-E1758	RUNNING:G407-E1758@1	G407-S151	f75r	f75r.37	sheety	SH+EE+T+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1758:RUNNING:G407-E1757@1	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
54	G407-E1769	RUNNING:G407-E1769@2	G407-S160	f75r	f75r.39	yshedy	Y+SH+E+DY	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1769:RUNNING:G407-E1769@1	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
55	G407-E1776	RUNNING:G407-E1776@1	G407-S165	f75r	f75r.40	shedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
56	G407-E1778	RUNNING:G407-E1778@1	G407-S166	f75r	f75r.40	shedy	SH+E+DY	GDT569_AIN_PORTION_PROMOTION	T04_STABLE_AIN_OR_TYPE	Q01_LEFT_ANAPHORIC	AIN_PORTION_DEFAULT	GDT593:G407-E1777:AIN	ANAPHORIC	PORTION	Anwendungsportion	FEMININE	dieselbe	dieselbe Anwendungsportion	1	1	dieselbe Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
57	G407-E1781	RUNNING:G407-E1781@2	G407-S168	f75r	f75r.40	rshedy	R+SH+E+DY	GDT569_AIN_PORTION_PROMOTION	T04_STABLE_AIN_OR_TYPE	Q03_LOCAL_OR_DEFAULT_DEFINITE	AIN_PORTION_DEFAULT	TYPE_DEFAULT:AIN	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	1	die Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
58	G407-E1789	RUNNING:G407-E1789@1	G407-S173	f75r	f75r.42	dshedy	SH+E+DY	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E1789:RUNNING:G407-E1788@1	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
59	G407-E1795	RUNNING:G407-E1795@2	G407-S177	f75r	f75r.43	yshedy	Y+SH+E+DY	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E1795:RUNNING:G407-E1794@2|RUNNING:G407-E1795@1	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	2	die Badeinheit|den Stationsansatz	BAD	M05_GRADE_I|M10_WORK_SITE	E|D_ADDR	2	 auf Grad I und an der Stations-Arbeitsstelle	Halte die Badeinheit und den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	Halte die Badeinheit und den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
60	G407-E1814	RUNNING:G407-E1814@2	G407-S184	f75r	f75r.45	sshedy	S+SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E1813	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
61	G407-E1829	RUNNING:G407-E1829@1	G407-S191	f75r	f75r.46	shedy	SH+E+DY	WRITTEN_AIN_PORTION	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	AIN_PORTION	HOST:G407-E1829:RUNNING:G407-E1828@1	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	1	die Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
62	G407-E2404	RUNNING:G407-E2404@1	G407-S312	f77r	f77r.10	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E2404:RUNNING:G407-E2404@3|RUNNING:G407-E2405@2	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M01_FILL|M05_GRADE_I	AIIN_FILL|E	1	 bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
63	G407-E2414	RUNNING:G407-E2414@1	G407-S314	f77r	f77r.11	shedy	SH+E+DY	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
64	G407-E2416	RUNNING:G407-E2416@1	G407-S315	f77r	f77r.11	shedy	SH+E+DY	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
65	G407-E2426	RUNNING:G407-E2426@1	G407-S321	f77r	f77r.12	shedaiin	SH+E+AIIN	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT595:G407-E2426:RUNNING:G407-E2425@2	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M01_FILL|M05_GRADE_I	AIIN_FILL|E	1	 bei der angegebenen Füllung auf Grad I	Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
