unified_serial	section	page	unit_id	local_id	surface_display_only	read_aloud_de	copy_rule_de	owner_or_namespace	meaning_or_use_de	meaning_layer
188	BIOLOGICAL	f82r	B2	E188	qoky	ansetzen · dieser Posten	schreibe die globale Vorzugsform qoky	oberes Beckenpaar mit Zylinder	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → zurückhalten → setze dies ein. Angaben: danach · länger · dies.	COMPOSITIONAL_PROSE
189	BIOLOGICAL	f82r	B2	E189	dshedy	halten · kurz · Schluss	schreibe die globale Vorzugsform dshedy	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	COMPOSITIONAL_PROSE
190	BIOLOGICAL	f82r	B2	E190	sotaiin	danach · vorgeschriebenes Maß	am Recordmelodieplatz RM06:2 schreibe sotaiin	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	COMPOSITIONAL_PROSE
191	BIOLOGICAL	f82r	B2	E191	qokar	ansetzen · von dort	schreibe die globale Vorzugsform qokar	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	COMPOSITIONAL_PROSE
192	BIOLOGICAL	f82r	B2	E192	shedy	absetzen · Schluss	schreibe die globale Vorzugsform shedy	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	COMPOSITIONAL_PROSE
193	BIOLOGICAL	f82r	B2	E193	solshedy	fortsetzen · halten · kurz · Schluss	schreibe die globale Vorzugsform solshedy	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	COMPOSITIONAL_PROSE
194	BIOLOGICAL	f82r	B2	E194	qokeey	ansetzen · länger · dieser Posten	schreibe die globale Vorzugsform qokeey	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	COMPOSITIONAL_PROSE
195	BIOLOGICAL	f82r	B2	E195	qoky	ansetzen · dieser Posten	schreibe die globale Vorzugsform qoky	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	COMPOSITIONAL_PROSE
196	BIOLOGICAL	f82r	B2	E196	ls	weiter	schreibe die globale Vorzugsform ls	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	COMPOSITIONAL_PROSE
197	BIOLOGICAL	f82r	B2	E197	cheey	halten · länger · dieser Posten	schreibe die globale Vorzugsform cheey	mittleres linkes Handgerät mit Inline-Knoten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	COMPOSITIONAL_PROSE
198	BIOLOGICAL	f82r	B2	E198	okain	ansetzen · Portion	wenn der unmittelbare Kontext WR01 ausloest, schreibe okain	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	COMPOSITIONAL_PROSE
199	BIOLOGICAL	f82r	B2	E199	char	von dort	schreibe die globale Vorzugsform char	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	COMPOSITIONAL_PROSE
200	BIOLOGICAL	f82r	B2	E200	okain	ansetzen · Portion	am Recordmelodieplatz RM06:3 schreibe okain	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	COMPOSITIONAL_PROSE
201	BIOLOGICAL	f82r	B2	E201	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	COMPOSITIONAL_PROSE
202	BIOLOGICAL	f82r	B2	E202	lchy	führen · abziehen · dieser Posten	schreibe die globale Vorzugsform lchy	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
203	BIOLOGICAL	f82r	B2	E203	cheey	halten · länger · dieser Posten	schreibe die globale Vorzugsform cheey	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
204	BIOLOGICAL	f82r	B2	E204	qcthey	bereit · kurz · dieser Posten	schreibe die globale Vorzugsform qcthey	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
205	BIOLOGICAL	f82r	B2	E205	qokeey	ansetzen · länger · dieser Posten	schreibe die globale Vorzugsform qokeey	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
206	BIOLOGICAL	f82r	B2	E206	lcheey	führen · länger · dieser Posten	schreibe die globale Vorzugsform lcheey	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
207	BIOLOGICAL	f82r	B2	E207	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
208	BIOLOGICAL	f82r	B2	E208	chey	dieser Posten	schreibe die globale Vorzugsform chey	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
209	BIOLOGICAL	f82r	B2	E209	qokeeedy	ansetzen · vollständig · Schluss	schreibe die globale Vorzugsform qokeeedy	mittlere rechte unklare Station	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	COMPOSITIONAL_PROSE
210	BIOLOGICAL	f82r	B2	E210	lchedy	führen · umsetzen · Schluss	schreibe die globale Vorzugsform lchedy	unteres grünes Mehrfigurenbecken	Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: abführen + überführen.	COMPOSITIONAL_PROSE
211	BIOLOGICAL	f82r	B2	E211	lar	führen · von dort	schreibe die globale Vorzugsform lar	unteres grünes Mehrfigurenbecken	Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: ableiten.	COMPOSITIONAL_PROSE
212	BIOLOGICAL	f82r	B2	E212	tshey	halten · kurz · dieser Posten	schreibe die globale Vorzugsform tshey	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: stehen lassen → einwirken lassen.	COMPOSITIONAL_PROSE
213	BIOLOGICAL	f82r	B2	E213	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: stehen lassen → einwirken lassen.	COMPOSITIONAL_PROSE
214	BIOLOGICAL	f82r	B2	E214	cheal	bezeichnete Stelle	in der gelernten Formelkadenz FC07 schreibe cheal	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
215	BIOLOGICAL	f82r	B2	E215	lchedar	führen · umsetzen · von dort	schreibe die globale Vorzugsform lchedar	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
216	BIOLOGICAL	f82r	B2	E216	ches	abziehen · kurz · teilen	schreibe die globale Vorzugsform ches	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
217	BIOLOGICAL	f82r	B2	E217	aiin	vorgeschriebenes Maß	in der gelernten Formelkadenz FC07 schreibe aiin	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
218	BIOLOGICAL	f82r	B2	E218	oteey	danach · länger · dieser Posten	schreibe die globale Vorzugsform oteey	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
219	BIOLOGICAL	f82r	B2	E219	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
220	BIOLOGICAL	f82r	B2	E220	okey	ansetzen · kurz · dieser Posten	schreibe die globale Vorzugsform okey	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
221	BIOLOGICAL	f82r	B2	E221	pchedy	hineingeben · umsetzen · Schluss	schreibe die globale Vorzugsform pchedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	COMPOSITIONAL_PROSE
222	BIOLOGICAL	f82r	B2	E222	rsheal	abkühlen · halten · kurz · bezeichnete Stelle	schreibe die globale Vorzugsform rsheal	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abkühlen lassen + ruhen lassen. Angaben: Ziel; Schritt schließen.	COMPOSITIONAL_PROSE
223	BIOLOGICAL	f82r	B2	E223	daldy	bezeichnete Stelle · Schluss	schreibe die globale Vorzugsform daldy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abkühlen lassen + ruhen lassen. Angaben: Ziel; Schritt schließen.	COMPOSITIONAL_PROSE
224	BIOLOGICAL	f82r	B2	E224	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	COMPOSITIONAL_PROSE
225	BIOLOGICAL	f82r	B2	E225	rshedy	abkühlen · absetzen · Schluss	schreibe die globale Vorzugsform rshedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: auskühlen lassen + absetzen lassen.	COMPOSITIONAL_PROSE
226	BIOLOGICAL	f82r	B2	E226	qoteedy	danach · länger · Schluss	schreibe die globale Vorzugsform qoteedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen.	COMPOSITIONAL_PROSE
227	BIOLOGICAL	f82r	B2	E227	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	COMPOSITIONAL_PROSE
228	BIOLOGICAL	f82r	B2	E228	lochedy	führen · Arbeitsgang · umsetzen · Schluss	schreibe die globale Vorzugsform lochedy	kleine Randstationen des unteren Beckens	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abführen + überführen.	COMPOSITIONAL_PROSE
229	BIOLOGICAL	f83r	B3	E229	olkeedy	auffangen · länger · Schluss	schreibe die globale Vorzugsform olkeedy	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: auffangen und stehen lassen.	COMPOSITIONAL_PROSE
230	BIOLOGICAL	f83r	B3	E230	qotal	danach · bezeichnete Stelle	schreibe die globale Vorzugsform qotal	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: anwärmen. Angaben: danach · Ziel.	COMPOSITIONAL_PROSE
231	BIOLOGICAL	f83r	B3	E231	chkeedy	wärmen · länger · Schluss	schreibe die globale Vorzugsform chkeedy	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: anwärmen. Angaben: danach · Ziel.	COMPOSITIONAL_PROSE
232	BIOLOGICAL	f83r	B3	E232	chey	dieser Posten	schreibe die globale Vorzugsform chey	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies.	COMPOSITIONAL_PROSE
233	BIOLOGICAL	f83r	B3	E233	daiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform daiin	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies.	COMPOSITIONAL_PROSE
234	BIOLOGICAL	f83r	B3	E234	chey	dieser Posten	schreibe die globale Vorzugsform chey	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies.	COMPOSITIONAL_PROSE
235	BIOLOGICAL	f83r	B3	E235	lchedy	führen · umsetzen · Schluss	schreibe die globale Vorzugsform lchedy	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies.	COMPOSITIONAL_PROSE
236	BIOLOGICAL	f83r	B3	E236	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: setze nach Maß an. Angaben: danach · Ziel | davon.	COMPOSITIONAL_PROSE
237	BIOLOGICAL	f83r	B3	E237	qotal	danach · bezeichnete Stelle	schreibe die globale Vorzugsform qotal	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: setze nach Maß an. Angaben: danach · Ziel | davon.	COMPOSITIONAL_PROSE
238	BIOLOGICAL	f83r	B3	E238	dar	von dort	wenn der unmittelbare Kontext WR04 ausloest, schreibe dar	obere offene Fächerstation am Rand	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: setze nach Maß an. Angaben: danach · Ziel | davon.	COMPOSITIONAL_PROSE
239	BIOLOGICAL	f83r	B3	E239	schedy	umsetzen · Schluss	schreibe die globale Vorzugsform schedy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umfüllen.	COMPOSITIONAL_PROSE
240	BIOLOGICAL	f83r	B3	E240	chedchy	umsetzen · dieser Posten	schreibe die globale Vorzugsform chedchy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umschöpfen → anlegen → führe zur nächsten Station.	COMPOSITIONAL_PROSE
241	BIOLOGICAL	f83r	B3	E241	qokal	ansetzen · bezeichnete Stelle	schreibe die globale Vorzugsform qokal	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umschöpfen → anlegen → führe zur nächsten Station.	COMPOSITIONAL_PROSE
242	BIOLOGICAL	f83r	B3	E242	olchedy	fortsetzen · umsetzen · Schluss	am Recordmelodieplatz RM07:1 schreibe olchedy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umschöpfen → anlegen → führe zur nächsten Station.	COMPOSITIONAL_PROSE
243	BIOLOGICAL	f83r	B3	E243	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze nach Maß an → umschöpfen → einwirken lassen.	COMPOSITIONAL_PROSE
244	BIOLOGICAL	f83r	B3	E244	chedy	umsetzen · dieser Posten	schreibe die globale Vorzugsform chedy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze nach Maß an → umschöpfen → einwirken lassen.	COMPOSITIONAL_PROSE
245	BIOLOGICAL	f83r	B3	E245	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze nach Maß an → umschöpfen → einwirken lassen.	COMPOSITIONAL_PROSE
246	BIOLOGICAL	f83r	B3	E246	lchedy	führen · umsetzen · Schluss	schreibe die globale Vorzugsform lchedy	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: abführen + überführen.	COMPOSITIONAL_PROSE
247	BIOLOGICAL	f83r	B3	E247	qoky	ansetzen · dieser Posten	schreibe die globale Vorzugsform qoky	mittlere Randfigur im runden Gefäß	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze dies ein.	COMPOSITIONAL_PROSE
248	BIOLOGICAL	f83r	B3	E248	pchedal	hineingeben · umsetzen · bezeichnete Stelle	schreibe die globale Vorzugsform pchedal	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen.	COMPOSITIONAL_PROSE
249	BIOLOGICAL	f83r	B3	E249	otedy	danach · kurz · Schluss	schreibe die globale Vorzugsform otedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen.	COMPOSITIONAL_PROSE
250	BIOLOGICAL	f83r	B3	E250	shecthedchy	halten · kurz · bereit · umsetzen · dieser Posten	schreibe die globale Vorzugsform shecthedchy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	COMPOSITIONAL_PROSE
251	BIOLOGICAL	f83r	B3	E251	qoky	ansetzen · dieser Posten	schreibe die globale Vorzugsform qoky	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	COMPOSITIONAL_PROSE
252	BIOLOGICAL	f83r	B3	E252	chedy	umsetzen · dieser Posten	schreibe die globale Vorzugsform chedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	COMPOSITIONAL_PROSE
253	BIOLOGICAL	f83r	B3	E253	chary	von dort · dieser Posten	schreibe die globale Vorzugsform chary	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	COMPOSITIONAL_PROSE
254	BIOLOGICAL	f83r	B3	E254	sor	Ansatz	in der gelernten Formelkadenz FC08 schreibe sor	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: absetzen lassen. Angaben: Ansatz.	COMPOSITIONAL_PROSE
255	BIOLOGICAL	f83r	B3	E255	shedy	absetzen · Schluss	schreibe die globale Vorzugsform shedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: absetzen lassen. Angaben: Ansatz.	COMPOSITIONAL_PROSE
256	BIOLOGICAL	f83r	B3	E256	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies.	COMPOSITIONAL_PROSE
257	BIOLOGICAL	f83r	B3	E257	chkain	zuführen · Portion	in der gelernten Formelkadenz FC08 schreibe chkain	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies.	COMPOSITIONAL_PROSE
258	BIOLOGICAL	f83r	B3	E258	shcthey	bereit · kurz · dieser Posten	in der gelernten Formelkadenz FC08 schreibe shcthey	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies.	COMPOSITIONAL_PROSE
259	BIOLOGICAL	f83r	B3	E259	qokedy	ansetzen · kurz · Schluss	schreibe die globale Vorzugsform qokedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies.	COMPOSITIONAL_PROSE
260	BIOLOGICAL	f83r	B3	E260	okair	ansetzen · laufender Bestand	schreibe die globale Vorzugsform okair	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einleiten → ruhen lassen.	COMPOSITIONAL_PROSE
261	BIOLOGICAL	f83r	B3	E261	sheedy	halten · länger · Schluss	schreibe die globale Vorzugsform sheedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einleiten → ruhen lassen.	COMPOSITIONAL_PROSE
262	BIOLOGICAL	f83r	B3	E262	lchedy	führen · umsetzen · Schluss	schreibe die globale Vorzugsform lchedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: abführen + überführen.	COMPOSITIONAL_PROSE
263	BIOLOGICAL	f83r	B3	E263	lo	führen · Arbeitsgang	schreibe die globale Vorzugsform lo	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: führen → einsetzen + überführen.	COMPOSITIONAL_PROSE
264	BIOLOGICAL	f83r	B3	E264	qokchedy	ansetzen · umsetzen · Schluss	in der gelernten Formelkadenz FC09 schreibe qokchedy	untere Randfigur im korbartigen Gefäß	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: führen → einsetzen + überführen.	COMPOSITIONAL_PROSE
265	BIOLOGICAL	f83r	B3	E265	qokeedy	ansetzen · länger · Schluss	schreibe die globale Vorzugsform qokeedy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen.	COMPOSITIONAL_PROSE
266	BIOLOGICAL	f83r	B3	E266	shedy	absetzen · Schluss	schreibe die globale Vorzugsform shedy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: absetzen lassen.	COMPOSITIONAL_PROSE
267	BIOLOGICAL	f83r	B3	E267	qokshedy	ansetzen · halten · kurz · Schluss	schreibe die globale Vorzugsform qokshedy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen + ruhen lassen.	COMPOSITIONAL_PROSE
268	BIOLOGICAL	f83r	B3	E268	dal	bezeichnete Stelle	schreibe die globale Vorzugsform dal	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: hinleiten + umfüllen. Angaben: Ziel.	COMPOSITIONAL_PROSE
269	BIOLOGICAL	f83r	B3	E269	lchedy	führen · umsetzen · Schluss	schreibe die globale Vorzugsform lchedy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: hinleiten + umfüllen. Angaben: Ziel.	COMPOSITIONAL_PROSE
270	BIOLOGICAL	f83r	B3	E270	qokaiin	ansetzen · vorgeschriebenes Maß	schreibe die globale Vorzugsform qokaiin	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	COMPOSITIONAL_PROSE
271	BIOLOGICAL	f83r	B3	E271	shcthy	bereit · dieser Posten	in der gelernten Formelkadenz FC09 schreibe shcthy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	COMPOSITIONAL_PROSE
272	BIOLOGICAL	f83r	B3	E272	dal	bezeichnete Stelle	schreibe die globale Vorzugsform dal	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	COMPOSITIONAL_PROSE
273	BIOLOGICAL	f83r	B3	E273	sy	dieser Posten	in der gelernten Formelkadenz FC09 schreibe sy	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	COMPOSITIONAL_PROSE
274	BIOLOGICAL	f83r	B3	E274	saiin	vorgeschriebenes Maß	schreibe die globale Vorzugsform saiin	unverbundener Zwischenbereich	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	COMPOSITIONAL_PROSE
