surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
dytcheey	1	f4r	D_ADDR+Y+T+CH+EE+Y	1	100	2	D_ADDR+Y+T+SH+EE+Y	1	D_ADDR+Y+T+CH+EE+Y	1	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+CH+EE+Y | D_ADDR+Y+T+SH+EE+Y | D_ADDR+Y+T+EE+Y | D_ADDR+Y+T+LOCAL_C+EE+Y | Y+T+CH+EE+Y	3.030859716	2.497941197	3.215763033	3.866849503	3.030859716	2.497941197	3.215763033	3.866849503	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
f	4	f66r	LOCAL_CHAR_F	0	1	1	LOCAL_CHAR_F	1	LOCAL_CHAR_F	1	LOCAL_CHAR_F	LOCAL_CHAR_F	0.375741873	0.000000000	0.000000000	0.375741873	0.375741873	0.000000000	0.000000000	0.375741873	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
faiis	1	f20v	LOCAL_CHAR_F+IIN+S	1	26	2	LOCAL_CHAR_F+A_ADDR+IIN+S	1	LOCAL_CHAR_F+IIN+S	1	LOCAL_CHAR_F+IIN+S	LOCAL_CHAR_F+IIN+S | LOCAL_CHAR_F+A_ADDR+IIN+S | LOCAL_CHAR_F+AIIN+S | LOCAL_CHAR_F+A_ADDR+AIIN+S | LOCAL_CHAR_F+IIN+SH	1.715839032	3.469154342	3.686256860	2.587871493	1.715839032	3.469154342	3.686256860	2.587871493	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
fary	1	f66r	LOCAL_CHAR_F+AR+Y	0	4	1	LOCAL_CHAR_F+AR+Y	1	LOCAL_CHAR_F+AR+Y	1	LOCAL_CHAR_F+AR+Y	LOCAL_CHAR_F+AR+Y | LOCAL_CHAR_F+D_ADDR+AR+Y | LOCAL_CHAR_F+A_ADDR+AR+Y | LOCAL_CHAR_F+A_ADDR+R+Y	0.952618828	0.000000000	0.000000000	0.952618828	0.952618828	0.000000000	0.000000000	0.952618828	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
fchdar	1	f66r	LOCAL_CHAR_F+CHD+AR	1	43	1	LOCAL_CHAR_F+CHD+AR	1	LOCAL_CHAR_F+CHD+AR	1	LOCAL_CHAR_F+CHD+AR	LOCAL_CHAR_F+CHD+AR | LOCAL_CHAR_F+CHD+D_ADDR+AR | LOCAL_CHAR_F+CH+D_ADDR+AR | LOCAL_CHAR_F+CH+CHD+AR | LOCAL_CHAR_F+CHD+A_ADDR+AR	2.263262354	3.530662435	3.843252520	2.447610228	2.263262354	3.530662435	3.843252520	2.447610228	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
fchedyr	1	f66r	LOCAL_CHAR_F+CHD+Y+R	1	72	1	LOCAL_CHAR_F+CHD+Y+R	1	LOCAL_CHAR_F+CHD+Y+R	1	LOCAL_CHAR_F+CHD+Y+R	LOCAL_CHAR_F+CHD+Y+R | LOCAL_CHAR_F+CH+E+DY+R | LOCAL_CHAR_F+CHD+DY+R | LOCAL_CHAR_F+CHD+E+DY+R | LOCAL_CHAR_F+CHD+Y+AR	3.575288766	3.628427934	3.905902021	3.763647015	3.575288766	3.628427934	3.905902021	3.763647015	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
folchol	1	f20v	LOCAL_CHAR_F+OL+OL	1	53	1	LOCAL_CHAR_F+OL+OL	1	LOCAL_CHAR_F+OL+OL	1	LOCAL_CHAR_F+OL+OL	LOCAL_CHAR_F+OL+OL | LOCAL_CHAR_F+OL+LOCAL_C+OL | LOCAL_CHAR_F+OL+CH+OL | LOCAL_CHAR_F+OL+LOCAL_C+SH+OL | LOCAL_CHAR_F+OL+CH+SH+OL	2.741051452	3.673031095	3.805386442	2.928011891	2.741051452	3.673031095	3.805386442	2.928011891	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
fshodchy	1	f20v	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	1	100	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	2	LOCAL_CHAR_F+SH+O+D_ADDR+Y	LOCAL_CHAR_F+SH+O+D_ADDR+Y | LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y | LOCAL_CHAR_F+SH+O+D_ADDR+LOCAL_C+Y | LOCAL_CHAR_F+O+D_ADDR+CH+Y | LOCAL_CHAR_F+O+D_ADDR+Y	2.091295220	3.102155616	3.503182378	2.949575851	2.455756916	2.820417076	3.149606257	2.605007500	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kardy	1	f66r	K+AR+DY	1	32	1	K+AR+DY	1	K+AR+DY	1	K+AR+DY	K+AR+DY | K+AR+Y | K+A_ADDR+AR+DY | K+AR+D_ADDR+Y | A_ADDR+K+AR+DY	1.223041567	2.900036699	3.721615855	1.388582881	1.223041567	2.900036699	3.721615855	1.388582881	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kcheeky	1	f66r	K+CH+EE+K+Y	1	68	2	K+CH+K+EE+Y	1	K+CH+EE+K+Y	1	K+CH+EE+K+Y	K+CH+EE+K+Y | K+CH+K+EE+Y | K+EE+K+Y | K+K+EE+Y | K+CH+SH+EE+K+Y	2.273129258	2.823723064	3.057841657	3.113315557	2.273129258	2.823723064	3.057841657	3.113315557	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kcheody	1	f66r	K+CH+E+O+Y	1	52	1	K+CH+E+O+Y	1	K+CH+E+O+Y	1	K+CH+E+O+Y	K+CH+E+O+Y | K+CH+E+O+DY | K+CH+E+O+D_ADDR+Y | K+CH+E+O+R | K+E+O+D_ADDR+Y	2.618857083	2.461500842	2.853688734	2.751736822	2.618857083	2.461500842	2.853688734	2.751736822	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kchody	1	f66r	K+CH+O+D_ADDR+Y	1	44	1	K+CH+O+D_ADDR+Y	2	K+CH+O+DY	2	K+CH+O+DY	K+CH+O+DY | K+CH+O+D_ADDR+Y | K+O+DY | K+LOCAL_C+O+DY | K+CH+O+Y	3.325574487	2.403520875	2.727005345	3.453837643	1.635124417	3.513252034	3.629600428	2.506842909	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	1	46	1	K+E+CH+O+D_ADDR+Y	3	K+E+CH+O+DY	3	K+E+CH+O+DY	K+E+CH+O+DY | K+E+LOCAL_C+O+DY | K+E+CH+O+D_ADDR+Y | K+E+CH+SH+O+DY | K+E+O+DY	4.569553462	2.388405142	3.042785414	4.705333226	2.314432463	3.310661819	3.691272034	3.182627990	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
keedey	1	f31r	K+EE+D_ADDR+E+Y	1	14	1	K+EE+D_ADDR+E+Y	1	K+EE+D_ADDR+E+Y	1	K+EE+D_ADDR+E+Y	K+EE+D_ADDR+E+Y | K+EE+CHD+E+Y | K+EE+E+D_ADDR+Y | K+CH+EE+D_ADDR+E+Y | K+SH+EE+D_ADDR+E+Y	2.113128328	2.657259297	3.325644486	2.262700923	2.113128328	2.657259297	3.325644486	2.262700923	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
keeol	1	f31r	K+EE+O+L	1	14	4	K+EE+OL	3	K+EE+OL	3	K+EE+OL	K+EE+OL | OL+K+EE | K+EE+O+L | OK+EE+L | K+SH+EE+OL	4.438775844	2.963853335	3.306079363	5.981818523	1.350441384	2.640895602	3.244796401	1.497583684	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
keody	3	f20v|f66r	K+E+O+D_ADDR+Y	3	11	2	K+E+O+DY	2	K+E+O+DY	2	K+E+O+DY	K+E+O+DY | K+E+O+D_ADDR+Y | K+E+O+Y | O+D_ADDR+Y | OK+E+DY	2.458483962	2.046976766	3.009611091	3.278045839	1.948075531	3.085399102	3.591786946	2.115005182	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kodalchy	1	f4r	K+O+D_ADDR+AL+CH+Y	1	100	1	K+O+D_ADDR+AL+CH+Y	1	K+O+D_ADDR+AL+CH+Y	1	K+O+D_ADDR+AL+CH+Y	K+O+D_ADDR+AL+CH+Y | K+O+D_ADDR+AL+Y | K+O+AL+CH+Y | K+O+D_ADDR+AL+LOCAL_C+Y | K+O+AL+Y	2.979155837	3.001859627	3.355646786	3.138093497	2.979155837	3.001859627	3.355646786	3.138093497	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kodary	1	f66r	K+O+D_ADDR+AR+Y	1	33	1	K+O+D_ADDR+AR+Y	1	K+O+D_ADDR+AR+Y	1	K+O+D_ADDR+AR+Y	K+O+D_ADDR+AR+Y | CH+K+O+D_ADDR+AR+Y | OK+D_ADDR+AR+Y | K+O+D_ADDR+D_ADDR+AR+Y | K+SH+O+D_ADDR+AR+Y	1.105709685	2.689809708	3.442167531	1.259009116	1.105709685	2.689809708	3.442167531	1.259009116	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
kody	1	f66r	K+O+DY	1	10	1	K+O+DY	1	K+O+DY	1	K+O+DY	K+O+DY | K+O+D_ADDR+Y | K+O+Y | OK+DY | CH+K+O+D_ADDR+Y	1.359235413	2.741959906	3.167397911	1.506969358	1.359235413	2.741959906	3.167397911	1.506969358	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ld	1	f66r	L+D_ADDR	1	6	3	L	3	L	3	L	L | AL | L+D_ADDR | L+CHD | AL+D_ADDR	1.410199596	3.441734566	3.885012908	2.691980572	0.433685932	2.782076363	3.514605907	0.591102988	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
lkeol	1	f66r	L+K+E+OL	1	16	1	L+K+E+OL	1	L+K+E+OL	1	L+K+E+OL	L+K+E+OL | OL+K+E+L | K+E+OL+L | L+OL+K+E | AL+K+E+OL	0.929622366	2.515410569	2.880690130	1.064524884	0.929622366	2.515410569	2.880690130	1.064524884	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
lodaiin	1	f66r	L+O+D_ADDR+AIIN	1	100	1	L+O+D_ADDR+AIIN	1	L+O+D_ADDR+AIIN	1	L+O+D_ADDR+AIIN	L+O+D_ADDR+AIIN | L+O+AIIN | AL+O+D_ADDR+AIIN | OL+AIIN | L+O+D_ADDR+AIIN+IIN	1.445553822	2.578143000	3.200402207	1.590017452	1.445553822	2.578143000	3.200402207	1.590017452	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
lpchees	1	f66r	L+P+CH+EE+S	1	78	3	L+P+CHD+E+S	1	L+P+CH+EE+S	1	L+P+CH+EE+S	L+P+CH+EE+S | L+P+LOCAL_C+EE+S | L+P+EE+S | L+P+CHD+E+S | L+P+LOCAL_C+SH+EE	3.237987239	3.189013281	3.528416402	4.504535270	3.237987239	3.189013281	3.528416402	4.504535270	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
lsheody	1	f66r	L+SH+E+O+D_ADDR+Y	1	70	1	L+SH+E+O+D_ADDR+Y	1	L+SH+E+O+D_ADDR+Y	1	L+SH+E+O+D_ADDR+Y	L+SH+E+O+D_ADDR+Y | L+SH+E+O+DY | L+SH+E+O+Y | L+SH+E+O+D_ADDR+DY | L+E+O+DY	2.474678391	1.917218101	2.602179739	2.587663337	2.474678391	1.917218101	2.602179739	2.587663337	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ltsholy	1	f66r	L+T+SH+OL+Y	1	48	1	L+T+SH+OL+Y	1	L+T+SH+OL+Y	1	L+T+SH+OL+Y	L+T+SH+OL+Y | L+T+OL+Y | L+SH+OL+Y | L+T+S+OL+Y | AL+T+SH+OL+Y	2.075228290	2.953853503	3.324216099	2.232180030	2.075228290	2.953853503	3.324216099	2.232180030	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ofaram	1	f66r	O+LOCAL_CHAR_F+AR+AM_ADDR	1	14	1	O+LOCAL_CHAR_F+AR+AM_ADDR	1	O+LOCAL_CHAR_F+AR+AM_ADDR	1	O+LOCAL_CHAR_F+AR+AM_ADDR	O+LOCAL_CHAR_F+AR+AM_ADDR | O+LOCAL_CHAR_F+A_ADDR+AR+AM_ADDR | O+LOCAL_CHAR_F+AR+A_ADDR+AM_ADDR | O+LOCAL_CHAR_F+A_ADDR+R+AM_ADDR | O+LOCAL_CHAR_F+A_ADDR+AR+M_LOCAL	1.146657691	3.427385932	3.789906439	1.327090000	1.146657691	3.427385932	3.789906439	1.327090000	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
okalchedy	1	f66r	OK+AL+CHD+Y	1	100	1	OK+AL+CHD+Y	1	OK+AL+CHD+Y	1	OK+AL+CHD+Y	OK+AL+CHD+Y | OK+AL+CHD+DY | OK+AL+LOCAL_C+CHD+DY | OK+AL+LOCAL_C+E+DY | OK+CHD+DY	3.043702620	2.122137614	3.130423628	3.175016651	3.043702620	2.122137614	3.130423628	3.175016651	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
okedals	1	f66r	OK+AL+S	1	100	1	OK+AL+S	1	OK+AL+S	1	OK+AL+S	OK+AL+S | OK+E+D_ADDR+AL+S | OK+E+AL+S | OK+E+AL | OK+E+D_ADDR+AL+SH	3.155753499	2.613494953	3.604866963	3.311212547	3.155753499	2.613494953	3.604866963	3.311212547	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
okedam	1	f31r	OK+E+D_ADDR+AM_ADDR	1	44	2	OK+E+DA+AM_ADDR	1	OK+E+D_ADDR+AM_ADDR	1	OK+E+D_ADDR+AM_ADDR	OK+E+D_ADDR+AM_ADDR | OK+E+DA+AM_ADDR | OK+AM_ADDR | OK+E+AM_ADDR | OK+E+DY	2.009398719	2.776846963	3.091989513	2.849266811	2.009398719	2.776846963	3.091989513	2.849266811	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
okoy	1	f20v	OK+O+Y	1	4	1	OK+O+Y	1	OK+O+Y	1	OK+O+Y	OK+O+Y | O+OK+Y | OK+O+D_ADDR+Y | O+K+O+Y	0.726063459	2.427126985	3.253730389	0.868084894	0.726063459	2.427126985	3.253730389	0.868084894	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
olsheor	1	f31r	OL+SH+E+OR	1	66	1	OL+SH+E+OR	1	OL+SH+E+OR	1	OL+SH+E+OR	OL+SH+E+OR | O+L+SH+E+OR | OL+SH+E+O+R | OL+E+OR | OL+SH+SH+E+OR	2.213986639	2.494737382	3.454204732	2.362710192	2.213986639	2.494737382	3.454204732	2.362710192	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
otalor	1	f66r	OT+AL+OR	1	55	1	OT+AL+OR	1	OT+AL+OR	1	OT+AL+OR	OT+AL+OR | OT+L+OR | O+L+AL+OR | O+T+AL+OR | OT+AL+O+R	0.926272736	2.745254384	3.613337570	1.085237535	0.926272736	2.745254384	3.613337570	1.085237535	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
otcheo	1	f66r	OT+CH+E+O	0	20	1	OT+CH+E+O	1	OT+CH+E+O	1	OT+CH+E+O	OT+CH+E+O | OT+CH+E+O+D_ADDR | OT+LOCAL_C+E+O | OT+E+O | CH+OT+CH+E+O	0.664100794	0.000000000	0.000000000	0.664100794	0.664100794	0.000000000	0.000000000	0.664100794	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
oteochey	1	f66r	OT+E+O+CH+E+Y	1	45	2	OT+E+O+Y	1	OT+E+O+CH+E+Y	1	OT+E+O+CH+E+Y	OT+E+O+CH+E+Y | OT+E+O+Y | OT+E+O+LOCAL_C+E+Y | O+OT+E+Y | OT+E+O+LOCAL_C+SH+E+Y	1.614799336	1.970023987	2.997028589	2.432122831	1.614799336	1.970023987	2.997028589	2.432122831	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
p	1	f66r	P	0	1	1	P	1	P	1	P	P	0.199402783	0.000000000	0.000000000	0.199402783	0.199402783	0.000000000	0.000000000	0.199402783	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
pchof	1	f66r	P+CH+O+LOCAL_CHAR_F	1	10	1	P+CH+O+LOCAL_CHAR_F	1	P+CH+O+LOCAL_CHAR_F	1	P+CH+O+LOCAL_CHAR_F	P+CH+O+LOCAL_CHAR_F | O+P+CH+LOCAL_CHAR_F | P+O+LOCAL_CHAR_F | P+LOCAL_C+O+LOCAL_CHAR_F | P+CH+SH+O+LOCAL_CHAR_F	1.451210774	3.456732839	3.787528098	1.632317297	1.451210774	3.456732839	3.787528098	1.632317297	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
pdaiin	1	f66r	P+AIIN	1	100	1	P+AIIN	1	P+AIIN	1	P+AIIN	P+AIIN | P+D_ADDR+AIIN | P+DA+AIIN | P+D_ADDR+AIIN+IIN | P+CHD+AIIN	1.784175174	2.816037023	3.502097398	1.942128534	1.784175174	2.816037023	3.502097398	1.942128534	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
pofochey	1	f20v	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	18	2	P+O+LOCAL_CHAR_F+O+Y	1	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	P+O+LOCAL_CHAR_F+O+CH+E+Y	P+O+LOCAL_CHAR_F+O+CH+E+Y | P+O+LOCAL_CHAR_F+O+Y | O+P+LOCAL_CHAR_F+O+CH+E+Y | P+O+LOCAL_CHAR_F+O+LOCAL_C+E+Y | O+P+LOCAL_CHAR_F+O+Y	3.512894593	2.873646419	3.446866046	4.364054585	3.512894593	2.873646419	3.446866046	4.364054585	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
psheody	1	f66r	P+SH+E+O+D_ADDR+Y	1	34	1	P+SH+E+O+D_ADDR+Y	2	P+SH+E+O+DY	1	P+SH+E+O+D_ADDR+Y	P+SH+E+O+D_ADDR+Y | P+SH+E+O+DY | P+SH+E+O+Y | P+SH+E+O+D_ADDR+DY | P+SH+SH+E+O+DY	2.743824156	2.086977793	2.860535802	2.867511996	2.743824156	2.086977793	2.860535802	2.867511996	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
pydaiin	1	f4r	P+Y+D_ADDR+AIIN	1	100	1	P+Y+D_ADDR+AIIN	1	P+Y+D_ADDR+AIIN	1	P+Y+D_ADDR+AIIN	P+Y+D_ADDR+AIIN | P+Y+AIIN | P+Y+D_ADDR+AIIN+IIN | P+Y+DA+AIIN | P+Y+D_ADDR+A_ADDR+AIIN	1.420643773	2.913738425	3.305059738	1.576113727	1.420643773	2.913738425	3.305059738	1.576113727	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qef	1	f31r	E+LOCAL_CHAR_F	1	4	3	CARRIER_Q+E+LOCAL_CHAR_F	3	CARRIER_Q+E+LOCAL_CHAR_F	3	CARRIER_Q+E+LOCAL_CHAR_F	CARRIER_Q+E+LOCAL_CHAR_F | CARRIER_Q+D_ADDR | E+LOCAL_CHAR_F | CARRIER_Q+CH+E+LOCAL_CHAR_F	1.930598048	4.564723828	4.025275546	3.243960321	1.964636143	4.064747558	3.811238407	2.161535792	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	1	93	4	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+DY | O+CH+T+E+DY | CARRIER_Q+O+CH+T+E+Y | CARRIER_Q+O+CH+T+E+D_ADDR+Y | O+CH+T+E+Y	2.728702653	2.334814650	2.645461647	4.239503922	2.323529449	2.908250613	3.329657914	2.479477162	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qoekedy	1	f31r	CARRIER_Q+O+E+K+E+DY	1	68	1	CARRIER_Q+O+E+K+E+DY	1	CARRIER_Q+O+E+K+E+DY	1	CARRIER_Q+O+E+K+E+DY	CARRIER_Q+O+E+K+E+DY | O+E+K+E+DY | O+E+K+E+D_ADDR+Y | O+E+K+E+Y | CARRIER_Q+O+E+K+E+Y	1.694091152	2.586957699	2.978453660	1.833226436	1.694091152	2.586957699	2.978453660	1.833226436	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokaiir	1	f66r	OK+IIN+R	1	100	1	OK+IIN+R	1	OK+IIN+R	1	OK+IIN+R	OK+IIN+R | OK+AIIN+R | CARRIER_Q+OK+IIN+R | OK+LOCAL_CHAR_I+R | OK+A_ADDR+IIN+R	2.177578374	3.071630630	3.334585768	2.337733784	2.177578374	3.071630630	3.334585768	2.337733784	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokchey	1	f66r	OK+CH+E+Y	1	39	4	OK+Y	2	OK+Y	2	OK+Y	OK+Y | OK+CH+E+Y | OK+E+Y | OK+LOCAL_C+E+Y | OK+CHD+Y	1.338958119	1.890317410	2.687599584	2.839700405	2.409868091	1.643182903	2.362225160	2.510003293	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokee	1	f31r	OK+EE	1	12	1	OK+EE	1	OK+EE	1	OK+EE	OK+EE | CARRIER_Q+OK+EE | OK+SH+EE | OK+E+E | O+K+EE	0.597964711	2.743723490	3.148299323	0.745265281	0.597964711	2.743723490	3.148299323	0.745265281	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokeedar	1	f66r	OK+EE+D_ADDR+AR	1	100	1	OK+EE+D_ADDR+AR	1	OK+EE+D_ADDR+AR	1	OK+EE+D_ADDR+AR	OK+EE+D_ADDR+AR | OK+EE+AR | CARRIER_Q+OK+EE+D_ADDR+AR | OK+EE+DA+AR | CARRIER_Q+OK+EE+AR	1.537986471	2.036166593	2.761453060	1.657926962	1.537986471	2.036166593	2.761453060	1.657926962	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokees	2	f31r|f66r	OK+EE+S	2	28	1	OK+EE+S	1	OK+EE+S	1	OK+EE+S	OK+EE+S | CARRIER_Q+OK+EE+S | OK+EE | OK+EE+SH | CARRIER_Q+OK+EE	0.881563635	2.285479922	3.057255037	1.015132009	0.881563635	2.285479922	3.057255037	1.015132009	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qokshd	1	f66r	OK+SH+D_ADDR	1	37	1	OK+SH+D_ADDR	1	OK+SH+D_ADDR	1	OK+SH+D_ADDR	OK+SH+D_ADDR | OK+D_ADDR | OK+SH+CHD | CARRIER_Q+OK+SH+D_ADDR | OK+SH+SH+D_ADDR	1.031436573	3.104804128	3.710174681	1.201811044	1.031436573	3.104804128	3.710174681	1.201811044	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qolsa	1	f66r	OL+S+A_ADDR	0	26	1	OL+S+A_ADDR	1	OL+S+A_ADDR	1	OL+S+A_ADDR	OL+S+A_ADDR | OL+A_ADDR | OL+S | CARRIER_Q+OL+S | CARRIER_Q+OL+A_ADDR	2.391496267	0.000000000	0.000000000	2.391496267	2.391496267	0.000000000	0.000000000	2.391496267	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
